workloadID, workload argument, run, tFC, tVM
0,1000000,0,4136,285
0,1000000,1,4090,283
0,1000000,2,3984,283
0,1000000,3,4104,283
0,1000000,4,4015,283
0,1000000,5,4070,283
0,1000000,6,4001,283
0,1000000,7,4129,283
0,1000000,8,4071,283
0,1000000,9,4096,282
0,2500000,0,4749,1012
0,2500000,1,4819,1011
0,2500000,2,4747,1011
0,2500000,3,4741,1011
0,2500000,4,4822,1011
0,2500000,5,4804,1012
0,2500000,6,4795,1011
0,2500000,7,4736,1011
0,2500000,8,4807,1012
0,2500000,9,4769,1011
0,4000000,0,5783,1954
0,4000000,1,5736,1955
0,4000000,2,5735,1955
0,4000000,3,5728,1955
0,4000000,4,5728,1954
0,4000000,5,5728,1954
0,4000000,6,5732,1955
0,4000000,7,5734,1955
0,4000000,8,5787,2005
0,4000000,9,5778,1955
0,5500000,0,6832,3060
0,5500000,1,6859,3060
0,5500000,2,6866,3060
0,5500000,3,6854,3061
0,5500000,4,6896,3060
0,5500000,5,6827,3060
0,5500000,6,6974,3111
0,5500000,7,6855,3061
0,5500000,8,6855,3060
0,5500000,9,6931,3060
0,7000000,0,8109,4299
0,7000000,1,8111,4298
0,7000000,2,8155,4299
0,7000000,3,8108,4299
0,7000000,4,8078,4299
0,7000000,5,8088,4299
0,7000000,6,8109,4299
0,7000000,7,8106,4299
0,7000000,8,8107,4299
0,7000000,9,8099,4299
0,8500000,0,9545,5656
0,8500000,1,9412,5654
0,8500000,2,9479,5668
0,8500000,3,9499,5655
0,8500000,4,9446,5653
0,8500000,5,9519,5710
0,8500000,6,9452,5655
0,8500000,7,9629,5730
0,8500000,8,9463,5654
0,8500000,9,9492,5654
1,4096,0,37773,33938
1,4096,1,37698,33779
1,4096,2,37503,33665
1,4096,3,37706,33768
1,4096,4,37540,33704
1,4096,5,37507,33729
1,4096,6,37588,33717
1,4096,7,37563,33796
1,4096,8,37586,33712
1,4096,9,37688,33829
1,2048,0,20718,16869
1,2048,1,20759,16903
1,2048,2,20638,16791
1,2048,3,20659,16852
1,2048,4,20607,16824
1,2048,5,20715,16850
1,2048,6,20615,16839
1,2048,7,20763,16880
1,2048,8,20747,16909
1,2048,9,20604,16774
1,1024,0,12405,8470
1,1024,1,12312,8471
1,1024,2,12239,8424
1,1024,3,12245,8454
1,1024,4,12264,8458
1,1024,5,12183,8424
1,1024,6,12369,8431
1,1024,7,12280,8422
1,1024,8,12344,8462
1,1024,9,12346,8468
1,512,0,8006,4247
1,512,1,8080,4248
1,512,2,8021,4261
1,512,3,8120,4286
1,512,4,8108,4260
1,512,5,8083,4259
1,512,6,8174,4256
1,512,7,8011,4235
1,512,8,8135,4275
1,512,9,8079,4266
1,256,0,6032,2177
1,256,1,5962,2170
1,256,2,5997,2175
1,256,3,5971,2186
1,256,4,6040,2219
1,256,5,5930,2173
1,256,6,5983,2181
1,256,7,5973,2181
1,256,8,5959,2172
1,256,9,6012,2184
1,128,0,4958,1148
1,128,1,4936,1137
1,128,2,4983,1136
1,128,3,5013,1141
1,128,4,4968,1139
1,128,5,4993,1130
1,128,6,4967,1142
1,128,7,5028,1129
1,128,8,4935,1141
1,128,9,4967,1133
1,10,0,3943,89
1,10,1,3817,89
1,10,2,3839,89
1,10,3,3875,89
1,10,4,3939,89
1,10,5,3927,89
1,10,6,3898,91
1,10,7,3883,89
1,10,8,3855,90
1,10,9,3854,89
1,1,0,3780,12
1,1,1,3833,12
1,1,2,3752,12
1,1,3,3845,12
1,1,4,3843,12
1,1,5,3745,12
1,1,6,3835,12
1,1,7,3753,12
1,1,8,3850,12
1,1,9,3751,12
2,10,0,4362,511
2,10,1,4425,506
2,10,2,4415,496
2,10,3,4387,510
2,10,4,4420,510
2,10,5,4338,496
2,10,6,4279,495
2,10,7,4373,495
2,10,8,4314,496
2,10,9,4353,495
2,20,0,4716,834
2,20,1,4603,817
2,20,2,4618,833
2,20,3,4605,832
2,20,4,4678,818
2,20,5,4644,834
2,20,6,4606,818
2,20,7,4622,832
2,20,8,4663,829
2,20,9,4652,837
2,40,0,5251,1470
2,40,1,5345,1478
2,40,2,5240,1469
2,40,3,5301,1451
2,40,4,5256,1452
2,40,5,5256,1473
2,40,6,5216,1452
2,40,7,5233,1457
2,40,8,5228,1454
2,40,9,5306,1462
2,80,0,6540,2726
2,80,1,6599,2738
2,80,2,6538,2745
2,80,3,6563,2742
2,80,4,6602,2727
2,80,5,6588,2744
2,80,6,6508,2732
2,80,7,6601,2746
2,80,8,6583,2726
2,80,9,6508,2735
2,160,0,9149,5293
2,160,1,9110,5290
2,160,2,9098,5275
2,160,3,9131,5313
2,160,4,9156,5291
2,160,5,9106,5265
2,160,6,9179,5312
2,160,7,9198,5285
2,160,8,9188,5286
2,160,9,9187,5299
2,320,0,14199,10407
2,320,1,14199,10382
2,320,2,14257,10430
2,320,3,14232,10409
2,320,4,14214,10385
2,320,5,14191,10358
2,320,6,14320,10402
2,320,7,14306,10421
2,320,8,14234,10377
2,320,9,14195,10380
