workloadID, workload argument, tFC, tVM, start time
2,10,4442,548,1595694778
2,20,4717,911,1595694778
1,512,8187,4333,1595694777
0,4000000,5765,1964,1595694780
0,1000000,4265,290,1595694783
2,40,6421,2469,1595694782
2,40,6381,2507,1595694782
0,2500000,5031,1059,1595694784
2,40,6253,2346,1595694783
2,10,4957,650,1595694784
0,7000000,8461,4452,1595694783
0,8500000,9726,5841,1595694783
0,7000000,8548,4377,1595694784
2,10,4713,694,1595694791
0,4000000,5920,1975,1595694790
2,10,4874,853,1595694792
2,320,17237,13492,1595694781
1,512,9133,5237,1595694790
1,10,4288,97,1595694796
1,10,4381,206,1595694797
2,160,11602,7648,1595694791
1,512,9971,5906,1595694794
0,8500000,10260,6288,1595694795
2,320,18162,14211,1595694787
0,2500000,5432,1305,1595694801
1,1,4624,13,1595694802
0,7000000,10931,6784,1595694796
0,5500000,9231,4898,1595694798
2,80,9675,5290,1595694798
0,4000000,6652,2236,1595694802
0,8500000,11678,7652,1595694797
0,7000000,10086,5540,1595694800
2,80,7696,3258,1595694803
2,160,11011,6713,1595694800
1,2048,24983,20854,1595694788
0,4000000,6004,1975,1595694808
1,2048,24575,20547,1595694792
0,5500000,6908,3094,1595694813
1,256,6158,2287,1595694814
1,1,3919,15,1595694816
0,7000000,8167,4337,1595694813
1,10,3912,93,1595694817
0,1000000,4092,285,1595694817
2,320,14833,11038,1595694808
0,4000000,5825,1986,1595694817
0,4000000,5872,1985,1595694818
1,128,5465,1361,1595694819
1,10,4153,97,1595694820
0,4000000,5917,2011,1595694820
0,2500000,5833,1380,1595694822
2,40,7229,2679,1595694821
1,512,10932,6781,1595694819
2,20,6160,1469,1595694824
2,40,9230,4666,1595694821
2,40,9395,4650,1595694824
2,10,6583,1383,1595694827
1,1,5058,19,1595694829
0,1000000,5537,623,1595694830
1,1024,18092,13974,1595694818
0,8500000,15323,10804,1595694821
2,80,12674,7738,1595694824
2,160,17178,13086,1595694820
0,1000000,5581,616,1595694832
2,20,6991,2170,1595694831
0,5500000,10480,5614,1595694827
0,4000000,9695,4874,1595694828
0,8500000,15160,10669,1595694823
0,5500000,11385,6471,1595694828
1,10,5630,310,1595694837
2,40,9748,4791,1595694834
0,4000000,9301,4380,1595694835
2,10,6858,1534,1595694838
0,1000000,6113,609,1595694840
0,4000000,9986,5012,1595694836
2,320,29754,25773,1595694817
1,10,5986,310,1595694841
2,40,10789,5542,1595694837
0,7000000,14886,9904,1595694834
1,512,15483,10634,1595694834
2,160,23410,18760,1595694827
0,1000000,5792,594,1595694845
0,8500000,18324,13226,1595694833
2,160,20794,15829,1595694832
1,256,10834,5450,1595694842
2,80,14917,9412,1595694839
0,8500000,18186,12983,1595694836
2,160,22530,17543,1595694832
0,2500000,7088,2126,1595694849
2,320,35414,31319,1595694821
1,128,8195,3130,1595694849
2,160,21493,16376,1595694836
0,2500000,7640,2410,1595694851
1,10,5521,266,1595694854
0,8500000,17924,12603,1595694841
1,128,8344,2969,1595694851
0,2500000,7781,2550,1595694854
1,4096,63959,59417,1595694798
1,512,15232,10269,1595694848
2,20,8377,3214,1595694857
0,1000000,6611,885,1595694859
2,40,9896,4768,1595694857
0,8500000,19777,14675,1595694847
0,4000000,10960,5764,1595694857
1,512,17842,12894,1595694850
0,2500000,8728,3191,1595694860
2,40,11563,6432,1595694857
1,512,17795,12786,1595694851
0,4000000,10950,5179,1595694859
0,5500000,14309,9084,1595694856
2,160,22134,17013,1595694850
2,10,7948,2236,1595694865
0,5500000,14680,8971,1595694858
2,20,8271,3076,1595694865
2,10,7190,1877,1595694867
2,160,24188,18997,1595694850
0,4000000,10741,5244,1595694865
1,128,8416,3184,1595694867
2,40,10671,5132,1595694866
2,10,6724,1601,1595694870
1,256,10793,5320,1595694867
1,128,7937,2899,1595694870
0,8500000,18964,13502,1595694860
0,4000000,9338,4177,1595694871
2,10,6366,1510,1595694874
0,1000000,5566,598,1595694875
0,4000000,8881,4074,1595694872
0,2500000,6340,1525,1595694876
2,40,9545,4619,1595694875
2,160,22890,17346,1595694861
1,10,5480,282,1595694879
2,20,7533,2405,1595694878
0,1000000,5516,701,1595694880
2,10,6458,1438,1595694880
2,10,6738,1851,1595694881
2,320,38136,33428,1595694850
1,1,5347,31,1595694883
0,4000000,9679,4579,1595694879
0,8500000,18048,13223,1595694871
2,10,6497,1496,1595694886
0,1000000,5605,627,1595694888
0,7000000,14481,9689,1595694880
0,7000000,14249,9344,1595694881
2,320,38943,34046,1595694857
2,10,6671,1511,1595694890
2,320,36872,31553,1595694860
