workloadID, workload argument, tFC, tVM, start time
0,2500000,4738,1011,1600255124
0,8500000,9602,5658,1600255123
0,1000000,4099,283,1600255130
0,5500000,6821,3062,1600255129
0,4000000,5701,1955,1600255132
0,4000000,5717,1955,1600255132
0,7000000,8104,4323,1600255131
0,5500000,6893,3060,1600255133
0,7000000,8168,4300,1600255133
0,4000000,5755,1955,1600255136
0,1000000,4187,283,1600255140
0,8500000,9411,5658,1600255136
0,2500000,4796,1011,1600255141
0,2500000,4901,1011,1600255141
0,8500000,9388,5656,1600255140
0,5500000,6833,3060,1600255144
0,7000000,8031,4299,1600255144
0,8500000,9496,5655,1600255143
0,8500000,9498,5692,1600255145
0,5500000,6866,3062,1600255157
0,5500000,6856,3061,1600255157
0,5500000,6842,3062,1600255158
0,1000000,4046,282,1600255162
0,5500000,6902,3062,1600255159
0,7000000,8107,4302,1600255158
0,4000000,5769,1955,1600255161
0,5500000,6833,3061,1600255161
0,2500000,4925,1013,1600255164
0,2500000,4764,1011,1600255169
0,2500000,4751,1011,1600255169
0,2500000,4885,1080,1600255169
0,7000000,8044,4303,1600255167
0,5500000,6877,3062,1600255169
0,1000000,3972,282,1600255172
0,8500000,9472,5657,1600255167
0,2500000,4738,1011,1600255174
0,1000000,4152,283,1600255175
0,4000000,5769,1954,1600255175
0,8500000,9481,5663,1600255171
0,8500000,9387,5658,1600255172
0,8500000,9526,5658,1600255173
0,4000000,5759,1954,1600255179
0,5500000,6841,3061,1600255179
0,2500000,4811,1012,1600255183
0,7000000,8016,4301,1600255183
0,8500000,9432,5699,1600255186
0,4000000,5781,1954,1600255192
0,2500000,4737,1011,1600255193
0,1000000,4021,283,1600255198
0,5500000,6862,3062,1600255197
0,1000000,4056,283,1600255203
0,5500000,6787,3062,1600255201
0,5500000,6912,3060,1600255202
0,4000000,5716,1955,1600255204
0,4000000,5816,1955,1600255205
0,4000000,5780,1954,1600255208
0,8500000,9402,5658,1600255206
0,4000000,5703,1956,1600255212
0,5500000,6860,3062,1600255215
0,5500000,6914,3106,1600255216
0,5500000,6912,3124,1600255217
0,5500000,6872,3060,1600255217
0,5500000,6876,3060,1600255218
0,5500000,6815,3060,1600255219
0,2500000,4791,1013,1600255222
0,7000000,8043,4299,1600255224
0,8500000,9366,5657,1600255223
0,1000000,4079,283,1600255229
0,7000000,8075,4300,1600255226
0,8500000,9473,5730,1600255225
0,1000000,4002,283,1600255231
0,1000000,4101,282,1600255233
0,5500000,6916,3061,1600255230
0,2500000,4963,1011,1600255233
0,8500000,9419,5657,1600255229
0,7000000,8116,4300,1600255236
0,2500000,4798,1012,1600255242
0,7000000,8101,4301,1600255239
0,2500000,4844,1012,1600255244
0,1000000,3967,283,1600255246
0,5500000,6930,3062,1600255244
0,1000000,4010,283,1600255247
0,5500000,6813,3061,1600255245
0,4000000,5719,1955,1600255246
0,7000000,8085,4301,1600255244
0,8500000,9459,5734,1600255243
0,8500000,9458,5659,1600255246
0,1000000,4099,283,1600255252
0,4000000,5751,1955,1600255254
0,5500000,6890,3124,1600255253
0,2500000,4736,1011,1600255256
0,8500000,9418,5657,1600255253
0,7000000,8048,4301,1600255257
0,4000000,5686,1955,1600255261
0,5500000,6819,3073,1600255263
0,4000000,5731,1954,1600255265
0,2500000,4768,1012,1600255267
0,4000000,5705,1955,1600255268
0,7000000,8077,4300,1600255269
0,2500000,4789,1011,1600255273
0,8500000,9398,5655,1600255271
0,8500000,9468,5656,1600255271
0,5500000,6931,3060,1600255276
0,1000000,4044,283,1600255280
0,4000000,5702,1956,1600255281
0,2500000,4827,1013,1600255284
0,5500000,6930,3062,1600255282
0,2500000,4810,1011,1600255285
0,2500000,4889,1021,1600255286
0,2500000,4758,1011,1600255287
0,7000000,8039,4300,1600255285
0,5500000,6889,3061,1600255291
0,7000000,8210,4388,1600255293
0,7000000,8107,4299,1600255294
0,8500000,9378,5655,1600255292
0,2500000,4778,1011,1600255297
0,8500000,9414,5657,1600255297
0,4000000,5719,1955,1600255302
0,4000000,5727,1956,1600255304
0,5500000,6824,3069,1600255303
0,5500000,6800,3062,1600255305
0,2500000,4916,1011,1600255307
0,5500000,6857,3061,1600255306
0,5500000,6915,3063,1600255307
0,4000000,5726,1955,1600255309
0,4000000,5804,1954,1600255310
0,5500000,6834,3062,1600255311
0,2500000,4754,1011,1600255314
0,1000000,4043,282,1600255316
0,2500000,4830,1011,1600255315
0,4000000,5773,1955,1600255318
0,2500000,4915,1012,1600255323
0,1000000,4121,283,1600255325
0,2500000,4927,1012,1600255326
0,4000000,5798,1955,1600255328
0,8500000,9485,5658,1600255326
0,8500000,9404,5658,1600255327
0,4000000,5691,1956,1600255331
