---------------------------------------------------
CPU's online: 0-15	 CPU's offline: 
---------------------------------------------------
Disabling HyperThreading
CPU: 0	-> enable
CPU: 1	-> enable
CPU: 10	-> disabled
CPU: 11	-> disabled
CPU: 12	-> disabled
CPU: 13	-> disabled
CPU: 14	-> disabled
CPU: 15	-> disabled
CPU: 2	-> enable
CPU: 3	-> enable
CPU: 4	-> enable
CPU: 5	-> enable
CPU: 6	-> enable
CPU: 7	-> enable
CPU: 8	-> disabled
CPU: 9	-> disabled
Setting cpu: 0
Setting cpu: 1
Setting cpu: 2
Setting cpu: 3
Setting cpu: 4
Setting cpu: 5
Setting cpu: 6
Setting cpu: 7
1
4194303
workloadID, workload argument, run, tFC, tVM
0,1000000,0,4192,285
0,1000000,1,4159,283
0,1000000,2,4163,283
0,1000000,3,4101,283
0,1000000,4,4097,283
0,1000000,5,4016,283
0,1000000,6,4081,283
0,1000000,7,4010,283
0,1000000,8,4184,283
0,1000000,9,4115,283
0,2500000,0,4843,1011
0,2500000,1,4759,1011
0,2500000,2,4819,1011
0,2500000,3,4734,1011
0,2500000,4,4747,1010
0,2500000,5,4747,1012
0,2500000,6,4838,1011
0,2500000,7,4864,1011
0,2500000,8,4949,1011
0,2500000,9,4745,1011
0,4000000,0,5689,1954
0,4000000,1,5700,1955
0,4000000,2,5722,1954
0,4000000,3,5741,1955
0,4000000,4,5795,1954
0,4000000,5,5672,1954
0,4000000,6,5719,1954
0,4000000,7,5731,1955
0,4000000,8,5723,1955
0,4000000,9,5738,1955
0,5500000,0,6933,3059
0,5500000,1,6957,3060
0,5500000,2,6877,3060
0,5500000,3,6866,3060
0,5500000,4,6934,3060
0,5500000,5,6782,3059
0,5500000,6,6848,3060
0,5500000,7,6864,3060
0,5500000,8,6925,3060
0,5500000,9,6794,3059
0,7000000,0,8088,4299
0,7000000,1,8102,4299
0,7000000,2,8127,4299
0,7000000,3,8068,4298
0,7000000,4,8140,4299
0,7000000,5,8207,4299
0,7000000,6,8095,4299
0,7000000,7,8176,4361
0,7000000,8,8124,4298
0,7000000,9,8114,4297
0,8500000,0,9477,5672
0,8500000,1,9479,5654
0,8500000,2,9376,5653
0,8500000,3,9485,5673
0,8500000,4,9457,5654
0,8500000,5,9477,5654
0,8500000,6,9517,5698
0,8500000,7,9501,5692
0,8500000,8,9425,5654
0,8500000,9,9473,5653
1,4096,0,37368,33598
1,4096,1,37538,33667
1,4096,2,37599,33785
1,4096,3,37644,33820
1,4096,4,37573,33696
1,4096,5,37615,33783
1,4096,6,37835,33960
1,4096,7,37404,33574
1,4096,8,37865,34080
1,4096,9,37549,33679
1,2048,0,20777,16963
1,2048,1,20862,17079
1,2048,2,20611,16764
1,2048,3,20971,17110
1,2048,4,20794,16810
1,2048,5,20607,16804
1,2048,6,20699,16882
1,2048,7,20651,16819
1,2048,8,20723,16837
1,2048,9,20650,16862
1,1024,0,12343,8455
1,1024,1,12243,8470
1,1024,2,12343,8471
1,1024,3,12247,8480
1,1024,4,12406,8466
1,1024,5,12330,8483
1,1024,6,12255,8440
1,1024,7,12238,8420
1,1024,8,12232,8425
1,1024,9,12351,8517
1,512,0,8072,4255
1,512,1,8143,4243
1,512,2,8077,4260
1,512,3,8163,4329
1,512,4,8039,4245
1,512,5,8184,4267
1,512,6,8037,4255
1,512,7,8215,4273
1,512,8,8119,4279
1,512,9,8087,4276
1,256,0,6112,2178
1,256,1,6011,2168
1,256,2,6102,2181
1,256,3,5974,2173
1,256,4,5992,2183
