workloadID, workload argument, tFC, tVM, start time
1,10,3961,90,1600796698
1,10,3874,91,1600796699
1,2048,8239,0,1600796697
1,10,3991,90,1600796701
1,1024,8038,0,1600796697
1,1024,8003,0,1600796699
1,128,5026,1178,1600796702
1,1,3756,13,1600796706
1,1024,8046,0,1600796704
1,1,3743,12,1600796708
1,1024,8068,0,1600796707
1,1,3859,13,1600796714
1,512,8061,0,1600796711
1,2048,8071,0,1600796711
1,2048,8167,0,1600796712
1,128,5130,1196,1600796716
1,4096,8124,0,1600796713
1,1,3969,12,1600796718
1,10,3842,91,1600796718
1,1,3772,12,1600796719
1,128,5009,1183,1600796718
1,2048,8287,0,1600796715
1,1,3819,12,1600796722
1,512,7994,0,1600796719
1,128,4991,1181,1600796726
1,1024,8017,0,1600796725
1,10,3895,91,1600796729
1,128,5150,1234,1600796728
1,1,3754,13,1600796731
1,10,3929,92,1600796732
1,128,5046,1188,1600796731
1,10,3891,91,1600796734
1,2048,8114,0,1600796730
1,4096,8168,0,1600796731
1,128,5003,1188,1600796736
1,512,8018,0,1600796734
1,512,8143,0,1600796734
1,10,4000,90,1600796739
1,10,3871,92,1600796740
1,1024,8086,0,1600796737
1,1,3810,13,1600796742
1,2048,8106,0,1600796740
1,2048,8002,0,1600796741
1,512,8075,0,1600796741
1,512,8073,0,1600796745
1,512,8067,0,1600796745
1,512,8022,0,1600796747
1,10,3822,90,1600796752
1,4096,8043,0,1600796750
1,4096,8067,0,1600796753
1,128,5162,1287,1600796757
1,2048,8221,0,1600796754
1,256,6244,2337,1600796756
1,1024,8159,0,1600796756
1,1024,8347,0,1600796755
1,10,4052,91,1600796760
1,512,8319,0,1600796758
1,128,4998,1187,1600796763
1,512,8036,0,1600796760
1,1024,8022,0,1600796763
1,512,8037,0,1600796764
1,1024,8117,0,1600796767
1,128,5064,1180,1600796770
1,256,6081,2229,1600796772
1,2048,8063,0,1600796772
1,1024,7977,0,1600796775
1,10,3965,90,1600796780
1,1,3830,12,1600796780
1,128,5012,1184,1600796784
1,2048,8130,0,1600796782
1,1024,8129,0,1600796784
1,2048,8137,0,1600796785
1,1024,8220,0,1600796785
1,4096,8149,0,1600796790
1,512,7987,0,1600796791
1,10,3907,90,1600796795
1,256,6125,2242,1600796793
1,1,3906,12,1600796798
1,2048,8019,0,1600796796
1,2048,8080,0,1600796798
1,4096,8126,0,1600796800
1,4096,8113,0,1600796800
1,2048,8183,0,1600796801
1,2048,8150,0,1600796802
1,2048,8076,0,1600796804
1,512,8025,0,1600796805
1,10,3974,91,1600796809
1,128,5105,1174,1600796809
1,256,6002,2227,1600796815
1,4096,8138,0,1600796814
1,1,3741,12,1600796820
1,4096,8109,0,1600796820
1,512,7997,0,1600796822
1,4096,7993,0,1600796825
1,128,5068,1178,1600796832
1,1,3822,12,1600796834
1,512,7989,0,1600796831
1,10,3894,92,1600796841
1,512,8034,0,1600796838
1,4096,8116,0,1600796838
1,2048,8100,0,1600796840
1,512,8191,0,1600796841
1,512,7978,0,1600796841
1,1,3763,12,1600796846
1,512,8034,0,1600796847
1,10,3919,91,1600796853
1,10,3890,90,1600796853
1,128,5047,1183,1600796854
1,128,5004,1194,1600796857
1,128,5000,1182,1600796857
1,256,6212,2240,1600796857
1,4096,8151,0,1600796863
1,256,6221,2238,1600796865
1,4096,8073,0,1600796867
1,512,7997,0,1600796867
1,256,6078,2245,1600796869
1,2048,7952,0,1600796874
1,256,6155,2230,1600796876
1,256,6046,2236,1600796877
1,1,3803,13,1600796882
1,1,3812,12,1600796883
1,256,6219,2308,1600796881
1,2048,8104,0,1600796880
1,128,4974,1185,1600796884
1,128,4989,1184,1600796885
1,256,6076,2233,1600796884
1,128,5096,1185,1600796888
1,1024,7973,0,1600796886
1,2048,7958,0,1600796888
1,4096,8160,0,1600796893
1,512,7974,0,1600796895
1,10,3891,90,1600796900
1,2048,8044,0,1600796900
1,4096,7982,0,1600796901
1,1,3905,12,1600796906
1,256,6124,2231,1600796904
1,128,4984,1184,1600796907
1,10,3921,91,1600796911
1,1024,8005,0,1600796907
1,512,7999,0,1600796908
1,128,4981,1179,1600796912
1,512,8074,0,1600796910
1,1,3856,12,1600796915
1,128,5045,1245,1600796921
1,4096,8112,0,1600796919
1,2048,8017,0,1600796920
1,2048,8110,0,1600796924
1,4096,7994,0,1600796925
1,1,3773,12,1600796929
1,128,4995,1197,1600796928
1,10,3863,91,1600796931
1,10,3896,91,1600796932
1,4096,8103,0,1600796928
1,1024,8108,0,1600796929
1,4096,7985,0,1600796930
1,10,3871,91,1600796935
1,128,5056,1181,1600796935
1,256,6031,2231,1600796935
1,256,6119,2210,1600796937
1,256,6083,2224,1600796939
1,1,3818,13,1600796945
1,4096,8072,0,1600796943
1,1024,8005,0,1600796943
1,4096,8197,0,1600796943
1,256,6071,2265,1600796946
1,10,3960,91,1600796949
1,512,8090,0,1600796946
1,10,3903,90,1600796950
1,4096,8019,0,1600796949
1,10,3827,90,1600796957
1,1,3909,12,1600796958
1,1,3782,12,1600796960
1,128,5054,1191,1600796959
1,1024,8160,0,1600796958
1,256,6373,2296,1600796960
