workloadID, workload argument, run, tFC, tVM
0,1000000,0,4185,286
0,1000000,1,4022,283
0,1000000,2,4118,283
0,1000000,3,4143,283
0,1000000,4,4119,282
0,1000000,5,4134,283
0,1000000,6,4104,283
0,1000000,7,4106,283
0,1000000,8,4087,283
0,1000000,9,4020,283
0,2500000,0,4818,1011
0,2500000,1,4753,1011
0,2500000,2,4827,1011
0,2500000,3,4859,1011
0,2500000,4,4811,1011
0,2500000,5,4812,1011
0,2500000,6,4820,1011
0,2500000,7,4747,1011
0,2500000,8,4741,1011
0,2500000,9,4784,1011
0,4000000,0,5718,1954
0,4000000,1,5735,1954
0,4000000,2,5799,1954
0,4000000,3,5690,1955
0,4000000,4,5716,1954
0,4000000,5,5731,1955
0,4000000,6,5719,1955
0,4000000,7,5807,1954
0,4000000,8,5761,1955
0,4000000,9,5738,1954
0,5500000,0,6831,3060
0,5500000,1,6856,3060
0,5500000,2,6860,3060
0,5500000,3,6983,3110
0,5500000,4,6842,3060
0,5500000,5,6858,3060
0,5500000,6,6934,3060
0,5500000,7,6886,3061
0,5500000,8,6853,3060
0,5500000,9,6865,3060
0,7000000,0,8080,4299
0,7000000,1,8110,4299
0,7000000,2,8178,4299
0,7000000,3,8042,4299
0,7000000,4,8100,4299
0,7000000,5,8100,4299
0,7000000,6,8103,4298
0,7000000,7,8148,4298
0,7000000,8,8076,4298
0,7000000,9,8000,4298
0,8500000,0,9437,5655
0,8500000,1,9459,5654
0,8500000,2,9396,5679
0,8500000,3,9488,5655
0,8500000,4,9438,5654
0,8500000,5,9472,5654
0,8500000,6,9385,5655
0,8500000,7,9427,5654
0,8500000,8,9397,5655
0,8500000,9,9459,5654
1,4096,0,37686,33919
1,4096,1,37683,33744
1,4096,2,37691,33840
1,4096,3,37721,33946
1,4096,4,37870,34097
1,4096,5,37852,33967
1,4096,6,37386,33610
1,4096,7,37733,33842
1,4096,8,37547,33693
1,4096,9,37824,34023
1,2048,0,20715,16877
1,2048,1,20867,17060
1,2048,2,20674,16881
1,2048,3,20687,16835
1,2048,4,20633,16855
1,2048,5,20657,16790
1,2048,6,20732,16905
1,2048,7,20836,16934
1,2048,8,20724,16876
1,2048,9,20640,16799
1,1024,0,12367,8458
1,1024,1,12383,8477
1,1024,2,12367,8492
1,1024,3,12319,8455
1,1024,4,12335,8474
1,1024,5,12254,8462
1,1024,6,12196,8426
1,1024,7,12290,8467
1,1024,8,12181,8411
1,1024,9,12283,8427
1,512,0,8113,4266
1,512,1,8148,4279
1,512,2,8104,4281
1,512,3,8097,4267
1,512,4,8097,4260
1,512,5,8176,4326
1,512,6,8107,4286
1,512,7,8131,4284
1,512,8,8105,4257
1,512,9,8154,4304
1,256,0,6147,2323
1,256,1,6067,2175
1,256,2,5994,2188
1,256,3,6088,2220
1,256,4,6098,2170
1,256,5,5980,2174
1,256,6,5994,2183
1,256,7,6094,2178
1,256,8,5991,2168
1,256,9,6108,2194
1,128,0,4942,1132
1,128,1,4971,1136
1,128,2,4957,1129
1,128,3,4976,1130
1,128,4,4982,1142
1,128,5,4970,1129
1,128,6,5008,1137
1,128,7,4985,1136
1,128,8,4967,1144
1,128,9,4997,1139
1,10,0,3890,89
1,10,1,3967,90
1,10,2,3867,89
1,10,3,3864,89
1,10,4,3855,89
1,10,5,4010,89
1,10,6,3827,90
1,10,7,3848,91
1,10,8,3851,89
1,10,9,3847,89
1,1,0,3854,12
1,1,1,3804,12
1,1,2,3822,12
1,1,3,3827,12
1,1,4,3766,12
1,1,5,3733,12
1,1,6,3735,12
1,1,7,3829,12
1,1,8,3752,12
1,1,9,3836,12
2,10,0,4373,599
2,10,1,4450,506
2,10,2,4295,509
2,10,3,4318,495
2,10,4,4276,505
2,10,5,4316,497
2,10,6,4352,498
2,10,7,4354,495
2,10,8,4428,509
2,10,9,4316,508
2,20,0,4682,841
2,20,1,4600,820
2,20,2,4622,833
2,20,3,4649,812
2,20,4,4638,817
2,20,5,4644,836
2,20,6,4613,832
2,20,7,4611,829
2,20,8,4699,838
2,20,9,4699,837
2,40,0,5284,1472
2,40,1,5235,1471
2,40,2,5232,1463
2,40,3,5400,1475
2,40,4,5292,1471
2,40,5,5339,1466
2,40,6,5235,1449
2,40,7,5324,1468
2,40,8,5287,1474
2,40,9,5300,1449
2,80,0,6657,2757
2,80,1,6486,2726
2,80,2,6606,2726
2,80,3,6599,2741
2,80,4,6519,2748
2,80,5,6573,2749
2,80,6,6632,2732
2,80,7,6577,2754
2,80,8,6661,2735
2,80,9,6652,2731
2,160,0,9188,5304
2,160,1,9100,5292
2,160,2,9173,5299
2,160,3,9125,5270
2,160,4,9137,5305
2,160,5,9166,5274
2,160,6,9084,5310
2,160,7,9043,5290
2,160,8,9130,5288
2,160,9,9176,5311
2,320,0,14252,10399
2,320,1,14255,10427
2,320,2,14204,10410
2,320,3,14199,10368
2,320,4,14290,10392
2,320,5,14207,10415
2,320,6,14249,10390
2,320,7,14357,10440
2,320,8,14204,10386
2,320,9,14237,10412
