workloadID, workload argument, tFC, tVM, start time
2,10,4323,542,1600940141
2,20,4737,915,1600940141
1,512,8334,4373,1600940140
0,4000000,5898,1965,1600940143
0,1000000,4307,289,1600940147
2,40,6400,2359,1600940146
2,40,6371,2370,1600940146
0,2500000,5025,1035,1600940148
2,40,6307,2278,1600940146
2,10,5168,601,1600940148
0,7000000,8454,4432,1600940146
0,8500000,9738,5835,1600940146
0,7000000,8453,4436,1600940148
2,10,4751,687,1600940154
0,4000000,5909,1989,1600940154
2,10,5061,866,1600940155
2,320,17131,13315,1600940145
1,512,9000,5005,1600940153
1,10,4162,97,1600940160
1,10,4337,111,1600940160
1,512,9306,5075,1600940157
2,160,12429,8324,1600940155
2,320,18256,14370,1600940151
0,8500000,11318,7183,1600940158
0,2500000,5694,1336,1600940164
0,7000000,10494,6275,1600940159
1,1,4677,31,1600940165
0,5500000,8943,4604,1600940161
2,80,9635,4538,1600940161
0,8500000,11162,7318,1600940160
0,4000000,6547,2022,1600940165
0,7000000,9855,5200,1600940163
2,80,8169,3301,1600940166
2,160,11654,6275,1600940164
1,2048,24604,20732,1600940151
0,4000000,5921,2039,1600940171
1,2048,24636,20743,1600940156
0,5500000,7011,3088,1600940176
1,256,6209,2284,1600940177
1,1,3993,13,1600940180
0,7000000,8333,4351,1600940176
1,10,4100,94,1600940180
0,1000000,4196,285,1600940180
2,320,14649,10773,1600940171
0,4000000,5873,1991,1600940181
0,4000000,5841,1997,1600940181
1,128,5326,1449,1600940182
1,10,4036,95,1600940184
0,4000000,6192,2087,1600940183
0,2500000,6319,1407,1600940186
1,512,9749,5738,1600940182
2,40,9044,4356,1600940185
2,40,9412,4588,1600940185
2,20,7382,2557,1600940187
2,40,9195,4127,1600940187
2,10,6336,1287,1600940191
1,1,4771,42,1600940193
0,1000000,5240,346,1600940193
2,160,15748,11798,1600940183
0,8500000,14000,8929,1600940186
0,4000000,8712,3931,1600940192
0,1000000,5372,402,1600940195
1,1024,18858,14714,1600940182
2,80,13384,8413,1600940187
0,8500000,16394,11611,1600940185
2,20,7612,2131,1600940194
0,5500000,10924,6245,1600940191
0,5500000,11340,6090,1600940192
1,10,4985,249,1600940200
2,40,9756,4559,1600940197
0,4000000,9527,4412,1600940198
2,10,7188,1913,1600940201
0,1000000,6094,640,1600940203
1,10,5816,232,1600940204
0,4000000,10368,5090,1600940200
2,320,30379,26245,1600940181
0,7000000,14736,9706,1600940197
2,40,11753,6524,1600940201
2,160,22371,17382,1600940190
1,512,15873,11035,1600940198
0,1000000,5776,582,1600940209
1,256,10234,4728,1600940205
0,8500000,19718,14661,1600940197
2,80,14120,8627,1600940203
2,160,21620,16563,1600940195
0,8500000,17384,12326,1600940199
2,160,22117,17088,1600940196
2,320,34852,30695,1600940184
0,2500000,7584,2561,1600940212
1,128,8039,2916,1600940213
1,4096,60120,55633,1600940161
2,160,22342,17137,1600940200
0,2500000,7094,2371,1600940215
1,10,5574,286,1600940217
1,128,7906,2830,1600940215
0,8500000,18412,13134,1600940205
0,2500000,7381,2279,1600940217
1,512,16060,10609,1600940211
0,1000000,5579,349,1600940222
2,20,8078,3044,1600940220
0,8500000,19008,13957,1600940211
1,512,16833,11459,1600940213
1,512,16396,11284,1600940215
0,2500000,8240,2716,1600940223
0,4000000,11587,6315,1600940220
2,40,11522,5852,1600940221
2,40,11495,6202,1600940221
0,5500000,13248,8092,1600940220
0,4000000,10645,4901,1600940223
0,5500000,13594,7983,1600940222
2,10,7800,1838,1600940229
2,20,8596,3409,1600940229
2,160,24100,18858,1600940214
2,10,7764,2015,1600940230
2,160,25135,19727,1600940213
0,4000000,10355,5199,1600940228
1,128,9040,3304,1600940231
2,10,7264,1491,1600940234
2,40,11506,5954,1600940230
1,256,11749,6043,1600940231
1,128,9038,3345,1600940234
0,8500000,20112,14234,1600940224
0,4000000,9624,4628,1600940235
0,1000000,5840,757,1600940239
2,10,7051,1780,1600940238
0,4000000,10172,4821,1600940236
0,2500000,7485,2412,1600940239
2,40,9801,4747,1600940238
2,160,24280,18672,1600940225
1,10,6404,336,1600940243
2,20,8012,2691,1600940242
2,10,6551,1257,1600940244
0,1000000,6268,827,1600940244
2,10,7072,1630,1600940245
1,1,5488,47,1600940247
0,4000000,10609,5312,1600940243
0,8500000,19501,14155,1600940235
2,320,40844,35987,1600940214
2,10,6623,1389,1600940249
0,1000000,5972,622,1600940251
0,7000000,15256,9832,1600940243
0,7000000,14809,9483,1600940245
1,2048,47671,42748,1600940212
2,320,40259,35289,1600940220
2,10,6758,1569,1600940254
1,512,14265,8820,1600940249
2,320,39197,33698,1600940224
2,160,20178,14373,1600940246
2,80,13944,8323,1600940254
1,256,10954,5062,1600940260
1,1024,24544,19636,1600940247
0,7000000,14751,9570,1600940258
1,1,5654,47,1600940267
1,1024,27537,22446,1600940246
1,128,8682,3494,1600940265
0,1000000,5780,614,1600940270
0,4000000,10269,5235,1600940266
1,512,16029,11157,1600940261
