---------------------------------------------------
CPU's online: 0-15	 CPU's offline: 
---------------------------------------------------
Disabling HyperThreading
CPU: 0	-> enable
CPU: 1	-> enable
CPU: 10	-> disabled
CPU: 11	-> disabled
CPU: 12	-> disabled
CPU: 13	-> disabled
CPU: 14	-> disabled
CPU: 15	-> disabled
CPU: 2	-> enable
CPU: 3	-> enable
CPU: 4	-> enable
CPU: 5	-> enable
CPU: 6	-> enable
CPU: 7	-> enable
CPU: 8	-> disabled
CPU: 9	-> disabled
Setting cpu: 0
Setting cpu: 1
Setting cpu: 2
Setting cpu: 3
Setting cpu: 4
Setting cpu: 5
Setting cpu: 6
Setting cpu: 7
1
4194303
workloadID, workload argument, run, tFC, tVM
0,1000000,0,4183,291
0,1000000,1,4112,283
0,1000000,2,4147,282
0,1000000,3,4130,282
0,1000000,4,4159,282
0,1000000,5,4109,282
0,1000000,6,4107,283
0,1000000,7,4114,283
0,1000000,8,4190,283
0,1000000,9,4102,282
0,2500000,0,4745,1012
0,2500000,1,4860,1011
0,2500000,2,4947,1011
0,2500000,3,4765,1012
0,2500000,4,4942,1011
0,2500000,5,4776,1012
0,2500000,6,4838,1011
0,2500000,7,4844,1011
0,2500000,8,4730,1011
0,2500000,9,4853,1011
0,4000000,0,5757,1954
0,4000000,1,5775,1955
0,4000000,2,5739,1955
0,4000000,3,5804,1954
0,4000000,4,5865,1955
0,4000000,5,5752,1954
0,4000000,6,5750,1955
0,4000000,7,5728,1954
0,4000000,8,5797,2030
0,4000000,9,5783,1955
0,5500000,0,6910,3059
0,5500000,1,6897,3060
0,5500000,2,6868,3060
0,5500000,3,6894,3098
0,5500000,4,6818,3060
0,5500000,5,6843,3060
0,5500000,6,6851,3060
0,5500000,7,6952,3060
0,5500000,8,6940,3059
0,5500000,9,6881,3061
0,7000000,0,8130,4300
0,7000000,1,8098,4299
0,7000000,2,8116,4299
0,7000000,3,8104,4299
0,7000000,4,8124,4299
0,7000000,5,8087,4299
0,7000000,6,8202,4299
0,7000000,7,8125,4299
0,7000000,8,8136,4299
0,7000000,9,8069,4300
0,8500000,0,9583,5654
0,8500000,1,9465,5653
0,8500000,2,9377,5654
0,8500000,3,9556,5655
0,8500000,4,9524,5655
0,8500000,5,9480,5655
0,8500000,6,9487,5656
0,8500000,7,9471,5655
0,8500000,8,9484,5655
0,8500000,9,9583,5655
1,4096,0,37858,33972
1,4096,1,37777,33882
1,4096,2,37723,33760
1,4096,3,37664,33786
1,4096,4,37608,33718
1,4096,5,37676,33745
1,4096,6,37644,33805
1,4096,7,37916,33917
1,4096,8,37572,33720
1,4096,9,37764,33756
1,2048,0,20667,16823
1,2048,1,20651,16837
1,2048,2,20715,16777
1,2048,3,20823,16866
1,2048,4,20803,16917
1,2048,5,20706,16848
1,2048,6,20831,16934
1,2048,7,20654,16790
1,2048,8,20678,16841
1,2048,9,20669,16810
1,1024,0,12389,8449
1,1024,1,12264,8474
1,1024,2,12502,8537
1,1024,3,12409,8459
1,1024,4,12290,8420
1,1024,5,12368,8492
1,1024,6,12319,8457
1,1024,7,12435,8453
1,1024,8,12365,8545
1,1024,9,12377,8542
1,512,0,8248,4310
1,512,1,8223,4262
1,512,2,8107,4325
1,512,3,8178,4266
1,512,4,8100,4271
1,512,5,8152,4246
1,512,6,8123,4267
1,512,7,8225,4254
1,512,8,8194,4310
1,512,9,8043,4247
1,256,0,6131,2190
1,256,1,6026,2191
1,256,2,6093,2193
1,256,3,5960,2168
1,256,4,6059,2190
1,256,5,6065,2200
1,256,6,6046,2184
1,256,7,6232,2318
1,256,8,6127,2188
1,256,9,6011,2181
1,128,0,5088,1141
1,128,1,4952,1142
1,128,2,4987,1155
1,128,3,5036,1138
1,128,4,5022,1142
1,128,5,5099,1144
