workloadID, workload argument, tFC, tVM, start time
1,512,3877,0,1603095206
1,512,3877,0,1603095207
1,1,3642,34,1603095207
1,256,3880,0,1603095208
1,512,3883,0,1603095209
1,10,3854,246,1603095210
1,128,3885,0,1603095211
1,256,3878,0,1603095212
1,2048,3882,0,1603095212
1,128,3882,0,1603095214
1,10,3884,275,1603095215
1,4096,3916,0,1603095215
1,10,3847,246,1603095215
1,1024,3896,0,1603095215
1,1024,3888,0,1603095216
1,2048,3881,0,1603095216
1,1,3628,34,1603095219
1,512,3878,0,1603095220
1,4096,3884,0,1603095221
1,4096,3873,0,1603095222
1,2048,3916,0,1603095222
1,4096,3916,0,1603095222
1,1,3631,37,1603095224
1,4096,3911,0,1603095224
1,256,3873,0,1603095224
1,10,3845,244,1603095225
1,2048,3879,0,1603095227
1,4096,3882,0,1603095228
1,10,3845,246,1603095230
1,1,3628,34,1603095231
1,2048,3920,0,1603095232
1,512,3944,0,1603095232
1,2048,3936,0,1603095232
1,1024,3880,0,1603095232
1,512,3882,0,1603095233
1,10,3866,264,1603095233
1,4096,3907,0,1603095233
1,128,3887,0,1603095233
1,512,3879,0,1603095234
1,1,3635,34,1603095237
1,4096,3875,0,1603095238
1,1024,3877,0,1603095239
1,4096,3880,0,1603095239
1,2048,3884,0,1603095239
1,1,3630,35,1603095240
1,10,3870,270,1603095240
1,256,3909,0,1603095240
1,128,3909,0,1603095241
1,1024,3902,0,1603095241
1,10,3848,243,1603095241
1,256,3869,0,1603095241
1,4096,3883,0,1603095242
1,128,3895,0,1603095243
1,512,3896,0,1603095243
1,256,3887,0,1603095243
1,128,3895,0,1603095244
1,1024,3892,0,1603095244
1,512,3874,0,1603095246
1,1,3629,34,1603095248
1,128,3901,0,1603095248
1,4096,3893,0,1603095248
1,1024,3880,0,1603095250
1,10,3843,243,1603095251
1,10,3851,245,1603095252
1,2048,3898,0,1603095252
1,2048,3895,0,1603095252
1,2048,3891,0,1603095252
1,2048,3883,0,1603095253
1,2048,3880,0,1603095253
1,1,3638,34,1603095255
1,10,3881,278,1603095256
1,512,3923,0,1603095256
1,512,3880,0,1603095256
1,4096,3873,0,1603095256
1,1024,3883,0,1603095256
1,1,3627,34,1603095257
1,2048,3877,0,1603095258
1,4096,3881,0,1603095259
1,1,3632,34,1603095260
1,2048,3870,0,1603095260
1,4096,3874,0,1603095260
1,4096,3878,0,1603095261
1,1,3626,34,1603095261
1,2048,3873,0,1603095262
1,1,3631,33,1603095263
1,10,3847,247,1603095263
1,512,3876,0,1603095264
1,4096,3876,0,1603095265
1,2048,4091,0,1603095265
1,2048,4085,0,1603095265
1,1024,4103,0,1603095265
1,256,4117,0,1603095265
1,1,3631,34,1603095267
1,4096,3876,0,1603095268
1,4096,3883,0,1603095270
1,128,3936,0,1603095271
1,512,3949,0,1603095271
1,4096,3925,0,1603095271
1,2048,3878,0,1603095272
1,2048,3872,0,1603095273
1,2048,3884,0,1603095273
1,128,3903,0,1603095273
1,256,3899,0,1603095274
1,1024,3882,0,1603095274
1,1,3637,34,1603095275
1,10,3846,248,1603095275
1,10,3842,248,1603095275
1,4096,3894,0,1603095277
1,128,3905,0,1603095278
1,2048,3905,0,1603095278
1,128,3867,0,1603095279
1,4096,3884,0,1603095281
1,256,3875,0,1603095281
1,128,3879,0,1603095282
1,4096,3877,0,1603095283
1,512,3872,0,1603095284
1,512,3895,0,1603095285
1,4096,3878,0,1603095286
1,128,3892,0,1603095287
1,128,3898,0,1603095287
1,1,3626,33,1603095287
1,2048,3874,0,1603095289
1,1,3624,33,1603095290
1,512,3877,0,1603095290
1,128,3888,0,1603095291
1,4096,3870,0,1603095292
1,4096,3886,0,1603095294
1,2048,3890,0,1603095294
1,10,3848,243,1603095294
1,2048,3884,0,1603095295
1,512,3894,0,1603095296
1,512,3894,0,1603095296
1,256,3880,0,1603095296
