workloadID, workload argument, run, tFC, tVM
0,1000000,0,4055,451
0,1000000,1,4047,451
0,1000000,2,4054,451
0,1000000,3,4046,451
0,1000000,4,4056,451
0,1000000,5,4053,451
0,1000000,6,4075,451
0,1000000,7,4053,451
0,1000000,8,4050,451
0,1000000,9,4051,451
0,2500000,0,5271,1665
0,2500000,1,5270,1665
0,2500000,2,5270,1666
0,2500000,3,5267,1667
0,2500000,4,5269,1666
0,2500000,5,5274,1665
0,2500000,6,5267,1665
0,2500000,7,5266,1667
0,2500000,8,5258,1667
0,2500000,9,5268,1666
0,4000000,0,6849,3255
0,4000000,1,6858,3255
0,4000000,2,6862,3255
0,4000000,3,6851,3256
0,4000000,4,6853,3256
0,4000000,5,6858,3256
0,4000000,6,6858,3256
0,4000000,7,6858,3256
0,4000000,8,6858,3257
0,4000000,9,6858,3256
0,5500000,0,8762,5159
0,5500000,1,8762,5157
0,5500000,2,8750,5160
0,5500000,3,8754,5158
0,5500000,4,8762,5157
0,5500000,5,8767,5158
0,5500000,6,8766,5158
0,5500000,7,8761,5157
0,5500000,8,8763,5157
0,5500000,9,8757,5157
0,7000000,0,10895,7290
0,7000000,1,10884,7286
0,7000000,2,10893,7285
0,7000000,3,10888,7285
0,7000000,4,10892,7290
0,7000000,5,10888,7287
0,7000000,6,10894,7294
0,7000000,7,10894,7285
0,7000000,8,10889,7288
0,7000000,9,10889,7289
0,8500000,0,13206,9607
0,8500000,1,13210,9608
0,8500000,2,13210,9609
0,8500000,3,13210,9608
0,8500000,4,13206,9608
0,8500000,5,13201,9612
0,8500000,6,13214,9614
0,8500000,7,13213,9614
0,8500000,8,13202,9607
0,8500000,9,13222,9614
1,4096,0,3714,0
1,4096,1,3726,0
1,4096,2,3718,0
1,4096,3,3734,0
1,4096,4,3723,0
1,4096,5,3730,0
1,4096,6,3711,0
1,4096,7,3726,0
1,4096,8,3714,0
1,4096,9,3726,0
1,2048,0,3718,0
1,2048,1,3726,0
1,2048,2,3718,0
1,2048,3,3719,0
1,2048,4,3722,0
1,2048,5,3719,0
1,2048,6,3718,0
1,2048,7,3723,0
1,2048,8,3727,0
1,2048,9,3722,0
1,1024,0,3726,0
1,1024,1,3723,0
1,1024,2,3718,0
1,1024,3,3718,0
1,1024,4,3726,0
1,1024,5,3723,0
1,1024,6,3726,0
1,1024,7,3723,0
1,1024,8,3714,0
1,1024,9,3722,0
1,512,0,3727,0
1,512,1,3726,0
1,512,2,3723,0
1,512,3,3722,0
1,512,4,3726,0
1,512,5,3718,0
1,512,6,3726,0
1,512,7,3719,0
1,512,8,3719,0
1,512,9,3723,0
1,256,0,3726,0
1,256,1,3719,0
1,256,2,3714,0
1,256,3,3714,0
1,256,4,3727,0
1,256,5,3714,0
1,256,6,3718,0
1,256,7,3722,0
1,256,8,3731,0
1,256,9,3731,0
1,128,0,3718,0
1,128,1,3723,0
1,128,2,3726,0
1,128,3,3719,0
1,128,4,3719,0
1,128,5,3718,0
1,128,6,3719,0
1,128,7,3727,0
1,128,8,3718,0
1,128,9,3726,0
1,10,0,3723,0
1,10,1,3722,0
1,10,2,3722,0
1,10,3,3719,0
1,10,4,3726,0
1,10,5,3714,0
1,10,6,3727,0
1,10,7,3718,0
1,10,8,3723,0
1,10,9,3727,0
1,1,0,3626,25
1,1,1,3626,24
1,1,2,3635,25
1,1,3,3619,25
1,1,4,3622,25
1,1,5,3623,24
1,1,6,3634,24
1,1,7,3630,25
1,1,8,3634,25
1,1,9,3635,25
2,10,0,3887,271
2,10,1,3893,274
2,10,2,3884,273
2,10,3,3887,273
2,10,4,3892,271
2,10,5,3892,273
2,10,6,3887,272
2,10,7,3891,271
2,10,8,3890,273
2,10,9,3889,271
2,20,0,4044,429
2,20,1,4052,432
2,20,2,4046,431
2,20,3,4045,431
2,20,4,4046,430
2,20,5,4046,429
2,20,6,4042,435
2,20,7,4045,431
2,20,8,4048,433
2,20,9,4046,429
2,40,0,4372,751
2,40,1,4373,745
2,40,2,4360,745
2,40,3,4374,751
2,40,4,4366,754
2,40,5,4380,755
2,40,6,4366,747
2,40,7,4370,751
2,40,8,4377,752
2,40,9,4373,756
2,80,0,5012,1390
2,80,1,5014,1394
2,80,2,5019,1393
2,80,3,5003,1384
2,80,4,5016,1397
2,80,5,5004,1384
2,80,6,5015,1391
2,80,7,5008,1388
2,80,8,5003,1379
2,80,9,5004,1384
2,160,0,6294,2680
2,160,1,6289,2672
2,160,2,6311,2683
2,160,3,6278,2643
2,160,4,6273,2657
2,160,5,6287,2661
2,160,6,6286,2665
2,160,7,6288,2662
2,160,8,6331,2721
2,160,9,6267,2643
2,320,0,8834,5209
2,320,1,8850,5229
2,320,2,8791,5157
2,320,3,8845,5224
2,320,4,8858,5232
2,320,5,8875,5255
2,320,6,8876,5252
2,320,7,8827,5202
2,320,8,8807,5186
2,320,9,8838,5218
