workloadID, workload argument, tFC, tVM, start time
0,1000000,4048,453,1606757721
0,2500000,5280,1679,1606757721
0,2500000,5277,1671,1606757722
0,2500000,5269,1668,1606757722
0,1000000,4057,458,1606757724
0,1000000,4046,452,1606757724
0,2500000,5266,1669,1606757723
0,1000000,4046,452,1606757725
0,4000000,6874,3275,1606757723
0,1000000,4038,452,1606757726
0,2500000,5273,1674,1606757725
0,7000000,10900,7301,1606757721
0,2500000,5253,1669,1606757726
0,4000000,6856,3259,1606757725
0,4000000,6887,3259,1606757726
0,7000000,10905,7302,1606757722
0,1000000,4059,452,1606757729
0,1000000,4066,452,1606757730
0,4000000,6880,3259,1606757727
0,1000000,4042,451,1606757730
0,4000000,6844,3259,1606757727
0,8500000,13257,9660,1606757721
0,4000000,6846,3259,1606757728
0,2500000,5259,1671,1606757730
0,8500000,13252,9650,1606757722
0,1000000,4080,452,1606757732
0,7000000,10919,7319,1606757725
0,4000000,6842,3260,1606757729
0,2500000,5271,1675,1606757731
0,5500000,8793,5186,1606757728
0,2500000,5263,1668,1606757731
0,1000000,4040,451,1606757733
0,1000000,4040,452,1606757733
0,7000000,10894,7310,1606757726
0,4000000,6863,3276,1606757730
0,7000000,10894,7313,1606757726
0,4000000,6857,3260,1606757730
0,8500000,13235,9627,1606757724
0,4000000,6851,3269,1606757731
0,7000000,10895,7306,1606757727
0,7000000,10909,7314,1606757727
0,7000000,10898,7308,1606757727
0,2500000,5244,1668,1606757733
0,8500000,13220,9629,1606757727
0,7000000,10903,7309,1606757729
0,4000000,6846,3262,1606757734
0,2500000,5284,1684,1606757735
0,1000000,4042,452,1606757737
0,2500000,5257,1676,1606757736
0,1000000,4043,451,1606757737
0,8500000,13241,9649,1606757728
0,1000000,4052,452,1606757737
0,8500000,13234,9645,1606757728
0,7000000,10885,7303,1606757731
0,8500000,13228,9636,1606757729
0,2500000,5258,1669,1606757737
0,5500000,8783,5181,1606757734
0,7000000,10941,7332,1606757731
0,7000000,10898,7301,1606757732
0,2500000,5276,1677,1606757737
0,2500000,5273,1668,1606757737
0,4000000,6865,3258,1606757736
