workloadID, workload argument, tFC, tVM, start time
1,4096,3731,0,1606753642
2,20,4061,437,1606753642
2,20,4052,435,1606753642
1,256,3725,0,1606753643
2,10,3902,281,1606753643
2,10,3913,281,1606753645
0,4000000,6866,3270,1606753642
1,1024,3702,0,1606753646
0,4000000,6869,3261,1606753643
0,2500000,5270,1668,1606753644
2,160,6569,2944,1606753643
2,20,4074,465,1606753646
0,4000000,6843,3261,1606753643
1,2048,3712,0,1606753647
0,4000000,6858,3260,1606753644
1,2048,3739,0,1606753647
0,1000000,4031,452,1606753647
2,80,5074,1464,1606753646
0,2500000,5262,1668,1606753646
1,4096,3722,0,1606753648
2,10,3905,278,1606753648
1,512,3721,0,1606753648
1,10,3719,0,1606753648
0,1000000,4037,452,1606753648
1,128,3730,0,1606753648
2,160,6426,2806,1606753646
1,256,3711,0,1606753649
2,80,5105,1442,1606753648
1,128,3712,0,1606753650
2,80,5051,1436,1606753649
1,256,3718,0,1606753650
2,10,3895,283,1606753651
2,40,4365,766,1606753650
1,10,3728,0,1606753652
0,4000000,6849,3261,1606753649
1,10,3712,0,1606753652
1,10,3721,0,1606753652
1,4096,3715,0,1606753652
2,40,4568,927,1606753652
2,40,4453,843,1606753652
1,4096,3740,0,1606753653
0,1000000,4055,460,1606753653
1,512,3714,0,1606753654
2,160,6510,2899,1606753651
0,8500000,13210,9624,1606753645
1,10,3726,0,1606753655
0,2500000,5258,1669,1606753653
1,128,3710,0,1606753656
0,1000000,4072,452,1606753655
1,128,3713,0,1606753656
0,8500000,13238,9637,1606753646
2,10,3911,295,1606753656
2,20,4093,479,1606753656
2,320,9357,5746,1606753651
2,10,4015,377,1606753656
1,1,3629,24,1606753657
2,160,6546,2919,1606753654
2,10,3976,307,1606753657
1,256,3720,0,1606753657
1,1,3658,24,1606753657
1,10,3736,0,1606753658
2,80,5395,1788,1606753656
0,5500000,8783,5184,1606753653
1,256,3724,0,1606753659
1,2048,3719,0,1606753659
0,1000000,4058,451,1606753658
1,10,3708,0,1606753659
1,256,3704,0,1606753659
0,1000000,4047,451,1606753659
2,10,3887,279,1606753659
2,20,4047,440,1606753659
1,4096,3701,0,1606753660
2,10,3877,273,1606753660
0,4000000,6876,3258,1606753657
2,20,4077,447,1606753660
0,7000000,10893,7303,1606753653
1,1024,3718,0,1606753660
0,4000000,6855,3259,1606753657
1,512,3740,0,1606753661
0,7000000,10901,7309,1606753654
2,80,5030,1410,1606753660
1,128,3716,0,1606753661
2,10,3889,276,1606753661
1,2048,3698,0,1606753662
1,1,3621,25,1606753663
1,512,3703,0,1606753663
1,128,3707,0,1606753663
1,256,3719,0,1606753663
2,20,4061,433,1606753663
0,2500000,5278,1689,1606753662
0,8500000,13228,9628,1606753654
0,8500000,13284,9629,1606753654
1,128,3727,0,1606753664
1,2048,3716,0,1606753664
0,8500000,13270,9655,1606753654
1,10,3709,0,1606753665
1,1024,3707,0,1606753665
0,1000000,4040,452,1606753664
0,1000000,4037,452,1606753664
1,10,3729,0,1606753665
0,8500000,13198,9622,1606753656
0,1000000,4052,453,1606753665
2,80,5012,1393,1606753664
0,5500000,8776,5180,1606753661
1,128,3719,0,1606753666
2,320,8884,5253,1606753661
1,2048,3716,0,1606753666
0,4000000,6867,3267,1606753663
1,128,3709,0,1606753666
2,10,3897,278,1606753667
1,4096,3721,0,1606753667
1,2048,3711,0,1606753667
0,8500000,13216,9622,1606753658
2,80,5021,1406,1606753666
0,4000000,6860,3265,1606753665
0,2500000,5273,1680,1606753667
1,2048,3722,0,1606753669
0,2500000,5266,1676,1606753668
0,7000000,10927,7326,1606753662
1,1,3620,25,1606753670
0,4000000,6897,3282,1606753667
2,80,5048,1420,1606753670
1,128,3727,0,1606753671
2,160,6392,2773,1606753669
1,1024,3709,0,1606753672
1,4096,3712,0,1606753673
2,20,4080,471,1606753672
1,256,3709,0,1606753673
1,256,3729,0,1606753673
1,1,3652,26,1606753674
0,1000000,4050,452,1606753674
0,7000000,10909,7310,1606753668
2,20,4650,978,1606753674
1,128,3772,0,1606753675
2,80,5349,1714,1606753674
2,10,4008,325,1606753676
0,8500000,13242,9640,1606753667
2,160,6853,3239,1606753673
0,1000000,4056,452,1606753676
0,5500000,8805,5167,1606753672
1,1,3626,25,1606753677
