workloadID, workload argument, tFC, tVM, start time
2,20,4066,446,1606832389
2,10,3930,308,1606832390
1,10,3730,0,1606832391
1,1024,3718,0,1606832392
0,2500000,5290,1669,1606832391
1,1,3628,24,1606832392
2,20,4084,480,1606832392
2,40,4632,1013,1606832392
2,10,4052,403,1606832393
2,40,4641,1017,1606832392
1,10,3706,0,1606832393
1,256,3725,0,1606832393
2,20,4060,459,1606832393
2,40,4622,984,1606832393
0,4000000,6868,3260,1606832390
2,20,4162,509,1606832393
2,10,3993,334,1606832394
1,2048,3780,0,1606832395
2,20,4190,582,1606832394
0,2500000,5297,1669,1606832394
2,10,3916,298,1606832395
0,4000000,2410,0,1606832397
2,320,2419,0,1606832397
2,80,5334,1700,1606832394
1,256,3718,0,1606832396
2,40,4438,817,1606832395
2,20,4108,450,1606832396
0,4000000,6850,3259,1606832393
0,4000000,6871,3263,1606832393
0,5500000,8786,5176,1606832392
0,7000000,10894,7297,1606832390
2,320,11099,7472,1606832389
1,1,3614,25,1606832397
1,512,3720,0,1606832397
0,4000000,6878,3259,1606832394
1,2048,3713,0,1606832398
0,2500000,5282,1667,1606832396
0,4000000,6856,3258,1606832395
1,128,3779,0,1606832399
0,7000000,10887,7294,1606832392
0,7000000,10892,7295,1606832392
0,8500000,13228,9626,1606832390
1,2048,3790,0,1606832400
2,80,5740,2100,1606832398
0,1000000,4077,452,1606832400
2,80,5301,1697,1606832399
1,2048,3748,0,1606832400
0,1000000,4070,452,1606832400
2,320,11235,7612,1606832393
0,2500000,5283,1667,1606832399
2,40,4754,1110,1606832400
0,1000000,4060,452,1606832401
0,7000000,10901,7301,1606832394
2,10,3995,367,1606832402
2,40,4565,904,1606832401
2,40,4375,751,1606832402
2,10,4026,362,1606832402
1,1024,3823,0,1606832403
2,160,7542,3910,1606832399
2,320,9987,6360,1606832397
0,2500000,5329,1668,1606832402
0,2500000,5299,1676,1606832402
0,8500000,13239,9654,1606832395
0,5500000,8780,5163,1606832400
2,160,6846,3208,1606832402
1,256,3743,0,1606832406
2,10,3943,307,1606832405
2,320,9904,6288,1606832399
2,80,5246,1578,1606832404
2,80,5340,1711,1606832404
2,20,4086,466,1606832406
1,128,3716,0,1606832406
0,1000000,4060,453,1606832406
2,20,4116,482,1606832406
0,5500000,8801,5194,1606832401
2,10,3899,281,1606832406
0,1000000,4045,451,1606832407
0,1000000,4115,452,1606832406
2,80,5042,1420,1606832406
1,4096,3718,0,1606832407
0,8500000,13244,9642,1606832398
2,80,5091,1447,1606832407
0,7000000,10908,7303,1606832401
0,8500000,13242,9653,1606832399
0,7000000,10996,7315,1606832401
2,20,4294,614,1606832408
0,4000000,6860,3267,1606832406
2,20,4287,619,1606832409
2,160,6835,3201,1606832407
0,5500000,8794,5181,1606832405
0,7000000,10962,7295,1606832403
2,160,7045,3415,1606832407
0,5500000,8767,5173,1606832405
1,512,3725,0,1606832410
0,7000000,10920,7318,1606832403
0,1000000,4054,451,1606832411
2,80,5217,1597,1606832410
2,320,9550,5924,1606832406
0,5500000,8770,5171,1606832407
2,160,7885,4257,1606832408
0,4000000,6871,3260,1606832410
0,8500000,13244,9627,1606832404
0,7000000,10955,7299,1606832406
0,1000000,4103,460,1606832413
1,1,3625,24,1606832414
2,80,5428,1801,1606832412
2,40,4692,989,1606832414
2,40,4518,905,1606832414
1,2048,3714,0,1606832415
2,20,4082,462,1606832415
2,10,3908,287,1606832415
1,1024,3700,0,1606832416
0,2500000,5245,1667,1606832414
2,320,9850,6193,1606832410
2,40,4457,840,1606832416
0,4000000,6856,3264,1606832414
2,40,4423,804,1606832416
0,8500000,13269,9635,1606832408
0,1000000,4063,452,1606832417
0,4000000,6861,3276,1606832414
2,40,4388,775,1606832417
2,10,3902,284,1606832417
0,1000000,4078,452,1606832417
1,128,3710,0,1606832418
1,2048,3720,0,1606832418
1,512,3737,0,1606832418
0,8500000,13279,9645,1606832409
2,20,4063,449,1606832418
0,4000000,6850,3260,1606832416
0,2500000,5259,1668,1606832418
1,1024,3739,0,1606832420
0,5500000,8802,5176,1606832415
2,160,6422,2766,1606832418
0,2500000,5271,1674,1606832419
1,512,3727,0,1606832421
0,2500000,5317,1675,1606832419
0,2500000,5269,1668,1606832420
0,1000000,4064,452,1606832421
0,8500000,13243,9634,1606832412
0,8500000,13255,9640,1606832412
2,10,3943,326,1606832421
0,8500000,13218,9623,1606832412
0,5500000,8761,5164,1606832417
2,80,5337,1705,1606832420
2,20,4184,554,1606832422
2,40,4828,1208,1606832422
1,10,3912,0,1606832423
2,320,10430,6816,1606832417
1,4096,4018,0,1606832424
1,1024,3724,0,1606832424
2,40,5595,1911,1606832422
0,7000000,10893,7295,1606832417
0,2500000,5286,1668,1606832423
2,80,6559,2917,1606832422
0,4000000,6882,3277,1606832421
0,1000000,4129,452,1606832424
2,40,5517,1823,1606832423
2,80,5349,1729,1606832423
0,1000000,4073,452,1606832425
2,160,8152,4524,1606832421
2,160,7953,4305,1606832421
0,4000000,6879,3265,1606832422
0,8500000,13248,9628,1606832416
0,2500000,5302,1676,1606832424
0,5500000,8776,5166,1606832421
1,1024,3759,0,1606832426
2,320,12048,8427,1606832418
0,1000000,4052,451,1606832427
2,10,3974,332,1606832427
0,7000000,10926,7311,1606832420
1,256,3714,0,1606832428
2,160,6701,3032,1606832425
0,7000000,10928,7320,1606832421
1,2048,3725,0,1606832428
0,5500000,8797,5163,1606832423
0,2500000,5283,1668,1606832428
1,1,3673,30,1606832429
2,10,4027,362,1606832429
1,2048,3735,0,1606832429
0,5500000,8779,5167,1606832425
0,2500000,5285,1668,1606832428
2,40,4727,1106,1606832429
2,10,3985,366,1606832430
2,20,4349,676,1606832429
1,512,3730,0,1606832430
2,40,4469,851,1606832430
2,320,9108,5500,1606832425
2,320,9699,6048,1606832425
1,512,3737,0,1606832431
2,20,4087,459,1606832431
2,320,9686,6070,1606832425
0,7000000,10925,7305,1606832424
2,80,5479,1863,1606832430
2,40,4525,886,1606832431
2,20,4064,435,1606832431
0,4000000,6915,3265,1606832429
2,10,3987,358,1606832432
2,10,4034,368,1606832432
0,7000000,10948,7332,1606832425
0,7000000,10904,7303,1606832425
0,7000000,10905,7297,1606832425
0,5500000,8809,5200,1606832428
2,40,4750,1126,1606832432
1,1024,3719,0,1606832433
2,40,4411,744,1606832432
2,80,5316,1663,1606832432
2,20,4144,507,1606832433
0,2500000,5304,1668,1606832432
0,5500000,8832,5181,1606832429
2,320,10208,6578,1606832428
2,10,3942,313,1606832434
0,5500000,8823,5179,1606832429
0,5500000,8779,5164,1606832429
0,8500000,13238,9632,1606832425
2,20,4138,456,1606832434
1,256,3722,0,1606832435
0,8500000,13293,9623,1606832425
2,10,3991,327,1606832435
1,1024,3706,0,1606832435
0,8500000,13286,9641,1606832426
2,10,3913,273,1606832435
2,160,8020,4367,1606832431
2,10,3909,276,1606832435
0,7000000,10901,7301,1606832429
2,320,10786,7168,1606832429
1,512,3719,0,1606832436
2,10,3914,292,1606832436
0,7000000,10894,7297,1606832429
2,40,4549,926,1606832436
1,2048,3717,0,1606832437
2,80,5236,1614,1606832436
0,5500000,8806,5172,1606832433
2,20,4148,501,1606832438
1,1,3640,25,1606832439
0,5500000,8802,5177,1606832435
0,8500000,13243,9639,1606832431
0,7000000,10942,7312,1606832433
0,1000000,4073,451,1606832440
2,20,4066,449,1606832440
1,2048,3716,0,1606832441
2,160,7897,4270,1606832437
0,7000000,10925,7306,1606832434
2,160,8058,4425,1606832437
2,320,10824,7194,1606832434
0,1000000,4047,452,1606832441
0,8500000,13362,9641,1606832433
0,4000000,6879,3267,1606832439
2,160,7273,3640,1606832439
2,20,4193,566,1606832442
2,80,5798,2150,1606832441
2,20,4382,704,1606832442
0,8500000,13274,9631,1606832433
2,80,5569,1934,1606832441
2,40,4939,1321,1606832442
0,1000000,4117,452,1606832444
1,128,3770,0,1606832445
1,512,3732,0,1606832445
0,2500000,5353,1675,1606832444
2,80,5633,2005,1606832443
0,5500000,8806,5181,1606832440
0,1000000,4100,452,1606832445
0,1000000,4055,452,1606832445
0,7000000,10920,7296,1606832438
0,2500000,5318,1677,1606832444
2,80,5675,2040,1606832444
2,20,4167,539,1606832446
2,320,12862,9198,1606832437
0,7000000,10892,7298,1606832439
2,160,8198,4513,1606832442
2,80,6892,3236,1606832443
2,80,6299,2622,1606832444
2,160,9301,5596,1606832441
2,160,7099,3478,1606832443
2,320,10340,6721,1606832440
1,256,3718,0,1606832447
1,4096,3731,0,1606832447
0,8500000,13305,9661,1606832438
2,40,4408,762,1606832447
1,128,3718,0,1606832448
0,7000000,10904,7311,1606832441
2,20,4077,456,1606832448
0,4000000,6874,3271,1606832445
0,8500000,13232,9617,1606832439
2,20,4248,623,1606832448
0,4000000,6874,3268,1606832445
1,128,3771,0,1606832449
2,20,4107,501,1606832449
2,10,4003,366,1606832449
0,1000000,4042,451,1606832450
2,160,6511,2848,1606832447
2,20,4314,691,1606832450
0,2500000,5317,1676,1606832449
2,40,4770,1153,1606832450
0,1000000,4067,451,1606832451
1,1024,3757,0,1606832451
2,320,12055,8428,1606832443
0,5500000,8837,5175,1606832446
0,7000000,10932,7328,1606832444
2,80,5468,1847,1606832450
0,5500000,8783,5166,1606832447
2,80,5193,1527,1606832450
2,160,7265,3639,1606832448
2,160,7958,4327,1606832449
0,7000000,10929,7299,1606832446
2,20,4118,507,1606832453
0,5500000,8781,5180,1606832448
0,4000000,6858,3267,1606832451
0,8500000,13252,9645,1606832445
2,80,5179,1559,1606832453
