#cpu_count: 64
#total_mem: 270332968960
t,cpu_user,cpu_system,cpu_idle,cpu_inter,cpu_percentage,load_1m,mem_avail,swap_used
1606753599.8240993,1.0,0.0,23.0,0.0,4.0,0.01,265842720768,107663360
1606753600.8257625,0.0,0.0,100.0,0.0,0.0,0.01,265842778112,107663360
1606753601.827757,0.0,0.0,100.0,0.0,0.0,0.01,265842778112,107663360
1606753602.8297565,0.0,0.0,100.0,0.0,0.0,0.01,265842778112,107663360
1606753603.8318074,0.0,0.0,100.0,0.0,0.0,0.01,265842778112,107663360
1606753604.83381,0.0,0.0,100.0,0.0,0.0,0.01,265842778112,107663360
1606753605.8358026,0.0,0.0,100.0,0.0,0.0,0.01,265842778112,107663360
1606753606.837809,0.0,0.0,100.0,0.0,0.0,0.01,265842778112,107663360
1606753607.8398042,0.0,0.0,100.0,0.0,0.0,0.01,265842778112,107663360
1606753608.8418043,0.0,0.0,100.0,0.0,0.0,0.01,265842778112,107663360
1606753609.843796,0.0,0.0,100.0,0.0,0.0,0.01,265842778112,107663360
1606753610.8458025,0.0,0.0,100.0,0.0,0.0,0.01,265842778112,107663360
1606753611.847823,0.0,0.0,100.0,0.0,0.0,0.01,265842778112,107663360
1606753612.849816,0.0,0.0,100.0,0.0,0.0,0.01,265842778112,107663360
1606753613.8518584,0.0,0.0,100.0,0.0,0.0,0.01,265842262016,107663360
1606753614.853868,0.0,0.0,100.0,0.0,0.0,0.01,265842520064,107663360
1606753615.855861,0.0,0.0,100.0,0.0,0.0,0.01,265842520064,107663360
1606753616.857856,0.0,0.0,100.0,0.0,0.0,0.01,265842262016,107663360
1606753617.8598547,0.0,0.0,100.0,0.0,0.0,0.01,265842020352,107663360
1606753618.8618538,0.0,0.0,100.0,0.0,0.0,0.01,265842012160,107663360
1606753619.8638544,0.0,0.0,100.0,0.0,0.0,0.01,265841221632,107663360
1606753620.865862,0.0,0.0,100.0,0.0,0.0,0.01,265841213440,107663360
1606753621.867866,0.0,0.0,100.0,0.0,0.0,0.01,265841213440,107663360
1606753622.869864,0.0,0.0,100.0,0.0,0.0,0.01,265841213440,107663360
1606753623.8719163,0.0,0.0,100.0,0.0,0.0,0.01,265841213440,107663360
1606753624.8739088,0.0,0.0,100.0,0.0,0.0,0.01,265841213440,107663360
1606753625.8759043,0.0,0.0,100.0,0.0,0.0,0.01,265841221632,107663360
1606753626.8779001,0.0,0.0,100.0,0.0,0.0,0.01,265841221632,107663360
1606753627.8798883,0.0,0.0,100.0,0.0,0.0,0.01,265841221632,107663360
1606753628.881874,0.0,0.0,100.0,0.0,0.0,0.01,265841221632,107663360
1606753629.8838565,0.0,0.0,100.0,0.0,0.0,0.01,265841221632,107663360
1606753630.8858511,0.0,0.0,100.0,0.0,0.0,0.01,265841221632,107663360
1606753631.8878465,0.0,0.0,100.0,0.0,0.0,0.01,265841221632,107663360
1606753632.8898406,0.0,0.0,100.0,0.0,0.0,0.09,265841221632,107663360
1606753633.891883,0.0,0.0,100.0,0.0,0.0,0.09,265841512448,107663360
1606753634.8938909,0.0,0.0,100.0,0.0,0.0,0.09,265841512448,107663360
1606753635.8958817,0.0,0.0,100.0,0.0,0.0,0.09,265841512448,107663360
1606753636.897869,0.0,0.0,100.0,0.0,0.0,0.09,265841512448,107663360
1606753637.8998437,0.0,0.0,100.0,0.0,0.0,0.08,265841512448,107663360
1606753638.90186,0.0,0.0,100.0,0.0,0.0,0.08,265841496064,107663360
1606753639.9037018,0.0,0.0,100.0,0.0,0.0,0.08,265841496064,107663360
1606753640.9056957,0.0,0.0,100.0,0.0,0.0,0.08,265841496064,107663360
1606753641.907681,0.0,0.0,99.9,0.0,0.1,0.08,265839984640,107663360
1606753642.9095933,0.8,0.5,98.6,0.0,1.4,0.07,265746923520,107663360
1606753643.9113212,2.9,1.3,95.7,0.1,4.3,0.07,265584721920,107663360
1606753644.913435,6.2,1.5,92.1,0.2,7.9,0.07,265235636224,107663360
1606753645.9155097,8.2,0.8,90.8,0.2,9.2,0.07,264958816256,107663360
1606753646.9174678,12.3,1.5,85.9,0.3,14.1,0.07,265018839040,107663360
1606753647.9195879,14.8,1.6,83.1,0.5,16.9,0.71,264800817152,107663360
1606753648.9217062,13.4,1.2,85.2,0.2,14.8,0.71,264541380608,107663360
1606753649.9232988,11.7,1.9,86.2,0.2,13.8,0.71,264577986560,107663360
1606753650.925471,10.1,1.2,88.3,0.3,11.7,0.71,264604200960,107663360
1606753651.9273202,10.6,1.3,87.9,0.3,12.1,0.71,264749072384,107663360
