#cpu_count: 64
#total_mem: 270332968960
t,cpu_user,cpu_system,cpu_idle,cpu_inter,cpu_percentage,load_1m,mem_avail,swap_used
1606832372.095325,0.0,0.0,24.0,0.0,0.0,0.0,265760813056,52867072
1606832373.096945,0.0,0.0,100.0,0.0,0.0,0.0,265760333824,52867072
1606832374.099006,0.0,0.0,100.0,0.0,0.0,0.0,265760333824,52867072
1606832375.1009946,0.0,0.0,100.0,0.0,0.0,0.0,265760333824,52867072
1606832376.1029344,0.0,0.0,100.0,0.0,0.0,0.0,265760301056,52867072
1606832377.1049297,0.0,0.0,100.0,0.0,0.0,0.0,265760313344,52867072
1606832378.1067996,0.0,0.0,100.0,0.0,0.0,0.0,265760313344,52867072
1606832379.1087804,0.0,0.0,100.0,0.0,0.0,0.0,265760313344,52867072
1606832380.110716,0.0,0.0,100.0,0.0,0.0,0.0,265760313344,52867072
1606832381.1126928,0.0,0.0,100.0,0.0,0.0,0.0,265760313344,52867072
1606832382.1147058,0.0,0.0,100.0,0.0,0.0,0.0,265760313344,52867072
1606832383.116717,0.0,0.0,100.0,0.0,0.0,0.0,265760595968,52867072
1606832384.1187072,0.0,0.0,100.0,0.0,0.0,0.0,265760854016,52867072
1606832385.1206787,0.0,0.0,100.0,0.0,0.0,0.0,265761075200,52867072
1606832386.1226792,0.0,0.0,100.0,0.0,0.0,0.0,265761325056,52867072
1606832387.1246686,0.0,0.0,100.0,0.0,0.0,0.0,265761628160,52867072
1606832388.1266105,0.0,0.0,100.0,0.0,0.0,0.0,265761628160,52867072
1606832389.1286628,0.0,0.0,99.9,0.0,0.1,0.0,265762115584,52867072
1606832390.1305604,0.2,0.3,99.5,0.0,0.5,0.0,265716535296,52867072
1606832391.1325307,2.3,0.9,96.7,0.1,3.3,0.16,265579081728,52867072
1606832392.134638,6.1,1.1,92.6,0.2,7.4,0.16,265287647232,52867072
1606832393.1367524,11.7,2.4,85.7,0.2,14.3,0.16,264900263936,52867072
1606832394.1388412,14.8,2.1,82.9,0.2,17.2,0.16,264675426304,52867072
1606832395.1409655,22.2,2.9,74.5,0.3,25.4,0.16,264096403456,52867072
1606832396.1430857,23.0,2.0,74.5,0.5,25.5,1.59,263528411136,52867072
1606832397.1452065,25.3,1.5,72.6,0.6,27.4,1.59,263555534848,52867072
1606832398.1473606,26.1,1.9,71.5,0.5,28.5,1.59,263911960576,52867072
1606832399.1486783,25.3,1.3,73.1,0.3,26.9,1.59,264032337920,52867072
1606832400.1507792,19.3,1.8,78.3,0.6,21.7,1.59,264185421824,52867072
1606832401.1527972,20.9,2.3,76.3,0.4,23.7,2.58,264345722880,52867072
1606832402.1548955,22.1,2.1,75.2,0.6,24.9,2.58,264163655680,52867072
1606832403.1567488,23.2,1.9,74.4,0.6,25.5,2.58,263938195456,52867072
1606832404.1589227,23.9,1.6,73.9,0.6,26.1,2.58,263570317312,52867072
1606832405.1610425,25.1,1.6,72.7,0.6,27.2,3.74,263920701440,52867072
1606832406.1630552,20.6,1.2,77.8,0.5,22.3,3.74,264101335040,52867072
1606832407.1650236,25.8,3.0,71.0,0.2,28.9,3.74,263973277696,52867072
1606832408.167149,28.5,2.9,68.3,0.2,31.7,3.74,263621750784,52867072
1606832409.169502,30.6,1.7,67.3,0.3,32.7,3.74,263313465344,52867072
1606832410.17189,27.4,1.1,70.9,0.6,29.1,4.88,263696932864,52867072
1606832411.1740026,24.4,1.6,73.7,0.3,26.3,4.88,263999107072,52867072
1606832412.176102,22.8,0.8,75.8,0.6,24.2,4.88,264161169408,52867072
1606832413.178157,20.4,1.4,78.0,0.3,22.0,4.88,264224317440,52867072
1606832414.1802883,17.0,0.7,82.3,0.0,17.7,4.88,264632946688,52867072
1606832415.1822171,18.9,1.7,79.1,0.4,20.9,5.53,264458915840,52867072
1606832416.1843126,18.1,1.7,79.7,0.5,20.3,5.53,264544235520,52867072
1606832417.1861537,20.5,1.7,77.3,0.5,22.7,5.53,264340897792,52867072
1606832418.187291,21.7,2.4,75.7,0.3,24.3,5.53,264169226240,52867072
1606832419.1893888,25.0,2.3,72.5,0.2,27.5,5.53,263745118208,52867072
1606832420.1913102,23.5,1.5,74.6,0.4,25.4,6.29,263879950336,52867072
1606832421.192596,21.4,1.4,76.9,0.4,23.1,6.29,264076673024,52867072
1606832422.1946995,26.3,2.5,70.9,0.3,29.1,6.29,264318955520,52867072
1606832423.196831,26.4,2.1,71.1,0.4,28.9,6.29,264090648576,52867072
1606832424.1990445,26.6,2.1,71.0,0.3,29.0,6.29,263515455488,52867072
1606832425.2012472,26.6,2.3,70.7,0.4,29.2,7.39,263394263040,52867072
1606832426.203339,32.7,3.0,63.9,0.4,36.1,7.39,263472709632,52867072
1606832427.2053373,29.3,1.8,68.5,0.3,31.5,7.39,263429775360,52867072
1606832428.2073667,29.2,1.2,69.1,0.5,30.9,7.39,263401611264,52867072
1606832429.2095985,29.4,2.0,68.3,0.4,31.7,7.39,263896756224,52867072
1606832430.2112942,31.7,3.4,64.6,0.2,35.4,8.72,263660994560,52867072
1606832431.2134075,32.7,2.2,64.9,0.2,35.1,8.72,263411396608,52867072
1606832432.2153628,40.9,2.7,56.0,0.4,44.0,8.72,263214637056,52867072
1606832433.2175677,37.1,1.9,60.8,0.2,39.2,8.72,262884245504,52867072
1606832434.2192967,35.3,2.8,61.6,0.3,38.4,8.72,262887677952,52867072
1606832435.2214348,33.1,1.8,64.6,0.5,35.4,9.78,262991638528,52867072
1606832436.2237673,32.2,2.5,64.8,0.5,35.2,9.78,263340244992,52867072
1606832437.2258632,28.4,1.9,69.3,0.4,30.7,9.78,263443734528,52867072
1606832438.2272937,22.4,1.8,75.5,0.3,24.5,9.78,263527075840,52867072
1606832439.2293375,20.2,1.9,77.7,0.3,22.3,9.78,263683190784,52867072
1606832440.231517,22.8,1.9,74.8,0.4,25.2,10.12,264052977664,52867072
