#cpu_count: 64
#total_mem: 270332968960
t,cpu_user,cpu_system,cpu_idle,cpu_inter,cpu_percentage,load_1m,mem_avail,swap_used
1606817471.204949,1.0,0.0,24.0,0.0,3.8,0.0,265806778368,52891648
1606817472.2065651,0.0,0.0,100.0,0.0,0.0,0.0,265805996032,52891648
1606817473.208531,0.0,0.0,100.0,0.0,0.0,0.0,265805996032,52891648
1606817474.210579,0.0,0.0,100.0,0.0,0.0,0.0,265806254080,52891648
1606817475.2125514,0.0,0.0,100.0,0.0,0.0,0.0,265806254080,52891648
1606817476.2144847,0.0,0.0,100.0,0.0,0.0,0.0,265806254080,52891648
1606817477.216518,0.0,0.0,100.0,0.0,0.0,0.0,265806254080,52891648
1606817478.2185225,0.0,0.0,100.0,0.0,0.0,0.0,265806368768,52891648
1606817479.220493,0.0,0.0,100.0,0.0,0.0,0.0,265806368768,52891648
1606817480.2224262,0.0,0.0,100.0,0.0,0.0,0.0,265806368768,52891648
1606817481.2243829,0.0,0.0,100.0,0.0,0.0,0.0,265806368768,52891648
1606817482.2263892,0.0,0.0,100.0,0.0,0.0,0.0,265806385152,52891648
1606817483.228333,0.0,0.0,100.0,0.0,0.0,0.0,265806385152,52891648
1606817484.2303202,0.0,0.0,100.0,0.0,0.0,0.0,265806385152,52891648
1606817485.2323384,0.0,0.0,100.0,0.0,0.0,0.0,265806385152,52891648
1606817486.2343378,0.0,0.0,100.0,0.0,0.0,0.0,265806385152,52891648
1606817487.236287,0.0,0.0,100.0,0.0,0.0,0.0,265806356480,52891648
1606817488.2382302,0.0,0.0,100.0,0.0,0.0,0.0,265806364672,52891648
1606817489.2401655,0.0,0.0,99.9,0.0,0.1,0.0,265806888960,52891648
1606817490.242068,0.1,0.0,99.9,0.0,0.1,0.0,265800785920,52891648
1606817491.2432902,1.8,0.8,97.3,0.0,2.7,0.0,265662087168,52891648
1606817492.2450373,3.4,1.0,95.6,0.1,4.4,0.0,265547624448,52891648
1606817493.2474344,8.8,0.7,90.3,0.2,9.7,0.56,265463369728,52891648
1606817494.24988,9.4,0.4,90.0,0.1,10.0,0.56,265391095808,52891648
1606817495.25132,11.4,1.2,87.2,0.2,12.8,0.56,265263583232,52891648
1606817496.2538319,14.8,1.6,83.1,0.4,16.9,0.56,265151852544,52891648
1606817497.2559323,21.6,1.8,76.2,0.4,23.8,0.56,264924487680,52891648
1606817498.2580152,23.2,1.2,75.3,0.4,24.7,1.96,264841519104,52891648
1606817499.2600672,31.8,1.6,66.0,0.5,34.0,1.96,264621862912,52891648
1606817500.2620249,30.7,1.3,67.4,0.6,32.6,1.96,264578334720,52891648
1606817501.2633052,31.9,2.0,65.7,0.3,34.3,1.96,264420216832,52891648
1606817502.2653682,35.1,2.1,62.2,0.5,37.8,1.96,264337825792,52891648
1606817503.2672896,34.6,2.0,62.9,0.5,37.1,3.8,264233058304,52891648
1606817504.2683003,37.5,1.8,60.4,0.4,39.6,3.8,264222642176,52891648
1606817505.2703502,42.6,1.3,55.6,0.6,44.4,3.8,264350900224,52891648
1606817506.2720914,43.9,1.6,54.1,0.4,45.9,3.8,264213295104,52891648
1606817507.2741842,36.6,0.9,62.1,0.5,37.9,3.8,264221995008,52891648
1606817508.2762597,38.8,1.0,59.8,0.3,40.2,5.66,264371892224,52891648
1606817509.2783442,37.9,1.2,60.7,0.2,39.3,5.66,264440406016,52891648
1606817510.2803931,35.4,1.4,62.9,0.4,37.1,5.66,264375877632,52891648
1606817511.2824507,30.7,1.8,67.1,0.5,32.9,5.66,264172425216,52891648
1606817512.2843904,32.2,2.0,65.4,0.4,34.6,5.66,264346398720,52891648
1606817513.2864692,34.3,1.5,63.9,0.3,36.1,7.13,264438718464,52891648
1606817514.288567,34.1,0.8,64.5,0.6,35.5,7.13,264472014848,52891648
1606817515.290674,27.4,0.6,71.4,0.6,28.6,7.13,264573743104,52891648
1606817516.2927547,22.5,1.0,75.9,0.5,24.1,7.13,264709910528,52891648
1606817517.294817,21.4,1.3,77.1,0.3,22.9,7.13,264764485632,52891648
1606817518.2968154,20.7,1.6,77.3,0.4,22.7,7.6,264843018240,52891648
1606817519.2988749,21.2,1.4,76.9,0.5,23.1,7.6,264801759232,52891648
1606817520.3008733,27.4,2.7,69.5,0.4,30.5,7.6,264524652544,52891648
1606817521.3027997,29.5,2.3,67.7,0.6,32.3,7.6,264417230848,52891648
1606817522.3048248,41.6,1.6,56.3,0.5,43.7,7.6,264280383488,52891648
1606817523.306892,41.5,1.3,56.7,0.5,43.4,9.07,264273117184,52891648
1606817524.3090122,44.4,1.6,53.4,0.5,46.5,9.07,264123580416,52891648
1606817525.3110888,42.1,1.0,56.2,0.7,43.9,9.07,264242221056,52891648
1606817526.313059,45.9,2.2,51.3,0.6,48.5,9.07,264052699136,52891648
1606817527.3150651,40.8,1.0,57.6,0.7,42.5,9.07,264143011840,52891648
1606817528.317169,40.6,1.7,57.1,0.6,42.8,10.27,264073830400,52891648
1606817529.319075,39.7,1.7,58.1,0.5,42.0,10.27,264246558720,52891648
1606817530.3210425,42.0,1.4,56.0,0.6,43.9,10.27,264239476736,52891648
1606817531.3230288,41.8,1.4,56.0,0.8,44.1,10.27,264196030464,52891648
1606817532.324928,41.0,1.4,57.0,0.6,42.9,10.27,264120246272,52891648
