#cpu_count: 64
#total_mem: 270332968960
t,cpu_user,cpu_system,cpu_idle,cpu_inter,cpu_percentage,load_1m,mem_avail,swap_used
1606826369.0327134,1.0,0.0,24.0,0.0,3.8,0.0,265796476928,52883456
1606826370.034372,0.0,0.0,100.0,0.0,0.0,0.0,265796014080,52883456
1606826371.0363348,0.0,0.0,100.0,0.0,0.0,0.0,265796018176,52883456
1606826372.038277,0.0,0.0,100.0,0.0,0.0,0.0,265796018176,52883456
1606826373.0402346,0.0,0.0,100.0,0.0,0.0,0.0,265796018176,52883456
1606826374.042307,0.0,0.0,100.0,0.0,0.0,0.0,265796018176,52883456
1606826375.0443404,0.0,0.0,100.0,0.0,0.0,0.0,265796018176,52883456
1606826376.0463603,0.0,0.0,100.0,0.0,0.0,0.0,265796018176,52883456
1606826377.048382,0.0,0.0,100.0,0.0,0.0,0.0,265796018176,52883456
1606826378.0504096,0.0,0.0,100.0,0.0,0.0,0.0,265796018176,52883456
1606826379.0524535,0.0,0.0,100.0,0.0,0.0,0.0,265796018176,52883456
1606826380.0544024,0.0,0.0,100.0,0.0,0.0,0.0,265796272128,52883456
1606826381.0564091,0.0,0.0,100.0,0.0,0.0,0.0,265796272128,52883456
1606826382.0584278,0.0,0.0,100.0,0.0,0.0,0.0,265796272128,52883456
1606826383.0604184,0.0,0.1,99.9,0.0,0.1,0.0,265796972544,52883456
1606826384.0623665,1.0,0.6,98.4,0.0,1.6,0.0,265687834624,52883456
1606826385.0643656,4.2,1.7,93.9,0.2,6.1,0.0,265454628864,52883456
1606826386.0664773,10.1,2.4,87.1,0.5,12.9,0.4,264530706432,52883456
1606826387.0679736,14.0,2.0,83.5,0.5,16.5,0.4,263793352704,52883456
1606826388.070303,20.4,2.8,76.6,0.3,23.5,0.4,263599357952,52883456
1606826389.0738811,25.1,1.9,72.8,0.2,27.1,0.4,263334100992,52883456
1606826390.077454,24.6,1.8,73.2,0.4,26.8,0.4,262899032064,52883456
1606826391.0797868,25.0,2.2,72.5,0.3,27.5,1.81,262729494528,52883456
1606826392.0821953,27.4,2.6,69.5,0.5,30.4,1.81,262923300864,52883456
1606826393.0844774,26.4,1.4,71.7,0.4,28.3,1.81,262834352128,52883456
1606826394.0871334,27.1,2.0,70.6,0.3,29.4,1.81,262894772224,52883456
1606826395.089625,29.2,3.6,66.8,0.4,33.2,1.81,262752108544,52883456
1606826396.0917616,33.7,3.4,62.7,0.2,37.3,3.51,261930242048,52883456
1606826397.0945919,37.4,3.0,59.2,0.4,40.9,3.51,261804621824,52883456
1606826398.0973177,36.3,2.5,61.0,0.3,38.9,3.51,261577330688,52883456
1606826399.099377,43.2,3.2,53.4,0.2,46.6,3.51,261431955456,52883456
1606826400.1014395,43.7,4.0,52.0,0.3,48.0,3.51,261386027008,52883456
1606826401.1033244,48.6,2.9,48.2,0.3,51.8,5.71,260683051008,52883456
1606826402.10565,59.1,4.0,36.6,0.3,63.3,5.71,260554326016,52883456
1606826403.1084793,57.9,3.2,38.6,0.3,61.4,5.71,259915223040,52883456
1606826404.1113846,56.2,2.3,41.4,0.2,58.6,5.71,259624275968,52883456
1606826405.1135275,56.2,2.3,41.3,0.2,58.7,5.71,260041326592,52883456
1606826406.1153314,53.0,3.2,43.6,0.2,56.4,8.7,260221050880,52883456
1606826407.1179457,50.2,2.1,47.3,0.3,52.7,8.7,260230717440,52883456
1606826408.1209085,51.3,3.1,45.3,0.3,54.7,8.7,260536168448,52883456
1606826409.1233335,51.2,3.4,45.1,0.3,54.9,8.7,260611375104,52883456
1606826410.1259704,54.0,2.9,43.0,0.2,57.0,8.7,260518342656,52883456
1606826411.1288338,61.6,3.6,34.4,0.4,65.6,11.6,260187000832,52883456
1606826412.1313493,64.7,3.2,31.9,0.2,68.1,11.6,259866812416,52883456
1606826413.134043,63.5,2.8,33.7,0.0,66.3,11.6,259239772160,52883456
1606826414.136722,61.9,2.7,35.3,0.2,64.7,11.6,259319664640,52883456
1606826415.139764,59.8,2.1,37.9,0.2,62.1,11.6,259779928064,52883456
1606826416.142938,63.6,4.5,31.8,0.1,68.3,13.96,260032245760,52883456
1606826417.1456263,63.7,3.3,32.9,0.1,67.0,13.96,259920977920,52883456
1606826418.147424,71.2,4.4,24.2,0.2,75.8,13.96,259286286336,52883456
1606826419.1503973,73.5,3.6,22.8,0.1,77.2,13.96,259013255168,52883456
1606826420.1530547,75.5,3.9,20.3,0.2,79.7,13.96,258456948736,52883456
1606826421.1553688,78.9,3.9,16.9,0.2,83.0,17.08,258583728128,52883456
1606826422.1568677,80.4,3.8,15.7,0.1,84.3,17.08,258287484928,52883456
1606826423.15933,83.0,3.5,13.3,0.1,86.7,17.08,258073960448,52883456
1606826424.1616168,81.9,4.7,13.3,0.1,86.7,17.08,257968013312,52883456
1606826425.16339,83.0,3.6,13.4,0.1,86.6,17.08,257801154560,52883456
1606826426.1651208,84.4,4.8,10.7,0.2,89.3,20.44,257414324224,52883456
1606826427.1673756,82.1,3.2,14.5,0.2,85.5,20.44,257721733120,52883456
1606826428.170375,82.8,2.6,14.3,0.2,85.7,20.44,258082586624,52883456
1606826429.172831,86.3,3.6,10.1,0.1,89.9,20.44,258275360768,52883456
1606826430.1754396,80.1,2.2,17.5,0.2,82.5,20.44,258051641344,52883456
1606826431.17937,83.5,4.9,11.5,0.1,88.5,23.29,258035437568,52883456
1606826432.1819048,88.1,3.9,7.9,0.0,92.1,23.29,257906089984,52883456
1606826433.1844137,85.9,4.8,9.3,0.0,90.7,23.29,257668009984,52883456
1606826434.1873467,85.3,3.8,10.8,0.0,89.2,23.29,257161142272,52883456
1606826435.190213,85.2,4.8,10.0,0.0,90.0,23.29,257350356992,52883456
1606826436.1930795,84.7,3.5,11.7,0.1,88.3,26.23,257807011840,52883456
1606826437.196889,81.1,4.5,14.3,0.1,85.7,26.23,257687998464,52883456
1606826438.200521,78.1,4.1,17.7,0.1,82.3,26.23,257999384576,52883456
1606826439.2046363,78.8,6.2,14.9,0.1,85.1,26.23,258034302976,52883456
1606826440.207386,77.5,4.7,17.7,0.1,82.3,26.23,258124345344,52883456
1606826441.2106702,81.2,5.3,13.5,0.0,86.5,28.45,258006474752,52883456
1606826442.2147584,76.9,2.8,20.3,0.0,79.8,28.45,257894785024,52883456
1606826443.218026,71.6,2.8,25.4,0.2,74.6,28.45,258246041600,52883456
1606826444.222275,63.3,3.4,32.8,0.5,67.2,28.45,258571145216,52883456
1606826445.2257607,54.0,3.2,42.5,0.3,57.4,28.45,259235979264,52883456
1606826446.2293851,54.7,4.6,40.4,0.2,59.6,29.38,259903160320,52883456
1606826447.2328463,52.2,3.6,44.0,0.3,56.0,29.38,260171264000,52883456
1606826448.2356203,57.5,4.4,37.8,0.2,62.2,29.38,260088528896,52883456
1606826449.2397392,58.7,2.9,38.1,0.2,61.9,29.38,260040232960,52883456
1606826450.2432775,59.3,2.3,38.0,0.4,62.0,29.38,259760717824,52883456
1606826451.2457163,64.2,4.5,30.9,0.3,69.1,30.47,260091854848,52883456
1606826452.2483423,65.4,3.7,30.5,0.3,69.5,30.47,259660107776,52883456
1606826453.2519968,69.0,2.9,27.7,0.4,72.4,30.47,259123359744,52883456
1606826454.2552543,72.9,2.4,24.6,0.1,75.4,30.47,259130286080,52883456
1606826455.2586946,69.2,3.0,27.7,0.2,72.4,30.47,258937765888,52883456
1606826456.2627702,63.5,2.6,33.7,0.3,66.3,31.55,259167408128,52883456
1606826457.2669444,63.6,3.3,32.7,0.4,67.3,31.55,259344035840,52883456
1606826458.269983,62.6,3.0,34.3,0.2,65.7,31.55,259717783552,52883456
1606826459.272924,63.2,2.9,33.8,0.1,66.2,31.55,259613319168,52883456
1606826460.2764301,61.0,3.2,35.7,0.1,64.3,31.55,259382775808,52883456
1606826461.2794225,64.4,2.2,33.3,0.2,66.7,32.55,259738624000,52883456
1606826462.2831717,64.6,3.0,32.1,0.3,67.9,32.55,259785641984,52883456
1606826463.287446,61.8,1.3,36.5,0.4,63.5,32.55,259760910336,52883456
1606826464.2913666,65.2,3.3,31.5,0.1,68.5,32.55,259741745152,52883456
1606826465.294617,62.1,3.1,34.5,0.3,65.6,32.55,259784941568,52883456
1606826466.2986805,63.4,3.4,32.9,0.3,67.1,33.07,259464904704,52883456
1606826467.302258,66.5,4.0,29.2,0.2,70.8,33.07,259744342016,52883456
1606826468.3060162,62.9,3.1,33.8,0.1,66.1,33.07,259486228480,52883456
1606826469.3093922,65.9,3.5,30.5,0.0,69.5,33.07,259276480512,52883456
1606826470.312764,63.5,2.4,33.9,0.2,66.1,33.07,259619950592,52883456
1606826471.3154976,64.6,4.1,31.1,0.1,68.8,33.78,259171241984,52883456
1606826472.3189921,63.3,3.4,33.2,0.0,66.8,33.78,259479199744,52883456
1606826473.3230474,67.4,2.5,30.0,0.1,70.0,33.78,259716767744,52883456
1606826474.327456,67.9,2.9,29.0,0.2,71.0,33.78,259418181632,52883456
1606826475.3312254,63.7,2.3,33.9,0.2,66.1,33.78,259525083136,52883456
1606826476.334372,55.9,1.8,42.0,0.2,58.0,34.28,259356286976,52883456
1606826477.3372672,52.2,2.9,44.6,0.4,55.4,34.28,259982905344,52883456
1606826478.3394003,45.0,3.5,51.2,0.3,48.8,34.28,260454383616,52883456
1606826479.3425925,45.9,3.0,50.9,0.2,49.2,34.28,260579995648,52883456
1606826480.3460782,47.8,3.0,48.9,0.3,51.1,34.28,260967710720,52883456
1606826481.349573,49.3,3.4,46.6,0.7,53.3,34.02,260800405504,52883456
1606826482.3514793,53.0,3.0,43.7,0.2,56.3,34.02,260918046720,52883456
1606826483.3544428,58.0,3.6,38.2,0.2,61.9,34.02,260375121920,52883456
1606826484.3568916,59.7,3.7,36.3,0.3,63.6,34.02,259874439168,52883456
1606826485.3593218,55.8,4.4,39.4,0.4,60.6,34.02,259544424448,52883456
1606826486.361126,62.8,5.1,31.7,0.3,68.3,34.9,259577974784,52883456
1606826487.363352,67.3,5.8,26.5,0.3,73.5,34.9,259121737728,52883456
1606826488.3659656,70.0,4.0,25.8,0.2,74.2,34.9,258890211328,52883456
1606826489.3685417,67.8,4.2,27.6,0.4,72.4,34.9,258859298816,52883456
1606826490.37136,72.0,4.8,23.1,0.2,77.0,34.9,258793426944,52883456
1606826491.374162,67.1,4.0,28.5,0.4,71.4,35.63,259015942144,52883456
1606826492.3769336,69.0,4.7,26.0,0.3,74.0,35.63,258891108352,52883456
1606826493.3793235,71.5,6.5,21.7,0.3,78.3,35.63,258977411072,52883456
1606826494.381988,72.7,5.8,21.4,0.2,78.6,35.63,258066259968,52883456
1606826495.3847206,77.1,5.1,17.7,0.1,82.3,35.63,258087874560,52883456
1606826496.3874056,78.7,3.0,18.1,0.1,81.9,37.02,258347642880,52883456
1606826497.3902428,78.2,4.2,17.4,0.2,82.6,37.02,258274148352,52883456
1606826498.3927379,73.9,3.9,22.0,0.2,78.0,37.02,258171166720,52883456
1606826499.3954625,73.3,4.0,22.5,0.1,77.5,37.02,258521784320,52883456
1606826500.3980532,72.0,3.0,24.9,0.1,75.1,37.02,258601574400,52883456
1606826501.4007847,70.0,3.6,25.9,0.5,74.1,37.82,258839760896,52883456
1606826502.403371,66.2,5.1,28.5,0.2,71.5,37.82,258963165184,52883456
1606826503.4060917,69.7,5.1,25.0,0.2,75.0,37.82,258482692096,52883456
1606826504.408982,78.6,5.8,15.5,0.2,84.5,37.82,258627698688,52883456
1606826505.4114027,79.5,2.8,17.6,0.1,82.4,37.82,258438103040,52883456
1606826506.4142542,80.5,3.1,16.3,0.1,83.7,39.19,258134388736,52883456
1606826507.4167926,81.6,2.9,15.4,0.0,84.6,39.19,258040074240,52883456
1606826508.4194643,83.7,2.7,13.5,0.1,86.5,39.19,258442559488,52883456
1606826509.4227726,80.7,2.9,16.4,0.0,83.6,39.19,258177654784,52883456
1606826510.4260223,83.2,4.0,12.8,0.0,87.1,39.19,258006765568,52883456
1606826511.427669,84.0,3.4,12.6,0.0,87.4,40.62,258277720064,52883456
1606826512.430746,82.6,4.2,13.1,0.0,86.9,40.62,257754386432,52883456
1606826513.4341257,77.9,2.6,19.3,0.1,80.6,40.62,257586954240,52883456
1606826514.4368079,77.6,5.4,17.0,0.0,83.0,40.62,258227433472,52883456
1606826515.4393592,70.4,4.0,25.3,0.2,74.7,40.62,258102341632,52883456
1606826516.4428046,72.8,4.6,22.4,0.2,77.7,41.37,258548387840,52883456
1606826517.4454832,80.5,5.3,14.0,0.1,85.9,41.37,258630369280,52883456
1606826518.4493172,83.6,5.8,10.5,0.1,89.5,41.37,258039205888,52883456
1606826519.4514468,85.8,3.9,10.3,0.0,89.7,41.37,257744769024,52883456
1606826520.4553432,91.8,5.8,2.4,0.0,97.6,43.1,257314443264,52883456
1606826521.4581308,93.6,4.1,2.3,0.0,97.7,43.1,257299722240,52883456
1606826522.460611,95.6,4.4,0.0,0.0,100.0,43.1,256877891584,52883456
1606826523.4631097,95.6,4.4,0.0,0.0,100.0,43.1,256399753216,52883456
1606826524.46657,95.5,4.5,0.0,0.0,100.0,43.1,256326909952,52883456
1606826525.4701164,96.1,3.9,0.0,0.0,100.0,45.74,255963205632,52883456
1606826526.47343,95.5,4.4,0.0,0.0,100.0,45.74,256022233088,52883456
