workloadID, workload argument, run, tFC, tVM
0,1000000,0,4055,452
0,1000000,1,4050,451
0,1000000,2,4050,451
0,1000000,3,4060,452
0,1000000,4,4058,452
0,1000000,5,4054,452
0,1000000,6,4058,451
0,1000000,7,4054,451
0,1000000,8,4053,451
0,1000000,9,4051,451
0,2500000,0,5265,1666
0,2500000,1,5266,1666
0,2500000,2,5266,1666
0,2500000,3,5269,1667
0,2500000,4,5266,1669
0,2500000,5,5270,1667
0,2500000,6,5266,1666
0,2500000,7,5274,1667
0,2500000,8,5274,1667
0,2500000,9,5274,1666
0,4000000,0,6858,3258
0,4000000,1,6855,3257
0,4000000,2,6862,3257
0,4000000,3,6869,3255
0,4000000,4,6866,3256
0,4000000,5,6862,3258
0,4000000,6,6862,3258
0,4000000,7,6858,3257
0,4000000,8,6850,3256
0,4000000,9,6862,3258
0,5500000,0,8762,5158
0,5500000,1,8771,5158
0,5500000,2,8757,5159
0,5500000,3,8765,5163
0,5500000,4,8758,5162
0,5500000,5,8762,5164
0,5500000,6,8766,5164
0,5500000,7,8759,5160
0,5500000,8,8781,5162
0,5500000,9,8753,5159
0,7000000,0,10886,7290
0,7000000,1,10893,7295
0,7000000,2,10894,7292
0,7000000,3,10898,7293
0,7000000,4,10897,7295
0,7000000,5,10891,7287
0,7000000,6,10892,7292
0,7000000,7,10890,7287
0,7000000,8,10890,7291
0,7000000,9,10883,7287
0,8500000,0,13229,9626
0,8500000,1,13225,9614
0,8500000,2,13210,9609
0,8500000,3,13229,9620
0,8500000,4,13214,9609
0,8500000,5,13206,9612
0,8500000,6,13213,9615
0,8500000,7,13213,9616
0,8500000,8,13202,9611
0,8500000,9,13202,9610
1,4096,0,4848,0
1,4096,1,4818,0
1,4096,2,4813,0
1,4096,3,4822,0
1,4096,4,4822,0
1,4096,5,4830,0
1,4096,6,4810,0
1,4096,7,4822,0
1,4096,8,4837,0
1,4096,9,4812,0
1,2048,0,4818,0
1,2048,1,4826,0
1,2048,2,4816,0
1,2048,3,4817,0
1,2048,4,4811,0
1,2048,5,4835,0
1,2048,6,4824,0
1,2048,7,4827,0
1,2048,8,4830,0
1,2048,9,4830,0
1,1024,0,4818,0
1,1024,1,4818,0
1,1024,2,4818,0
1,1024,3,4814,0
1,1024,4,4815,0
1,1024,5,4817,0
1,1024,6,4832,0
1,1024,7,4814,0
1,1024,8,4830,0
1,1024,9,4814,0
1,512,0,4814,0
1,512,1,4820,0
1,512,2,4833,0
1,512,3,4830,0
1,512,4,4817,0
1,512,5,4852,0
1,512,6,4824,0
1,512,7,4808,0
1,512,8,4823,0
1,512,9,4823,0
1,256,0,4833,0
1,256,1,4817,0
1,256,2,4842,0
1,256,3,4809,0
1,256,4,4834,0
1,256,5,4836,0
1,256,6,4824,0
1,256,7,4818,0
1,256,8,4830,0
1,256,9,4815,0
1,128,0,4826,0
1,128,1,4818,0
1,128,2,4841,0
1,128,3,4839,0
1,128,4,4814,0
1,128,5,4820,0
1,128,6,4840,0
1,128,7,4834,0
1,128,8,4816,0
1,128,9,4823,0
1,10,0,3839,243
1,10,1,3851,247
1,10,2,3842,243
1,10,3,3847,246
1,10,4,3850,244
1,10,5,3846,245
1,10,6,3842,243
1,10,7,3847,243
1,10,8,3842,243
1,10,9,3843,245
1,1,0,3622,34
1,1,1,3626,34
1,1,2,3630,34
1,1,3,3635,34
1,1,4,3630,34
1,1,5,3634,34
1,1,6,3634,34
1,1,7,3630,34
1,1,8,3634,34
1,1,9,3638,34
2,10,0,3887,270
2,10,1,3894,278
2,10,2,3892,271
2,10,3,3898,273
2,10,4,3886,270
2,10,5,3899,272
2,10,6,3885,272
2,10,7,3894,273
2,10,8,3886,270
2,10,9,3890,272
2,20,0,4051,430
2,20,1,4054,431
2,20,2,4049,433
2,20,3,4055,434
2,20,4,4046,430
2,20,5,4050,431
2,20,6,4054,432
2,20,7,4056,431
2,20,8,4058,436
2,20,9,4057,433
2,40,0,4370,752
2,40,1,4369,749
2,40,2,4371,745
2,40,3,4377,750
2,40,4,4377,755
2,40,5,4371,750
2,40,6,4371,754
2,40,7,4375,753
2,40,8,4370,749
2,40,9,4370,746
2,80,0,4994,1380
2,80,1,5009,1392
2,80,2,5019,1385
2,80,3,5004,1378
2,80,4,5020,1390
2,80,5,5013,1388
2,80,6,5011,1388
2,80,7,5014,1390
2,80,8,5010,1388
2,80,9,5011,1396
2,160,0,6298,2668
2,160,1,6271,2651
2,160,2,6296,2655
2,160,3,6306,2681
2,160,4,6263,2643
2,160,5,6274,2656
2,160,6,6259,2640
2,160,7,6292,2670
2,160,8,6270,2649
2,160,9,6281,2657
2,320,0,8860,5235
2,320,1,8800,5183
2,320,2,8846,5224
2,320,3,8838,5220
2,320,4,8819,5210
2,320,5,8841,5217
2,320,6,8853,5229
2,320,7,8858,5238
2,320,8,8800,5180
2,320,9,8848,5222
