workloadID, workload argument, tFC, tVM, start time
1,10,3880,277,1602859715
1,2048,6371,0,1602859714
1,10,3985,390,1602859717
1,1024,6652,0,1602859715
1,10,3880,276,1602859719
1,1024,6620,0,1602859716
1,128,6342,0,1602859720
1,1024,6368,0,1602859721
1,1,3631,33,1602859724
1,1,3634,37,1602859726
1,1024,6348,0,1602859724
1,512,6664,0,1602859729
1,1,3652,48,1602859732
1,2048,6653,0,1602859729
1,2048,6613,0,1602859730
1,4096,6620,0,1602859731
1,1,3634,33,1602859735
1,2048,6633,0,1602859733
1,10,3843,243,1602859736
1,128,6710,0,1602859733
1,1,3643,48,1602859737
1,128,6709,0,1602859736
1,1,3639,33,1602859739
1,512,6666,0,1602859736
1,1024,6597,0,1602859742
1,128,6577,0,1602859743
1,10,3848,249,1602859747
1,1,3646,49,1602859749
1,128,6352,0,1602859746
1,10,3989,393,1602859749
1,2048,6771,0,1602859747
1,10,3880,279,1602859751
1,128,6821,0,1602859748
1,4096,6447,0,1602859749
1,512,6658,0,1602859751
1,512,6726,0,1602859751
1,128,6496,0,1602859754
1,10,3885,277,1602859756
1,1024,6398,0,1602859754
1,10,3887,278,1602859757
1,1,3659,62,1602859760
1,2048,7242,0,1602859757
1,2048,7336,0,1602859759
1,512,7272,0,1602859759
1,512,6645,0,1602859763
1,512,6513,0,1602859763
1,512,6470,0,1602859764
1,10,3877,276,1602859769
1,4096,6390,0,1602859767
1,4096,6530,0,1602859771
1,2048,6670,0,1602859772
1,1024,6601,0,1602859773
1,1024,7356,0,1602859773
1,256,7211,0,1602859774
1,128,7303,0,1602859774
1,10,3911,325,1602859778
1,512,6740,0,1602859776
1,512,6530,0,1602859778
1,128,6670,0,1602859780
1,1024,6804,0,1602859780
1,512,6623,0,1602859782
1,1024,6385,0,1602859784
1,128,6482,0,1602859788
1,2048,6332,0,1602859790
1,256,6539,0,1602859790
1,1024,6392,0,1602859792
1,10,3849,245,1602859797
1,1,3628,33,1602859798
1,2048,6621,0,1602859799
1,128,6637,0,1602859802
1,1024,7215,0,1602859802
1,2048,6896,0,1602859803
1,1024,6974,0,1602859803
1,4096,6605,0,1602859807
1,512,6683,0,1602859808
1,10,3875,276,1602859813
1,256,6470,0,1602859811
1,1,3646,38,1602859816
1,2048,6447,0,1602859814
1,2048,6457,0,1602859815
1,4096,6994,0,1602859817
1,4096,6980,0,1602859817
1,2048,6939,0,1602859818
1,2048,6503,0,1602859819
1,2048,6478,0,1602859821
1,512,6430,0,1602859822
1,10,3881,282,1602859826
1,128,6372,0,1602859826
1,4096,6505,0,1602859831
1,256,6478,0,1602859833
1,1,3634,37,1602859838
1,4096,6348,0,1602859837
1,512,6337,0,1602859839
1,4096,6341,0,1602859843
1,512,6348,0,1602859848
1,1,3638,37,1602859851
1,128,6334,0,1602859849
1,512,6589,0,1602859855
1,10,3987,397,1602859858
1,4096,6732,0,1602859856
1,2048,6621,0,1602859858
1,512,6629,0,1602859858
1,512,6509,0,1602859859
1,1,3637,34,1602859863
1,512,6368,0,1602859864
1,10,3864,260,1602859871
1,10,3868,259,1602859871
1,128,6332,0,1602859872
1,256,6475,0,1602859874
1,128,6781,0,1602859875
1,128,6739,0,1602859875
1,4096,6451,0,1602859880
1,256,6481,0,1602859882
1,4096,6340,0,1602859884
1,512,6494,0,1602859885
1,256,6472,0,1602859887
1,2048,6348,0,1602859891
1,256,6580,0,1602859893
1,256,6603,0,1602859894
1,1,3650,49,1602859900
1,2048,6515,0,1602859897
1,1,3635,34,1602859900
1,256,6505,0,1602859899
1,128,6409,0,1602859901
1,256,6913,0,1602859902
1,128,7468,0,1602859903
1,1024,7664,0,1602859903
1,128,7130,0,1602859905
1,2048,6955,0,1602859906
1,4096,6346,0,1602859911
1,512,6356,0,1602859912
1,10,3860,265,1602859918
1,2048,6566,0,1602859918
1,4096,6542,0,1602859918
1,1,3637,37,1602859923
1,256,6341,0,1602859921
1,1024,6632,0,1602859924
1,10,3977,382,1602859928
1,128,7111,0,1602859925
1,512,6906,0,1602859925
1,512,6605,0,1602859928
1,128,6400,0,1602859929
1,1,3637,33,1602859932
1,4096,6494,0,1602859937
1,2048,6407,0,1602859937
1,128,6427,0,1602859939
1,2048,6618,0,1602859941
1,4096,6604,0,1602859942
1,1,3646,48,1602859947
1,10,4008,404,1602859948
1,128,6937,0,1602859946
1,4096,6932,0,1602859946
1,1024,6619,0,1602859946
1,10,3844,243,1602859949
1,4096,6632,0,1602859948
1,10,3991,390,1602859953
1,256,6942,0,1602859953
1,128,6932,0,1602859953
1,256,6525,0,1602859955
1,256,6350,0,1602859957
1,1,3628,37,1602859962
1,4096,6672,0,1602859960
1,1024,6662,0,1602859961
1,4096,6818,0,1602859961
1,512,6476,0,1602859963
1,10,3843,244,1602859966
1,256,6486,0,1602859964
1,10,3882,276,1602859968
1,4096,6391,0,1602859967
1,10,3849,244,1602859974
1,1,3629,34,1602859975
1,1,3659,61,1602859977
1,1024,6427,0,1602859976
1,128,6594,0,1602859977
1,1024,7020,0,1602859977
1,256,6972,0,1602859977
1,256,6833,0,1602859979
1,512,6496,0,1602859980
1,1024,6400,0,1602859981
1,1,3636,33,1602859987
1,1,3641,49,1602859989
1,1,3653,37,1602859989
1,2048,6446,0,1602859987
1,4096,6635,0,1602859988
1,4096,6549,0,1602859989
1,1024,6344,0,1602859991
1,1,3630,37,1602859996
1,4096,6412,0,1602859995
1,256,6541,0,1602859997
1,4096,6451,0,1602859999
1,128,6402,0,1602860002
1,256,6418,0,1602860002
1,10,3875,280,1602860005
1,128,6559,0,1602860004
1,128,6358,0,1602860005
1,2048,6493,0,1602860005
1,1024,6458,0,1602860010
1,10,3877,277,1602860013
1,128,6465,0,1602860012
1,512,6347,0,1602860015
1,1,3634,37,1602860020
1,128,6439,0,1602860019
1,512,6430,0,1602860021
1,4096,6605,0,1602860024
1,512,6590,0,1602860025
1,128,6558,0,1602860031
1,10,3846,244,1602860034
1,128,6557,0,1602860032
1,10,3846,243,1602860038
1,1,3634,35,1602860040
1,10,3845,246,1602860040
1,1,3635,37,1602860043
1,1024,6534,0,1602860042
1,2048,6533,0,1602860044
1,10,3850,246,1602860053
1,1,3634,33,1602860058
1,10,3848,244,1602860062
1,128,6382,0,1602860060
1,10,3853,258,1602860063
1,10,3840,244,1602860064
1,1,3631,37,1602860065
1,4096,6404,0,1602860064
1,256,6568,0,1602860065
1,1024,7406,0,1602860065
1,128,7055,0,1602860067
1,128,7537,0,1602860067
1,128,7090,0,1602860069
1,1024,6579,0,1602860070
1,256,6594,0,1602860070
1,4096,6582,0,1602860074
1,128,6723,0,1602860075
1,256,6500,0,1602860076
1,512,6676,0,1602860077
1,10,3986,390,1602860080
1,512,6487,0,1602860079
1,1,3645,48,1602860083
1,256,7191,0,1602860079
1,2048,6837,0,1602860080
1,128,7438,0,1602860081
1,1024,7383,0,1602860081
1,1024,6825,0,1602860083
1,10,3850,244,1602860089
1,2048,6378,0,1602860087
1,1,3634,34,1602860091
1,1,3632,34,1602860091
1,1,3635,34,1602860093
1,1024,6365,0,1602860094
1,4096,6531,0,1602860097
1,128,6808,0,1602860098
1,512,6748,0,1602860099
1,1,3654,37,1602860102
1,256,6367,0,1602860100
1,1024,6504,0,1602860107
1,10,3997,393,1602860110
1,2048,7049,0,1602860107
1,512,7202,0,1602860107
1,4096,7153,0,1602860108
1,128,6352,0,1602860112
1,10,3880,277,1602860116
1,128,6363,0,1602860114
1,2048,6329,0,1602860118
1,10,3857,243,1602860124
1,1024,6610,0,1602860121
1,128,6676,0,1602860122
1,512,6616,0,1602860125
1,2048,6551,0,1602860126
1,1024,6333,0,1602860129
1,128,6577,0,1602860130
1,4096,6900,0,1602860130
1,1,3650,48,1602860134
1,512,6868,0,1602860132
1,512,6760,0,1602860133
1,10,3842,244,1602860137
1,256,6803,0,1602860136
1,10,3895,296,1602860139
1,256,6587,0,1602860136
1,2048,6745,0,1602860137
1,256,6825,0,1602860139
1,4096,6663,0,1602860140
1,2048,6804,0,1602860140
1,10,4011,416,1602860146
1,512,6622,0,1602860144
1,10,3997,393,1602860147
1,4096,6887,0,1602860144
1,1,3657,60,1602860148
1,2048,7620,0,1602860146
1,4096,7363,0,1602860146
1,2048,7730,0,1602860146
1,512,6758,0,1602860148
1,512,7230,0,1602860148
1,1024,6344,0,1602860152
1,10,3844,246,1602860155
1,128,6335,0,1602860154
1,512,7255,0,1602860157
1,128,7832,0,1602860157
1,1024,8504,0,1602860157
1,512,8764,0,1602860158
1,128,8647,0,1602860158
1,4096,7857,0,1602860159
1,128,7765,0,1602860159
1,128,7736,0,1602860160
1,256,7242,0,1602860161
1,128,6897,0,1602860162
1,1,3631,33,1602860166
1,1,3628,34,1602860166
1,4096,6341,0,1602860168
1,4096,6590,0,1602860170
1,2048,6343,0,1602860172
1,2048,6769,0,1602860172
1,2048,6624,0,1602860173
1,1,3609,0,1602860176
1,1024,6338,0,1602860176
1,10,3908,309,1602860181
1,512,6583,0,1602860178
1,2048,6715,0,1602860179
1,2048,6728,0,1602860181
1,512,6684,0,1602860182
1,2048,6528,0,1602860183
1,4096,6639,0,1602860183
1,128,6647,0,1602860188
1,1024,6486,0,1602860188
1,1024,6621,0,1602860189
1,2048,6480,0,1602860190
1,1,3638,37,1602860196
1,1024,6383,0,1602860194
1,1024,6400,0,1602860197
1,2048,6411,0,1602860199
