workloadID, workload argument, tFC, tVM, start time
1,512,4433,0,1603098804
2,10,3905,281,1603098805
2,20,4056,439,1603098805
0,4000000,6861,3268,1603098807
2,40,4492,852,1603098810
2,40,4613,967,1603098809
0,1000000,4062,453,1603098810
2,40,4444,831,1603098810
2,10,3925,317,1603098811
0,2500000,5308,1676,1603098811
2,320,8986,5367,1603098809
1,2048,4453,0,1603098815
0,7000000,10901,7313,1603098810
2,10,3902,282,1603098818
1,512,4442,0,1603098817
0,7000000,10895,7306,1603098811
2,10,3890,285,1603098819
0,8500000,13220,9630,1603098810
2,320,8929,5317,1603098815
1,2048,4437,0,1603098819
0,4000000,6869,3263,1603098817
1,512,4435,0,1603098821
2,160,7416,3787,1603098818
1,10,3841,244,1603098823
1,10,3855,243,1603098824
1,4096,4436,0,1603098825
2,80,5201,1580,1603098825
1,1,3641,34,1603098829
0,2500000,5266,1669,1603098828
0,5500000,8771,5174,1603098825
2,160,6282,2658,1603098827
0,7000000,10893,7304,1603098823
2,80,5015,1400,1603098829
0,8500000,13233,9639,1603098822
0,4000000,6852,3259,1603098829
0,8500000,13214,9626,1603098824
0,7000000,10897,7305,1603098827
0,4000000,6848,3258,1603098834
2,320,9011,5375,1603098835
1,256,4449,0,1603098840
1,1,3625,35,1603098843
1,10,3844,244,1603098844
0,1000000,4048,453,1603098844
0,5500000,8786,5178,1603098839
1,1024,4646,0,1603098845
0,7000000,10907,7306,1603098839
1,128,4654,0,1603098846
1,512,4644,0,1603098846
1,10,3857,243,1603098847
0,4000000,6854,3266,1603098844
0,4000000,6859,3260,1603098845
2,40,4516,893,1603098848
2,40,4482,853,1603098848
0,4000000,6869,3265,1603098847
0,2500000,5266,1673,1603098849
2,160,7396,3787,1603098847
2,20,4080,463,1603098850
2,40,4421,778,1603098851
2,320,11180,7568,1603098844
2,80,5060,1446,1603098851
2,10,3904,291,1603098854
1,1,3625,34,1603098856
1,4096,4496,0,1603098855
2,160,6402,2784,1603098853
2,320,12206,8594,1603098848
0,1000000,4038,452,1603098856
2,20,4039,427,1603098857
0,8500000,13230,9639,1603098848
0,4000000,6867,3271,1603098855
0,1000000,4059,456,1603098858
0,5500000,8783,5175,1603098854
0,8500000,13250,9646,1603098850
0,5500000,8777,5175,1603098855
2,160,6391,2763,1603098858
2,40,4419,801,1603098860
1,512,4453,0,1603098861
2,160,6361,2739,1603098859
1,4096,4435,0,1603098862
1,10,3840,238,1603098863
2,40,4411,789,1603098863
2,10,3896,286,1603098864
0,4000000,6871,3277,1603098861
2,160,6302,2685,1603098862
0,4000000,6877,3265,1603098863
0,1000000,4048,453,1603098866
2,80,4982,1370,1603098865
1,10,3839,245,1603098867
0,7000000,10911,7305,1603098860
1,256,4457,0,1603098868
0,8500000,13246,9641,1603098860
0,1000000,4050,452,1603098871
0,8500000,13227,9632,1603098862
1,512,4460,0,1603098874
1,2048,4503,0,1603098875
1,128,4534,0,1603098875
0,2500000,5277,1670,1603098875
1,512,4480,0,1603098876
0,8500000,13239,9643,1603098867
1,512,4544,0,1603098877
1,128,4549,0,1603098877
2,160,6381,2769,1603098876
2,160,6398,2768,1603098876
1,4096,4433,0,1603098878
0,2500000,5272,1679,1603098877
1,10,3844,240,1603098879
0,2500000,5268,1671,1603098879
1,4096,4410,0,1603098880
2,320,8900,5288,1603098876
2,20,4100,497,1603098882
0,8500000,13236,9642,1603098873
2,40,4461,859,1603098883
2,40,4441,808,1603098883
0,1000000,4056,452,1603098884
0,4000000,6862,3264,1603098882
0,2500000,5272,1669,1603098885
0,5500000,8760,5170,1603098882
2,320,9031,5416,1603098882
0,4000000,6872,3275,1603098885
0,5500000,8769,5172,1603098884
2,160,7112,3491,1603098887
2,10,3901,282,1603098890
2,20,4055,439,1603098891
2,320,9756,6145,1603098886
2,10,3895,276,1603098892
2,40,4390,769,1603098892
1,128,4552,0,1603098892
1,256,4565,0,1603098892
0,4000000,6858,3264,1603098890
0,8500000,13241,9640,1603098885
2,10,3894,272,1603098896
1,128,4461,0,1603098896
0,4000000,6862,3267,1603098896
2,10,3885,271,1603098900
2,40,4397,773,1603098900
0,4000000,6862,3267,1603098897
0,1000000,4048,451,1603098900
0,2500000,5266,1670,1603098901
1,4096,4454,0,1603098902
2,20,4048,432,1603098903
1,10,3846,244,1603098904
2,10,3891,266,1603098905
0,1000000,4049,454,1603098905
0,8500000,13242,9641,1603098896
2,10,3925,279,1603098906
0,4000000,6868,3267,1603098904
1,1,3640,37,1603098908
1,1024,4567,0,1603098908
1,1024,4545,0,1603098908
2,10,3902,279,1603098910
1,512,4435,0,1603098910
2,160,7508,3893,1603098907
2,320,9107,5502,1603098905
0,7000000,10913,7317,1603098905
0,1000000,4048,452,1603098913
0,7000000,10901,7306,1603098906
2,10,3945,322,1603098915
1,4096,4457,0,1603098915
2,80,5108,1450,1603098915
1,2048,4455,0,1603098920
1,256,4460,0,1603098921
2,160,6278,2652,1603098919
1,512,4431,0,1603098922
0,7000000,10900,7305,1603098919
1,4096,4563,0,1603098926
1,128,4655,0,1603098926
1,2048,4641,0,1603098926
2,160,6275,2665,1603098925
1,1,3632,33,1603098928
0,4000000,6861,3263,1603098927
0,1000000,4041,452,1603098931
2,160,7104,3478,1603098928
1,256,4586,0,1603098933
1,4096,4584,0,1603098933
0,1000000,4059,452,1603098936
2,80,5127,1508,1603098937
1,512,4446,0,1603098939
2,320,10622,6986,1603098934
2,160,6472,2862,1603098939
2,320,9192,5574,1603098937
0,1000000,4045,452,1603098943
1,512,4460,0,1603098945
2,80,5338,1723,1603098945
2,80,5337,1726,1603098945
