Setting cpu: 0
Setting cpu: 1
Setting cpu: 2
Setting cpu: 3
Setting cpu: 4
Setting cpu: 5
Setting cpu: 6
Setting cpu: 7
Setting cpu: 8
Setting cpu: 9
Setting cpu: 10
Setting cpu: 11
Setting cpu: 12
Setting cpu: 13
Setting cpu: 14
Setting cpu: 15
Setting cpu: 16
Setting cpu: 17
Setting cpu: 18
Setting cpu: 19
Setting cpu: 20
Setting cpu: 21
Setting cpu: 22
Setting cpu: 23
Setting cpu: 24
Setting cpu: 25
Setting cpu: 26
Setting cpu: 27
Setting cpu: 28
Setting cpu: 29
Setting cpu: 30
Setting cpu: 31
Setting cpu: 32
Setting cpu: 33
Setting cpu: 34
Setting cpu: 35
workloadID, workload argument, run, tFC, tVM
0,1000000,0,3592,187
0,1000000,1,3554,187
0,1000000,2,3554,187
0,1000000,3,3554,187
0,1000000,4,3553,187
0,1000000,5,3586,187
0,1000000,6,3558,187
0,1000000,7,3589,187
0,1000000,8,3554,187
0,1000000,9,3554,187
0,2500000,0,4070,671
0,2500000,1,4034,671
0,2500000,2,4038,671
0,2500000,3,4022,671
0,2500000,4,4070,671
0,2500000,5,4034,671
0,2500000,6,4039,671
0,2500000,7,4037,671
0,2500000,8,4038,671
0,2500000,9,4070,670
0,4000000,0,4698,1297
0,4000000,1,4662,1296
0,4000000,2,4661,1296
0,4000000,3,4694,1296
0,4000000,4,4670,1296
0,4000000,5,4694,1297
0,4000000,6,4699,1296
0,4000000,7,4662,1296
0,4000000,8,4698,1296
0,4000000,9,4698,1297
0,5500000,0,5426,2030
0,5500000,1,5426,2029
0,5500000,2,5395,2029
0,5500000,3,5427,2029
0,5500000,4,5430,2030
0,5500000,5,5429,2029
0,5500000,6,5430,2029
0,5500000,7,5394,2029
0,5500000,8,5433,2029
0,5500000,9,5397,2030
0,7000000,0,6222,2852
0,7000000,1,6255,2851
0,7000000,2,6218,2851
0,7000000,3,6218,2851
0,7000000,4,6250,2851
0,7000000,5,6214,2851
0,7000000,6,6251,2851
0,7000000,7,6250,2851
0,7000000,8,6218,2852
0,7000000,9,6218,2851
0,8500000,0,7115,3750
0,8500000,1,7149,3751
0,8500000,2,7114,3750
0,8500000,3,7118,3751
0,8500000,4,7118,3751
0,8500000,5,7118,3751
0,8500000,6,7115,3751
0,8500000,7,7114,3750
0,8500000,8,7122,3751
0,8500000,9,7118,3751
2,10,0,3744,362
2,10,1,3714,335
2,10,2,3762,350
2,10,3,3718,337
2,10,4,3754,340
2,10,5,3770,359
2,10,6,3770,357
2,10,7,3757,344
2,10,8,3730,351
2,10,9,3726,348
2,20,0,3958,579
2,20,1,3914,534
2,20,2,3958,548
2,20,3,3994,584
2,20,4,3990,580
2,20,5,3942,565
2,20,6,3954,575
2,20,7,3949,565
2,20,8,3942,532
2,20,9,3934,555
2,40,0,4333,952
2,40,1,4407,995
2,40,2,4438,1023
2,40,3,4382,1006
2,40,4,4329,946
2,40,5,4414,998
2,40,6,4454,1033
2,40,7,4421,1041
2,40,8,4462,1047
2,40,9,4367,991
2,80,0,5374,1960
2,80,1,5234,1823
2,80,2,5270,1860
2,80,3,5286,1871
2,80,4,5362,1948
2,80,5,5315,1902
2,80,6,5175,1761
2,80,7,5242,1833
2,80,8,5202,1790
2,80,9,5199,1819
2,160,0,6890,3476
2,160,1,7031,3620
2,160,2,7122,3712
2,160,3,7186,3769
2,160,4,6959,3549
2,160,5,6946,3569
2,160,6,7074,3663
2,160,7,6930,3551
2,160,8,7174,3759
2,160,9,6951,3543
2,320,0,10417,7036
2,320,1,10426,7047
2,320,2,10731,7317
2,320,3,10130,6753
2,320,4,10634,7256
2,320,5,10723,7302
2,320,6,10314,6902
2,320,7,10410,7033
2,320,8,10623,7209
2,320,9,10710,7297
