#cpu_count: 36
#total_mem: 202471641088
t,cpu_user,cpu_system,cpu_idle,cpu_inter,cpu_percentage,load_1m,mem_avail,swap_used
1610035640.9316669,1.0,0.0,12.0,1.0,13.3,0.18,200251600896,0
1610035641.9331446,0.0,0.1,99.9,0.0,0.1,0.18,200253366272,0
1610035642.935143,0.1,0.0,99.9,0.0,0.1,0.18,200248524800,0
1610035643.9366713,2.0,1.7,96.2,0.1,3.8,0.16,200066723840,0
1610035644.9384558,7.5,3.6,88.3,0.6,11.7,0.16,199431634944,0
1610035645.9400976,25.9,5.1,67.9,1.0,32.2,0.16,198313934848,0
1610035646.941856,33.3,3.3,62.9,0.6,37.1,0.16,197408231424,0
1610035647.943702,46.2,2.5,49.8,1.5,50.2,0.16,197457326080,0
1610035648.9455345,44.3,3.0,51.7,1.0,48.3,1.67,197080154112,0
1610035649.9473221,38.5,4.0,56.7,0.9,43.3,1.67,196952641536,0
1610035650.9484417,51.1,5.0,43.0,0.9,57.0,1.67,196405870592,0
1610035651.950396,61.8,5.0,32.6,0.6,67.4,1.67,196094853120,0
1610035652.9522893,71.4,3.7,24.5,0.4,75.5,1.67,195814760448,0
1610035653.9563963,87.4,5.4,7.1,0.1,92.9,4.26,195438997504,0
1610035654.9584804,90.3,6.8,2.9,0.0,97.1,4.26,194869104640,0
1610035655.9644067,92.3,7.2,0.5,0.0,99.5,4.26,193835814912,0
1610035656.9694426,95.1,4.8,0.0,0.0,100.0,4.26,194178162688,0
1610035657.9723883,95.9,4.1,0.0,0.0,100.0,4.26,194230579200,0
1610035658.9763975,95.4,4.5,0.0,0.0,100.0,8.08,194018484224,0
1610035659.979975,95.7,4.3,0.0,0.0,100.0,8.08,193501409280,0
1610035660.9843833,93.9,6.0,0.1,0.0,99.9,8.08,192584388608,0
1610035661.9884014,93.7,6.3,0.0,0.0,100.0,8.08,192962490368,0
1610035662.996401,95.5,4.5,0.0,0.0,100.0,8.08,192577785856,0
1610035663.998595,95.8,4.2,0.0,0.0,100.0,12.4,192173764608,0
1610035665.0004067,97.1,2.9,0.0,0.0,100.0,12.4,191973695488,0
1610035666.0083816,96.2,3.8,0.0,0.0,100.0,12.4,192062033920,0
1610035667.012401,95.9,4.1,0.0,0.0,100.0,12.4,192676798464,0
1610035668.0164735,95.8,4.2,0.0,0.0,100.0,12.4,192331698176,0
1610035669.0204,96.1,3.8,0.0,0.0,100.0,16.77,192541171712,0
1610035670.0243871,95.5,4.5,0.0,0.0,100.0,16.77,192375631872,0
1610035671.028405,96.9,3.1,0.0,0.0,100.0,16.77,192116940800,0
1610035672.0324345,96.4,3.6,0.0,0.0,100.0,16.77,191991730176,0
1610035673.036405,96.5,3.5,0.0,0.0,100.0,16.77,192179720192,0
1610035674.0403893,95.8,4.1,0.1,0.0,99.9,20.4,192414609408,0
1610035675.0443947,95.7,4.3,0.0,0.0,100.0,20.4,192866103296,0
1610035676.0483935,95.3,4.7,0.0,0.0,100.0,20.4,192198828032,0
1610035677.0523925,95.1,4.9,0.0,0.0,100.0,20.4,192148733952,0
1610035678.0563967,95.5,4.5,0.0,0.0,100.0,20.4,191479296000,0
1610035679.0643833,95.1,4.9,0.0,0.0,100.0,24.69,191067533312,0
1610035680.0728266,96.3,3.7,0.0,0.0,100.0,24.69,191227596800,0
1610035681.0751565,96.3,3.7,0.0,0.0,100.0,24.69,190777626624,0
1610035682.080405,95.5,4.5,0.0,0.0,100.0,24.69,190074830848,0
1610035683.0843866,95.0,5.0,0.0,0.0,100.0,24.69,189477445632,0
1610035684.0883682,96.3,3.7,0.0,0.0,100.0,29.12,189341011968,0
1610035685.0923848,94.9,5.1,0.0,0.0,100.0,29.12,189103685632,0
1610035686.0963833,96.4,3.6,0.0,0.0,100.0,29.12,188759425024,0
1610035687.1004043,96.7,3.3,0.0,0.0,100.0,29.12,188725862400,0
1610035688.1043894,95.7,4.3,0.0,0.0,100.0,29.12,188668526592,0
1610035689.1083853,96.0,4.0,0.0,0.0,100.0,34.55,188414676992,0
1610035690.1123936,96.3,3.7,0.0,0.0,100.0,34.55,188146917376,0
1610035691.1163905,96.0,4.0,0.0,0.0,100.0,34.55,187349217280,0
1610035692.1203952,95.4,4.6,0.0,0.0,100.0,34.55,187347722240,0
1610035693.1243978,95.6,4.4,0.0,0.0,100.0,34.55,187569139712,0
1610035694.1283906,95.3,4.7,0.0,0.0,100.0,40.28,187268050944,0
1610035695.1323934,95.4,4.6,0.0,0.0,100.0,40.28,186677960704,0
1610035696.136376,95.6,4.4,0.0,0.0,100.0,40.28,186530779136,0
1610035697.1403866,95.9,4.1,0.0,0.0,100.0,40.28,186486247424,0
1610035698.1443806,96.1,3.9,0.0,0.0,100.0,40.28,186059067392,0
1610035699.1483824,95.6,4.4,0.0,0.0,100.0,46.58,185769177088,0
1610035700.1523817,95.2,4.8,0.0,0.0,100.0,46.58,185442766848,0
1610035701.156391,94.2,5.8,0.0,0.0,100.0,46.58,184947527680,0
1610035702.1603868,96.2,3.8,0.0,0.0,100.0,46.58,185134358528,0
1610035703.162998,95.7,4.3,0.0,0.0,100.0,46.58,185486524416,0
1610035704.1683817,96.3,3.7,0.0,0.0,100.0,52.62,185246715904,0
1610035705.172391,96.9,3.1,0.0,0.0,100.0,52.62,185071992832,0
1610035706.1763768,96.0,4.0,0.0,0.0,100.0,52.62,184667889664,0
1610035707.180383,96.7,3.3,0.0,0.0,100.0,52.62,184807464960,0
1610035708.184399,95.7,4.3,0.0,0.0,100.0,52.62,184955932672,0
1610035709.1884,95.8,4.2,0.0,0.0,100.0,58.42,184680132608,0
1610035710.1923878,96.2,3.8,0.0,0.0,100.0,58.42,184862588928,0
1610035711.196387,96.3,3.7,0.0,0.0,100.0,58.42,184848470016,0
1610035712.2003846,95.4,4.6,0.0,0.0,100.0,58.42,184183021568,0
1610035713.204382,95.7,4.3,0.0,0.0,100.0,58.42,183426519040,0
1610035714.2083824,95.7,4.3,0.0,0.0,100.0,64.71,183966982144,0
1610035715.2123911,95.9,4.1,0.0,0.0,100.0,64.71,183304507392,0
1610035716.2163773,96.1,3.9,0.0,0.0,100.0,64.71,182893006848,0
1610035717.22038,96.3,3.7,0.0,0.0,100.0,64.71,182883299328,0
1610035718.222498,95.2,4.8,0.0,0.0,100.0,64.71,182802587648,0
1610035719.2243755,96.3,3.7,0.0,0.0,100.0,70.74,182607605760,0
1610035720.2309222,96.1,3.9,0.0,0.0,100.0,70.74,182092591104,0
1610035721.2345037,93.9,6.1,0.0,0.0,100.0,70.74,181544493056,0
1610035722.2363906,95.5,4.5,0.0,0.0,100.0,70.74,181736128512,0
1610035723.2403827,94.9,5.1,0.0,0.0,100.0,70.74,182102114304,0
1610035724.244385,95.3,4.7,0.0,0.0,100.0,77.65,181528985600,0
1610035725.248387,95.2,4.8,0.0,0.0,100.0,77.65,181008642048,0
1610035726.252386,95.5,4.5,0.0,0.0,100.0,77.65,180845268992,0
1610035727.256388,95.4,4.6,0.0,0.0,100.0,77.65,180918063104,0
1610035728.2603889,95.7,4.3,0.0,0.0,100.0,77.65,180686852096,0
1610035729.264379,95.5,4.5,0.0,0.0,100.0,83.92,179956502528,0
1610035730.268387,96.5,3.5,0.0,0.0,100.0,83.92,180082700288,0
1610035731.2723825,96.2,3.8,0.0,0.0,100.0,83.92,180506902528,0
1610035732.2746313,96.9,3.1,0.0,0.0,100.0,83.92,180680343552,0
1610035733.2803926,95.6,4.4,0.0,0.0,100.0,83.92,180181737472,0
1610035734.284389,96.2,3.8,0.0,0.0,100.0,89.77,179820077056,0
