#cpu_count: 36
#total_mem: 202471645184
t,cpu_user,cpu_system,cpu_idle,cpu_inter,cpu_percentage,load_1m,mem_avail,swap_used
1609878267.4098432,1.0,0.0,13.0,0.0,7.1,0.08,200222867456,0
1609878268.4113138,0.0,0.0,100.0,0.0,0.0,0.08,200222871552,0
1609878269.4131033,0.1,0.0,99.9,0.0,0.1,0.08,200220532736,0
1609878270.4138615,2.7,1.8,95.2,0.3,4.8,0.15,199991619584,0
1609878271.4154444,10.5,3.1,85.7,0.7,14.3,0.15,199666925568,0
1609878272.4170175,29.2,7.2,62.7,0.9,37.3,0.15,198812737536,0
1609878273.4178221,53.1,5.3,40.8,0.7,59.2,0.15,198327463936,0
1609878274.4193935,81.9,6.9,11.1,0.1,88.9,0.15,197807386624,0
1609878275.421132,91.6,3.3,5.0,0.1,95.0,2.7,197743738880,0
1609878276.4219098,77.5,5.8,16.3,0.3,83.7,2.7,197522771968,0
1609878277.4238572,66.2,6.2,27.2,0.4,72.8,2.7,197426814976,0
1609878278.4276536,81.7,5.9,12.3,0.1,87.7,2.7,197788520448,0
1609878279.4292774,82.3,3.9,13.5,0.3,86.5,2.7,197755559936,0
1609878280.4309483,72.6,4.9,22.2,0.3,77.8,4.81,197627781120,0
1609878281.4326346,63.5,6.0,30.0,0.5,70.0,4.81,197748760576,0
1609878282.433902,64.9,5.5,29.1,0.5,70.9,4.81,197749366784,0
1609878283.4370537,76.1,7.4,16.3,0.3,83.7,4.81,197647052800,0
1609878284.4378426,94.2,5.0,0.9,0.0,99.1,4.81,197559164928,0
1609878285.4389567,86.6,6.4,6.9,0.1,93.1,7.55,197176893440,0
1609878286.4408355,83.3,6.9,9.8,0.0,90.2,7.55,197223022592,0
1609878287.4418416,87.1,6.3,6.6,0.0,93.4,7.55,197201522688,0
1609878288.4434805,80.8,5.5,13.6,0.2,86.4,7.55,197463949312,0
1609878289.4451284,70.0,5.8,23.6,0.5,76.4,7.55,197396025344,0
1609878290.447456,74.9,7.0,18.0,0.1,82.0,8.95,197566296064,0
1609878291.4490998,75.5,6.0,18.1,0.4,81.9,8.95,197552771072,0
1609878292.449869,75.6,4.3,19.8,0.2,80.2,8.95,197657169920,0
1609878293.4515555,64.4,4.9,29.6,1.0,70.4,8.95,197695053824,0
1609878294.45324,69.0,5.6,24.9,0.5,75.1,8.95,198018187264,0
1609878295.4548807,64.9,5.1,29.3,0.7,70.7,10.39,197910171648,0
1609878296.4565573,72.8,7.1,19.9,0.3,80.1,10.39,197656449024,0
1609878297.4578671,71.4,6.1,22.2,0.4,77.8,10.39,197468479488,0
1609878298.4594927,83.7,4.6,11.6,0.1,88.4,10.39,197631102976,0
1609878299.4611032,71.4,5.5,22.7,0.4,77.3,10.39,197541961728,0
1609878300.4618332,62.4,4.3,32.8,0.5,67.2,11.48,197768544256,0
1609878301.4635172,61.2,5.3,32.7,0.8,67.3,11.48,197957287936,0
1609878302.4652133,60.0,4.9,34.4,0.7,65.6,11.48,198058258432,0
1609878303.4668665,46.0,3.7,49.3,0.9,50.7,11.48,198209564672,0
1609878304.4685347,48.1,3.6,47.2,1.1,52.8,11.48,198380687360,0
1609878305.469874,55.7,7.2,36.5,0.6,63.5,12.08,198187606016,0
1609878306.4715178,59.6,8.0,32.0,0.4,68.0,12.08,197784322048,0
1609878307.4738367,89.1,4.2,6.6,0.1,93.4,12.08,197560770560,0
1609878308.477833,94.5,5.3,0.2,0.0,99.8,12.08,197354336256,0
1609878309.4795184,83.6,7.0,9.1,0.3,90.9,12.08,197098717184,0
1609878310.4812243,80.4,5.4,13.9,0.3,86.0,13.68,197116325888,0
1609878311.4829214,78.6,6.2,15.0,0.2,85.0,13.68,197406969856,0
1609878312.4845433,78.1,6.0,15.6,0.3,84.4,13.68,197700214784,0
1609878313.4858694,68.0,6.5,25.1,0.5,74.9,13.68,197550555136,0
1609878314.487545,66.9,5.8,26.8,0.5,73.2,13.68,197496004608,0
1609878315.4892085,67.6,7.2,25.0,0.3,75.0,14.67,197577129984,0
1609878316.4908535,63.9,5.5,30.1,0.5,69.9,14.67,197614596096,0
1609878317.4925058,65.7,5.7,28.0,0.7,72.0,14.67,197761204224,0
1609878318.4938688,69.6,7.7,22.4,0.3,77.6,14.67,197525819392,0
1609878319.4978313,89.0,4.0,7.0,0.1,93.0,14.67,197747564544,0
1609878320.4994726,78.2,4.8,16.7,0.3,83.3,16.29,197657886720,0
1609878321.5018358,74.3,6.4,19.1,0.2,80.9,16.29,197517688832,0
1609878322.503485,77.8,6.9,14.9,0.3,85.1,16.29,197516328960,0
1609878323.5049832,67.8,6.4,25.1,0.7,74.9,16.29,197376937984,0
1609878324.5058327,85.0,8.4,6.6,0.0,93.4,16.29,197083947008,0
1609878325.5074575,89.8,4.7,5.5,0.0,94.5,18.19,197421232128,0
1609878326.5090916,88.4,6.5,5.1,0.0,94.9,18.19,197261905920,0
1609878327.5098426,77.0,7.0,16.0,0.0,84.0,18.19,197224534016,0
1609878328.5112476,86.1,7.3,6.5,0.0,93.5,18.19,197345656832,0
1609878329.513377,87.2,5.0,7.8,0.1,92.2,18.19,197375361024,0
1609878330.5159159,96.4,3.0,0.6,0.0,99.4,19.62,197742407680,0
1609878331.5176177,85.8,4.3,9.5,0.4,90.5,19.62,197804371968,0
1609878332.5193253,63.9,4.3,31.0,0.8,68.9,19.62,197616156672,0
1609878333.520972,62.8,6.0,30.8,0.4,69.2,19.62,197893689344,0
1609878334.5218349,68.1,6.6,25.0,0.3,75.0,19.62,197728284672,0
1609878335.5234637,71.9,6.7,21.1,0.3,78.9,20.29,197632249856,0
1609878336.5250916,69.1,6.9,23.7,0.3,76.3,20.29,197432471552,0
1609878337.5258348,72.6,6.0,21.1,0.2,78.9,20.29,197511196672,0
1609878338.5274677,83.2,7.2,9.5,0.1,90.5,20.29,197403246592,0
1609878339.529572,80.9,7.7,11.3,0.1,88.7,20.29,197330243584,0
1609878340.5338361,91.6,6.0,2.4,0.0,97.6,21.55,197292863488,0
