workloadID, workload argument, run, tFC, tVM
0,1000000,0,3644,188
0,1000000,1,3636,188
0,1000000,2,3644,188
0,1000000,3,3640,188
0,1000000,4,3644,188
0,1000000,5,3635,188
0,1000000,6,3640,188
0,1000000,7,3644,188
0,1000000,8,3635,188
0,1000000,9,3640,188
0,2500000,0,4132,671
0,2500000,1,4128,671
0,2500000,2,4121,671
0,2500000,3,4131,671
0,2500000,4,4155,671
0,2500000,5,4125,671
0,2500000,6,4128,671
0,2500000,7,4124,671
0,2500000,8,4124,671
0,2500000,9,4124,671
0,4000000,0,4756,1297
0,4000000,1,4756,1297
0,4000000,2,4756,1297
0,4000000,3,4752,1297
0,4000000,4,4748,1297
0,4000000,5,4748,1297
0,4000000,6,4752,1297
0,4000000,7,4744,1297
0,4000000,8,4752,1297
0,4000000,9,4752,1297
0,5500000,0,5488,2030
0,5500000,1,5487,2030
0,5500000,2,5484,2030
0,5500000,3,5484,2030
0,5500000,4,5484,2030
0,5500000,5,5489,2030
0,5500000,6,5484,2030
0,5500000,7,5484,2030
0,5500000,8,5492,2030
0,5500000,9,5484,2030
0,7000000,0,6304,2852
0,7000000,1,6300,2853
0,7000000,2,6304,2852
0,7000000,3,6312,2853
0,7000000,4,6300,2852
0,7000000,5,6304,2852
0,7000000,6,6308,2852
0,7000000,7,6312,2852
0,7000000,8,6308,2852
0,7000000,9,6308,2852
0,8500000,0,7208,3751
0,8500000,1,7208,3751
0,8500000,2,7212,3752
0,8500000,3,7208,3751
0,8500000,4,7208,3751
0,8500000,5,7212,3751
0,8500000,6,7208,3751
0,8500000,7,7204,3751
0,8500000,8,7204,3751
0,8500000,9,7208,3751
2,10,0,3826,344
2,10,1,3839,355
2,10,2,3836,353
2,10,3,3828,346
2,10,4,3845,360
2,10,5,3839,356
2,10,6,3828,346
2,10,7,3820,343
2,10,8,3815,339
2,10,9,3840,356
2,20,0,4067,587
2,20,1,4027,550
2,20,2,4073,590
2,20,3,4051,571
2,20,4,4060,577
2,20,5,4062,584
2,20,6,4044,564
2,20,7,4064,584
2,20,8,4048,570
2,20,9,4056,576
2,40,0,4492,1015
2,40,1,4508,1030
2,40,2,4500,1018
2,40,3,4487,1007
2,40,4,4480,995
2,40,5,4540,1055
2,40,6,4519,1036
2,40,7,4451,968
2,40,8,4529,1051
2,40,9,4463,980
2,80,0,5439,1960
2,80,1,5396,1920
2,80,2,5428,1947
2,80,3,5444,1962
2,80,4,5380,1902
2,80,5,5387,1908
2,80,6,5453,1954
2,80,7,5439,1958
2,80,8,5360,1881
2,80,9,5452,1971
2,160,0,7287,3803
2,160,1,7205,3728
2,160,2,7306,3817
2,160,3,7176,3700
2,160,4,7225,3741
2,160,5,7142,3665
2,160,6,7220,3746
2,160,7,7201,3722
2,160,8,7214,3735
2,160,9,7197,3719
2,320,0,10712,7233
2,320,1,10831,7350
2,320,2,10739,7260
2,320,3,10297,6818
2,320,4,10899,7421
2,320,5,10708,7230
2,320,6,10548,7071
2,320,7,10911,7435
2,320,8,10800,7320
2,320,9,10687,7211
