#cpu_count: 36
#total_mem: 202471649280
t,cpu_user,cpu_system,cpu_idle,cpu_inter,cpu_percentage,load_1m,mem_avail,swap_used
1610731997.1419075,0.0,0.0,13.0,0.0,0.0,0.19,200106303488,0
1610731998.1433885,0.0,0.0,100.0,0.0,0.0,0.19,200105746432,0
1610731999.1453478,0.1,0.0,99.9,0.0,0.1,0.19,200101093376,0
1610732000.1473408,1.3,1.1,97.6,0.1,2.4,0.42,199999901696,0
1610732001.1494555,6.1,3.3,89.9,0.6,10.1,0.42,199725998080,0
1610732002.1509519,14.2,3.0,82.3,0.5,17.7,0.42,199288938496,0
1610732003.1531382,24.4,4.2,70.8,0.6,29.2,0.42,198721273856,0
1610732004.1549501,28.8,4.2,66.2,0.8,33.8,0.42,198367350784,0
1610732005.1571627,34.6,3.0,61.6,0.8,38.5,1.5,198257926144,0
1610732006.1589384,40.6,4.7,54.0,0.7,46.0,1.5,198159335424,0
1610732007.1610878,40.3,4.8,53.7,1.2,46.3,1.5,197929041920,0
1610732008.1632783,49.8,6.6,43.1,0.6,56.9,1.5,197656408064,0
1610732009.1653965,54.9,5.4,39.0,0.6,61.0,1.5,197267877888,0
1610732010.166957,62.0,4.3,33.2,0.6,66.8,3.47,197193375744,0
1610732011.1691184,58.8,2.5,37.9,0.7,62.1,3.47,197588385792,0
1610732012.1709516,51.6,3.6,43.5,1.3,56.5,3.47,197659734016,0
1610732013.1730947,41.9,4.0,52.9,1.2,47.0,3.47,198097256448,0
1610732014.1749563,39.0,4.3,55.9,0.7,44.1,3.47,197847707648,0
1610732015.1771426,45.5,6.6,47.2,0.7,52.8,4.71,197925859328,0
1610732016.1789484,57.2,5.2,36.8,0.8,63.2,4.71,197498236928,0
1610732017.181143,57.4,3.9,37.8,0.8,62.2,4.71,197144489984,0
1610732018.182958,51.2,4.3,43.7,0.8,56.3,4.71,197534044160,0
1610732019.185096,53.0,6.0,40.0,0.9,60.0,4.71,197853986816,0
1610732020.1869476,45.2,5.3,48.9,0.6,51.1,5.86,197775093760,0
1610732021.1890986,46.8,5.3,47.4,0.5,52.6,5.86,197699756032,0
1610732022.1909418,51.4,4.7,43.6,0.3,56.4,5.86,197784850432,0
1610732023.1931055,60.1,4.0,35.0,0.9,65.0,5.86,197693583360,0
1610732024.1948974,66.8,5.5,27.2,0.5,72.8,5.86,197657051136,0
1610732025.197048,54.1,5.6,39.9,0.4,60.1,7.23,197218672640,0
1610732026.19896,56.8,5.1,37.2,0.9,62.8,7.23,197223550976,0
1610732027.2011092,52.6,6.0,40.8,0.6,59.1,7.23,197125058560,0
1610732028.202915,53.1,4.8,41.5,0.6,58.5,7.23,197345697792,0
1610732029.205073,48.2,5.4,45.5,0.8,54.5,7.23,197361258496,0
1610732030.2069502,58.4,3.9,37.2,0.4,62.8,8.41,197732499456,0
1610732031.2090476,59.6,5.1,35.0,0.2,65.0,8.41,197740814336,0
1610732032.2109625,59.2,4.6,35.5,0.7,64.5,8.41,197709475840,0
1610732033.2131393,49.1,5.0,45.2,0.6,54.8,8.41,197854826496,0
1610732034.2149518,46.7,7.8,45.0,0.5,55.0,8.41,197701804032,0
1610732035.2171056,52.4,7.0,40.2,0.4,59.8,9.34,197689020416,0
1610732036.2189405,55.8,5.2,38.6,0.5,61.4,9.34,197727281152,0
1610732037.2210863,56.0,4.0,39.5,0.4,60.5,9.34,197996056576,0
1610732038.2229471,50.1,5.1,44.4,0.5,55.6,9.34,197889110016,0
1610732039.2250278,44.2,4.8,50.4,0.6,49.6,9.34,198043660288,0
1610732040.2269914,37.6,3.4,58.2,0.8,41.8,9.79,198407409664,0
1610732041.2291365,26.3,3.6,68.7,1.3,31.3,9.79,198700306432,0
1610732042.2309656,30.4,5.0,63.9,0.8,36.1,9.79,198713139200,0
1610732043.2331533,36.8,4.8,57.9,0.5,42.1,9.79,198339153920,0
1610732044.2349465,39.8,4.5,54.6,1.1,45.4,9.79,198171930624,0
1610732045.2370985,45.4,4.2,49.7,0.8,50.3,10.45,197802074112,0
1610732046.2392793,48.5,7.3,43.8,0.3,56.2,10.45,197779652608,0
1610732047.241438,57.0,7.3,35.3,0.4,64.7,10.45,197256032256,0
1610732048.242894,61.5,5.0,33.2,0.4,66.8,10.45,197390024704,0
1610732049.2448847,60.1,5.2,34.1,0.6,65.9,10.45,197198315520,0
1610732050.246957,58.8,5.4,35.3,0.4,64.7,11.46,197274386432,0
1610732051.2491882,47.7,4.2,47.5,0.5,52.5,11.46,197276303360,0
1610732052.250955,52.9,4.2,42.5,0.4,57.5,11.46,197786517504,0
1610732053.253177,51.8,3.0,44.1,1.1,55.9,11.46,198196600832,0
1610732054.2549407,51.4,2.8,45.2,0.6,54.7,11.46,198207393792,0
1610732055.256187,38.8,3.5,56.6,1.0,43.4,11.74,198254833664,0
1610732056.2583082,39.8,5.4,53.8,1.0,46.2,11.74,198352252928,0
1610732057.2602322,40.5,3.8,55.4,0.3,44.6,11.74,197971345408,0
1610732058.2624702,38.9,2.3,58.5,0.3,41.6,11.74,198095355904,0
1610732059.2646768,26.1,3.6,70.0,0.3,29.9,11.74,198230716416,0
1610732060.2668455,18.9,5.1,74.8,1.1,25.2,11.44,198320336896,0
1610732061.2689888,36.0,4.3,59.3,0.5,40.7,11.44,198519345152,0
1610732062.2709413,44.0,4.7,50.4,1.0,49.7,11.44,198466953216,0
1610732063.2730649,50.5,3.9,44.9,0.8,55.1,11.44,198053351424,0
1610732064.2749562,45.2,4.1,49.6,1.2,50.4,11.44,197821186048,0
1610732065.2771196,48.9,4.0,46.5,0.6,53.5,12.37,197861908480,0
1610732066.278951,56.1,5.0,38.2,0.6,61.8,12.37,197651730432,0
1610732067.2811224,49.2,4.2,45.9,0.7,54.1,12.37,197872848896,0
1610732068.2828968,48.2,5.6,45.5,0.7,54.5,12.37,197903884288,0
1610732069.2850087,50.9,5.8,42.4,0.9,57.6,12.37,197830950912,0
1610732070.2869053,62.8,4.9,31.8,0.4,68.2,13.46,197614338048,0
1610732071.289008,54.2,7.1,38.2,0.6,61.8,13.46,197149368320,0
1610732072.2909381,53.2,5.9,40.3,0.5,59.7,13.46,197259010048,0
1610732073.2930226,51.7,3.7,43.9,0.7,56.1,13.46,197647941632,0
1610732074.2949393,45.0,2.8,51.3,0.9,48.7,13.46,198521032704,0
1610732075.2970598,36.4,3.3,59.6,0.6,40.4,13.5,198594797568,0
1610732076.2991807,28.6,4.1,66.5,0.8,33.5,13.5,198616178688,0
1610732077.3013318,24.0,4.0,71.5,0.5,28.5,13.5,198490316800,0
1610732078.3029823,31.0,4.3,64.1,0.6,35.9,13.5,198276182016,0
1610732079.3051107,33.8,3.0,62.4,0.8,37.6,13.5,198424731648,0
1610732080.3069518,31.4,4.8,62.7,1.1,37.3,13.62,198168633344,0
1610732081.3090694,30.9,3.0,66.0,0.1,34.0,13.62,198457622528,0
1610732082.3109472,42.7,2.1,54.7,0.4,45.3,13.62,198594486272,0
1610732083.3130844,35.9,4.3,59.0,0.7,40.9,13.62,198343544832,0
1610732084.314956,36.6,3.4,59.8,0.1,40.2,13.62,198230904832,0
1610732085.3171225,38.4,4.7,56.4,0.5,43.6,13.81,198168674304,0
1610732086.3189552,35.5,4.7,59.0,0.9,41.0,13.81,198256779264,0
1610732087.3210917,39.1,6.0,54.2,0.7,45.8,13.81,198116933632,0
1610732088.3228955,53.0,7.5,38.8,0.6,61.2,13.81,197998936064,0
1610732089.324974,56.0,6.3,37.2,0.5,62.8,13.81,197545717760,0
1610732090.3269396,54.8,3.8,40.9,0.6,59.1,14.55,197526192128,0
1610732091.329019,47.9,4.4,47.3,0.4,52.7,14.55,197727633408,0
1610732092.3309453,45.2,5.5,48.5,0.8,51.5,14.55,197893804032,0
1610732093.3330772,45.0,5.1,49.3,0.7,50.7,14.55,197923450880,0
1610732094.3349745,51.3,3.5,44.7,0.5,55.3,14.55,197693186048,0
1610732095.3371685,50.7,6.4,42.4,0.5,57.7,14.66,197580247040,0
1610732096.3389428,49.9,3.6,46.1,0.5,53.9,14.66,197487865856,0
1610732097.3410764,49.9,3.9,45.6,0.6,54.4,14.66,197659742208,0
1610732098.3429272,44.7,3.4,51.0,0.8,49.0,14.66,197933465600,0
1610732099.344855,40.4,3.8,55.3,0.5,44.7,14.66,198058369024,0
1610732100.3469481,47.6,4.7,46.8,1.0,53.2,15.17,198375661568,0
1610732101.3490708,42.2,3.2,53.9,0.7,46.1,15.17,198104084480,0
1610732102.3509455,46.2,5.2,47.9,0.6,52.1,15.17,197874716672,0
1610732103.3530962,40.1,5.1,53.9,0.9,46.1,15.17,198003392512,0
1610732104.3549428,49.3,4.9,44.7,1.1,55.3,15.17,197875863552,0
1610732105.3570893,53.2,5.2,41.0,0.7,59.0,15.8,198005043200,0
1610732106.358901,48.8,3.8,46.9,0.6,53.2,15.8,197897166848,0
1610732107.3610315,47.3,5.6,46.3,0.8,53.7,15.8,197557350400,0
1610732108.3631618,54.9,5.8,38.7,0.6,61.3,15.8,197397143552,0
1610732109.3653164,48.4,7.0,44.0,0.7,56.0,15.8,197583441920,0
1610732110.3669026,52.0,3.3,44.3,0.4,55.7,16.06,197668880384,0
1610732111.369071,52.1,7.0,40.3,0.6,59.7,16.06,197836529664,0
1610732112.371236,43.6,4.6,51.4,0.5,48.6,16.06,197750693888,0
1610732113.3733048,45.5,4.6,49.3,0.6,50.7,16.06,197753761792,0
1610732114.3754327,32.4,4.0,62.9,0.7,37.1,16.06,197890342912,0
1610732115.3776271,37.5,5.5,56.3,0.7,43.7,16.05,198358937600,0
1610732116.3789408,26.5,4.8,67.9,0.8,32.1,16.05,198231883776,0
1610732117.3810682,29.2,4.4,65.7,0.7,34.3,16.05,198265384960,0
1610732118.382941,34.3,5.5,59.1,1.2,40.9,16.05,198328578048,0
1610732119.3848262,51.5,5.2,42.3,0.9,57.7,16.05,198569213952,0
1610732120.3869426,61.9,6.2,31.2,0.6,68.8,17.01,197866573824,0
1610732121.3890238,56.9,4.8,37.9,0.4,62.1,17.01,197412306944,0
1610732122.3909035,57.8,5.2,36.6,0.5,63.4,17.01,197375381504,0
1610732123.3930607,51.3,4.8,43.3,0.6,56.7,17.01,197135400960,0
1610732124.3949318,49.5,6.3,43.5,0.7,56.5,17.01,197354434560,0
1610732125.3967783,53.6,5.5,40.5,0.5,59.5,17.49,197432197120,0
1610732126.3988855,50.8,7.2,41.6,0.4,58.4,17.49,197563703296,0
1610732127.4009886,51.7,4.6,42.9,0.8,57.1,17.49,197534085120,0
1610732128.402944,64.5,6.4,28.4,0.7,71.6,17.49,197596200960,0
1610732129.4051166,62.3,5.0,32.1,0.7,67.9,17.49,197459419136,0
1610732130.407296,50.8,5.7,42.5,1.0,57.4,17.45,197352878080,0
1610732131.4094257,60.0,4.4,35.1,0.5,64.9,17.45,197566603264,0
1610732132.4116395,55.3,2.4,41.6,0.7,58.4,17.45,197872500736,0
1610732133.4138312,43.6,1.9,53.9,0.6,46.1,17.45,197924290560,0
1610732134.4160933,34.3,3.8,61.2,0.8,38.9,17.45,198407847936,0
1610732135.4182177,35.2,4.6,59.4,0.8,40.6,17.41,198230417408,0
1610732136.4203658,34.0,3.9,61.9,0.2,38.1,17.41,198165528576,0
1610732137.422487,45.0,3.8,50.4,0.8,49.6,17.41,198044082176,0
