workloadID, workload argument, run, tFC, tVM
0,1000000,0,4158,285
0,1000000,1,4118,283
0,1000000,2,4175,282
0,1000000,3,4128,283
0,1000000,4,4047,282
0,1000000,5,4187,283
0,1000000,6,4106,283
0,1000000,7,4188,283
0,1000000,8,4047,283
0,1000000,9,4164,282
0,2500000,0,4768,1011
0,2500000,1,4835,1011
0,2500000,2,4853,1011
0,2500000,3,4758,1018
0,2500000,4,4833,1011
0,2500000,5,4737,1011
0,2500000,6,4846,1011
0,2500000,7,4856,1012
0,2500000,8,4826,1011
0,2500000,9,4880,1011
0,4000000,0,5772,1955
0,4000000,1,5763,1955
0,4000000,2,5743,1955
0,4000000,3,5716,1955
0,4000000,4,5731,1954
0,4000000,5,5903,1954
0,4000000,6,5798,1955
0,4000000,7,5715,1954
0,4000000,8,5746,1955
0,4000000,9,5835,1955
0,5500000,0,6854,3060
0,5500000,1,6958,3060
0,5500000,2,6844,3060
0,5500000,3,6866,3060
0,5500000,4,6948,3061
0,5500000,5,6878,3060
0,5500000,6,6952,3060
0,5500000,7,6804,3060
0,5500000,8,6839,3060
0,5500000,9,6860,3060
0,7000000,0,8091,4299
0,7000000,1,8094,4300
0,7000000,2,8108,4299
0,7000000,3,8183,4299
0,7000000,4,8148,4299
0,7000000,5,8208,4300
0,7000000,6,8131,4299
0,7000000,7,8114,4311
0,7000000,8,8162,4300
0,7000000,9,8052,4299
0,8500000,0,9447,5655
0,8500000,1,9575,5655
0,8500000,2,9479,5654
0,8500000,3,9480,5655
0,8500000,4,9485,5654
0,8500000,5,9472,5655
0,8500000,6,9399,5656
0,8500000,7,9531,5655
0,8500000,8,9419,5655
0,8500000,9,9577,5655
1,4096,0,37833,33871
1,4096,1,37808,33885
1,4096,2,37830,33909
1,4096,3,37639,33779
1,4096,4,37464,33635
1,4096,5,37673,33828
1,4096,6,37670,33709
1,4096,7,37559,33744
1,4096,8,37884,33905
1,4096,9,37653,33812
1,2048,0,20803,16889
1,2048,1,20669,16827
1,2048,2,20719,16848
1,2048,3,20919,16943
1,2048,4,20763,16865
1,2048,5,20780,16859
1,2048,6,20827,16944
1,2048,7,20730,16925
1,2048,8,20691,16899
1,2048,9,20672,16861
1,1024,0,12405,8451
1,1024,1,12352,8435
1,1024,2,12239,8396
1,1024,3,12283,8453
1,1024,4,12280,8489
1,1024,5,12267,8423
1,1024,6,12382,8466
1,1024,7,12245,8453
1,1024,8,12305,8448
1,1024,9,12334,8520
1,512,0,8104,4262
1,512,1,8107,4263
1,512,2,8220,4272
1,512,3,8182,4247
1,512,4,8153,4275
1,512,5,8067,4239
1,512,6,8198,4316
1,512,7,8107,4301
1,512,8,8126,4330
1,512,9,8164,4269
1,256,0,6007,2172
1,256,1,6083,2190
1,256,2,5961,2173
1,256,3,6115,2175
1,256,4,6115,2188
1,256,5,5984,2174
1,256,6,6093,2178
1,256,7,5994,2177
1,256,8,6061,2180
1,256,9,6022,2170
1,128,0,4964,1141
1,128,1,4972,1134
1,128,2,4987,1141
1,128,3,5040,1130
1,128,4,4994,1136
1,128,5,5010,1147
1,128,6,5188,1229
1,128,7,4991,1135
1,128,8,5004,1139
1,128,9,5071,1138
1,10,0,4011,91
1,10,1,4010,90
1,10,2,3883,89
1,10,3,3863,91
1,10,4,3939,90
1,10,5,3950,90
1,10,6,4003,91
1,10,7,3883,89
1,10,8,3864,91
1,10,9,3859,89
1,1,0,3770,12
1,1,1,3837,12
1,1,2,3760,12
1,1,3,3814,12
1,1,4,3757,12
1,1,5,3850,12
1,1,6,3944,12
1,1,7,3881,12
1,1,8,3835,12
1,1,9,3759,12
2,10,0,4354,502
2,10,1,4386,499
2,10,2,4363,510
2,10,3,4362,513
2,10,4,4404,512
2,10,5,4380,510
2,10,6,4382,497
2,10,7,4426,511
2,10,8,4475,499
2,10,9,4319,509
2,20,0,4729,817
2,20,1,4735,829
2,20,2,4824,817
2,20,3,4640,817
2,20,4,4651,831
2,20,5,4684,819
2,20,6,4700,833
2,20,7,4659,815
2,20,8,4624,820
2,20,9,4673,817
2,40,0,5282,1454
2,40,1,5248,1453
2,40,2,5300,1451
2,40,3,5279,1474
2,40,4,5329,1454
2,40,5,5262,1470
2,40,6,5334,1455
2,40,7,5256,1470
2,40,8,5324,1453
2,40,9,5341,1467
2,80,0,6644,2758
2,80,1,6719,2744
2,80,2,6656,2746
2,80,3,6594,2751
2,80,4,6687,2740
2,80,5,6487,2720
2,80,6,6606,2731
2,80,7,6666,2787
2,80,8,6546,2732
2,80,9,6608,2732
2,160,0,9095,5292
2,160,1,9166,5280
2,160,2,9104,5288
2,160,3,9101,5275
2,160,4,9143,5315
2,160,5,9107,5300
2,160,6,9051,5298
2,160,7,9087,5264
2,160,8,9160,5303
2,160,9,9088,5276
2,320,0,14289,10405
2,320,1,14231,10374
2,320,2,14230,10358
2,320,3,14283,10418
2,320,4,14233,10395
2,320,5,14223,10393
2,320,6,14245,10406
2,320,7,14196,10371
2,320,8,14436,10399
2,320,9,14281,10432
