workloadID, workload argument, tFC, tVM, start time
1,128,5039,1166,1597933287
0,4000000,5875,1959,1597933287
1,1,3900,18,1597933290
1,4096,8278,0,1597933288
2,160,9508,5492,1597933289
1,1,3831,18,1597933296
1,4096,8176,0,1597933292
0,4000000,5938,2040,1597933294
0,5500000,6945,3088,1597933294
0,5500000,6924,3084,1597933296
0,7000000,8327,4320,1597933295
0,4000000,5881,1994,1597933302
1,256,6474,2536,1597933302
0,2500000,5047,1029,1597933304
2,320,15825,11951,1597933294
0,1000000,4162,285,1597933307
0,7000000,8392,4435,1597933303
1,1024,8426,0,1597933305
0,8500000,9725,5738,1597933305
2,320,16508,12507,1597933298
0,2500000,4907,1026,1597933311
0,5500000,7016,3093,1597933310
1,1,3917,19,1597933314
1,128,5171,1243,1597933314
2,320,16376,12453,1597933303
2,160,9771,5845,1597933311
0,4000000,5893,1979,1597933315
0,2500000,4827,1022,1597933317
2,40,5718,1692,1597933318
2,10,4616,602,1597933319
1,2048,8277,0,1597933316
2,10,4422,539,1597933321
0,4000000,5842,1967,1597933321
1,10,3923,99,1597933326
2,320,15245,11363,1597933316
1,2048,8451,0,1597933324
1,512,8488,0,1597933325
2,80,7366,3513,1597933326
0,7000000,8334,4355,1597933327
2,160,10066,6154,1597933326
0,5500000,6951,3079,1597933330
0,8500000,9616,5682,1597933327
1,128,4962,1164,1597933333
0,1000000,4117,282,1597933338
0,4000000,5727,1955,1597933337
0,1000000,4055,283,1597933339
2,10,4402,511,1597933343
2,10,4342,501,1597933347
1,512,8084,0,1597933344
1,512,8149,0,1597933345
2,80,6633,2754,1597933347
1,512,8222,0,1597933348
1,1024,8082,0,1597933350
0,7000000,8070,4312,1597933356
1,512,8127,0,1597933358
1,256,6343,2366,1597933361
0,1000000,4243,286,1597933364
2,80,7949,3908,1597933365
1,1,3898,20,1597933371
2,320,16479,12645,1597933359
2,320,16435,12599,1597933360
1,4096,8480,0,1597933368
1,256,6043,2214,1597933374
0,7000000,8196,4303,1597933373
1,128,4989,1167,1597933378
0,5500000,6888,3061,1597933378
1,4096,7921,0,1597933381
1,256,6032,2215,1597933383
1,512,7933,0,1597933384
0,4000000,5773,1955,1597933390
0,1000000,4070,282,1597933392
0,5500000,6882,3092,1597933391
2,10,4357,497,1597933396
2,10,4288,496,1597933397
0,7000000,8027,4303,1597933395
2,20,4772,830,1597933402
0,2500000,4874,1012,1597933404
1,512,8005,0,1597933402
0,7000000,8133,4337,1597933405
1,512,8145,0,1597933406
1,1,3876,19,1597933410
0,4000000,5837,1981,1597933409
2,80,7126,3279,1597933408
1,4096,8942,0,1597933408
2,20,5217,1254,1597933412
2,10,4830,771,1597933412
0,5500000,7122,3191,1597933411
0,4000000,5980,1967,1597933413
1,2048,8767,0,1597933411
2,320,16036,12185,1597933406
1,512,8751,0,1597933413
0,4000000,5891,1976,1597933416
0,8500000,9789,5771,1597933413
1,128,5252,1293,1597933417
1,128,5112,1222,1597933418
1,1,4006,18,1597933422
0,7000000,8414,4415,1597933417
0,1000000,4206,286,1597933422
2,320,15696,11814,1597933411
0,2500000,4805,1011,1597933424
1,1,3915,18,1597933428
2,10,4437,502,1597933431
1,4096,8066,0,1597933428
1,128,4975,1178,1597933432
0,5500000,6814,3066,1597933431
0,2500000,4752,1013,1597933435
0,7000000,8071,4303,1597933433
0,5500000,6820,3071,1597933435
0,1000000,4068,286,1597933438
0,4000000,5792,1967,1597933436
0,7000000,8061,4314,1597933434
1,1024,8138,0,1597933437
0,2500000,4833,1024,1597933442
1,512,8202,0,1597933440
2,320,14411,10653,1597933437
1,2048,8342,0,1597933443
2,160,9497,5586,1597933446
1,4096,8298,0,1597933447
1,2048,8284,0,1597933448
1,512,8249,0,1597933448
0,1000000,4024,283,1597933453
0,8500000,9557,5696,1597933448
0,4000000,5866,1957,1597933454
0,2500000,4804,1013,1597933456
0,5500000,6884,3073,1597933454
2,10,4508,644,1597933457
2,40,5406,1571,1597933456
2,40,5535,1541,1597933457
1,128,5075,1223,1597933464
0,8500000,9451,5691,1597933460
2,160,9322,5514,1597933461
2,40,5555,1696,1597933465
2,40,5566,1617,1597933466
0,7000000,8316,4336,1597933465
1,512,8182,0,1597933467
0,4000000,5799,1968,1597933469
0,2500000,4912,1022,1597933473
2,160,9181,5349,1597933470
0,5500000,7016,3084,1597933473
1,1024,8126,0,1597933473
1,256,6005,2223,1597933477
0,8500000,9530,5662,1597933475
0,8500000,9502,5666,1597933475
0,5500000,6921,3091,1597933478
1,128,5249,1185,1597933480
1,4096,8134,0,1597933477
1,128,5059,1195,1597933481
2,80,7102,3157,1597933482
0,5500000,7053,3178,1597933483
1,1,4093,24,1597933487
1,128,5576,1481,1597933487
2,40,6624,2615,1597933486
2,80,8681,4611,1597933485
0,7000000,8497,4532,1597933485
0,4000000,6200,2099,1597933488
0,5500000,7515,3280,1597933488
2,80,8539,4192,1597933489
1,256,6680,2513,1597933492
1,1024,9302,0,1597933490
1,1024,9023,0,1597933490
0,5500000,7169,3122,1597933493
2,320,18500,14678,1597933482
1,2048,8799,0,1597933492
2,320,18478,14626,1597933484
1,1,3925,18,1597933499
2,80,6949,3053,1597933496
0,8500000,9790,5734,1597933494
1,10,3838,95,1597933501
0,8500000,9652,5812,1597933498
1,1,3771,19,1597933505
1,10,3875,100,1597933505
1,256,6177,2347,1597933505
1,512,8287,0,1597933504
2,10,4425,570,1597933509
0,4000000,5959,1977,1597933509
1,512,8323,0,1597933507
2,10,4716,632,1597933512
1,1024,8456,0,1597933509
1,128,5110,1261,1597933513
1,10,3938,101,1597933514
0,8500000,9595,5688,1597933509
1,512,8533,0,1597933510
2,320,14904,11029,1597933504
2,160,9644,5718,1597933512
1,10,3924,95,1597933521
0,7000000,8195,4377,1597933516
0,5500000,6923,3064,1597933519
1,2048,7992,0,1597933519
2,20,4654,825,1597933524
0,7000000,8067,4313,1597933521
0,4000000,5750,1964,1597933524
1,512,8039,0,1597933522
1,2048,8121,0,1597933526
1,1024,8148,0,1597933527
0,8500000,9630,5676,1597933525
0,8500000,9507,5710,1597933527
0,5500000,6898,3093,1597933529
1,1,3838,18,1597933533
0,8500000,9615,5730,1597933530
2,320,14695,10828,1597933527
2,160,9573,5715,1597933534
0,8500000,9555,5674,1597933539
2,10,4473,564,1597933545
1,256,6269,2357,1597933544
1,2048,8359,0,1597933544
2,10,4574,672,1597933548
0,4000000,5846,1983,1597933547
1,1024,8412,0,1597933546
0,5500000,7006,3079,1597933549
2,320,15639,11756,1597933542
1,2048,8432,0,1597933550
1,256,6385,2365,1597933553
0,1000000,4199,287,1597933556
2,320,15954,12063,1597933545
0,7000000,8155,4328,1597933555
1,10,4037,105,1597933561
2,20,5123,1165,1597933560
2,80,7255,3389,1597933558
2,20,4979,1040,1597933561
0,8500000,9611,5690,1597933557
2,320,15393,11509,1597933554
1,512,8755,0,1597933562
0,4000000,5874,1962,1597933565
1,512,8188,0,1597933564
0,4000000,5804,1957,1597933566
0,5500000,6857,3062,1597933566
2,10,4364,549,1597933570
0,2500000,4884,1023,1597933571
2,80,6711,2842,1597933570
0,2500000,4940,1123,1597933572
0,2500000,4824,1011,1597933575
0,4000000,5755,1956,1597933574
2,20,4629,835,1597933576
0,1000000,4080,283,1597933580
0,5500000,6853,3064,1597933577
2,10,4310,500,1597933580
1,1,3857,19,1597933583
0,5500000,6809,3077,1597933580
2,80,6623,2789,1597933582
2,20,4749,862,1597933585
0,5500000,6939,3097,1597933589
1,1,3882,19,1597933593
0,5500000,6942,3093,1597933590
0,5500000,6899,3095,1597933591
0,7000000,8202,4349,1597933591
0,5500000,6901,3084,1597933594
2,320,14299,10463,1597933587
2,10,4307,502,1597933600
1,128,4989,1221,1597933601
2,40,5315,1552,1597933601
0,7000000,8184,4321,1597933599
2,20,4876,942,1597933604
1,256,6362,2368,1597933602
0,4000000,5859,2002,1597933603
1,4096,8284,0,1597933602
1,256,6355,2329,1597933605
2,160,9371,5550,1597933602
1,256,6229,2307,1597933605
0,8500000,9530,5694,1597933605
1,256,6101,2306,1597933610
1,10,3959,99,1597933612
2,160,9199,5384,1597933609
0,1000000,4115,283,1597933616
2,10,4330,500,1597933621
