workloadID, workload argument, tFC, tVM, start time
2,10,4327,503,1597921096
2,10,4320,503,1597921097
2,40,6338,2421,1597921102
2,40,6383,2428,1597921102
2,10,4707,658,1597921104
2,160,11399,7598,1597921101
2,20,5224,1164,1597921108
2,20,6516,2248,1597921111
2,160,14089,9775,1597921105
2,80,10911,6689,1597921109
2,320,22647,18515,1597921099
2,80,13331,8497,1597921112
2,40,9908,4693,1597921115
2,10,6575,1596,1597921119
2,80,13367,8816,1597921112
2,80,12434,7028,1597921118
2,10,5717,1224,1597921125
2,20,6902,2138,1597921128
2,20,7708,2965,1597921128
2,160,22879,17221,1597921115
2,40,13864,7699,1597921132
2,320,38410,34031,1597921110
2,320,41431,37054,1597921111
2,40,15205,9453,1597921141
2,10,9376,3120,1597921149
2,40,15461,8959,1597921143
2,320,47361,42553,1597921112
2,80,22954,17008,1597921138
2,160,33111,27920,1597921129
2,160,34408,29138,1597921129
2,20,9497,3415,1597921157
2,20,9312,3591,1597921158
2,20,10505,4161,1597921159
2,20,11374,5164,1597921162
2,20,12838,6224,1597921163
2,160,40372,34285,1597921136
2,40,16655,10660,1597921162
2,160,40820,34728,1597921140
2,20,13266,6192,1597921169
2,160,43770,37369,1597921143
2,40,18223,10958,1597921169
2,10,10010,3285,1597921178
2,40,18662,11514,1597921169
2,80,26594,20123,1597921162
2,40,17884,10501,1597921172
2,320,68220,63303,1597921124
2,40,19610,12287,1597921173
2,20,12400,5388,1597921181
2,20,13152,6180,1597921180
2,320,68825,63892,1597921126
2,160,44693,37739,1597921152
2,10,10318,3628,1597921189
2,10,10737,3898,1597921189
2,320,71829,66630,1597921129
2,10,10792,3870,1597921190
2,10,10168,3068,1597921195
2,10,9960,3174,1597921197
2,320,77647,71976,1597921129
2,40,18103,11269,1597921189
2,80,29611,22490,1597921180
2,10,10754,3357,1597921199
2,160,46560,39484,1597921164
2,10,10304,3546,1597921202
2,80,29353,22174,1597921183
2,20,12935,5948,1597921199
2,160,48084,42006,1597921165
2,320,79975,73837,1597921133
2,80,27125,20561,1597921187
2,20,11242,5143,1597921203
2,20,12387,5610,1597921202
