---------------------------------------------------
CPU's online: 0-15	 CPU's offline: 
---------------------------------------------------
Disabling HyperThreading
CPU: 0	-> enable
CPU: 1	-> enable
CPU: 10	-> disabled
CPU: 11	-> disabled
CPU: 12	-> disabled
CPU: 13	-> disabled
CPU: 14	-> disabled
CPU: 15	-> disabled
CPU: 2	-> enable
CPU: 3	-> enable
CPU: 4	-> enable
CPU: 5	-> enable
CPU: 6	-> enable
CPU: 7	-> enable
CPU: 8	-> disabled
CPU: 9	-> disabled
Setting cpu: 0
Setting cpu: 1
Setting cpu: 2
Setting cpu: 3
Setting cpu: 4
Setting cpu: 5
Setting cpu: 6
Setting cpu: 7
1
4194303
workloadID, workload argument, run, tFC, tVM
0,1000000,0,4145,285
0,1000000,1,4216,283
0,1000000,2,4128,283
0,1000000,3,4100,283
0,1000000,4,4094,283
0,1000000,5,4081,283
0,1000000,6,4030,283
0,1000000,7,4101,283
0,1000000,8,4083,283
0,1000000,9,4127,283
0,2500000,0,4896,1011
0,2500000,1,4808,1011
0,2500000,2,4887,1012
0,2500000,3,4810,1011
0,2500000,4,4901,1011
0,2500000,5,4798,1011
0,2500000,6,4852,1011
0,2500000,7,4752,1011
0,2500000,8,4811,1011
0,2500000,9,4767,1011
0,4000000,0,5865,1954
0,4000000,1,5876,1955
0,4000000,2,5860,1955
0,4000000,3,5753,1955
0,4000000,4,5796,1955
0,4000000,5,5756,1954
0,4000000,6,5760,1954
0,4000000,7,5739,1955
0,4000000,8,5802,2030
0,4000000,9,5876,1955
0,5500000,0,6840,3060
0,5500000,1,6997,3123
0,5500000,2,6854,3060
0,5500000,3,6963,3060
0,5500000,4,6858,3060
0,5500000,5,6946,3060
0,5500000,6,6876,3059
0,5500000,7,6954,3060
0,5500000,8,6890,3060
0,5500000,9,6854,3060
0,7000000,0,8100,4298
0,7000000,1,8096,4298
0,7000000,2,8109,4300
0,7000000,3,8227,4299
0,7000000,4,8123,4299
0,7000000,5,8087,4299
0,7000000,6,8107,4299
0,7000000,7,8100,4299
0,7000000,8,8104,4299
0,7000000,9,8107,4299
0,8500000,0,9451,5653
0,8500000,1,9477,5654
0,8500000,2,9449,5723
0,8500000,3,9530,5653
0,8500000,4,9496,5654
0,8500000,5,9464,5654
0,8500000,6,9588,5654
0,8500000,7,9554,5653
0,8500000,8,9420,5654
0,8500000,9,9612,5723
1,4096,0,37585,33717
1,4096,1,37659,33716
1,4096,2,37868,34017
1,4096,3,37425,33608
1,4096,4,37526,33663
1,4096,5,37623,33780
1,4096,6,37632,33796
1,4096,7,37431,33640
1,4096,8,37709,33927
1,4096,9,37463,33619
1,2048,0,20612,16787
1,2048,1,20848,16852
1,2048,2,20672,16784
1,2048,3,20860,16896
1,2048,4,20729,16863
1,2048,5,20678,16812
1,2048,6,20751,16863
1,2048,7,20656,16847
1,2048,8,20641,16799
1,2048,9,20736,16863
1,1024,0,12345,8433
1,1024,1,12352,8459
1,1024,2,12338,8424
1,1024,3,12321,8455
1,1024,4,12346,8460
1,1024,5,12315,8438
1,1024,6,12332,8508
1,1024,7,12267,8438
1,1024,8,12256,8461
1,1024,9,12299,8444
1,512,0,8183,4292
1,512,1,8241,4375
1,512,2,8236,4272
1,512,3,8231,4269
1,512,4,8127,4310
1,512,5,8131,4311
1,512,6,8080,4276
1,512,7,8099,4281
1,512,8,8168,4239
1,512,9,8159,4287
1,256,0,6066,2185
1,256,1,6031,2185
1,256,2,6124,2180
1,256,3,5961,2159
1,256,4,6224,2282
1,256,5,5995,2176
1,256,6,5977,2177
1,256,7,5986,2168
1,256,8,6078,2173
1,256,9,5997,2168
1,128,0,4978,1143
1,128,1,5051,1124
1,128,2,4978,1130
1,128,3,5102,1137
1,128,4,5040,1146
1,128,5,4968,1128
1,128,6,4992,1141
1,128,7,5084,1139
1,128,8,4998,1143
1,128,9,4963,1129
1,10,0,3897,89
1,10,1,3919,91
1,10,2,3899,91
1,10,3,3968,89
1,10,4,3876,89
1,10,5,3868,89
1,10,6,3920,91
1,10,7,3902,90
1,10,8,3846,91
1,10,9,3860,90
1,1,0,3913,12
1,1,1,3824,12
1,1,2,3764,12
1,1,3,3829,12
1,1,4,3746,12
1,1,5,3904,12
1,1,6,3793,12
1,1,7,3848,12
1,1,8,3761,12
1,1,9,3824,12
2,10,0,4278,506
2,10,1,4427,497
2,10,2,4298,503
2,10,3,4434,504
2,10,4,4473,496
2,10,5,4292,508
2,10,6,4348,511
2,10,7,4336,504
2,10,8,4330,497
2,10,9,4350,509
2,20,0,4781,815
2,20,1,4741,816
2,20,2,4627,826
2,20,3,4576,814
2,20,4,4631,813
2,20,5,4683,862
2,20,6,4680,835
2,20,7,4680,829
2,20,8,4648,833
2,20,9,4623,826
2,40,0,5424,1461
2,40,1,5370,1454
2,40,2,5260,1456
2,40,3,5228,1449
2,40,4,5242,1464
2,40,5,5296,1448
2,40,6,5344,1464
2,40,7,5296,1454
2,40,8,5323,1467
2,40,9,5243,1454
2,80,0,6594,2737
2,80,1,6516,2743
2,80,2,6705,2733
2,80,3,6613,2739
2,80,4,6497,2720
2,80,5,6666,2776
2,80,6,6567,2747
2,80,7,6549,2722
2,80,8,6547,2746
2,80,9,6600,2752
2,160,0,9114,5285
2,160,1,9107,5274
2,160,2,9105,5301
2,160,3,9098,5275
2,160,4,9124,5294
2,160,5,9074,5273
2,160,6,9317,5295
2,160,7,9052,5295
2,160,8,9129,5307
2,160,9,9058,5277
2,320,0,14235,10400
2,320,1,14227,10412
2,320,2,14211,10374
2,320,3,14260,10411
2,320,4,14208,10388
2,320,5,14244,10408
2,320,6,14231,10407
2,320,7,14195,10382
2,320,8,14221,10361
2,320,9,14240,10389
