Setting cpu: 0
Setting cpu: 1
Setting cpu: 2
Setting cpu: 3
Setting cpu: 4
Setting cpu: 5
Setting cpu: 6
Setting cpu: 7
4194303
workloadID, workload argument, run, tFC, tVM
0,1000000,0,4177,284
0,1000000,1,4035,282
0,1000000,2,4168,282
0,1000000,3,4135,283
0,1000000,4,4107,283
0,1000000,5,4087,283
0,1000000,6,4101,282
0,1000000,7,4124,283
0,1000000,8,4194,282
0,1000000,9,4035,282
0,2500000,0,4808,1010
0,2500000,1,4835,1010
0,2500000,2,4884,1011
0,2500000,3,4746,1011
0,2500000,4,4839,1011
0,2500000,5,4928,1010
0,2500000,6,4895,1011
0,2500000,7,4760,1011
0,2500000,8,4830,1010
0,2500000,9,4755,1011
0,4000000,0,5886,1954
0,4000000,1,5826,1954
0,4000000,2,5775,1955
0,4000000,3,5740,1954
0,4000000,4,5727,1955
0,4000000,5,5699,1954
0,4000000,6,5749,1953
0,4000000,7,5746,1954
0,4000000,8,5790,2030
0,4000000,9,5793,1954
0,5500000,0,6908,3060
0,5500000,1,6891,3059
0,5500000,2,6855,3060
0,5500000,3,6857,3059
0,5500000,4,6855,3059
0,5500000,5,6954,3060
0,5500000,6,6844,3059
0,5500000,7,6869,3059
0,5500000,8,6846,3059
0,5500000,9,6911,3059
0,7000000,0,8194,4298
0,7000000,1,8274,4298
0,7000000,2,8055,4299
0,7000000,3,8119,4318
0,7000000,4,8079,4299
0,7000000,5,8197,4298
0,7000000,6,8134,4298
0,7000000,7,8107,4318
0,7000000,8,8174,4299
0,7000000,9,8124,4298
0,8500000,0,9562,5654
0,8500000,1,9416,5656
0,8500000,2,9573,5653
0,8500000,3,9492,5654
0,8500000,4,9583,5653
0,8500000,5,9468,5653
0,8500000,6,9512,5654
0,8500000,7,9482,5653
0,8500000,8,9488,5655
0,8500000,9,9467,5657
1,4096,0,37997,33977
1,4096,1,37803,33823
1,4096,2,37688,33813
1,4096,3,37447,33614
1,4096,4,37735,33771
1,4096,5,37852,33800
1,4096,6,37553,33683
1,4096,7,37651,33776
1,4096,8,37850,33985
1,4096,9,37503,33654
1,2048,0,20730,16878
1,2048,1,20728,16909
1,2048,2,20717,16914
1,2048,3,21120,17169
1,2048,4,20797,16878
1,2048,5,20785,16891
1,2048,6,20727,16903
1,2048,7,20710,16879
1,2048,8,20803,16901
1,2048,9,20733,16843
1,1024,0,12432,8493
1,1024,1,12335,8503
1,1024,2,12429,8426
1,1024,3,12316,8444
1,1024,4,12389,8491
1,1024,5,12358,8505
1,1024,6,12374,8489
1,1024,7,12327,8455
1,1024,8,12348,8472
1,1024,9,12232,8430
1,512,0,8124,4263
1,512,1,8412,4331
1,512,2,8103,4259
1,512,3,8104,4273
1,512,4,8104,4273
1,512,5,8104,4281
1,512,6,8245,4307
1,512,7,8098,4283
1,512,8,8153,4317
1,512,9,8143,4265
1,256,0,6231,2189
1,256,1,6122,2184
1,256,2,6019,2189
1,256,3,6067,2180
1,256,4,6008,2183
1,256,5,6078,2193
1,256,6,6117,2187
1,256,7,6032,2203
1,256,8,6051,2186
1,256,9,6077,2257
1,128,0,4998,1153
1,128,1,5043,1221
1,128,2,4989,1153
1,128,3,5030,1146
1,128,4,5048,1145
1,128,5,5032,1143
1,128,6,5087,1184
1,128,7,5009,1149
1,128,8,4984,1141
1,128,9,4974,1148
1,10,0,3879,90
1,10,1,3867,91
1,10,2,3860,91
1,10,3,3839,91
1,10,4,3968,91
1,10,5,3867,90
1,10,6,3942,92
1,10,7,3999,91
1,10,8,4011,90
1,10,9,3844,90
1,1,0,3777,12
1,1,1,3827,12
1,1,2,3835,12
1,1,3,3927,12
1,1,4,3808,12
1,1,5,3892,12
1,1,6,3826,12
1,1,7,3853,12
1,1,8,3849,12
1,1,9,3816,12
2,10,0,4308,502
2,10,1,4344,513
2,10,2,4364,514
2,10,3,4448,515
2,10,4,4386,500
2,10,5,4350,516
2,10,6,4371,515
2,10,7,4341,515
2,10,8,4375,511
2,10,9,4422,515
2,20,0,4600,835
2,20,1,4607,818
2,20,2,4716,844
2,20,3,4684,818
2,20,4,4651,839
2,20,5,4699,840
2,20,6,4653,820
2,20,7,4721,832
2,20,8,4603,818
2,20,9,4775,836
2,40,0,5380,1460
2,40,1,5373,1473
2,40,2,5268,1457
2,40,3,5328,1469
2,40,4,5321,1472
2,40,5,5303,1475
2,40,6,5405,1456
2,40,7,5296,1472
2,40,8,5395,1453
2,40,9,5310,1460
2,80,0,6612,2756
2,80,1,6619,2729
2,80,2,6577,2730
2,80,3,6623,2739
2,80,4,6635,2754
2,80,5,6548,2727
2,80,6,6607,2729
2,80,7,6540,2754
2,80,8,6595,2744
2,80,9,6691,2733
2,160,0,9163,5307
2,160,1,9110,5300
2,160,2,9292,5302
2,160,3,9172,5307
2,160,4,9100,5285
2,160,5,9108,5291
2,160,6,9137,5301
2,160,7,9066,5275
2,160,8,9113,5292
2,160,9,9112,5284
2,320,0,14285,10366
2,320,1,14289,10426
2,320,2,14190,10359
2,320,3,14339,10401
2,320,4,14252,10378
2,320,5,14355,10394
2,320,6,14233,10385
2,320,7,14261,10417
2,320,8,14211,10388
2,320,9,14235,10395
