#cpu_count: 8
#total_mem: 67416018944
t,cpu_user,cpu_system,cpu_idle,cpu_inter,cpu_percentage,load_1m,mem_avail,swap_used
1607438854.0969613,1.0,0.0,5.0,0.0,16.7,0.2,66372894720,0
1607438855.0995936,0.0,0.0,100.0,0.0,0.0,0.2,66373115904,0
1607438856.1021693,0.4,0.5,99.1,0.0,0.9,0.18,66370207744,0
1607438857.104232,5.7,6.5,87.4,0.30000000000000004,12.3,0.18,66285867008,0
1607438858.106858,13.2,6.1,80.0,0.6000000000000001,19.7,0.18,66197250048,0
1607438859.109498,29.3,11.3,58.0,1.4,42.0,0.18,65916485632,0
1607438860.1119974,8.0,3.6,88.4,0.0,11.6,0.18,65898311680,0
1607438861.114311,16.3,6.3,75.9,1.5,24.0,0.33,65948536832,0
1607438862.116968,6.6,4.8,88.6,0.0,11.5,0.33,66050764800,0
1607438863.1196709,3.6,3.2,93.1,0.0,6.8,0.33,66216501248,0
1607438864.122379,14.2,5.3,79.6,0.9,20.4,0.33,66098176000,0
1607438865.1248293,10.8,2.6,86.4,0.1,13.6,0.33,66083577856,0
1607438866.1275358,7.3,1.6,91.0,0.1,8.9,0.38,66025349120,0
1607438867.1301374,5.6,6.6,86.9,1.0,13.1,0.38,66093293568,0
1607438868.1328254,13.1,4.0,82.3,0.6,17.9,0.38,66176069632,0
1607438869.1354458,9.5,2.7,87.4,0.4,12.3,0.38,66090348544,0
1607438870.13813,4.4,0.9,94.6,0.1,5.4,0.38,66125209600,0
1607438871.1407862,3.6,4.4,91.9,0.1,8.2,0.35,66220822528,0
1607438872.1433659,7.5,5.2,86.9,0.4,13.0,0.35,66221654016,0
1607438873.145188,21.5,8.3,69.5,0.7,30.5,0.35,66053644288,0
1607438874.1473045,20.3,8.7,70.1,0.9,29.9,0.35,65876934656,0
1607438875.1499362,19.4,7.2,72.8,0.6,27.2,0.35,65726976000,0
1607438876.1521308,12.7,8.8,77.2,1.2000000000000002,22.6,0.56,65915514880,0
1607438877.1548307,15.9,5.0,78.6,0.5,21.4,0.56,65963511808,0
1607438878.1574845,19.8,11.3,67.1,1.8,32.9,0.56,65933639680,0
1607438879.1599982,13.2,10.6,75.5,0.7,24.5,0.56,65845276672,0
1607438880.1625528,22.6,7.3,68.9,1.1,31.1,0.56,66019753984,0
1607438881.164808,17.1,4.0,78.6,0.4,21.4,0.76,65942822912,0
1607438882.166942,3.1,3.8,93.0,0.1,7.0,0.76,65951555584,0
1607438883.1694672,4.5,2.9,92.4,0.2,7.6,0.76,66124177408,0
1607438884.1721194,0.1,0.7,99.0,0.1,1.0,0.76,66259554304,0
1607438885.174764,3.5,4.4,92.1,0.0,7.9,0.76,66262237184,0
1607438886.1772165,9.4,4.7,85.9,0.0,14.1,0.78,66207256576,0
1607438887.179851,16.6,3.5,79.6,0.2,20.4,0.78,66098413568,0
1607438888.1823351,9.5,3.4,87.2,0.0,12.8,0.78,65999155200,0
1607438889.1848898,2.6,3.7,92.3,1.3,6.9,0.78,66113810432,0
1607438890.187232,15.6,9.2,73.8,1.4,26.0,0.78,66110152704,0
1607438891.1892338,20.3,10.5,67.8,1.4,32.2,0.88,65982541824,0
1607438892.1918535,24.7,10.7,64.0,0.5,35.9,0.88,65812701184,0
1607438893.1943674,23.4,7.0,68.9,0.7,31.1,0.88,65837563904,0
1607438894.1964717,13.2,11.3,74.4,1.1,25.6,0.88,65731166208,0
1607438895.1991632,17.1,6.4,76.4,0.1,23.6,0.88,65996103680,0
1607438896.201729,19.3,8.6,70.8,1.2000000000000002,29.1,0.97,65949143040,0
1607438897.2043436,5.4,5.5,89.0,0.1,11.0,0.97,65953562624,0
1607438898.2062204,15.4,4.9,79.0,0.7,21.0,0.97,66128740352,0
1607438899.208688,15.2,6.3,77.8,0.6,22.2,0.97,65993211904,0
1607438900.2113972,11.3,7.4,80.4,0.9,19.6,0.97,65911971840,0
1607438901.213187,13.2,8.8,77.3,0.7,22.7,0.97,66112147456,0
1607438902.2156377,21.0,8.4,69.7,0.9,30.3,0.97,66005258240,0
1607438903.2183118,21.6,6.0,72.1,0.4,27.9,0.97,65838833664,0
1607438904.2208514,7.8,2.7,88.9,0.6,11.1,0.97,65853083648,0
1607438905.2231514,4.2,6.0,89.6,0.2,10.4,0.97,66066718720,0
1607438906.2253973,6.5,4.6,88.7,0.1,11.3,1.05,66223280128,0
1607438907.2279105,23.5,7.4,68.4,0.6,31.6,1.05,66031169536,0
1607438908.2306056,10.6,2.4,87.0,0.0,13.0,1.05,65978167296,0
1607438909.2331662,10.2,0.9,89.0,0.0,11.0,1.05,65894780928,0
1607438910.2358882,3.5,4.7,91.4,0.4,8.6,1.05,66128084992,0
1607438911.2385669,7.3,2.6,89.9,0.2,10.0,0.97,66228629504,0
1607438912.2407355,10.2,4.4,84.9,0.5,15.1,0.97,66127831040,0
1607438913.2426379,6.6,3.2,89.9,0.2,10.1,0.97,66089238528,0
1607438914.2453375,3.7,5.5,90.5,0.2,9.5,0.97,66183528448,0
1607438915.2479327,15.2,7.2,76.3,1.4,23.7,0.97,66101264384,0
1607438916.2506058,21.2,9.2,69.2,0.4,30.8,1.21,65931591680,0
1607438917.2527988,27.1,8.9,63.7,0.4,36.3,1.21,65744273408,0
1607438918.2550066,30.8,10.3,57.8,1.1,42.2,1.21,65658114048,0
1607438919.2573843,13.7,4.0,82.1,0.2,17.9,1.21,65718603776,0
1607438920.2595289,16.6,11.3,70.3,1.7999999999999998,29.1,1.21,65820909568,0
1607438921.2619858,8.5,4.1,87.0,0.30000000000000004,12.9,1.19,66082512896,0
1607438922.2645993,12.4,2.4,85.2,0.0,14.8,1.19,65983234048,0
1607438923.2669165,6.8,7.3,85.4,0.5,14.6,1.19,66046566400,0
1607438924.269652,18.4,6.7,74.4,0.5,25.6,1.19,65971101696,0
1607438925.2722902,17.5,5.7,76.4,0.4,23.6,1.19,65984745472,0
1607438926.2742019,10.4,2.0,87.6,0.0,12.4,1.18,65893629952,0
1607438927.2768924,3.5,5.6,90.6,0.2,9.3,1.18,66127122432,0
1607438928.279593,5.7,2.2,92.0,0.0,8.0,1.18,66150039552,0
