#cpu_count: 8
#total_mem: 67416023040
t,cpu_user,cpu_system,cpu_idle,cpu_inter,cpu_percentage,load_1m,mem_avail,swap_used
1607426082.2961292,2.0,0.0,7.0,0.0,20.0,0.24,66370097152,0
1607426083.298296,0.0,0.1,99.9,0.0,0.1,0.24,66370002944,0
1607426084.3008714,0.2,0.1,99.6,0.0,0.4,0.24,66369478656,0
1607426085.3030624,3.1,3.9,92.7,0.3,7.1,0.24,66319450112,0
1607426086.30584,12.0,7.2,80.4,0.30000000000000004,19.2,0.46,66214739968,0
1607426087.3073952,19.5,6.7,73.4,0.4,26.6,0.46,65967366144,0
1607426088.3100414,32.1,6.6,60.9,0.4,39.1,0.46,65857966080,0
1607426089.3113422,22.4,4.1,73.2,0.3,26.8,0.46,65819959296,0
1607426090.3131387,30.7,8.9,59.1,1.3,40.8,0.46,66009702400,0
1607426091.3156369,35.9,16.7,46.2,1.2,53.8,0.91,65762922496,0
1607426092.3182611,54.6,15.4,29.8,0.1,70.2,0.91,65468739584,0
1607426093.319393,86.9,7.1,5.5,0.6,94.5,0.91,65531596800,0
1607426094.3219817,95.7,3.6,0.6,0.0,99.4,0.91,65436258304,0
1607426095.3234231,68.4,2.9,27.9,0.9,72.1,0.91,65441906688,0
1607426096.3261151,52.1,8.5,39.1,0.30000000000000004,60.7,1.15,65531281408,0
1607426097.328893,63.5,6.0,30.3,0.1,69.7,1.15,65834577920,0
1607426098.3317661,57.7,16.7,25.3,0.2,74.6,1.15,65691332608,0
1607426099.3337407,48.8,10.7,40.0,0.5,60.0,1.15,65657536512,0
1607426100.3353636,77.3,12.2,10.0,0.5,90.0,1.15,65483984896,0
1607426101.3374014,86.1,6.6,7.0,0.3,92.7,1.54,65374924800,0
1607426102.339404,88.7,9.6,1.6,0.1,98.4,1.54,65164414976,0
1607426103.3414397,81.2,10.5,8.1,0.2,91.9,1.54,65237495808,0
1607426104.3445456,89.2,9.2,1.5,0.1,98.5,1.54,65154641920,0
1607426105.3465688,85.5,12.9,1.5,0.1,98.5,1.54,65149669376,0
1607426106.3485858,86.7,13.3,0.0,0.0,100.0,2.38,65080971264,0
1607426107.350737,93.0,6.9,0.1,0.0,99.9,2.38,65275863040,0
1607426108.352568,92.2,7.8,0.0,0.0,100.0,2.38,65130835968,0
1607426109.3543818,91.6,8.2,0.1,0.0,99.9,2.38,65070768128,0
1607426110.3553545,91.0,9.0,0.0,0.0,100.0,2.38,64895340544,0
1607426111.3571665,93.7,6.3,0.0,0.0,100.0,3.31,64977321984,0
1607426112.3589454,95.0,5.0,0.0,0.0,100.0,3.31,64969543680,0
1607426113.3607957,91.7,8.3,0.0,0.0,100.0,3.31,65012658176,0
1607426114.3626301,95.4,4.6,0.0,0.0,100.0,3.31,65210949632,0
1607426115.3644946,77.9,8.1,13.7,0.2,86.3,3.31,65440206848,0
1607426116.3666492,67.6,11.4,20.5,0.5,79.4,3.61,65396146176,0
1607426117.3693519,67.5,9.6,22.7,0.3,77.3,3.61,65380147200,0
1607426118.3711903,52.9,7.5,36.7,2.8000000000000003,60.6,3.61,65549025280,0
1607426119.3739839,43.8,4.6,50.3,1.2000000000000002,48.6,3.61,65548296192,0
