#cpu_count: 8
#total_mem: 67416018944
t,cpu_user,cpu_system,cpu_idle,cpu_inter,cpu_percentage,load_1m,mem_avail,swap_used
1607430814.5742767,1.0,0.0,4.0,0.0,16.7,0.08,66363027456,0
1607430815.5760477,0.0,0.0,100.0,0.0,0.1,0.08,66363441152,0
1607430816.5786717,2.0,1.6,96.1,0.2,3.5,0.08,66319183872,0
1607430817.5805767,3.7,4.0,92.1,0.1,7.9,0.08,66281500672,0
1607430818.583143,14.7,7.0,77.6,0.7,22.1,0.08,66143727616,0
1607430819.585897,34.1,8.2,56.7,1.0,43.3,0.39,65903161344,0
1607430820.5885727,25.1,9.3,64.6,1.0,35.4,0.39,65813618688,0
1607430821.591078,41.7,9.2,48.1,1.0,51.9,0.39,65584758784,0
1607430822.5942857,56.9,10.1,32.8,0.2,67.2,0.39,65621368832,0
1607430823.5966215,66.7,14.8,18.2,0.2,81.8,0.39,65398083584,0
1607430824.5996385,79.7,11.1,9.1,0.1,90.9,1.16,65378562048,0
1607430825.602565,86.3,13.7,0.0,0.0,100.0,1.16,65160454144,0
1607430826.6045718,95.0,4.9,0.1,0.0,99.9,1.16,65065250816,0
1607430827.6068823,95.5,4.5,0.0,0.0,100.0,1.16,64899534848,0
1607430828.6096828,94.3,5.7,0.0,0.0,100.0,1.16,64859537408,0
1607430829.612517,90.9,9.0,0.1,0.0,99.9,2.11,64935751680,0
1607430830.6150718,92.0,8.0,0.0,0.0,100.0,2.11,64987090944,0
1607430831.616571,86.1,13.9,0.0,0.0,100.0,2.11,64750284800,0
1607430832.6196551,92.6,7.4,0.0,0.0,100.0,2.11,64788369408,0
1607430833.622895,90.4,9.6,0.0,0.0,100.0,2.11,64487206912,0
1607430834.6258864,96.5,3.5,0.0,0.0,100.0,3.22,64409989120,0
1607430835.6284204,97.5,2.5,0.0,0.0,100.0,3.22,64361287680,0
1607430836.6311016,94.5,5.5,0.0,0.0,100.0,3.22,64234741760,0
1607430837.634174,95.8,4.2,0.0,0.0,100.0,3.22,64199581696,0
1607430838.6366029,97.5,2.4,0.0,0.1,100.0,3.22,64167182336,0
1607430839.6404006,94.9,5.1,0.0,0.0,100.0,4.33,64081211392,0
1607430840.6431715,95.2,4.8,0.0,0.0,100.0,4.33,64229113856,0
1607430841.6455956,89.8,10.2,0.0,0.0,100.0,4.33,64141598720,0
1607430842.6478395,90.2,9.8,0.0,0.0,100.0,4.33,64214142976,0
1607430843.6502209,91.7,8.3,0.0,0.0,100.0,4.33,64268886016,0
1607430844.6526017,92.5,7.5,0.0,0.0,100.0,5.34,64006766592,0
1607430845.6558867,94.1,5.9,0.0,0.0,100.0,5.34,64065261568,0
1607430846.6582894,95.6,4.4,0.0,0.0,100.0,5.34,63966457856,0
1607430847.6605647,88.2,11.8,0.0,0.0,100.0,5.34,63747653632,0
1607430848.6642056,90.1,9.8,0.0,0.1,100.0,5.34,63775584256,0
1607430849.6678593,93.3,6.7,0.0,0.0,100.0,7.0,63733846016,0
1607430850.6702032,92.2,7.8,0.0,0.0,100.0,7.0,63663071232,0
1607430851.67227,86.0,14.0,0.0,0.0,100.0,7.0,63160684544,0
1607430852.675103,89.9,10.1,0.0,0.0,100.0,7.0,63201984512,0
1607430853.678081,92.4,7.6,0.0,0.0,100.0,7.0,63536623616,0
1607430854.6805527,95.4,4.5,0.0,0.1,100.0,8.36,63400579072,0
1607430855.6829093,90.0,10.0,0.0,0.0,100.0,8.36,63078428672,0
1607430856.6845617,82.6,17.4,0.0,0.0,100.0,8.36,62779813888,0
1607430857.6872766,85.2,14.8,0.0,0.0,100.0,8.36,63120097280,0
1607430858.6901288,91.7,8.3,0.0,0.0,100.0,8.36,63014436864,0
1607430859.6925552,90.7,9.3,0.0,0.0,100.0,10.49,62907990016,0
1607430860.6948037,87.1,12.9,0.0,0.0,100.0,10.49,62593593344,0
1607430861.6970277,86.6,13.4,0.0,0.0,100.0,10.49,62118481920,0
1607430862.699743,93.8,6.2,0.0,0.0,100.0,10.49,62028763136,0
1607430863.70238,91.8,8.2,0.0,0.0,100.0,10.49,61916561408,0
1607430864.7045662,92.8,7.2,0.0,0.0,100.0,13.02,61778632704,0
1607430865.7077076,91.0,9.0,0.0,0.0,100.0,13.02,61545222144,0
1607430866.7103965,91.0,9.0,0.0,0.0,100.0,13.02,61509267456,0
1607430867.7125645,89.0,11.0,0.0,0.0,100.0,13.02,61353357312,0
1607430868.7149575,93.0,7.0,0.0,0.0,100.0,13.02,61414612992,0
1607430869.7180629,89.8,10.2,0.0,0.0,100.0,15.02,61758312448,0
1607430870.7205548,89.6,10.4,0.0,0.0,100.0,15.02,61730328576,0
1607430871.7228193,89.9,10.0,0.0,0.1,100.0,15.02,61439508480,0
1607430872.724586,89.2,10.8,0.0,0.0,100.0,15.02,61475184640,0
1607430873.727277,90.9,9.1,0.0,0.0,100.0,15.02,61749383168,0
1607430874.7298763,89.3,10.7,0.0,0.0,100.0,17.1,61735923712,0
1607430875.7325594,93.9,6.1,0.0,0.0,100.0,17.1,61620260864,0
1607430876.7361505,94.0,6.0,0.0,0.0,100.0,17.1,61491277824,0
1607430877.738927,88.7,11.3,0.0,0.0,100.0,17.1,61201620992,0
1607430878.741772,89.0,11.0,0.0,0.0,100.0,17.1,60918009856,0
1607430879.7443192,90.3,9.7,0.0,0.0,100.0,19.49,61100478464,0
1607430880.7465994,91.0,9.0,0.0,0.0,100.0,19.49,61050474496,0
1607430881.748569,87.9,12.1,0.0,0.0,100.0,19.49,60832120832,0
1607430882.7513423,93.3,6.7,0.0,0.0,100.0,19.49,60731310080,0
1607430883.75396,92.4,7.6,0.0,0.0,100.0,19.49,60823003136,0
1607430884.756572,90.0,10.0,0.0,0.0,100.0,22.18,60632850432,0
1607430885.7602873,89.9,10.1,0.0,0.0,100.0,22.18,60432060416,0
1607430886.763535,89.9,10.1,0.0,0.0,100.0,22.18,60377018368,0
1607430887.7664595,88.2,11.8,0.0,0.0,100.0,22.18,60546224128,0
1607430888.7685535,86.2,13.7,0.0,0.1,100.0,22.18,60336066560,0
1607430889.770561,92.0,8.0,0.0,0.0,100.0,24.65,60180131840,0
1607430890.7736804,89.7,10.3,0.0,0.0,100.0,24.65,60267962368,0
1607430891.776266,91.8,8.2,0.0,0.0,100.0,24.65,60239896576,0
1607430892.7784073,92.6,7.4,0.0,0.0,100.0,24.65,60182691840,0
1607430893.7805595,92.8,7.2,0.0,0.0,100.0,24.65,60019073024,0
1607430894.7845342,93.4,6.6,0.0,0.0,100.0,27.24,59831549952,0
1607430895.7875202,91.2,8.6,0.0,0.1,100.0,27.24,59520086016,0
1607430896.7904303,92.9,7.1,0.0,0.0,100.0,27.24,59327926272,0
1607430897.7941043,93.9,6.0,0.0,0.1,100.0,27.24,59221340160,0
1607430898.7965937,93.9,6.1,0.0,0.0,100.0,27.24,59116687360,0
1607430899.799761,93.1,6.9,0.0,0.0,100.0,29.78,59228413952,0
1607430900.8029544,92.8,7.2,0.0,0.0,100.0,29.78,59367297024,0
1607430901.806227,94.3,5.7,0.0,0.0,100.0,29.78,59312713728,0
1607430902.8085504,93.8,6.2,0.0,0.0,100.0,29.78,59218157568,0
1607430903.811226,92.5,7.5,0.0,0.0,100.0,29.78,59347038208,0
1607430904.8142862,92.4,7.5,0.0,0.1,100.0,32.2,59334262784,0
1607430905.8165534,90.4,9.6,0.0,0.0,100.0,32.2,59278532608,0
1607430906.8194344,88.9,11.1,0.0,0.0,100.0,32.2,59402190848,0
1607430907.8229206,94.3,5.7,0.0,0.0,100.0,32.2,59611119616,0
