workloadID, workload argument, run, tFC, tVM
0,1000000,0,4042,452
0,1000000,1,4042,451
0,1000000,2,4047,451
0,1000000,3,4042,452
0,1000000,4,4047,451
0,1000000,5,4050,451
0,1000000,6,4043,455
0,1000000,7,4054,452
0,1000000,8,4047,451
0,1000000,9,4063,452
0,2500000,0,5258,1667
0,2500000,1,5256,1666
0,2500000,2,5262,1666
0,2500000,3,5262,1668
0,2500000,4,5271,1672
0,2500000,5,5270,1666
0,2500000,6,5258,1666
0,2500000,7,5264,1672
0,2500000,8,5258,1667
0,2500000,9,5262,1667
0,4000000,0,6846,3256
0,4000000,1,6854,3256
0,4000000,2,6846,3256
0,4000000,3,6858,3256
0,4000000,4,6850,3257
0,4000000,5,6842,3256
0,4000000,6,6851,3257
0,4000000,7,6836,3257
0,4000000,8,6850,3256
0,4000000,9,6853,3257
0,5500000,0,8758,5160
0,5500000,1,8752,5160
0,5500000,2,8754,5159
0,5500000,3,8753,5159
0,5500000,4,8754,5161
0,5500000,5,8759,5160
0,5500000,6,8747,5159
0,5500000,7,8754,5161
0,5500000,8,8759,5159
0,5500000,9,8763,5159
0,7000000,0,10881,7292
0,7000000,1,10882,7288
0,7000000,2,10898,7303
0,7000000,3,10890,7292
0,7000000,4,10891,7296
0,7000000,5,10889,7287
0,7000000,6,10878,7288
0,7000000,7,10898,7300
0,7000000,8,10886,7289
0,7000000,9,10883,7289
0,8500000,0,13206,9613
0,8500000,1,13202,9611
0,8500000,2,13205,9616
0,8500000,3,13202,9612
0,8500000,4,13202,9616
0,8500000,5,13207,9610
0,8500000,6,13206,9611
0,8500000,7,13222,9620
0,8500000,8,13206,9612
0,8500000,9,13217,9616
1,4096,0,97382,93771
1,4096,1,97783,94173
1,4096,2,97685,94073
1,4096,3,97902,94291
1,4096,4,99280,95662
1,4096,5,97782,94172
1,4096,6,97839,94227
1,4096,7,98342,94725
1,4096,8,99088,95483
1,4096,9,99042,95428
1,2048,0,50938,47321
1,2048,1,51326,47716
1,2048,2,50527,46916
1,2048,3,51217,47591
1,2048,4,51312,47699
1,2048,5,50687,47064
1,2048,6,51096,47485
1,2048,7,51097,47486
1,2048,8,51160,47551
1,2048,9,51307,47697
1,1024,0,27152,23546
1,1024,1,27462,23843
1,1024,2,27394,23772
1,1024,3,27232,23626
1,1024,4,27142,23531
1,1024,5,27094,23484
1,1024,6,27418,23807
1,1024,7,27489,23880
1,1024,8,27151,23541
1,1024,9,27390,23767
1,512,0,15610,11998
1,512,1,15543,11934
1,512,2,15559,11947
1,512,3,15386,11769
1,512,4,15385,11776
1,512,5,15479,11870
1,512,6,15609,11991
1,512,7,15457,11841
1,512,8,15408,11806
1,512,9,15574,11964
1,256,0,9542,5934
1,256,1,9635,6030
1,256,2,9571,5945
1,256,3,9616,6009
1,256,4,9642,6022
1,256,5,9630,6020
1,256,6,9532,5918
1,256,7,9622,6014
1,256,8,9614,6002
1,256,9,9604,6002
1,128,0,6607,2992
1,128,1,6654,3045
1,128,2,6623,3001
1,128,3,6627,3032
1,128,4,6606,2992
1,128,5,6654,3041
1,128,6,6617,3005
1,128,7,6657,3042
1,128,8,6650,3030
1,128,9,6606,2991
1,10,0,3824,234
1,10,1,3830,236
1,10,2,3835,235
1,10,3,3823,234
1,10,4,3835,235
1,10,5,3827,237
1,10,6,3827,236
1,10,7,3827,238
1,10,8,3831,237
1,10,9,3830,237
1,1,0,3626,25
1,1,1,3623,25
1,1,2,3614,25
1,1,3,3635,28
1,1,4,3618,25
1,1,5,3619,25
1,1,6,3618,25
1,1,7,3615,25
1,1,8,3623,25
1,1,9,3618,25
2,10,0,3871,261
2,10,1,3883,260
2,10,2,3867,261
2,10,3,3875,261
2,10,4,3876,260
2,10,5,3872,262
2,10,6,3876,262
2,10,7,3866,262
2,10,8,3864,261
2,10,9,3874,262
2,20,0,4029,416
2,20,1,4028,417
2,20,2,4026,416
2,20,3,4034,418
2,20,4,4032,418
2,20,5,4018,419
2,20,6,4030,420
2,20,7,4026,415
2,20,8,4028,416
2,20,9,4033,419
2,40,0,4343,733
2,40,1,4349,733
2,40,2,4352,734
2,40,3,4341,730
2,40,4,4337,728
2,40,5,4327,721
2,40,6,4350,727
2,40,7,4341,728
2,40,8,4337,729
2,40,9,4354,736
2,80,0,4958,1348
2,80,1,4975,1352
2,80,2,4979,1366
2,80,3,5009,1358
2,80,4,4972,1365
2,80,5,4959,1355
2,80,6,4974,1363
2,80,7,4976,1363
2,80,8,4954,1347
2,80,9,4980,1369
2,160,0,6249,2631
2,160,1,6214,2601
2,160,2,6192,2579
2,160,3,6239,2620
2,160,4,6209,2607
2,160,5,6251,2638
2,160,6,6243,2634
2,160,7,6219,2609
2,160,8,6218,2608
2,160,9,6221,2609
2,320,0,8676,5082
2,320,1,8713,5097
2,320,2,8687,5074
2,320,3,8712,5102
2,320,4,8709,5100
2,320,5,8682,5080
2,320,6,8774,5165
2,320,7,8754,5146
2,320,8,8725,5121
2,320,9,8702,5093
