workloadID, workload argument, tFC, tVM, start time
0,4000000,6426,2851,1601739382
1,1,3653,160,1601739385
2,160,6060,2546,1601739384
1,1,3723,213,1601739391
0,4000000,6334,2824,1601739389
0,5500000,7996,4488,1601739389
2,320,8829,5304,1601739389
0,5500000,7984,4487,1601739391
0,7000000,9852,6334,1601739390
2,320,8810,5297,1601739393
0,4000000,6334,2824,1601739397
0,2500000,4973,1445,1601739399
1,128,22017,18501,1601739382
0,1000000,3897,392,1601739402
2,320,8526,4986,1601739398
0,7000000,9819,6318,1601739397
0,2500000,4960,1444,1601739406
0,8500000,11863,8335,1601739400
2,160,6058,2539,1601739406
1,1,3836,319,1601739409
0,5500000,7989,4476,1601739405
0,4000000,6347,2823,1601739410
0,2500000,4974,1445,1601739412
2,40,4484,948,1601739413
2,10,3765,248,1601739414
2,10,3765,248,1601739416
2,320,8779,5254,1601739411
0,4000000,6367,2823,1601739416
2,80,4908,1370,1601739421
2,160,6125,2597,1601739421
1,10,8280,4768,1601739421
0,7000000,9824,6318,1601739422
0,5500000,7988,4470,1601739425
0,8500000,11854,8337,1601739422
0,1000000,3907,392,1601739433
0,1000000,3912,391,1601739433
0,4000000,6341,2823,1601739431
2,10,3772,241,1601739438
2,10,3767,242,1601739442
2,80,4842,1318,1601739442
0,7000000,9833,6317,1601739451
0,1000000,3930,392,1601739458
2,80,4965,1426,1601739460
2,320,10644,7110,1601739454
2,320,10651,7113,1601739454
1,1,4433,900,1601739466
0,7000000,10047,6316,1601739468
0,5500000,7996,4472,1601739473
1,128,73185,69651,1601739409
0,1000000,3915,391,1601739487
0,4000000,6355,2824,1601739485
0,5500000,8008,4474,1601739486
2,10,3786,241,1601739491
2,10,3785,241,1601739492
0,7000000,9852,6317,1601739490
2,20,3939,392,1601739497
0,2500000,4976,1445,1601739499
2,80,4913,1368,1601739503
2,320,8593,5054,1601739501
0,4000000,6369,2826,1601739503
0,7000000,9860,6318,1601739500
1,1,4839,1291,1601739505
2,20,4100,541,1601739507
2,10,3812,263,1601739507
0,5500000,8040,4473,1601739506
0,4000000,6397,2823,1601739508
2,320,8711,5173,1601739506
0,4000000,6379,2829,1601739511
0,8500000,11880,8333,1601739508
0,1000000,3942,391,1601739517
1,1,5029,1486,1601739516
0,7000000,9867,6316,1601739512
0,2500000,5013,1444,1601739518
1,1,5092,1533,1601739522
2,10,3827,244,1601739526
0,5500000,8108,4473,1601739526
0,2500000,5576,1578,1601739529
0,1000000,4390,491,1601739532
0,7000000,10210,6665,1601739527
0,4000000,6918,2939,1601739531
0,5500000,9154,5475,1601739529
0,7000000,10255,6666,1601739529
2,320,9455,5388,1601739532
0,2500000,5434,1444,1601739537
2,160,6586,2706,1601739540
0,1000000,4482,433,1601739548
1,128,125997,122436,1601739428
2,10,4323,269,1601739552
0,8500000,13310,9346,1601739543
0,4000000,7658,3594,1601739549
2,40,5163,1103,1601739551
0,2500000,5683,1695,1601739551
2,40,4922,895,1601739552
0,5500000,9570,5351,1601739549
2,160,7303,3269,1601739556
2,40,5362,1101,1601739561
2,40,4842,860,1601739561
0,8500000,14310,10264,1601739555
0,7000000,11662,7573,1601739560
2,160,7214,3253,1601739565
0,4000000,8706,4579,1601739565
0,2500000,5942,1848,1601739569
0,5500000,12342,8401,1601739568
2,80,6090,1887,1601739577
0,5500000,10536,6299,1601739573
0,8500000,16002,11818,1601739570
2,80,6315,2165,1601739580
0,8500000,16214,12149,1601739570
2,40,6378,2101,1601739582
1,1,6146,2007,1601739582
2,80,6582,2349,1601739584
0,5500000,12630,8470,1601739578
0,4000000,9038,4852,1601739583
2,320,14583,10439,1601739578
0,5500000,10922,6679,1601739583
0,7000000,13894,9719,1601739580
2,320,15114,10935,1601739579
1,256,199147,195536,1601739397
2,80,6771,2662,1601739592
0,5500000,12006,7941,1601739589
1,1,7414,3181,1601739595
1,1,7114,2971,1601739600
2,10,4638,488,1601739604
0,8500000,20122,16014,1601739590
0,8500000,18826,14809,1601739593
2,10,4618,482,1601739608
2,320,12922,8813,1601739600
0,4000000,9134,4855,1601739605
2,160,9323,5120,1601739608
0,8500000,16830,12549,1601739605
2,20,5026,799,1601739620
0,7000000,15202,10932,1601739612
0,5500000,13262,9019,1601739615
1,10,32711,28526,1601739596
0,4000000,9863,5660,1601739620
1,10,30999,26974,1601739600
0,7000000,16423,12248,1601739617
1,1,7475,3155,1601739629
2,320,14251,10040,1601739623
2,160,9510,5196,1601739630
0,5500000,14230,10037,1601739625
0,8500000,21005,16778,1601739621
0,8500000,20812,16557,1601739623
1,10,35294,31110,1601739610
2,10,4766,539,1601739641
0,8500000,20716,16515,1601739626
2,10,4903,569,1601739644
1,10,35438,31249,1601739616
2,320,15254,10995,1601739638
0,4000000,10070,5724,1601739643
0,8500000,21170,16960,1601739635
2,320,14602,10468,1601739642
0,1000000,5402,995,1601739653
0,5500000,13858,9425,1601739645
2,20,5378,1097,1601739657
2,80,7654,3252,1601739655
2,20,5138,837,1601739657
2,320,15094,10714,1601739650
0,7000000,17798,13679,1601739652
2,10,4942,553,1601739666
0,4000000,10898,6524,1601739661
0,4000000,10662,6321,1601739663
2,80,7454,3042,1601739666
0,2500000,7714,3464,1601739668
0,8500000,22125,17947,1601739654
0,2500000,7538,3292,1601739668
0,5500000,13914,9620,1601739662
2,20,5298,825,1601739673
0,2500000,7268,2932,1601739671
0,4000000,10386,6215,1601739671
0,1000000,5026,806,1601739676
2,10,4826,494,1601739677
2,80,7459,3163,1601739679
2,20,5290,988,1601739681
1,1,7459,3205,1601739680
0,5500000,13914,9612,1601739674
0,5500000,14034,9763,1601739677
1,10,36975,32693,1601739657
1,1,7966,3509,1601739690
2,320,15410,11099,1601739684
0,5500000,13702,9373,1601739686
0,5500000,13898,9516,1601739688
0,5500000,14555,10050,1601739687
2,10,4850,509,1601739697
2,40,5847,1527,1601739698
0,5500000,14427,10192,1601739690
0,7000000,18042,13617,1601739688
2,20,5316,981,1601739701
2,160,9882,5524,1601739699
0,4000000,10602,6057,1601739701
0,7000000,18170,13890,1601739696
2,160,10402,6001,1601739707
0,1000000,5074,795,1601739713
2,10,5318,730,1601739718
0,8500000,23338,18806,1601739702
2,20,5345,870,1601739722
2,20,5231,943,1601739727
2,20,5478,961,1601739729
2,10,5074,537,1601739730
1,128,267982,264360,1601739473
1,1,9471,4877,1601739732
2,10,5370,729,1601739737
2,20,5750,1188,1601739737
2,40,7046,2413,1601739737
2,80,7975,3500,1601739739
0,8500000,24942,20404,1601739724
0,8500000,24926,20320,1601739725
1,10,41759,37375,1601739709
0,2500000,8031,3551,1601739743
2,320,17929,13325,1601739735
1,1,8482,3955,1601739747
2,20,5495,961,1601739751
2,320,18290,13754,1601739742
2,20,5530,948,1601739756
0,4000000,13074,8536,1601739750
0,5500000,15958,11334,1601739756
0,2500000,8046,3787,1601739764
2,20,5732,1206,1601739767
0,1000000,5708,1086,1601739769
2,40,6347,1765,1601739769
2,20,5592,1002,1601739770
0,5500000,16488,11807,1601739762
2,20,5827,1243,1601739775
2,80,8534,3932,1601739776
2,10,5077,656,1601739781
1,1,9522,4878,1601739777
0,1000000,5758,1191,1601739781
2,40,6234,1733,1601739784
0,2500000,8903,4372,1601739782
2,20,5780,1157,1601739786
2,10,5403,726,1601739787
2,80,8074,3451,1601739788
0,8500000,26754,22161,1601739769
2,40,6331,1788,1601739793
2,10,5375,748,1601739795
0,4000000,12975,8363,1601739788
1,10,45728,41103,1601739756
2,10,5258,676,1601739800
2,320,19446,14725,1601739788
1,10,46587,41846,1601739762
1,10,49639,45248,1601739760
1,1,9197,4614,1601739802
0,5500000,17054,12298,1601739800
2,160,13466,8743,1601739809
2,320,19947,15367,1601739804
0,7000000,23729,19052,1601739800
2,20,5870,1202,1601739819
0,4000000,12937,8218,1601739813
2,40,6793,2167,1601739821
0,4000000,13161,8550,1601739823
2,40,6926,2273,1601739831
2,20,5894,1268,1601739832
0,7000000,24551,20017,1601739819
2,160,12909,8248,1601739833
2,10,5456,773,1601739841
0,5500000,18458,13819,1601739833
0,8500000,31220,26454,1601739821
2,320,20482,15765,1601739832
0,4000000,13803,8885,1601739842
2,40,7690,2884,1601739853
2,160,13389,8598,1601739851
0,5500000,19149,14390,1601739846
2,10,6008,992,1601739860
0,1000000,6562,1573,1601739859
0,4000000,14138,9362,1601739852
0,8500000,30646,25904,1601739837
0,7000000,24980,20236,1601739843
2,320,22319,17465,1601739847
0,1000000,6551,1583,1601739864
2,80,9291,4336,1601739866
0,7000000,26331,21543,1601739850
0,8500000,32216,27443,1601739845
0,5500000,20423,15296,1601739858
2,40,7104,2279,1601739874
0,7000000,24988,20184,1601739857
0,8500000,33373,28588,1601739851
2,40,7588,2625,1601739880
0,2500000,9933,4997,1601739879
0,2500000,9954,5147,1601739879
1,10,54963,50224,1601739835
2,80,9678,4589,1601739881
2,80,9619,4806,1601739881
0,4000000,14285,9350,1601739878
0,8500000,31398,26403,1601739861
0,5500000,18974,14248,1601739878
2,160,15545,10376,1601739885
0,4000000,13934,9050,1601739888
0,7000000,27459,22531,1601739876
0,4000000,14110,9328,1601739894
0,7000000,25202,20362,1601739887
1,1,10542,5431,1601739902
0,7000000,25158,20338,1601739889
2,80,9011,4235,1601739905
