4194303
workloadID, workload argument, run, tFC, tVM
0,1000000,0,4047,451
0,1000000,1,4046,451
0,1000000,2,4054,451
0,1000000,3,4046,451
0,1000000,4,4058,451
0,1000000,5,4052,451
0,1000000,6,4050,451
0,1000000,7,4057,451
0,1000000,8,4050,452
0,1000000,9,4051,451
0,2500000,0,5266,1665
0,2500000,1,5270,1665
0,2500000,2,5270,1665
0,2500000,3,5267,1666
0,2500000,4,5262,1666
0,2500000,5,5273,1665
0,2500000,6,5266,1665
0,2500000,7,5271,1665
0,2500000,8,5269,1665
0,2500000,9,5262,1666
0,4000000,0,6862,3255
0,4000000,1,6854,3255
0,4000000,2,6861,3261
0,4000000,3,6854,3254
0,4000000,4,6854,3255
0,4000000,5,6862,3254
0,4000000,6,6865,3255
0,4000000,7,6858,3256
0,4000000,8,6855,3255
0,4000000,9,6850,3255
0,5500000,0,8762,5159
0,5500000,1,8761,5157
0,5500000,2,8758,5156
0,5500000,3,8771,5159
0,5500000,4,8761,5158
0,5500000,5,8761,5157
0,5500000,6,8759,5156
0,5500000,7,8766,5156
0,5500000,8,8768,5160
0,5500000,9,8760,5157
0,7000000,0,10892,7287
0,7000000,1,10882,7286
0,7000000,2,10886,7285
0,7000000,3,10889,7285
0,7000000,4,10901,7293
0,7000000,5,10889,7284
0,7000000,6,10882,7285
0,7000000,7,10886,7287
0,7000000,8,10895,7285
0,7000000,9,10889,7285
0,8500000,0,13229,9621
0,8500000,1,13209,9607
0,8500000,2,13214,9607
0,8500000,3,13210,9607
0,8500000,4,13214,9608
0,8500000,5,13206,9609
0,8500000,6,13218,9614
0,8500000,7,13218,9617
0,8500000,8,13206,9607
0,8500000,9,13210,9616
1,4096,0,97803,94183
1,4096,1,97887,94256
1,4096,2,98972,95347
1,4096,3,98914,95291
1,4096,4,98204,94598
1,4096,5,98838,95210
1,4096,6,97776,94151
1,4096,7,98013,94396
1,4096,8,98001,94378
1,4096,9,98709,95079
1,2048,0,50757,47137
1,2048,1,50785,47157
1,2048,2,50713,47077
1,2048,3,51179,47550
1,2048,4,51192,47572
1,2048,5,51004,47384
1,2048,6,50605,46961
1,2048,7,50537,46930
1,2048,8,51224,47595
1,2048,9,51058,47433
1,1024,0,27215,23588
1,1024,1,27545,23918
1,1024,2,27132,23525
1,1024,3,27440,23817
1,1024,4,27485,23854
1,1024,5,27434,23812
1,1024,6,27542,23916
1,1024,7,27545,23920
1,1024,8,27321,23698
1,1024,9,27116,23481
1,512,0,15442,11824
1,512,1,15475,11841
1,512,2,15723,12098
1,512,3,15453,11832
1,512,4,15417,11796
1,512,5,15520,11895
1,512,6,15570,11948
1,512,7,15565,11934
1,512,8,15522,11900
1,512,9,15541,11914
1,256,0,9598,5979
1,256,1,9640,6022
1,256,2,9596,5971
1,256,3,9545,5929
1,256,4,9637,6016
1,256,5,9578,5954
1,256,6,9550,5934
1,256,7,9575,5954
1,256,8,9555,5932
1,256,9,9545,5922
1,128,0,6632,3010
1,128,1,6622,3013
1,128,2,6636,3013
1,128,3,6624,2997
1,128,4,6652,3028
1,128,5,6618,2996
1,128,6,6632,3010
1,128,7,6641,3011
1,128,8,6644,3023
1,128,9,6661,3030
1,10,0,3840,239
1,10,1,3846,236
1,10,2,3838,236
1,10,3,3842,239
1,10,4,3834,235
1,10,5,3834,236
1,10,6,3838,239
1,10,7,3846,240
1,10,8,3838,236
1,10,9,3847,237
1,1,0,3622,26
1,1,1,3634,27
1,1,2,3630,27
1,1,3,3618,27
1,1,4,3630,27
1,1,5,3630,27
1,1,6,3626,27
1,1,7,3622,27
1,1,8,3630,26
1,1,9,3630,27
2,10,0,3903,279
2,10,1,3894,273
2,10,2,3886,272
2,10,3,3902,271
2,10,4,3886,271
2,10,5,3888,272
2,10,6,3892,272
2,10,7,3894,271
2,10,8,3895,270
2,10,9,3888,271
2,20,0,4046,430
2,20,1,4055,428
2,20,2,4049,430
2,20,3,4058,433
2,20,4,4061,433
2,20,5,4050,427
2,20,6,4044,427
2,20,7,4055,430
2,20,8,4054,428
2,20,9,4058,430
2,40,0,4371,752
2,40,1,4377,749
2,40,2,4370,746
2,40,3,4372,751
2,40,4,4356,746
2,40,5,4369,746
2,40,6,4365,749
2,40,7,4368,746
2,40,8,4377,746
2,40,9,4370,746
2,80,0,5010,1389
2,80,1,4999,1375
2,80,2,5008,1380
2,80,3,5006,1381
2,80,4,5016,1393
2,80,5,5033,1408
2,80,6,5006,1382
2,80,7,5007,1383
2,80,8,5010,1387
2,80,9,5010,1378
2,160,0,6280,2655
2,160,1,6272,2647
2,160,2,6273,2646
2,160,3,6277,2646
2,160,4,6263,2638
2,160,5,6278,2658
2,160,6,6267,2645
2,160,7,6257,2640
2,160,8,6273,2661
2,160,9,6287,2660
2,320,0,8802,5177
2,320,1,8827,5200
2,320,2,8821,5199
2,320,3,8793,5178
2,320,4,8831,5209
2,320,5,8839,5220
2,320,6,8807,5182
2,320,7,8805,5178
2,320,8,8800,5180
2,320,9,8790,5180
