workloadID, workload argument, tFC, tVM, start time
0,1000000,4042,454,1606410082
0,2500000,5297,1679,1606410082
0,2500000,5267,1675,1606410082
0,2500000,5267,1671,1606410083
0,1000000,4063,452,1606410084
0,2500000,5254,1669,1606410084
0,1000000,4052,453,1606410085
0,1000000,4052,453,1606410085
0,4000000,6872,3269,1606410083
0,1000000,4036,452,1606410087
0,2500000,5277,1672,1606410086
0,7000000,10914,7309,1606410081
0,2500000,5269,1667,1606410087
0,4000000,6882,3267,1606410085
0,4000000,6848,3259,1606410086
0,7000000,10908,7304,1606410083
0,1000000,4086,452,1606410090
0,1000000,4043,453,1606410090
0,4000000,6859,3264,1606410087
0,1000000,4029,451,1606410091
0,4000000,6877,3272,1606410088
0,8500000,13255,9632,1606410082
0,4000000,6861,3258,1606410088
0,2500000,5255,1666,1606410091
0,8500000,13237,9635,1606410083
0,1000000,4063,452,1606410092
0,7000000,10888,7301,1606410085
0,4000000,6894,3275,1606410090
0,2500000,5279,1686,1606410092
0,5500000,8754,5168,1606410088
0,2500000,5271,1667,1606410092
0,1000000,4042,451,1606410093
0,1000000,4039,452,1606410093
0,7000000,10894,7300,1606410087
0,4000000,6861,3269,1606410091
0,7000000,10912,7306,1606410087
0,4000000,6854,3260,1606410091
0,8500000,13243,9641,1606410085
0,4000000,6850,3258,1606410091
0,7000000,10897,7301,1606410088
0,7000000,10954,7306,1606410088
0,7000000,10903,7304,1606410088
0,2500000,5266,1676,1606410094
0,8500000,13238,9631,1606410087
0,7000000,10921,7314,1606410090
0,2500000,5269,1669,1606410096
0,4000000,6856,3260,1606410094
0,1000000,4066,459,1606410097
0,2500000,5269,1669,1606410096
0,1000000,4036,452,1606410098
0,8500000,13230,9637,1606410089
0,1000000,4048,452,1606410098
0,8500000,13238,9624,1606410089
0,7000000,10902,7294,1606410091
0,8500000,13228,9637,1606410089
0,2500000,5255,1668,1606410097
0,5500000,8768,5171,1606410094
0,7000000,10880,7298,1606410092
0,7000000,10912,7317,1606410092
0,2500000,5250,1668,1606410098
0,2500000,5263,1674,1606410098
0,4000000,6859,3264,1606410097
0,8500000,13228,9633,1606410091
0,5500000,8786,5181,1606410095
0,7000000,10907,7312,1606410094
0,5500000,8768,5170,1606410096
0,4000000,6857,3258,1606410098
0,4000000,6876,3275,1606410098
0,2500000,5279,1685,1606410100
0,4000000,6882,3280,1606410098
0,2500000,5268,1675,1606410101
0,4000000,6860,3259,1606410099
0,7000000,10901,7314,1606410095
0,2500000,5265,1668,1606410102
0,4000000,6896,3270,1606410100
0,1000000,4040,452,1606410103
0,8500000,13246,9640,1606410094
0,1000000,4082,453,1606410103
0,5500000,8775,5161,1606410099
0,1000000,4062,453,1606410104
0,7000000,10891,7295,1606410097
0,8500000,13247,9642,1606410095
0,7000000,10882,7294,1606410098
0,1000000,4053,460,1606410105
0,2500000,5262,1667,1606410105
0,7000000,10926,7329,1606410100
0,7000000,10948,7319,1606410100
0,2500000,5300,1667,1606410106
0,7000000,10908,7312,1606410101
0,2500000,5287,1677,1606410108
0,2500000,5273,1668,1606410108
0,8500000,13230,9635,1606410100
0,5500000,8776,5172,1606410104
0,1000000,4052,451,1606410109
0,2500000,5271,1675,1606410108
0,7000000,10891,7293,1606410103
0,1000000,4063,456,1606410110
0,7000000,10905,7321,1606410103
0,5500000,8807,5169,1606410105
0,8500000,13223,9621,1606410101
0,5500000,8777,5166,1606410106
0,7000000,10910,7315,1606410104
0,2500000,5282,1672,1606410110
0,8500000,13223,9623,1606410102
0,4000000,6874,3280,1606410109
0,5500000,8786,5186,1606410107
0,2500000,5279,1676,1606410111
0,5500000,8784,5187,1606410108
0,4000000,6870,3259,1606410111
0,5500000,8809,5193,1606410109
0,5500000,8786,5186,1606410109
0,8500000,13256,9652,1606410105
0,1000000,4036,452,1606410114
0,2500000,5271,1674,1606410113
0,4000000,6859,3260,1606410112
0,1000000,4039,452,1606410115
0,4000000,6874,3279,1606410112
0,1000000,4048,459,1606410115
0,2500000,5254,1668,1606410114
0,8500000,13267,9657,1606410106
0,5500000,8763,5163,1606410111
0,4000000,6851,3258,1606410113
0,2500000,5244,1668,1606410115
0,1000000,4034,452,1606410116
0,5500000,8767,5164,1606410112
0,2500000,5268,1668,1606410115
0,5500000,8769,5174,1606410112
0,8500000,13258,9662,1606410108
0,1000000,4041,452,1606410117
0,5500000,8773,5173,1606410113
0,5500000,8768,5169,1606410113
0,1000000,4063,452,1606410118
