workloadID, workload argument, tFC, tVM, start time
2,10,3907,288,1606470056
2,40,4520,905,1606470056
2,20,4081,446,1606470056
2,10,3959,289,1606470057
2,80,5652,2023,1606470056
2,10,3974,334,1606470058
2,20,4161,511,1606470058
2,80,5081,1437,1606470057
2,160,6435,2817,1606470057
2,160,6603,2970,1606470057
2,160,6435,2811,1606470058
2,40,4463,828,1606470061
2,80,5636,1987,1606470061
2,40,4626,998,1606470062
2,40,4720,1091,1606470062
2,10,4317,640,1606470063
2,20,4129,463,1606470063
2,40,4776,1123,1606470063
2,80,6866,3201,1606470061
2,80,6750,3114,1606470062
2,40,5342,1666,1606470064
2,80,6233,2557,1606470063
2,40,5039,1420,1606470064
2,80,6793,3121,1606470063
2,80,5966,2276,1606470064
2,40,5228,1536,1606470065
2,80,6137,2464,1606470065
2,80,6897,3217,1606470064
2,10,4052,375,1606470067
2,20,4415,778,1606470068
2,320,14028,10393,1606470059
2,40,5781,2131,1606470068
2,10,4707,960,1606470069
2,10,4590,823,1606470069
2,10,4872,1114,1606470069
2,20,5455,1666,1606470069
2,20,5331,1669,1606470069
2,40,5580,1916,1606470069
2,20,5168,1419,1606470070
2,40,5350,1665,1606470069
2,160,9132,5436,1606470066
2,160,9220,5518,1606470066
2,10,4374,576,1606470071
2,80,7505,3826,1606470068
2,320,14161,10513,1606470062
2,10,4258,495,1606470072
2,20,4779,1047,1606470071
2,40,5995,2252,1606470071
2,40,5578,1822,1606470071
2,160,10747,7093,1606470068
2,10,4296,573,1606470075
2,160,12689,9032,1606470067
2,160,9537,5813,1606470070
2,160,11031,7329,1606470069
2,20,4904,1215,1606470075
2,160,9806,6015,1606470070
2,10,4689,922,1606470076
2,80,6976,3276,1606470074
2,20,4498,753,1606470077
2,160,13741,10060,1606470068
2,10,4192,442,1606470078
2,80,6173,2449,1606470076
2,320,19309,15677,1606470063
2,320,19874,16234,1606470063
2,80,5977,2262,1606470077
2,80,6822,3083,1606470076
2,20,4437,715,1606470079
2,10,4194,429,1606470079
2,320,15567,11902,1606470068
2,160,9365,5602,1606470075
2,10,4037,374,1606470080
2,20,4850,1139,1606470079
2,320,15507,11843,1606470069
2,320,12438,8759,1606470073
2,40,4696,1039,1606470081
2,160,7549,3792,1606470078
2,160,8942,5167,1606470077
2,10,4060,414,1606470082
2,320,14163,10442,1606470073
2,40,5572,1880,1606470081
2,320,19789,16094,1606470068
2,10,4098,443,1606470083
2,80,6463,2806,1606470081
2,320,18162,14463,1606470069
2,160,8353,4621,1606470079
2,20,4213,576,1606470084
2,80,5752,2063,1606470083
2,10,4027,378,1606470085
2,20,4270,583,1606470085
2,160,9780,6091,1606470079
2,10,3991,359,1606470085
2,20,4435,775,1606470085
2,40,4651,1030,1606470086
2,160,6552,2872,1606470084
2,40,5084,1423,1606470086
2,160,10138,6467,1606470081
2,20,4204,570,1606470087
2,320,13779,10048,1606470078
2,320,11453,7772,1606470081
2,20,4157,513,1606470088
2,20,4148,522,1606470089
2,160,7514,3862,1606470086
2,160,8159,4537,1606470086
2,20,4178,530,1606470090
2,80,5462,1818,1606470089
2,20,4064,447,1606470091
2,320,13077,9429,1606470082
2,80,5247,1593,1606470090
2,20,4201,548,1606470091
2,10,4058,400,1606470091
2,20,4317,665,1606470092
2,160,7251,3597,1606470089
2,40,4966,1274,1606470091
2,20,4380,739,1606470092
2,40,5002,1344,1606470091
2,20,4377,703,1606470092
2,80,6082,2423,1606470091
2,20,4693,981,1606470093
2,80,6185,2518,1606470092
2,80,6041,2384,1606470093
2,80,6737,3026,1606470092
2,160,8562,4894,1606470091
2,40,5236,1510,1606470095
2,20,4075,450,1606470096
2,160,8719,5031,1606470092
2,20,4503,819,1606470096
2,160,8317,4678,1606470092
2,80,7056,3341,1606470094
2,80,5193,1534,1606470097
2,80,7146,3389,1606470095
2,40,5194,1525,1606470097
2,10,4388,682,1606470098
2,20,4575,830,1606470098
2,20,4709,978,1606470098
2,20,4636,914,1606470099
2,160,9689,5994,1606470095
2,160,8731,4972,1606470096
2,20,4818,1135,1606470100
2,10,4591,815,1606470101
2,10,3917,282,1606470101
2,10,4506,846,1606470101
2,10,4179,502,1606470101
2,20,5216,1438,1606470100
2,40,6204,2495,1606470099
2,10,4196,382,1606470101
2,80,7320,3559,1606470100
2,40,6009,2283,1606470101
