workloadID, workload argument, tFC, tVM, start time
2,20,4061,443,1606744144
2,10,3907,281,1606744145
1,10,3729,0,1606744146
1,1024,3715,0,1606744146
0,2500000,5270,1669,1606744145
1,1,3643,27,1606744147
2,20,4197,583,1606744147
2,40,4725,1097,1606744147
2,10,4005,327,1606744147
2,40,4567,946,1606744147
1,10,3713,0,1606744148
1,256,3704,0,1606744148
2,40,4462,848,1606744147
2,20,4086,473,1606744148
0,4000000,6883,3277,1606744145
2,20,4102,431,1606744148
2,10,3907,288,1606744148
1,2048,3737,0,1606744149
2,20,4106,466,1606744149
0,2500000,5282,1670,1606744148
2,10,3904,288,1606744150
0,4000000,2424,0,1606744151
2,320,2412,0,1606744151
2,80,5616,1997,1606744149
1,256,3712,0,1606744151
2,40,4440,815,1606744150
2,20,4066,466,1606744151
0,4000000,6846,3258,1606744148
0,4000000,6873,3259,1606744148
0,5500000,8766,5164,1606744146
0,7000000,10938,7317,1606744144
1,1,3629,25,1606744152
2,320,11377,7746,1606744144
1,512,3709,0,1606744152
0,4000000,6891,3281,1606744149
1,2048,3713,0,1606744152
0,2500000,5264,1668,1606744151
0,4000000,6859,3266,1606744150
1,128,3729,0,1606744153
0,7000000,10872,7302,1606744146
0,7000000,10908,7310,1606744147
0,8500000,13273,9660,1606744144
1,2048,3758,0,1606744155
2,80,5599,1943,1606744153
0,1000000,4043,452,1606744154
1,2048,3719,0,1606744155
0,1000000,4100,452,1606744155
2,80,5587,1972,1606744153
0,2500000,5284,1676,1606744154
2,320,11759,8138,1606744148
2,40,4730,1081,1606744155
0,1000000,4049,452,1606744156
0,7000000,10878,7295,1606744149
2,10,4013,387,1606744156
2,40,4631,1006,1606744156
2,40,4668,1020,1606744156
2,160,7121,3487,1606744154
1,1024,3743,0,1606744158
2,10,4215,463,1606744157
0,2500000,5296,1668,1606744156
2,320,10108,6499,1606744151
0,2500000,5273,1668,1606744157
0,8500000,13220,9620,1606744149
0,5500000,8787,5184,1606744154
2,160,7266,3593,1606744156
1,256,3713,0,1606744160
2,10,4251,556,1606744160
2,80,5871,2226,1606744159
2,20,4144,498,1606744160
2,80,5849,2223,1606744159
2,20,4060,433,1606744161
1,128,3731,0,1606744161
0,5500000,8784,5183,1606744156
0,1000000,4116,453,1606744161
2,10,3981,304,1606744161
0,1000000,4098,452,1606744161
0,1000000,4071,452,1606744161
2,320,11248,7629,1606744154
1,4096,3754,0,1606744162
0,8500000,13244,9648,1606744153
2,80,5193,1569,1606744161
0,7000000,10922,7302,1606744155
0,8500000,13260,9652,1606744153
2,80,6290,2596,1606744160
0,7000000,10964,7294,1606744156
2,20,4107,444,1606744162
0,4000000,6872,3265,1606744160
2,20,4128,493,1606744164
0,7000000,10885,7293,1606744157
0,5500000,8829,5179,1606744159
0,5500000,8802,5164,1606744160
1,512,3783,0,1606744165
2,160,7692,4002,1606744161
0,7000000,10914,7304,1606744158
0,1000000,4122,452,1606744165
2,80,5317,1686,1606744165
0,5500000,8770,5165,1606744161
2,160,7517,3904,1606744163
2,160,9001,5336,1606744161
0,4000000,6885,3267,1606744164
0,8500000,13250,9632,1606744159
0,7000000,10924,7295,1606744161
2,80,5113,1485,1606744167
0,1000000,4063,451,1606744168
1,1,3629,25,1606744169
2,40,4463,838,1606744169
2,320,12445,8820,1606744161
1,2048,3710,0,1606744170
2,40,4624,994,1606744169
2,20,4088,462,1606744170
