workloadID, workload argument, tFC, tVM, start time
2,40,4364,753,1606482308
1,1,3638,44,1606482309
2,20,4050,431,1606482309
1,10,3888,287,1606482309
1,10,4017,409,1606482310
1,10,3921,328,1606482310
0,4000000,6872,3262,1606482308
0,4000000,6876,3261,1606482308
1,128,6770,3148,1606482308
1,1,3661,43,1606482312
0,1000000,4042,452,1606482311
0,1000000,4065,454,1606482312
2,80,5421,1805,1606482311
0,1000000,4045,451,1606482313
2,10,3908,281,1606482314
0,2500000,5264,1668,1606482313
0,1000000,4054,452,1606482315
0,4000000,6888,3276,1606482312
0,4000000,6850,3257,1606482312
0,1000000,4056,458,1606482315
0,5500000,8791,5187,1606482311
2,10,3894,276,1606482316
0,7000000,10905,7306,1606482309
0,4000000,6925,3267,1606482313
0,4000000,6872,3260,1606482314
2,320,8874,5252,1606482312
0,1000000,4066,452,1606482317
0,5500000,8780,5185,1606482312
2,10,3921,277,1606482317
0,2500000,5284,1668,1606482317
2,40,4392,775,1606482318
1,1,3689,93,1606482318
2,80,5548,1936,1606482317
2,160,6550,2909,1606482317
0,1000000,4105,452,1606482320
0,5500000,8773,5172,1606482315
2,80,5422,1820,1606482319
2,160,6772,3163,1606482318
2,40,4412,795,1606482321
0,2500000,5265,1669,1606482320
2,80,5511,1887,1606482320
2,10,3904,277,1606482323
2,10,3906,288,1606482323
0,4000000,6840,3258,1606482320
2,10,3899,283,1606482323
0,7000000,10907,7308,1606482316
2,80,5389,1776,1606482322
2,40,4573,920,1606482323
2,10,3881,268,1606482324
2,10,3948,306,1606482324
0,8500000,13228,9637,1606482315
0,4000000,6851,3258,1606482321
0,4000000,6873,3265,1606482321
0,7000000,10894,7295,1606482317
0,1000000,4029,451,1606482325
0,4000000,6852,3260,1606482322
2,40,4364,749,1606482325
0,4000000,6867,3266,1606482323
0,4000000,6866,3259,1606482323
2,160,6512,2899,1606482323
0,1000000,4072,460,1606482326
0,8500000,13237,9628,1606482317
1,128,16741,13107,1606482313
2,40,4374,744,1606482326
2,80,5114,1494,1606482325
0,1000000,4065,452,1606482327
0,2500000,5264,1672,1606482326
0,4000000,6738,3257,1606482324
2,20,4133,461,1606482327
1,10,5253,1644,1606482326
0,4000000,6856,3276,1606482324
2,80,5087,1459,1606482327
2,40,4786,1161,1606482327
0,8500000,13279,9665,1606482319
0,2500000,5278,1669,1606482327
1,1,3822,220,1606482329
0,4000000,6867,3264,1606482326
0,1000000,4039,452,1606482329
2,320,10463,6840,1606482323
2,20,4193,542,1606482329
0,4000000,6905,3270,1606482327
2,40,4527,865,1606482329
0,4000000,6872,3265,1606482327
2,40,4356,748,1606482331
0,7000000,10895,7296,1606482325
2,20,4227,608,1606482332
0,5500000,8777,5174,1606482329
0,1000000,4050,452,1606482333
2,10,4305,588,1606482333
2,10,4246,583,1606482334
2,160,7175,3538,1606482331
0,8500000,13207,9620,1606482325
2,10,4053,403,1606482335
2,320,10243,6620,1606482329
0,5500000,8779,5168,1606482330
2,80,5846,2211,1606482333
2,160,7665,4018,1606482331
0,4000000,6940,3262,1606482332
0,5500000,8788,5165,1606482331
0,4000000,6864,3260,1606482333
2,160,6486,2857,1606482335
2,20,4055,444,1606482338
2,320,9130,5484,1606482333
0,1000000,4082,452,1606482339
0,7000000,10905,7291,1606482333
2,80,5315,1670,1606482339
0,5500000,8784,5172,1606482336
0,1000000,4088,453,1606482340
0,2500000,5294,1684,1606482340
0,5500000,8765,5165,1606482337
2,320,9146,5541,1606482337
2,320,9138,5531,1606482337
1,1,3998,342,1606482342
2,320,9408,5794,1606482337
2,20,4183,525,1606482343
0,1000000,4077,452,1606482343
1,1,3929,341,1606482343
2,160,6459,2853,1606482341
0,5500000,8767,5167,1606482339
0,5500000,8778,5161,1606482339
2,10,3872,275,1606482344
0,8500000,13136,9640,1606482335
0,5500000,8764,5171,1606482340
0,7000000,10895,7293,1606482338
1,2048,6877,0,1606482342
1,128,7193,0,1606482342
2,10,3883,278,1606482345
2,10,3908,281,1606482346
2,40,4913,1313,1606482345
1,2048,6760,0,1606482343
0,4000000,6895,3259,1606482343
2,320,10804,7182,1606482340
1,1,3899,314,1606482346
0,4000000,6871,3275,1606482344
1,128,28384,24756,1606482322
0,2500000,5268,1668,1606482346
1,1024,6731,0,1606482345
2,160,7055,3462,1606482345
0,5500000,8762,5161,1606482344
0,2500000,5252,1667,1606482348
1,1,3934,335,1606482349
0,5500000,8764,5168,1606482345
2,20,4073,464,1606482350
1,10,6421,2836,1606482348
1,1,3971,336,1606482350
2,320,8814,5228,1606482346
0,4000000,6879,3259,1606482348
2,10,3898,267,1606482351
2,80,5289,1661,1606482350
1,2048,7071,0,1606482349
0,1000000,4039,452,1606482352
2,80,5239,1621,1606482351
1,1,3928,336,1606482353
2,20,4321,649,1606482353
2,80,5170,1540,1606482352
0,5500000,8784,5167,1606482348
0,5500000,8760,5163,1606482348
2,160,6923,3322,1606482350
2,20,4314,627,1606482353
0,2500000,5333,1678,1606482352
0,5500000,8794,5177,1606482349
2,10,3937,281,1606482355
0,2500000,5340,1834,1606482354
1,128,7431,0,1606482353
0,5500000,8747,5180,1606482352
2,160,7024,3401,1606482354
1,128,7229,0,1606482354
2,160,7136,3467,1606482354
1,2048,7362,0,1606482354
1,4096,7738,0,1606482354
0,7000000,11203,7541,1606482351
2,320,9377,5735,1606482353
0,8500000,13288,9631,1606482349
1,2048,8106,0,1606482354
1,4096,7586,0,1606482355
1,4096,7429,0,1606482355
2,40,5074,956,1606482358
2,10,4189,280,1606482359
1,1,4375,381,1606482359
0,5500000,8924,5269,1606482354
1,256,7408,0,1606482356
1,128,7499,0,1606482356
0,2500000,6083,1988,1606482357
0,1000000,4407,454,1606482359
2,20,4533,602,1606482359
2,160,7637,3921,1606482357
0,4000000,7715,3735,1606482357
0,1000000,4563,503,1606482360
2,10,4492,455,1606482360
2,40,4873,997,1606482360
2,80,5859,1971,1606482359
0,5500000,9793,6133,1606482355
1,128,8279,0,1606482357
1,512,8210,0,1606482357
1,1,4301,349,1606482361
1,2048,25105,0,1606482341
1,1024,7691,0,1606482358
1,256,7924,0,1606482358
1,2048,14462,0,1606482352
2,20,4385,454,1606482362
0,7000000,11201,7592,1606482355
0,4000000,7433,3498,1606482359
1,1024,29651,0,1606482337
0,5500000,9828,5742,1606482357
0,4000000,7184,3270,1606482360
1,1024,7550,0,1606482359
1,512,55785,0,1606482311
1,1024,15352,0,1606482352
0,2500000,5559,1669,1606482362
1,2048,31647,0,1606482336
2,10,4090,275,1606482364
1,128,25433,0,1606482343
0,5500000,9274,5342,1606482359
2,10,3905,283,1606482365
2,320,10521,6544,1606482358
2,160,7478,3447,1606482361
0,5500000,9084,5165,1606482360
0,5500000,9298,5355,1606482360
2,20,4103,443,1606482366
0,7000000,11550,7546,1606482358
2,80,6081,2235,1606482364
1,128,40425,36800,1606482330
0,2500000,5478,1671,1606482364
2,160,8260,4160,1606482362
2,10,4083,339,1606482366
1,128,7561,0,1606482363
0,1000000,4089,463,1606482366
1,128,38245,34634,1606482333
0,5500000,9186,5208,1606482362
1,1,3978,335,1606482367
1,2048,47891,0,1606482324
1,2048,7361,0,1606482364
1,4096,28711,0,1606482343
2,160,6484,2852,1606482366
2,10,4046,341,1606482369
0,2500000,5282,1670,1606482368
0,8500000,13908,9926,1606482359
2,10,4005,320,1606482369
2,10,4045,328,1606482369
1,256,56921,53294,1606482317
2,20,4161,451,1606482370
2,160,7055,3404,1606482367
2,40,4711,1022,1606482370
2,160,6677,3051,1606482368
2,10,4274,338,1606482371
2,160,6766,3103,1606482369
0,1000000,4420,459,1606482371
0,7000000,11257,7449,1606482364
1,128,7223,0,1606482369
2,40,4718,794,1606482371
2,320,9514,5890,1606482367
0,4000000,7054,3554,1606482369
0,5500000,8967,5372,1606482367
0,4000000,7079,3403,1606482369
0,5500000,8984,5398,1606482368
0,5500000,8957,5349,1606482369
1,4096,66297,0,1606482312
1,128,39696,0,1606482339
2,80,5314,1408,1606482373
1,256,39662,0,1606482339
1,1024,66754,0,1606482312
0,7000000,11311,7675,1606482368
0,4000000,7143,3290,1606482372
1,1,4435,379,1606482375
2,20,4890,721,1606482375
2,20,4446,453,1606482376
1,10,7192,3163,1606482373
0,7000000,11481,7742,1606482369
1,256,7224,0,1606482373
1,1,4424,407,1606482376
0,7000000,11421,7720,1606482369
1,4096,48999,0,1606482332
0,5500000,8856,5196,1606482372
0,7000000,11315,7625,1606482370
0,2500000,5744,1855,1606482375
1,512,7835,0,1606482373
1,2048,7019,0,1606482374
0,5500000,9493,5622,1606482372
2,80,5730,1746,1606482376
1,512,69476,0,1606482312
2,40,5089,1055,1606482377
2,160,7608,3760,1606482374
2,40,4676,828,1606482377
0,2500000,5788,1724,1606482377
2,40,4794,1036,1606482378
0,5500000,9074,5241,1606482374
1,2048,56876,0,1606482326
2,20,4616,842,1606482379
2,10,4304,345,1606482379
2,40,5071,1430,1606482379
2,20,4201,499,1606482380
1,2048,7500,0,1606482376
2,320,10228,6390,1606482374
0,1000000,4384,585,1606482380
2,40,5219,1320,1606482379
1,1024,72060,0,1606482312
0,8500000,13890,9948,1606482371
1,256,65595,61964,1606482319
2,320,10091,6409,1606482374
2,160,7510,3689,1606482377
1,512,75708,0,1606482309
1,256,60920,0,1606482324
2,40,4804,966,1606482380
2,160,8586,4547,1606482377
0,8500000,14177,10216,1606482372
2,80,5346,1609,1606482381
2,20,4111,441,1606482383
0,8500000,13834,9955,1606482373
2,10,4009,339,1606482383
0,7000000,11767,7770,1606482376
2,80,5521,1800,1606482383
2,10,4406,319,1606482385
0,7000000,11424,7777,1606482378
0,2500000,5675,1714,1606482384
1,1024,76385,0,1606482313
2,160,7559,3937,1606482382
0,1000000,4491,534,1606482385
2,320,9751,5811,1606482380
1,512,61180,0,1606482329
1,10,7511,3766,1606482383
0,7000000,11735,7746,1606482379
0,2500000,6146,2067,1606482385
1,512,7407,0,1606482384
1,512,45792,0,1606482346
0,7000000,11649,7864,1606482380
1,256,64725,0,1606482327
1,128,27635,0,1606482365
0,8500000,14107,10451,1606482378
0,5500000,9356,5658,1606482383
1,256,27731,0,1606482365
1,1024,51120,0,1606482342
0,8500000,14535,10767,1606482378
1,1024,65137,0,1606482328
0,1000000,4324,452,1606482389
0,2500000,5740,1677,1606482387
1,10,7487,3491,1606482386
0,2500000,5750,1696,1606482388
0,2500000,5746,1771,1606482388
1,512,28933,0,1606482365
1,2048,59459,0,1606482335
2,20,4298,445,1606482390
1,4096,78766,0,1606482316
2,10,3890,273,1606482391
0,1000000,4274,452,1606482390
1,512,75851,0,1606482319
0,8500000,14589,10762,1606482381
0,7000000,11918,8058,1606482384
0,7000000,11728,7716,1606482384
2,80,6205,2379,1606482390
2,20,4055,439,1606482392
0,8500000,13371,9734,1606482383
0,2500000,5277,1674,1606482391
2,320,10035,6063,1606482387
2,20,4125,511,1606482393
1,1024,78944,0,1606482319
0,8500000,14204,10390,1606482384
1,1024,76132,0,1606482322
1,1024,79377,0,1606482319
1,256,70149,0,1606482328
1,10,6314,2712,1606482392
0,7000000,11397,7421,1606482387
2,40,4425,788,1606482395
0,4000000,6860,3276,1606482392
2,20,4062,455,1606482395
0,2500000,5272,1682,1606482395
1,4096,75756,0,1606482324
0,4000000,6870,3265,1606482393
0,8500000,13844,9917,1606482387
0,4000000,6860,3261,1606482395
1,10,6728,3127,1606482395
2,80,5585,1959,1606482396
0,1000000,4069,452,1606482398
1,1024,77893,0,1606482325
1,1024,70327,0,1606482332
1,10,6643,3068,1606482396
1,1,3890,296,1606482399
0,4000000,6871,3272,1606482396
0,2500000,5241,1668,1606482399
2,160,6383,2754,1606482397
0,8500000,13209,9625,1606482391
2,20,4037,437,1606482400
2,20,4039,434,1606482400
1,10,6526,2925,1606482398
0,1000000,4043,453,1606482401
1,256,69209,0,1606482336
0,4000000,6838,3260,1606482399
1,4096,72093,0,1606482333
0,8500000,13211,9621,1606482393
0,7000000,10921,7294,1606482396
0,1000000,4058,460,1606482403
0,5500000,8767,5166,1606482398
0,7000000,10963,7317,1606482396
0,1000000,4058,461,1606482403
1,2048,99549,0,1606482309
1,128,41976,38338,1606482367
1,10,6366,2773,1606482402
0,7000000,10899,7317,1606482398
2,160,6384,2765,1606482403
1,10,6483,2857,1606482403
0,8500000,13245,9628,1606482396
0,1000000,4038,452,1606482405
0,8500000,13240,9643,1606482397
1,10,6360,2772,1606482404
2,160,6477,2879,1606482404
0,4000000,6866,3278,1606482404
1,512,43021,0,1606482368
0,5500000,8769,5175,1606482403
2,80,5926,2220,1606482406
1,2048,43013,0,1606482369
1,128,39295,0,1606482372
1,1024,43063,0,1606482369
1,2048,6854,0,1606482406
1,2048,6809,0,1606482406
1,128,42076,38136,1606482371
2,80,5156,1526,1606482408
2,40,5340,1606,1606482408
1,4096,7010,0,1606482406
0,1000000,4081,453,1606482410
1,1024,7534,0,1606482406
2,10,4163,405,1606482410
2,320,10312,6698,1606482404
2,320,12551,8916,1606482402
1,256,7639,0,1606482407
0,5500000,8803,5209,1606482406
1,256,6757,0,1606482408
1,10,7231,3701,1606482408
1,10,7424,3772,1606482408
1,1024,89118,0,1606482326
2,10,4440,458,1606482411
0,1000000,4370,460,1606482412
0,4000000,7411,3700,1606482409
1,512,7888,0,1606482409
1,1024,104657,0,1606482312
2,80,6290,2487,1606482410
1,10,6312,2508,1606482410
0,8500000,13297,9646,1606482404
2,20,4602,504,1606482413
0,2500000,5885,2138,1606482411
1,1,4139,264,1606482413
2,10,4479,381,1606482413
0,2500000,5764,1672,1606482412
1,1024,98389,0,1606482320
0,4000000,7476,3640,1606482411
1,10,6494,2615,1606482412
0,7000000,11323,7665,1606482407
1,10,6634,2557,1606482412
2,160,7899,3838,1606482411
0,4000000,7447,3506,1606482412
0,5500000,9426,5672,1606482410
2,160,8331,4339,1606482411
0,1000000,4440,464,1606482415
0,1000000,4396,476,1606482416
2,160,8487,4780,1606482412
1,128,40083,36118,1606482381
1,10,6441,2559,1606482414
2,320,12791,9118,1606482408
2,40,4660,907,1606482416
2,320,11824,8234,1606482409
2,160,9268,5304,1606482412
2,80,7131,2975,1606482414
2,40,4726,867,1606482417
0,8500000,13832,10190,1606482408
1,128,44903,40983,1606482377
0,5500000,9480,5432,1606482413
0,2500000,5560,1726,1606482418
2,160,6873,3206,1606482416
2,160,7679,3629,1606482416
1,4096,46247,0,1606482377
0,5500000,9332,5387,1606482415
2,10,4205,369,1606482420
1,2048,40523,0,1606482384
0,2500000,5492,1827,1606482419
1,2048,29441,0,1606482395
2,40,4508,845,1606482420
0,8500000,13872,9987,1606482411
1,128,34646,0,1606482391
1,128,34851,0,1606482391
0,2500000,5386,1673,1606482421
0,8500000,14116,10151,1606482412
1,2048,7105,0,1606482419
1,1,4387,447,1606482422
0,2500000,5447,1673,1606482421
2,20,4415,436,1606482422
1,1024,7430,0,1606482420
1,10,6995,3208,1606482420
1,512,7888,0,1606482420
0,8500000,13816,9842,1606482414
2,320,9232,5465,1606482419
2,10,4148,373,1606482424
1,128,7234,0,1606482421
0,7000000,11284,7439,1606482417
2,40,5028,1151,1606482423
0,2500000,5616,1686,1606482423
1,2048,7449,0,1606482422
1,2048,7120,0,1606482423
1,2048,7460,0,1606482422
0,1000000,4165,463,1606482426
1,4096,6818,0,1606482424
0,5500000,9153,5164,1606482422
0,5500000,9399,5479,1606482422
1,512,47640,0,1606482384
2,10,4401,574,1606482427
2,160,8494,4685,1606482423
0,5500000,8980,5177,1606482423
0,1000000,4088,455,1606482428
2,80,5920,2319,1606482426
0,1000000,4368,453,1606482428
0,1000000,4379,471,1606482428
0,8500000,13570,9865,1606482419
1,128,7809,0,1606482426
2,80,6031,2400,1606482428
1,1,4040,319,1606482430
0,4000000,6973,3305,1606482427
2,40,5046,1409,1606482429
0,4000000,7106,3261,1606482428
2,40,5027,1191,1606482430
2,320,9933,6324,1606482426
2,160,8531,4842,1606482427
2,320,12093,8252,1606482424
0,1000000,4117,452,1606482432
0,7000000,11120,7427,1606482427
0,4000000,7241,3372,1606482431
0,2500000,5493,1769,1606482433
2,320,11205,7425,1606482427
0,2500000,5489,1698,1606482433
0,8500000,13579,9845,1606482426
1,1,4409,381,1606482435
2,40,5090,1151,1606482435
0,4000000,7354,3480,1606482433
1,1024,7466,0,1606482433
1,1024,33325,0,1606482407
2,40,5183,1257,1606482435
2,80,5694,1707,1606482435
0,7000000,11408,7687,1606482429
1,128,36467,0,1606482404
2,160,7206,3557,1606482434
2,160,7028,3356,1606482434
1,4096,8012,0,1606482433
1,128,37659,0,1606482404
2,40,5018,977,1606482436
0,5500000,9275,5640,1606482432
1,512,79891,0,1606482362
2,40,4859,779,1606482437
1,128,47464,43854,1606482394
2,80,7083,3001,1606482435
2,320,11385,7613,1606482431
1,2048,38788,0,1606482404
2,20,4376,485,1606482439
2,40,4726,822,1606482438
0,2500000,5546,1667,1606482438
2,20,4577,530,1606482439
0,4000000,7675,3484,1606482436
0,5500000,9148,5288,1606482435
1,128,48251,44641,1606482396
0,2500000,5640,1670,1606482438
1,1024,114700,0,1606482330
0,5500000,9264,5228,1606482436
0,5500000,9311,5264,1606482436
2,320,13029,9378,1606482433
2,80,5976,2250,1606482440
2,80,5985,2036,1606482440
2,320,10718,6551,1606482436
2,10,3936,270,1606482443
1,1024,7377,0,1606482440
1,1,4089,350,1606482443
0,8500000,14062,10062,1606482434
2,80,5427,1617,1606482443
1,10,6808,3157,1606482442
1,1024,7424,0,1606482441
1,10,7475,3742,1606482441
2,20,4447,470,1606482444
2,40,4614,888,1606482444
1,2048,42132,0,1606482407
0,4000000,6966,3357,1606482442
1,2048,67687,0,1606482382
1,4096,41032,0,1606482409
2,10,4192,272,1606482446
1,10,7008,3309,1606482443
1,1024,67955,0,1606482382
0,1000000,4444,452,1606482446
0,7000000,11768,7836,1606482439
1,512,32585,0,1606482419
2,80,5463,1497,1606482446
0,5500000,9438,5806,1606482442
1,4096,91479,0,1606482360
1,2048,91030,0,1606482361
2,20,4209,522,1606482448
1,1024,91329,0,1606482361
2,160,7725,3785,1606482445
0,5500000,9101,5339,1606482444
2,40,4700,919,1606482448
1,10,7068,3040,1606482446
1,512,42642,0,1606482411
0,5500000,9372,5512,1606482444
1,1024,90759,0,1606482363
1,4096,90842,0,1606482363
0,1000000,4472,452,1606482449
0,4000000,6966,3305,1606482447
0,2500000,5534,1673,1606482449
0,2500000,5778,1681,1606482449
2,320,9932,6098,1606482445
2,80,5820,1842,1606482450
1,4096,67323,0,1606482388
0,8500000,13606,9813,1606482442
0,1000000,4600,505,1606482451
0,8500000,13509,9789,1606482443
0,5500000,9220,5269,1606482447
1,256,77691,73801,1606482379
0,1000000,4547,452,1606482452
1,1024,7337,0,1606482450
2,160,6864,3160,1606482451
0,4000000,6977,3318,1606482451
1,128,42071,38155,1606482416
2,160,6788,2821,1606482451
0,2500000,5699,1696,1606482453
2,40,5377,1336,1606482453
1,256,80020,0,1606482379
1,10,6948,3231,1606482452
1,512,73663,0,1606482385
2,40,5074,976,1606482454
1,512,78712,0,1606482381
0,5500000,8877,5211,1606482451
2,320,11693,8150,1606482448
0,2500000,5794,1694,1606482455
2,320,10852,6933,1606482450
2,80,5399,1464,1606482455
0,2500000,6011,1928,1606482455
1,256,33121,0,1606482428
1,256,32462,0,1606482429
1,1,4372,372,1606482457
0,4000000,8640,4613,1606482453
1,2048,80460,0,1606482381
2,160,7760,3629,1606482454
1,256,76194,0,1606482386
2,40,5349,1269,1606482457
2,160,7844,3659,1606482454
2,40,5464,1310,1606482457
0,8500000,13536,9695,1606482449
1,4096,82014,0,1606482381
2,10,4254,341,1606482459
2,160,6838,2788,1606482456
1,1024,46872,0,1606482417
0,8500000,14624,10673,1606482450
1,128,50341,46346,1606482414
0,2500000,5743,1670,1606482459
1,1,4460,440,1606482460
1,512,54284,0,1606482411
2,160,7380,3249,1606482458
1,1,4354,366,1606482461
0,1000000,4735,730,1606482460
0,7000000,11677,7721,1606482454
1,1024,58247,0,1606482408
2,160,7153,3121,1606482459
0,1000000,4449,474,1606482462
0,1000000,4328,466,1606482462
0,7000000,11743,7819,1606482455
0,5500000,9496,5451,1606482457
0,4000000,7543,3622,1606482460
0,1000000,4355,452,1606482463
2,40,4766,808,1606482463
0,7000000,11815,7751,1606482456
0,5500000,9345,5331,1606482458
1,1024,80702,0,1606482388
2,80,5332,1481,1606482464
0,5500000,9154,5249,1606482460
0,7000000,11823,7931,1606482457
1,1,4007,336,1606482465
0,8500000,13769,9744,1606482456
2,160,6643,2963,1606482463
