#cpu_count: 64
#total_mem: 270332968960
t,cpu_user,cpu_system,cpu_idle,cpu_inter,cpu_percentage,load_1m,mem_avail,swap_used
1606410079.6378355,0.0,0.0,42.0,0.0,0.0,0.79,265818984448,123645952
1606410080.6395848,0.0,0.0,100.0,0.0,0.0,0.79,265820815360,123645952
1606410081.6414378,0.1,0.0,99.9,0.0,0.1,0.79,265816064000,123645952
1606410082.6433032,1.7,0.8,97.4,0.1,2.6,0.97,265691893760,123645952
1606410083.6451683,3.7,1.3,94.9,0.1,5.1,0.97,265536507904,123645952
1606410084.6470983,8.6,0.8,90.6,0.0,9.4,0.97,265442107392,123645952
1606410085.6492047,12.3,0.8,86.7,0.2,13.3,0.97,265332879360,123645952
1606410086.6510715,14.6,1.3,83.8,0.4,16.3,0.97,265200381952,123645952
1606410087.652986,16.4,1.5,81.7,0.3,18.2,2.09,265050075136,123645952
1606410088.654853,18.2,1.6,79.9,0.3,20.1,2.09,264903450624,123645952
1606410089.6568031,23.5,1.6,74.4,0.5,25.6,2.09,264893349888,123645952
1606410090.6587195,29.8,1.3,68.5,0.4,31.5,2.09,264718909440,123645952
1606410091.6606014,31.6,1.6,66.4,0.5,33.6,2.09,264636936192,123645952
1606410092.662476,35.7,1.8,61.8,0.7,38.2,3.93,264512491520,123645952
1606410093.664399,36.4,0.9,62.2,0.6,37.8,3.93,264422952960,123645952
1606410094.6663015,40.7,1.3,57.2,0.8,42.8,3.93,264383201280,123645952
1606410095.6682312,35.9,1.0,62.5,0.6,37.5,3.93,264454639616,123645952
1606410096.6701007,32.2,1.5,65.8,0.5,34.2,3.93,264383672320,123645952
1606410097.671996,28.1,1.0,70.2,0.7,29.8,5.45,264532561920,123645952
1606410098.6738868,31.9,2.0,65.5,0.7,34.5,5.45,264558587904,123645952
1606410099.6757665,33.8,1.8,63.6,0.8,36.4,5.45,264537411584,123645952
1606410100.6777608,36.2,1.1,61.8,0.8,38.2,5.45,264418430976,123645952
1606410101.6797864,31.8,1.5,65.9,0.8,34.1,5.45,264406331392,123645952
1606410102.6816792,29.8,1.4,68.1,0.8,31.9,6.7,264524034048,123645952
1606410103.6835656,28.9,1.1,69.2,0.8,30.8,6.7,264784236544,123645952
1606410104.6854534,26.3,1.0,72.0,0.7,28.0,6.7,264686510080,123645952
1606410105.687335,24.9,1.1,73.2,0.8,26.8,6.7,264849670144,123645952
1606410106.6892374,23.0,1.3,75.1,0.7,24.9,6.7,264819597312,123645952
1606410107.6911366,22.1,1.2,75.7,1.0,24.4,7.61,264853307392,123645952
1606410108.6930392,25.1,1.1,73.1,0.7,26.8,7.61,264934010880,123645952
1606410109.6949232,28.1,1.3,69.9,0.8,30.2,7.61,264863944704,123645952
1606410110.6968637,27.9,1.2,70.2,0.8,29.8,7.61,264761221120,123645952
1606410111.6987512,31.4,0.9,67.3,0.4,32.7,7.61,264730267648,123645952
1606410112.7006469,26.9,1.4,71.0,0.6,29.0,8.6,264677593088,123645952
1606410113.702556,26.3,1.4,71.7,0.6,28.3,8.6,264704860160,123645952
1606410114.7045271,25.4,1.7,72.3,0.7,27.7,8.6,264733360128,123645952
1606410115.7065625,31.6,2.1,65.7,0.5,34.3,8.6,264551469056,123645952
1606410116.7085238,35.1,2.1,62.0,0.8,38.0,8.6,264432611328,123645952
1606410117.7106092,34.7,1.6,63.0,0.7,37.0,9.75,264326897664,123645952
1606410118.7126775,37.1,2.0,60.4,0.5,39.6,9.75,264252256256,123645952
1606410119.7145643,37.4,1.2,61.1,0.3,38.9,9.75,264428511232,123645952
1606410120.7165265,36.7,0.7,61.7,1.0,38.3,9.75,264523882496,123645952
1606410121.718414,37.4,1.3,60.4,1.0,39.6,9.75,264515465216,123645952
1606410122.720346,40.0,1.2,58.0,0.9,42.0,11.13,264536506368,123645952
1606410123.7222486,38.3,1.4,59.5,0.8,40.5,11.13,264407343104,123645952
1606410124.724336,29.5,1.5,68.5,0.6,31.5,11.13,264325505024,123645952
1606410125.7263,29.1,1.2,68.9,0.9,31.1,11.13,264547418112,123645952
1606410126.7281976,30.9,1.2,67.3,0.7,32.7,11.13,264772792320,123645952
1606410127.7300966,28.8,1.4,69.0,0.8,31.0,11.6,264615800832,123645952
1606410128.7320526,31.5,1.8,66.0,0.7,34.0,11.6,264624947200,123645952
1606410129.7339559,34.6,2.4,62.3,0.7,37.7,11.6,264494338048,123645952
1606410130.7360606,30.7,1.8,66.9,0.6,33.1,11.6,264255582208,123645952
1606410131.7381358,31.6,1.6,66.2,0.6,33.8,11.6,264400592896,123645952
1606410132.739529,34.3,2.5,62.7,0.5,37.3,12.28,264369610752,123645952
1606410133.7416098,39.0,1.0,59.4,0.6,40.6,12.28,264503607296,123645952
1606410134.7437224,39.5,0.8,59.1,0.6,40.9,12.28,264513155072,123645952
1606410135.74575,31.6,0.7,67.2,0.5,32.8,12.28,264547069952,123645952
1606410136.7473152,32.7,0.7,65.8,0.8,34.2,12.28,264786640896,123645952
1606410137.749565,26.2,0.8,72.2,0.8,27.8,12.57,264799866880,123645952
1606410138.7514882,24.0,0.7,74.8,0.5,25.2,12.57,264811622400,123645952
1606410139.7536047,24.4,1.1,73.8,0.7,26.2,12.57,264870797312,123645952
1606410140.7555554,22.7,1.5,75.0,0.8,25.0,12.57,264816820224,123645952
1606410141.7574587,22.2,1.4,75.8,0.6,24.2,12.57,264816779264,123645952
1606410142.7593431,28.3,2.7,68.5,0.6,31.5,13.57,264698425344,123645952
1606410143.7617257,30.0,2.3,67.0,0.6,33.0,13.57,264520097792,123645952
1606410144.7636425,39.8,1.6,58.0,0.6,42.0,13.57,264415219712,123645952
1606410145.7655656,38.6,1.1,59.6,0.6,40.4,13.57,264410836992,123645952
1606410146.7676094,39.4,1.0,58.7,0.8,41.3,13.57,264361877504,123645952
1606410147.7695534,31.6,1.0,66.8,0.6,33.2,14.16,264474189824,123645952
1606410148.7715714,30.3,0.8,68.1,0.8,31.9,14.16,264637874176,123645952
1606410149.7735155,29.0,1.1,69.4,0.5,30.6,14.16,264773283840,123645952
1606410150.7754278,30.1,0.9,68.3,0.7,31.7,14.16,264787218432,123645952
1606410151.7773302,30.5,2.1,66.8,0.7,33.2,14.16,264564441088,123645952
1606410152.7795677,28.1,2.1,69.2,0.6,30.8,14.55,264422633472,123645952
1606410153.781486,32.8,1.9,64.4,0.9,35.6,14.55,264395001856,123645952
1606410154.7837691,34.9,0.9,63.4,0.7,36.6,14.55,264556699648,123645952
1606410155.785813,36.1,1.4,61.7,0.7,38.3,14.55,264497119232,123645952
1606410156.7877736,35.0,0.9,63.5,0.5,36.5,14.55,264587624448,123645952
1606410157.7896464,36.2,1.0,62.3,0.5,37.7,15.15,264545234944,123645952
1606410158.7913318,33.6,1.3,64.5,0.6,35.5,15.15,264495284224,123645952
1606410159.7934012,30.4,1.9,67.1,0.6,32.9,15.15,264412151808,123645952
1606410160.7955341,28.5,0.7,70.3,0.5,29.7,15.15,264750419968,123645952
1606410161.7976305,24.3,0.9,74.3,0.5,25.7,15.15,264759975936,123645952
1606410162.799578,20.1,1.3,77.9,0.7,22.1,15.14,264947961856,123645952
1606410163.8014505,23.3,1.2,74.6,0.8,25.4,15.14,264871313408,123637760
1606410164.803356,23.6,1.2,74.3,0.9,25.7,15.14,264905834496,123637760
1606410165.8053036,22.8,1.2,75.5,0.5,24.5,15.14,264829145088,123637760
1606410166.8072174,24.2,0.9,74.3,0.6,25.7,15.14,264943792128,123637760
