#cpu_count: 64
#total_mem: 270332968960
t,cpu_user,cpu_system,cpu_idle,cpu_inter,cpu_percentage,load_1m,mem_avail,swap_used
1606470054.9240258,1.0,0.0,24.0,0.0,3.8,0.0,265931661312,118104064
1606470055.925683,0.0,0.0,100.0,0.0,0.0,0.0,265931116544,118104064
1606470056.9275205,1.3,0.6,98.0,0.0,2.0,0.0,265838764032,118104064
1606470057.9293535,2.5,1.0,96.3,0.1,3.7,0.0,265619124224,118104064
1606470058.9311857,7.1,1.4,91.3,0.2,8.7,0.0,265106763776,118104064
1606470059.9331603,6.9,0.8,92.2,0.0,7.8,0.0,264683786240,118104064
1606470060.9353628,7.3,0.6,92.1,0.0,7.9,0.4,264730636288,118104064
1606470061.9374754,5.4,0.5,93.9,0.1,6.1,0.4,264856838144,118104064
1606470062.939355,7.2,1.8,90.7,0.2,9.3,0.4,265073508352,118104064
1606470063.941224,9.8,2.2,87.7,0.3,12.3,0.4,264587616256,118104064
1606470064.9430902,14.1,1.6,84.0,0.3,16.1,0.4,264240750592,118104064
1606470065.945128,18.3,1.7,79.5,0.4,20.4,1.33,263701684224,118104064
1606470066.9475129,19.2,1.7,78.8,0.3,21.2,1.33,263609786368,118104064
1606470067.9507282,18.2,0.9,80.5,0.4,19.5,1.33,263953375232,118104064
1606470068.9529123,19.1,2.4,77.9,0.6,22.0,1.33,263651422208,118104064
1606470069.9552891,18.2,2.9,78.2,0.7,21.8,1.33,263449948160,118104064
1606470070.9584627,26.3,3.1,70.1,0.5,30.0,2.66,262757969920,118104064
1606470071.9617496,35.2,2.7,61.8,0.3,38.1,2.66,262390185984,118104064
1606470072.9646292,34.8,1.6,63.2,0.4,36.8,2.66,262351114240,118104064
1606470073.967791,29.5,1.2,68.7,0.6,31.3,2.66,261854523392,118104064
1606470074.9711087,23.9,1.8,73.8,0.5,26.2,2.66,262788575232,118104064
1606470075.973537,24.2,1.8,73.7,0.4,26.3,3.97,263305179136,118104064
1606470076.9756482,25.5,1.7,72.3,0.5,27.6,3.97,263343607808,118104064
1606470077.9788775,28.1,1.6,69.7,0.6,30.3,3.97,263366459392,118104064
1606470078.9821365,25.0,1.4,73.1,0.5,27.0,3.97,262918217728,118104064
1606470079.9853818,25.8,1.6,72.2,0.3,27.8,3.97,262802759680,118104064
1606470080.9881666,25.8,2.2,71.8,0.3,28.2,5.34,263012909056,118104064
1606470081.9906685,21.6,1.8,76.1,0.5,23.9,5.34,262898982912,118104064
1606470082.9929807,21.2,1.6,76.6,0.6,23.4,5.34,263103332352,118104064
1606470083.9952247,22.0,1.4,76.2,0.4,23.8,5.34,263333076992,118104064
1606470084.999058,21.7,1.2,76.9,0.3,23.1,5.34,263580905472,118104064
1606470086.0016773,19.2,1.2,79.4,0.2,20.6,5.87,263424983040,118104064
1606470087.0039299,15.8,2.3,81.7,0.2,18.3,5.87,263649009664,118104064
1606470088.0060942,14.5,1.5,84.0,0.0,16.0,5.87,263495172096,118104064
1606470089.0083258,14.4,0.7,84.9,0.1,15.1,5.87,263754280960,118104064
1606470090.010893,12.7,1.5,85.6,0.2,14.5,5.87,264319709184,118104064
1606470091.0130262,9.1,1.3,89.6,0.0,10.4,6.04,264331403264,118104064
1606470092.0151944,9.6,1.4,88.9,0.1,11.1,6.04,264517279744,118104064
1606470093.0174553,11.2,2.5,86.2,0.1,13.8,6.04,264336523264,118104064
1606470094.01931,13.8,2.8,83.0,0.4,17.0,6.04,263708573696,118104064
1606470095.0214806,15.6,1.7,82.2,0.5,17.8,6.04,263540674560,118104064
