#cpu_count: 64
#total_mem: 270332968960
t,cpu_user,cpu_system,cpu_idle,cpu_inter,cpu_percentage,load_1m,mem_avail,swap_used
1606744143.0772355,0.0,0.0,24.0,0.0,0.0,0.0,265815797760,107663360
1606744144.0788805,0.0,0.0,100.0,0.0,0.0,0.0,265815273472,107663360
1606744145.0808003,1.7,0.8,97.5,0.1,2.5,0.08,265689550848,107663360
1606744146.0829186,2.6,1.1,96.3,0.1,3.8,0.08,265483005952,107663360
1606744147.085034,6.9,1.2,91.9,0.0,8.1,0.08,265176915968,107663360
1606744148.086353,13.0,1.9,84.9,0.3,15.1,0.08,264871284736,107663360
1606744149.0884774,18.7,2.8,78.2,0.4,21.8,0.08,264376467456,107663360
1606744150.0905938,22.3,2.7,74.6,0.5,25.4,1.19,263910166528,107663360
1606744151.092881,22.7,1.7,75.3,0.3,24.7,1.19,263508611072,107663360
1606744152.0949569,25.9,1.8,71.9,0.3,28.2,1.19,263778021376,107663360
1606744153.0965388,26.6,1.5,71.4,0.5,28.5,1.19,264060399616,107663360
1606744154.0986283,24.4,1.4,73.8,0.4,26.2,1.19,264153145344,107663360
1606744155.10079,18.1,1.8,79.7,0.4,20.3,1.9,264240775168,107663360
1606744156.102942,21.3,2.3,76.1,0.3,24.0,1.9,264377020416,107663360
1606744157.1049082,25.0,2.5,72.2,0.4,27.7,1.9,263987511296,107663360
1606744158.1071315,22.8,1.6,75.2,0.4,24.8,1.9,263923273728,107663360
1606744159.1094253,24.4,1.1,74.0,0.5,26.0,1.9,263769583616,107663360
1606744160.1112945,24.0,1.3,74.0,0.8,26.0,3.19,264041897984,107663360
1606744161.1134355,22.2,1.8,75.5,0.5,24.5,3.19,264011075584,107663360
1606744162.11554,28.4,3.7,67.6,0.3,32.4,3.19,264098004992,107663360
1606744163.117691,31.1,2.2,66.0,0.7,34.0,3.19,263567216640,107663360
1606744164.1198556,31.5,1.4,66.8,0.3,33.2,3.19,263169978368,107663360
1606744165.1219237,27.9,1.2,70.5,0.3,29.5,4.54,263505260544,107663360
1606744166.1240017,24.2,1.6,73.9,0.3,26.1,4.54,263987920896,107663360
1606744167.126,22.7,1.1,75.7,0.5,24.3,4.54,264303460352,107663360
1606744168.1279147,21.4,1.0,77.5,0.1,22.5,4.54,264228458496,107663360
1606744169.1299143,18.8,1.0,79.8,0.4,20.2,4.54,264306331648,107663360
1606744170.1313274,20.1,1.6,77.9,0.4,22.1,5.45,264369602560,107663360
1606744171.1334116,19.6,2.0,78.1,0.3,21.9,5.45,264421531648,107663360
1606744172.1352897,21.9,1.9,75.9,0.4,24.1,5.45,264028594176,107663360
1606744173.1374831,21.2,2.2,76.3,0.4,23.7,5.45,263908507648,107663360
1606744174.1393237,25.5,2.4,71.7,0.4,28.3,5.45,263856099328,107663360
1606744175.141448,22.5,1.6,75.3,0.6,24.7,6.78,263884599296,107663360
1606744176.1435568,23.0,1.8,74.9,0.3,25.1,6.78,264075923456,107663360
1606744177.1457257,25.9,2.7,70.8,0.6,29.2,6.78,264172707840,107663360
1606744178.1472993,27.4,1.8,70.5,0.4,29.5,6.78,263878639616,107663360
1606744179.149455,26.8,2.2,70.7,0.3,29.3,6.78,263452504064,107663360
1606744180.151316,29.3,2.5,68.0,0.3,32.0,7.92,263397048320,107663360
