#cpu_count: 64
#total_mem: 270332968960
t,cpu_user,cpu_system,cpu_idle,cpu_inter,cpu_percentage,load_1m,mem_avail,swap_used
1606482306.9491775,0.0,0.0,24.0,0.0,0.0,0.06,265906274304,115871744
1606482307.950767,0.0,0.0,100.0,0.0,0.0,0.06,265905491968,115871744
1606482308.9526794,1.4,0.6,97.8,0.1,2.2,0.06,265803927552,115871744
1606482309.9549873,4.3,1.7,93.9,0.2,6.2,0.06,265536352256,115871744
1606482310.9571815,8.8,1.2,89.9,0.1,10.0,0.45,265238638592,115871744
1606482311.9593792,11.3,1.0,87.4,0.2,12.5,0.45,265017212928,115871744
1606482312.9614732,15.5,2.5,81.7,0.3,18.3,0.45,264760197120,115871744
1606482313.9632978,16.5,2.7,80.4,0.5,19.6,0.45,264454459392,115871744
1606482314.965386,25.1,2.1,72.6,0.2,27.4,0.45,264226861056,115871744
1606482315.9673035,30.3,1.5,67.9,0.3,32.1,1.86,264200282112,115871744
1606482316.969404,32.9,1.5,64.8,0.8,34.9,1.86,263936770048,115871744
1606482317.971305,35.3,2.3,61.9,0.6,38.1,1.86,263777685504,115871744
1606482318.9734077,32.1,1.6,65.9,0.4,34.1,1.86,263487971328,115871744
1606482319.9753182,36.3,2.7,60.5,0.6,39.5,1.86,262982901760,115871744
1606482320.9773784,35.9,2.1,61.0,0.9,39.0,3.55,262920871936,115871744
1606482321.979403,42.0,1.6,55.6,0.8,44.4,3.55,262943842304,115871744
1606482322.9814906,45.5,1.4,52.6,0.5,47.4,3.55,262782214144,115871744
1606482323.983331,49.0,2.5,48.1,0.5,51.9,3.55,262501969920,115871744
1606482324.9846048,50.4,2.8,46.1,0.6,53.9,3.55,262124244992,115871744
1606482325.9862387,56.6,2.6,40.5,0.3,59.5,6.55,261671583744,115871744
1606482326.988469,57.8,2.5,39.2,0.6,60.8,6.55,261468725248,115871744
1606482327.990682,59.8,3.0,36.7,0.6,63.4,6.55,261227483136,115871744
1606482328.9929738,60.6,2.5,36.7,0.2,63.3,6.55,261627674624,115871744
1606482329.9948974,62.1,2.5,35.0,0.3,65.0,6.55,261265444864,115871744
1606482330.9966276,59.1,2.4,38.1,0.5,61.9,9.23,261626978304,115871744
1606482331.998709,59.5,1.5,38.7,0.3,61.3,9.23,261580378112,115871744
1606482333.0010383,57.8,1.7,40.2,0.4,59.8,9.23,261639786496,115871744
1606482334.0031133,62.5,2.1,34.9,0.4,65.1,9.23,261424852992,115871744
1606482335.005279,67.8,2.0,29.9,0.3,70.1,9.23,261304492032,115871744
1606482336.0073152,74.8,2.0,22.8,0.3,77.2,12.49,260814450688,115871744
1606482337.0094488,73.3,1.4,25.0,0.3,75.0,12.49,260524736512,115871744
1606482338.0113325,71.1,1.8,26.8,0.3,73.2,12.49,260408512512,115871744
1606482339.0134184,69.5,1.4,28.8,0.3,71.2,12.49,260516331520,115871744
1606482340.0154536,75.9,2.3,21.5,0.2,78.5,12.49,260639449088,115871744
1606482341.0172646,77.1,1.5,21.0,0.4,79.0,15.66,260411580416,115871744
1606482342.0193198,83.1,1.3,15.2,0.4,84.8,15.66,260176396288,115871744
1606482343.0214555,86.4,1.3,11.5,0.8,88.0,15.66,260204212224,115871744
1606482344.0233054,85.6,1.9,12.2,0.4,87.7,15.66,259855286272,115871744
1606482345.0250812,87.9,1.9,9.9,0.2,90.1,15.66,259732135936,115871744
1606482346.02723,90.3,1.4,8.0,0.2,92.0,18.97,259555663872,115871744
1606482347.029187,88.3,1.8,9.5,0.4,90.5,18.97,259550642176,115871744
1606482348.0308995,87.7,1.4,10.4,0.6,89.6,18.97,259234529280,115871744
1606482349.0327787,86.6,1.4,11.5,0.5,88.5,18.97,259353219072,115871744
1606482350.0345027,82.5,1.5,15.8,0.2,84.2,18.97,259449344000,115871744
1606482351.0365882,83.9,1.7,14.2,0.2,85.8,21.77,259726090240,115871744
1606482352.0386782,85.3,1.6,12.7,0.5,87.3,21.77,259633778688,115871744
1606482353.0406892,88.7,2.2,8.9,0.2,91.1,21.77,259248766976,115871744
1606482354.0415456,89.0,2.1,8.7,0.3,91.3,21.77,258913538048,115871744
1606482355.0432951,91.0,2.2,6.6,0.2,93.4,21.77,258538119168,115871744
1606482356.0449848,90.5,2.2,7.1,0.1,92.9,25.0,258590695424,115871744
1606482357.0467486,94.6,1.8,3.6,0.0,96.4,25.0,258455818240,115871744
1606482358.0484388,98.0,1.3,0.7,0.0,99.3,25.0,258823811072,115871744
1606482359.050255,98.7,1.3,0.0,0.0,100.0,25.0,258576908288,115871744
1606482360.0513015,98.3,1.7,0.0,0.0,100.0,25.0,258412052480,115871744
1606482361.053079,97.3,2.7,0.0,0.0,100.0,29.16,257819361280,115871744
1606482362.0547857,97.9,2.0,0.0,0.0,100.0,29.16,257681526784,115871744
1606482363.0565302,98.2,1.8,0.0,0.0,100.0,29.16,257548025856,115871744
