workloadID, workload argument, tFC, tVM, start time
2,10,3896,276,1602495805
2,20,4060,434,1602495805
1,512,6731,0,1602495803
0,4000000,6862,3269,1602495806
2,40,4395,790,1602495809
2,40,4415,782,1602495809
2,40,4369,763,1602495810
0,1000000,4076,452,1602495810
2,10,3863,267,1602495811
0,2500000,5259,1668,1602495811
2,320,10689,7067,1602495808
0,7000000,10892,7302,1602495810
1,2048,6664,0,1602495814
2,10,3898,285,1602495817
0,7000000,10895,7303,1602495811
2,10,3905,280,1602495818
0,8500000,13226,9618,1602495809
1,512,6798,0,1602495817
0,4000000,6857,3263,1602495817
2,160,6986,3362,1602495818
2,320,10763,7132,1602495814
1,2048,7011,0,1602495819
1,10,3852,251,1602495823
1,10,3854,248,1602495824
1,512,6907,0,1602495821
2,80,4989,1385,1602495824
1,4096,6711,0,1602495824
1,1,3627,37,1602495828
0,2500000,5261,1669,1602495827
2,160,6263,2654,1602495827
0,5500000,8766,5166,1602495824
0,7000000,10897,7309,1602495822
2,80,4999,1393,1602495829
0,8500000,13249,9643,1602495821
0,4000000,6850,3262,1602495828
0,8500000,13226,9631,1602495823
0,7000000,10892,7290,1602495826
0,4000000,6867,3264,1602495834
2,320,8800,5184,1602495834
1,1,3636,42,1602495843
1,256,6729,0,1602495840
1,10,3847,257,1602495843
0,1000000,4052,453,1602495843
0,5500000,8773,5182,1602495839
0,7000000,10908,7313,1602495839
0,4000000,6854,3270,1602495844
1,10,3985,396,1602495847
0,4000000,6868,3279,1602495844
2,40,4399,779,1602495848
2,40,4384,776,1602495848
1,1024,7334,0,1602495845
1,512,6981,0,1602495845
1,128,7183,3576,1602495845
2,320,9150,5538,1602495843
0,4000000,6868,3272,1602495846
2,160,7032,3409,1602495846
0,2500000,5290,1674,1602495848
2,20,4052,444,1602495850
2,40,4385,779,1602495850
2,80,4995,1392,1602495850
2,320,9678,6026,1602495847
2,10,3887,272,1602495854
1,1,3633,41,1602495855
0,1000000,4062,452,1602495856
2,160,7325,3702,1602495853
2,20,4039,430,1602495857
