#cpu_count: 36
#total_mem: 202471645184
t,cpu_user,cpu_system,cpu_idle,cpu_inter,cpu_percentage,load_1m,mem_avail,swap_used
1609856300.3251896,0.0,0.0,16.0,0.0,0.0,0.26,200576626688,0
1609856301.3266275,0.0,0.0,100.0,0.0,0.0,0.26,200576925696,0
1609856302.328537,0.5,0.1,99.2,0.1,0.8,0.32,200556228608,0
1609856303.329868,3.3,2.5,93.1,1.1,6.8,0.32,200244822016,0
1609856304.3314104,14.5,4.3,80.5,0.7,19.3,0.32,199776743424,0
1609856305.332954,33.8,8.0,57.5,0.7,42.5,0.32,198957633536,0
1609856306.3338313,66.1,5.0,28.5,0.4,71.5,0.32,198563692544,0
1609856307.335383,84.4,6.2,9.3,0.1,90.7,2.94,198105444352,0
1609856308.3369331,93.1,3.9,3.0,0.0,97.0,2.94,197980737536,0
1609856309.3378649,65.5,5.9,28.1,0.5,71.9,2.94,197678301184,0
1609856310.3394327,73.1,6.4,20.2,0.3,79.8,2.94,197734227968,0
1609856311.3410027,83.2,5.5,11.2,0.1,88.8,2.94,198148325376,0
1609856312.3418603,80.8,4.2,14.8,0.2,85.2,5.11,197975506944,0
1609856313.3433983,68.0,4.9,26.5,0.6,73.5,5.11,198039875584,0
1609856314.3449814,61.9,5.3,32.3,0.5,67.7,5.11,198080991232,0
1609856315.3459504,70.7,7.5,21.8,0.1,78.2,5.11,197945716736,0
1609856316.347503,82.6,5.9,11.4,0.1,88.6,5.11,197924847616,0
1609856317.349049,93.7,5.3,1.0,0.0,99.0,8.14,197746520064,0
1609856318.349824,85.9,6.8,7.2,0.1,92.8,8.14,197399769088,0
1609856319.3513534,83.9,6.8,9.2,0.0,90.8,8.14,197459030016,0
1609856320.3525949,88.0,6.0,6.0,0.0,94.0,8.14,197394214912,0
1609856321.3538308,77.4,4.5,17.7,0.3,82.3,8.14,197834203136,0
1609856322.3553593,69.6,6.3,23.5,0.7,76.5,9.73,197741256704,0
1609856323.3569267,78.1,7.7,14.1,0.1,85.9,9.73,197785571328,0
1609856324.357826,78.1,4.5,16.9,0.5,83.1,9.73,197814456320,0
1609856325.359376,67.7,5.7,26.0,0.6,74.0,9.73,197912256512,0
1609856326.3609385,67.2,4.9,27.4,0.5,72.6,9.73,197956440064,0
1609856327.361859,66.0,5.5,28.2,0.3,71.8,10.87,198165897216,0
1609856328.363415,67.4,4.5,27.6,0.4,72.4,10.87,198084087808,0
1609856329.365004,71.5,7.3,21.1,0.2,78.9,10.87,198054572032,0
1609856330.3658304,75.6,5.0,19.2,0.2,80.8,10.87,197918400512,0
1609856331.3675442,83.2,5.5,11.1,0.2,88.9,10.87,197895987200,0
1609856332.3691077,68.2,5.2,26.2,0.4,73.8,12.17,197900980224,0
1609856333.3698277,64.3,5.0,30.3,0.4,69.7,12.17,198049255424,0
1609856334.3714082,58.1,4.1,37.2,0.6,62.8,12.17,198283415552,0
1609856335.3729913,55.0,5.0,39.3,0.6,60.7,12.17,198316183552,0
1609856336.3738632,47.0,3.8,48.4,0.9,51.7,12.17,198407995392,0
1609856337.3754573,48.2,3.6,47.3,0.9,52.7,12.71,198747467776,0
1609856338.377031,57.4,8.3,33.9,0.5,66.1,12.71,198333865984,0
1609856339.3778265,71.6,6.7,21.4,0.3,78.6,12.71,197961293824,0
1609856340.3793943,92.6,5.0,2.4,0.0,97.6,12.71,197851865088,0
1609856341.3809369,92.8,6.7,0.5,0.0,99.5,12.71,197475401728,0
1609856342.3818233,82.5,6.0,11.3,0.1,88.7,14.5,197310750720,0
1609856343.3831549,77.0,4.4,18.2,0.4,81.8,14.5,197615771648,0
1609856344.3847365,79.3,6.1,14.5,0.1,85.5,14.5,197743058944,0
1609856345.3858674,78.2,5.8,15.8,0.2,84.2,14.5,197794406400,0
1609856346.38746,63.0,6.3,30.3,0.5,69.7,14.5,197752946688,0
