#cpu_count: 36
#total_mem: 202471649280
t,cpu_user,cpu_system,cpu_idle,cpu_inter,cpu_percentage,load_1m,mem_avail,swap_used
1610291840.8427436,0.0,0.0,13.0,0.0,0.0,0.19,200200278016,0
1610291841.8442547,0.0,0.0,100.0,0.0,0.0,0.19,200200769536,0
1610291842.8462036,0.1,0.0,99.9,0.0,0.1,0.19,200195350528,0
1610291843.8482006,2.3,2.2,95.3,0.2,4.7,0.19,200018006016,0
1610291844.8502462,8.0,4.4,87.0,0.5,12.9,0.58,199587581952,0
1610291845.852382,25.5,6.0,67.9,0.6,32.1,0.58,198334136320,0
1610291846.854489,32.1,3.3,64.0,0.5,36.1,0.58,197470285824,0
1610291847.8567207,44.9,3.6,50.1,1.4,49.8,0.58,197379366912,0
1610291848.8589787,44.5,3.5,51.0,1.0,48.9,0.58,197015306240,0
1610291849.861323,40.8,5.2,53.5,0.4,46.5,1.89,196796846080,0
1610291850.86365,51.3,7.4,40.7,0.6,59.3,1.89,196469288960,0
1610291851.8661366,59.1,5.7,34.7,0.5,65.4,1.89,196088438784,0
1610291852.8686554,71.2,4.7,23.7,0.4,76.3,1.89,195557167104,0
1610291853.870997,84.6,6.7,8.7,0.0,91.3,1.89,195343503360,0
1610291854.8731627,90.2,6.0,3.8,0.0,96.2,4.47,194743812096,0
1610291855.8749774,94.0,5.8,0.2,0.0,99.8,4.47,194139549696,0
1610291856.877081,95.2,4.8,0.1,0.0,99.9,4.47,193896591360,0
1610291857.878988,95.5,4.5,0.0,0.0,100.0,4.47,193679532032,0
1610291858.8811467,94.7,5.3,0.0,0.0,100.0,4.47,193766580224,0
1610291859.8829844,95.4,4.5,0.0,0.0,100.0,8.35,193089056768,0
1610291860.8851235,93.7,6.3,0.0,0.0,100.0,8.35,192632569856,0
1610291861.886976,94.0,6.0,0.0,0.0,100.0,8.35,192220925952,0
1610291862.8890648,95.4,4.6,0.0,0.0,100.0,8.35,191860056064,0
1610291863.8909836,96.1,3.9,0.0,0.0,100.0,8.35,192163573760,0
1610291864.893123,96.6,3.4,0.0,0.0,100.0,12.41,191938039808,0
1610291865.8950016,95.8,4.2,0.0,0.0,100.0,12.41,191741079552,0
1610291866.8970635,96.1,3.9,0.0,0.0,100.0,12.41,192185987072,0
1610291867.898992,94.5,5.5,0.0,0.0,100.0,12.41,192422084608,0
1610291868.9011395,96.2,3.8,0.0,0.0,100.0,12.41,191964438528,0
1610291869.902979,95.5,4.5,0.0,0.0,100.0,15.98,191828230144,0
1610291870.905028,95.8,4.2,0.0,0.0,100.0,15.98,191773216768,0
1610291871.9069843,96.4,3.6,0.0,0.0,100.0,15.98,191931232256,0
1610291872.9090059,95.5,4.5,0.0,0.0,100.0,15.98,192508497920,0
1610291873.9109814,95.7,4.3,0.0,0.0,100.0,15.98,192472117248,0
1610291874.9130483,94.6,5.4,0.0,0.0,100.0,19.66,192594030592,0
