workloadID, workload argument, run, tFC, tVM
0,1000000,0,3820,215
0,1000000,1,3648,188
0,1000000,2,3636,188
0,1000000,3,3636,188
0,1000000,4,3636,188
0,1000000,5,3636,188
0,1000000,6,3644,188
0,1000000,7,3644,188
0,1000000,8,3640,188
0,1000000,9,3640,188
0,2500000,0,4128,671
0,2500000,1,4124,671
0,2500000,2,4120,671
0,2500000,3,4120,671
0,2500000,4,4124,671
0,2500000,5,4124,671
0,2500000,6,4116,671
0,2500000,7,4124,671
0,2500000,8,4128,671
0,2500000,9,4132,671
0,4000000,0,4756,1297
0,4000000,1,4752,1297
0,4000000,2,4752,1297
0,4000000,3,4748,1297
0,4000000,4,4744,1297
0,4000000,5,4756,1297
0,4000000,6,4748,1297
0,4000000,7,4749,1297
0,4000000,8,4751,1297
0,4000000,9,4744,1297
0,5500000,0,5476,2030
0,5500000,1,5480,2030
0,5500000,2,5476,2030
0,5500000,3,5524,2030
0,5500000,4,5476,2031
0,5500000,5,5480,2030
0,5500000,6,5480,2030
0,5500000,7,5476,2030
0,5500000,8,5476,2031
0,5500000,9,5484,2030
0,7000000,0,6348,2852
0,7000000,1,6308,2852
0,7000000,2,6300,2852
0,7000000,3,6300,2853
0,7000000,4,6300,2852
0,7000000,5,6304,2852
0,7000000,6,6300,2852
0,7000000,7,6304,2852
0,7000000,8,6300,2852
0,7000000,9,6304,2852
0,8500000,0,7200,3751
0,8500000,1,7196,3751
0,8500000,2,7200,3751
0,8500000,3,7204,3751
0,8500000,4,7244,3751
0,8500000,5,7200,3751
0,8500000,6,7204,3751
0,8500000,7,7200,3751
0,8500000,8,7204,3751
0,8500000,9,7200,3751
2,10,0,3825,346
2,10,1,3811,336
2,10,2,3817,347
2,10,3,3825,349
2,10,4,3824,349
2,10,5,3819,336
2,10,6,3817,334
2,10,7,3819,344
2,10,8,3819,341
2,10,9,3825,346
2,20,0,4091,577
2,20,1,4037,560
2,20,2,4023,549
2,20,3,4048,571
2,20,4,4024,547
2,20,5,4028,553
2,20,6,4048,571
2,20,7,4036,559
2,20,8,4048,569
2,20,9,4040,568
2,40,0,4420,947
2,40,1,4472,999
2,40,2,4448,971
2,40,3,4537,1019
2,40,4,4468,999
2,40,5,4467,989
2,40,6,4468,998
2,40,7,4472,1000
2,40,8,4497,1013
2,40,9,4504,1026
2,80,0,5448,1931
2,80,1,5337,1859
2,80,2,5459,1937
2,80,3,5272,1794
2,80,4,5309,1835
2,80,5,5335,1860
2,80,6,5309,1828
2,80,7,5403,1925
2,80,8,5348,1873
2,80,9,5405,1927
2,160,0,6938,3465
2,160,1,7032,3554
2,160,2,7122,3600
2,160,3,7227,3747
2,160,4,7188,3713
2,160,5,7196,3718
2,160,6,7156,3672
2,160,7,7192,3715
2,160,8,7049,3572
2,160,9,7263,3741
2,320,0,10314,6837
2,320,1,10570,7095
2,320,2,10868,7354
2,320,3,10256,6785
2,320,4,10684,7208
2,320,5,10896,7377
2,320,6,10601,7120
2,320,7,10764,7282
2,320,8,10691,7213
2,320,9,10693,7210
