workloadID, workload argument, tFC, tVM, start time
0,2500000,4124,672,1610719628
0,1000000,3661,188,1610719628
0,1000000,3655,188,1610719629
2,10,3816,353,1610719629
0,2500000,4143,672,1610719629
0,2500000,4169,688,1610719629
2,80,5552,2041,1610719628
2,40,4673,1162,1610719629
0,1000000,3663,188,1610719630
2,40,4561,1064,1610719630
0,7000000,6331,2854,1610719628
2,20,4057,582,1610719631
0,1000000,3630,188,1610719631
2,80,5612,2108,1610719630
0,2500000,4152,672,1610719631
0,7000000,6335,2854,1610719629
2,20,4040,581,1610719632
0,5500000,5470,2031,1610719631
0,5500000,5520,2031,1610719631
2,160,7643,4145,1610719629
0,4000000,4743,1298,1610719632
2,40,4550,1056,1610719632
0,5500000,5511,2031,1610719631
0,7000000,6328,2854,1610719631
0,7000000,6333,2854,1610719631
0,5500000,5537,2032,1610719632
2,10,3878,384,1610719634
0,7000000,6327,2854,1610719632
0,1000000,3678,188,1610719635
0,5500000,5513,2032,1610719633
0,7000000,6326,2855,1610719632
2,10,3879,383,1610719635
0,1000000,3685,188,1610719635
0,5500000,5512,2032,1610719634
0,4000000,4797,1299,1610719634
0,5500000,5519,2032,1610719634
2,80,5904,2369,1610719633
0,5500000,5496,2032,1610719634
0,5500000,5477,2032,1610719634
0,1000000,3662,188,1610719636
0,2500000,4111,672,1610719636
2,10,3974,470,1610719636
2,40,4686,1186,1610719636
0,1000000,3663,188,1610719637
0,5500000,5519,2032,1610719635
0,4000000,4769,1298,1610719636
0,1000000,3667,188,1610719637
0,5500000,5525,2033,1610719636
0,1000000,3682,188,1610719637
2,40,4968,1452,1610719636
0,2500000,4175,672,1610719637
2,160,8304,4835,1610719633
0,7000000,6328,2855,1610719635
0,2500000,4149,672,1610719637
0,4000000,4772,1298,1610719637
0,2500000,4121,672,1610719637
2,160,8243,4743,1610719634
0,8500000,7235,3755,1610719635
0,7000000,6301,2866,1610719636
0,8500000,7237,3755,1610719636
0,5500000,5510,2032,1610719637
0,8500000,7237,3756,1610719636
0,5500000,5517,2032,1610719638
0,7000000,6348,2854,1610719637
2,160,7764,4289,1610719636
0,5500000,5518,2032,1610719638
0,1000000,3654,188,1610719640
0,5500000,5510,2032,1610719638
0,1000000,3681,188,1610719640
0,1000000,3646,188,1610719640
0,1000000,3708,202,1610719640
2,320,13776,10265,1610719630
0,7000000,6328,2855,1610719638
0,7000000,6370,2884,1610719639
0,1000000,3681,188,1610719641
2,320,11852,8350,1610719634
0,4000000,4788,1300,1610719641
2,40,5016,1505,1610719641
2,320,11946,8458,1610719634
0,2500000,4162,672,1610719642
2,10,3892,380,1610719643
2,10,3890,389,1610719643
0,1000000,3673,188,1610719643
2,10,3895,396,1610719643
2,320,14658,11196,1610719632
0,8500000,7246,3755,1610719639
0,7000000,6332,2854,1610719641
2,10,3922,410,1610719643
0,4000000,4796,1299,1610719642
0,5500000,5528,2032,1610719642
0,5500000,5532,2032,1610719642
2,320,12187,8662,1610719635
0,8500000,7199,3754,1610719640
2,40,4662,1163,1610719643
2,160,7973,4460,1610719640
2,40,4691,1174,1610719643
0,1000000,3683,188,1610719644
0,7000000,6347,2854,1610719642
0,8500000,7245,3755,1610719642
2,80,5689,2184,1610719643
0,8500000,7214,3754,1610719642
0,7000000,6330,2869,1610719643
2,80,5622,2109,1610719643
0,4000000,4734,1298,1610719645
0,8500000,7249,3754,1610719642
0,8500000,7240,3754,1610719642
0,4000000,4740,1298,1610719645
0,4000000,4775,1298,1610719645
0,7000000,6332,2854,1610719644
0,4000000,4742,1298,1610719645
2,320,11691,8196,1610719638
0,4000000,4772,1298,1610719645
0,7000000,6327,2854,1610719644
0,4000000,4774,1298,1610719646
0,4000000,4783,1298,1610719646
0,1000000,3675,188,1610719647
0,7000000,6338,2855,1610719644
0,8500000,7217,3755,1610719643
0,1000000,3632,188,1610719647
0,8500000,7229,3755,1610719644
0,2500000,4174,689,1610719647
0,5500000,5552,2046,1610719646
0,2500000,4147,672,1610719647
2,80,5507,2020,1610719646
0,1000000,3634,188,1610719648
0,4000000,4749,1298,1610719647
2,20,4133,624,1610719648
0,5500000,5522,2045,1610719647
0,7000000,6347,2854,1610719646
0,4000000,4753,1298,1610719648
0,7000000,6351,2854,1610719647
2,80,5743,2269,1610719648
0,2500000,4152,672,1610719650
0,2500000,4141,672,1610719650
0,1000000,3636,188,1610719650
0,8500000,7247,3767,1610719647
0,2500000,4120,672,1610719650
0,4000000,4773,1299,1610719649
0,8500000,7268,3785,1610719647
0,2500000,4131,673,1610719650
0,5500000,5530,2032,1610719649
2,320,11617,8120,1610719643
0,1000000,3672,188,1610719651
2,160,7955,4431,1610719647
0,7000000,6353,2855,1610719648
0,1000000,3670,188,1610719651
0,7000000,6332,2855,1610719648
2,40,4617,1123,1610719650
0,7000000,6326,2854,1610719648
0,1000000,3673,188,1610719651
2,20,4102,604,1610719651
0,7000000,6353,2870,1610719649
0,7000000,6332,2855,1610719649
0,8500000,7278,3771,1610719648
0,7000000,6296,2855,1610719649
0,4000000,4779,1298,1610719651
0,5500000,5480,2032,1610719650
0,1000000,3650,188,1610719652
0,8500000,7228,3755,1610719649
2,20,4200,652,1610719652
0,2500000,4151,672,1610719652
0,2500000,4136,672,1610719652
0,7000000,6311,2861,1610719650
2,20,4137,632,1610719653
2,40,4641,1141,1610719652
0,4000000,4759,1298,1610719652
0,4000000,4787,1299,1610719652
0,2500000,4151,672,1610719653
0,2500000,4129,672,1610719653
2,40,4645,1137,1610719653
2,10,3981,461,1610719654
0,7000000,6341,2856,1610719652
2,20,4385,872,1610719654
2,40,4839,1326,1610719653
0,1000000,3641,188,1610719655
0,7000000,6302,2854,1610719652
0,2500000,4120,672,1610719654
2,320,11165,7703,1610719647
0,5500000,5517,2037,1610719653
0,2500000,4151,672,1610719654
0,8500000,7245,3755,1610719652
2,80,5913,2388,1610719653
2,320,12308,8793,1610719647
2,40,4612,1112,1610719655
0,8500000,7233,3756,1610719652
0,5500000,5512,2032,1610719654
0,8500000,7229,3755,1610719653
0,1000000,3660,188,1610719656
0,5500000,5509,2032,1610719655
0,8500000,7224,3754,1610719654
0,4000000,4779,1298,1610719656
0,8500000,7196,3755,1610719654
0,4000000,4776,1298,1610719656
0,7000000,6358,2877,1610719655
2,40,4639,1160,1610719657
0,7000000,6338,2855,1610719655
2,320,12136,8621,1610719649
0,5500000,5515,2033,1610719656
0,5500000,5510,2032,1610719656
0,4000000,4767,1298,1610719657
0,5500000,5517,2032,1610719657
0,7000000,6334,2854,1610719656
0,5500000,5504,2032,1610719657
2,10,3848,365,1610719659
0,5500000,5511,2032,1610719657
0,2500000,4141,672,1610719658
0,4000000,4760,1298,1610719658
0,1000000,3623,188,1610719659
0,2500000,4151,672,1610719659
0,7000000,6382,2881,1610719657
0,2500000,4139,672,1610719659
0,7000000,6346,2855,1610719657
0,4000000,4777,1298,1610719658
0,8500000,7238,3755,1610719656
2,20,4059,595,1610719659
2,320,12609,9107,1610719651
0,4000000,4783,1298,1610719659
0,1000000,3670,188,1610719660
0,5500000,5516,2041,1610719658
0,7000000,6290,2854,1610719658
0,2500000,4147,672,1610719660
0,7000000,6323,2854,1610719658
0,2500000,4121,672,1610719660
0,5500000,5508,2032,1610719659
0,8500000,7234,3755,1610719657
0,1000000,3685,188,1610719661
0,1000000,3661,188,1610719661
2,10,3825,364,1610719661
2,10,3897,394,1610719661
0,1000000,3653,188,1610719662
0,1000000,3645,188,1610719662
0,5500000,5504,2032,1610719660
0,1000000,3654,188,1610719662
0,1000000,3653,188,1610719662
0,5500000,5461,2033,1610719660
0,8500000,7231,3755,1610719659
0,2500000,4162,672,1610719662
0,7000000,6344,2868,1610719660
0,5500000,5504,2032,1610719661
2,320,11404,7911,1610719655
0,1000000,3667,188,1610719663
0,4000000,4767,1298,1610719662
0,8500000,7216,3769,1610719660
0,2500000,4153,672,1610719663
0,5500000,5446,2032,1610719662
0,7000000,6327,2855,1610719661
0,5500000,5514,2032,1610719662
0,4000000,4776,1299,1610719662
2,320,11471,7981,1610719656
2,10,3888,382,1610719664
0,4000000,4760,1298,1610719663
0,7000000,6313,2854,1610719662
0,4000000,4756,1312,1610719663
0,7000000,6327,2854,1610719662
0,4000000,4778,1298,1610719663
2,20,4123,598,1610719664
0,5500000,5509,2032,1610719663
0,8500000,7254,3770,1610719661
2,160,7676,4168,1610719661
0,4000000,4744,1312,1610719664
0,2500000,4155,672,1610719665
0,5500000,5504,2032,1610719664
0,5500000,5508,2031,1610719664
0,7000000,6319,2854,1610719663
0,2500000,4148,672,1610719665
0,8500000,7231,3754,1610719662
0,1000000,3676,188,1610719666
0,1000000,3663,188,1610719666
0,8500000,7203,3756,1610719662
0,8500000,7234,3754,1610719663
0,1000000,3627,188,1610719666
0,2500000,4131,672,1610719666
0,2500000,4139,671,1610719666
0,5500000,5517,2032,1610719665
0,2500000,4119,672,1610719666
0,1000000,3634,188,1610719667
0,5500000,5515,2032,1610719665
0,1000000,3624,188,1610719667
0,7000000,6292,2854,1610719664
2,160,7762,4297,1610719663
0,2500000,4142,672,1610719667
2,80,5503,1995,1610719665
0,7000000,6300,2868,1610719665
0,4000000,4771,1298,1610719667
0,2500000,4139,672,1610719668
0,2500000,4132,672,1610719668
0,7000000,6328,2854,1610719666
0,7000000,6363,2884,1610719666
0,5500000,5504,2032,1610719667
0,2500000,4148,672,1610719669
2,40,4572,1080,1610719668
0,2500000,4142,672,1610719669
0,8500000,7194,3754,1610719666
2,10,3864,366,1610719670
