#cpu_count: 36
#total_mem: 202471649280
t,cpu_user,cpu_system,cpu_idle,cpu_inter,cpu_percentage,load_1m,mem_avail,swap_used
1610719625.9697547,1.0,0.0,13.0,0.0,6.7,0.16,200232472576,0
1610719626.9711926,0.0,0.0,100.0,0.0,0.0,0.16,200232710144,0
1610719627.9731438,0.1,0.1,99.8,0.0,0.2,0.16,200229105664,0
1610719628.9751163,1.4,0.9,97.7,0.0,2.3,0.16,200126054400,0
1610719629.9772105,6.2,3.3,90.5,0.1,9.5,0.16,199845928960,0
1610719630.9789534,14.4,2.8,82.7,0.1,17.3,0.47,199408525312,0
1610719631.9810903,24.1,4.1,71.3,0.5,28.7,0.47,198839472128,0
1610719632.9829412,27.4,4.8,67.5,0.2,32.4,0.47,198482849792,0
1610719633.9851046,35.0,3.1,61.7,0.2,38.3,0.47,198322683904,0
1610719634.9868982,40.6,5.0,54.0,0.3,46.0,0.47,198279884800,0
1610719635.9890509,40.6,4.8,54.2,0.4,45.8,1.87,198036254720,0
1610719636.990951,50.3,6.4,42.9,0.4,57.1,1.87,197814931456,0
1610719637.993053,55.7,5.3,38.6,0.4,61.4,1.87,197392379904,0
1610719638.9951348,61.6,4.6,33.3,0.5,66.7,1.87,197304930304,0
1610719639.9973245,60.0,2.5,36.8,0.6,63.2,1.87,197698490368,0
1610719640.9989796,52.4,3.1,43.7,0.8,56.3,3.24,197772705792,0
1610719642.0011063,44.1,4.0,51.3,0.6,48.7,3.24,198208991232,0
1610719643.002947,40.8,4.1,54.3,0.7,45.6,3.24,197961158656,0
1610719644.0051105,45.7,6.5,47.3,0.5,52.7,3.24,197919367168,0
1610719645.0069332,56.8,5.6,36.8,0.8,63.2,3.24,197618814976,0
1610719646.008878,59.2,4.2,36.0,0.6,64.0,5.39,197256912896,0
1610719647.0109386,52.2,3.9,43.3,0.6,56.7,5.39,197622599680,0
1610719648.013077,52.9,5.7,40.8,0.6,59.2,5.39,197981265920,0
1610719649.0149333,45.4,5.4,48.8,0.4,51.2,5.39,197881221120,0
1610719650.0171003,47.1,5.1,47.0,0.8,52.9,5.39,197803679744,0
1610719651.018946,50.7,4.8,43.8,0.8,56.2,6.56,197887827968,0
