workloadID, workload argument, run, tFC, tVM
0,1000000,0,3792,206
0,1000000,1,3636,201
0,1000000,2,3592,201
0,1000000,3,3656,201
0,1000000,4,3588,201
0,1000000,5,3636,201
0,1000000,6,3632,201
0,1000000,7,3623,201
0,1000000,8,3623,201
0,1000000,9,3603,201
0,2500000,0,4108,719
0,2500000,1,4112,719
0,2500000,2,4148,719
0,2500000,3,4108,719
0,2500000,4,4139,719
0,2500000,5,4152,719
0,2500000,6,4069,651
0,2500000,7,4104,719
0,2500000,8,4120,719
0,2500000,9,4076,654
0,4000000,0,4772,1391
0,4000000,1,4711,1331
0,4000000,2,4788,1391
0,4000000,3,4820,1390
0,4000000,4,4780,1355
0,4000000,5,4795,1391
0,4000000,6,4740,1342
0,4000000,7,4780,1391
0,4000000,8,4776,1391
0,4000000,9,4812,1391
0,5500000,0,5568,2176
0,5500000,1,5580,2177
0,5500000,2,5568,2160
0,5500000,3,5567,2137
0,5500000,4,5604,2177
0,5500000,5,5548,2156
0,5500000,6,5611,2177
0,5500000,7,5575,2175
0,5500000,8,5531,2106
0,5500000,9,5560,2177
0,7000000,0,6316,2931
0,7000000,1,6464,3042
0,7000000,2,6439,3043
0,7000000,3,6371,2948
0,7000000,4,6488,3059
0,7000000,5,6335,2902
0,7000000,6,6423,3034
0,7000000,7,6283,2890
0,7000000,8,6220,2806
0,7000000,9,6168,2779
0,8500000,0,7223,3838
0,8500000,1,7224,3781
0,8500000,2,7223,3788
0,8500000,3,7380,3929
0,8500000,4,7251,3799
0,8500000,5,7155,3774
0,8500000,6,7244,3849
0,8500000,7,7140,3727
0,8500000,8,7000,3579
0,8500000,9,7120,3731
1,4096,0,27863,24427
1,4096,1,27755,24360
1,4096,2,27804,24404
1,4096,3,28363,24959
1,4096,4,27503,24056
1,4096,5,27691,24255
1,4096,6,27532,24126
1,4096,7,27656,24258
1,4096,8,28331,24890
1,4096,9,28087,24693
1,2048,0,16372,12972
1,2048,1,16059,12665
1,2048,2,16183,12787
1,2048,3,16119,12675
1,2048,4,16363,12917
1,2048,5,16028,12589
1,2048,6,16067,12667
1,2048,7,16099,12665
1,2048,8,16067,12667
1,2048,9,15972,12548
1,1024,0,10027,6573
1,1024,1,10339,6904
1,1024,2,10072,6634
1,1024,3,10031,6632
1,1024,4,9864,6434
1,1024,5,9927,6460
1,1024,6,9859,6469
1,1024,7,10016,6583
1,1024,8,9839,6440
1,1024,9,10151,6706
1,512,0,6815,3410
1,512,1,6887,3490
1,512,2,7016,3580
1,512,3,6859,3426
1,512,4,6983,3546
1,512,5,6907,3429
1,512,6,6807,3365
1,512,7,6839,3417
1,512,8,6891,3485
1,512,9,6900,3457
1,256,0,5214,1812
1,256,1,5243,1836
1,256,2,5171,1732
1,256,3,5119,1723
1,256,4,5291,1831
1,256,5,5199,1789
1,256,6,5228,1816
1,256,7,5272,1830
1,256,8,5223,1821
1,256,9,5203,1795
1,128,0,4383,944
1,128,1,4347,935
1,128,2,4368,956
1,128,3,4400,942
1,128,4,4352,945
1,128,5,4351,942
1,128,6,4359,945
1,128,7,4323,880
1,128,8,4384,935
1,128,9,4371,934
1,10,0,3501,73
1,10,1,3468,75
1,10,2,3464,75
1,10,3,3472,74
1,10,4,3467,74
1,10,5,3484,75
1,10,6,3467,75
1,10,7,3504,74
1,10,8,3460,75
1,10,9,3512,74
1,1,0,3392,9
1,1,1,3428,9
1,1,2,3404,10
1,1,3,3399,9
1,1,4,3440,10
1,1,5,3428,10
1,1,6,3408,10
1,1,7,3444,9
1,1,8,3452,10
1,1,9,3443,9
2,10,0,3854,368
2,10,1,3820,368
2,10,2,3775,370
2,10,3,3799,359
2,10,4,3764,362
2,10,5,3768,365
2,10,6,3803,359
2,10,7,3744,348
2,10,8,3812,367
2,10,9,3775,366
2,20,0,4043,595
2,20,1,4059,604
2,20,2,4051,605
2,20,3,3996,593
2,20,4,4012,601
2,20,5,4031,587
2,20,6,4012,597
2,20,7,3992,591
2,20,8,4003,596
2,20,9,4048,606
2,40,0,4471,1042
2,40,1,4443,1049
2,40,2,4512,1068
2,40,3,4503,1066
2,40,4,4472,1056
2,40,5,4491,1054
2,40,6,4488,1049
2,40,7,4508,1067
2,40,8,4464,1059
2,40,9,4516,1074
2,80,0,5415,1982
2,80,1,5323,1926
2,80,2,5436,2020
2,80,3,5367,1971
2,80,4,5380,1970
2,80,5,5380,1943
2,80,6,5404,2009
2,80,7,5415,2011
2,80,8,5376,1975
2,80,9,5460,2051
2,160,0,7215,3784
2,160,1,7115,3728
2,160,2,7275,3835
2,160,3,7200,3808
2,160,4,7247,3806
2,160,5,7175,3739
2,160,6,7151,3725
2,160,7,7248,3853
2,160,8,7091,3695
2,160,9,7215,3780
2,320,0,10896,7489
2,320,1,10739,7343
2,320,2,10756,7319
2,320,3,10719,7329
2,320,4,10884,7449
2,320,5,10703,7314
2,320,6,10708,7317
2,320,7,10684,7261
2,320,8,10844,7436
2,320,9,10903,7510
