workloadID, workload argument, tFC, tVM, start time
1,128,4291,825,1599132874
0,4000000,4875,1335,1599132874
1,1,3442,9,1599132877
2,160,7377,3934,1599132877
0,4000000,4574,1175,1599132881
1,1,3422,9,1599132883
0,5500000,5240,1819,1599132881
0,7000000,5944,2543,1599132882
0,5500000,5455,2047,1599132883
0,4000000,4705,1285,1599132889
1,256,5150,1715,1599132889
2,320,13498,10090,1599132881
0,2500000,4071,651,1599132891
0,7000000,6069,2652,1599132890
2,320,11855,8411,1599132885
0,1000000,3611,178,1599132894
0,8500000,6973,3541,1599132892
2,320,12111,8682,1599132890
1,1024,10035,6602,1599132892
0,2500000,4106,678,1599132899
0,5500000,5363,1949,1599132897
1,1,3406,9,1599132901
1,4096,29674,26278,1599132875
1,128,4271,847,1599132901
2,160,8066,4627,1599132898
0,4000000,4647,1243,1599132902
1,4096,29314,25877,1599132879
0,2500000,4038,637,1599132904
2,40,4807,1350,1599132905
2,10,3799,375,1599132906
2,10,3815,369,1599132908
0,4000000,4675,1234,1599132908
2,320,10872,7456,1599132903
1,10,3491,66,1599132913
1,512,6812,3354,1599132912
2,80,5539,2157,1599132913
1,2048,16402,12996,1599132903
0,7000000,6206,2821,1599132914
2,160,7504,4093,1599132913
0,8500000,6959,3537,1599132914
0,5500000,5362,1931,1599132917
1,128,4148,796,1599132920
1,2048,16611,13166,1599132911
0,4000000,4575,1154,1599132924
0,1000000,3616,201,1599132925
0,1000000,3622,199,1599132926
2,10,3803,364,1599132930
1,512,6642,3215,1599132931
2,10,3735,342,1599132934
1,512,6754,3316,1599132932
2,80,5444,2052,1599132934
1,512,6727,3283,1599132935
1,1024,10131,6712,1599132937
0,7000000,6083,2663,1599132943
1,512,6660,3231,1599132945
1,256,5153,1728,1599132948
0,1000000,3615,189,1599132950
2,80,5463,2008,1599132952
2,320,11298,7894,1599132946
2,320,12221,8830,1599132947
1,1,3365,8,1599132958
1,256,5086,1668,1599132961
0,7000000,6191,2776,1599132960
1,128,4204,798,1599132965
0,5500000,5320,1879,1599132965
1,256,5049,1667,1599132970
1,512,6892,3472,1599132971
0,4000000,4583,1170,1599132977
0,1000000,3614,198,1599132979
0,5500000,5499,2100,1599132978
1,4096,29201,25760,1599132955
2,10,3790,361,1599132983
2,10,3834,365,1599132984
0,7000000,6167,2754,1599132982
2,20,3999,606,1599132989
0,2500000,3987,582,1599132991
1,512,6670,3271,1599132989
1,4096,29418,25969,1599132968
0,7000000,6027,2632,1599132992
1,512,6794,3368,1599132993
0,4000000,4589,1202,1599132996
2,80,5446,2025,1599132995
1,1,3415,9,1599132997
2,20,4040,623,1599132999
0,5500000,5219,1820,1599132998
2,10,3767,351,1599132999
2,320,11670,8285,1599132993
0,4000000,4704,1282,1599133000
0,8500000,7015,3602,1599133000
1,512,6751,3329,1599133000
0,4000000,4636,1217,1599133003
1,128,4373,926,1599133004
2,320,11305,7888,1599132998
1,128,4328,893,1599133005
0,7000000,6069,2639,1599133004
1,1,3393,8,1599133008
0,1000000,3525,171,1599133009
0,2500000,3997,578,1599133011
1,2048,16451,13041,1599132998
1,1,3428,10,1599133014
2,10,3792,355,1599133018
1,128,4301,876,1599133018
0,5500000,5312,1902,1599133018
1,4096,29173,25737,1599132995
0,2500000,4000,602,1599133022
0,7000000,6071,2654,1599133020
0,5500000,5243,1826,1599133021
0,7000000,5963,2591,1599133021
0,4000000,4612,1240,1599133023
0,1000000,3565,173,1599133024
0,2500000,4051,621,1599133029
1,512,6847,3408,1599133027
1,1024,10008,6596,1599133024
2,320,12088,8677,1599133024
2,160,8337,4903,1599133032
1,512,6788,3338,1599133035
0,8500000,7246,3827,1599133035
0,1000000,3612,196,1599133040
1,4096,29397,25960,1599133015
0,4000000,4595,1171,1599133040
0,5500000,5206,1809,1599133041
0,2500000,4055,652,1599133043
1,2048,16544,13079,1599133030
2,10,3772,359,1599133043
2,40,4615,1193,1599133043
2,40,4485,1050,1599133044
1,2048,16688,13243,1599133034
0,8500000,6962,3557,1599133047
1,128,4294,857,1599133051
2,160,7210,3836,1599133048
2,40,4846,1422,1599133052
2,40,4540,1115,1599133053
0,7000000,6096,2682,1599133052
1,512,6682,3245,1599133053
0,4000000,4560,1151,1599133056
1,4096,30007,26554,1599133034
0,2500000,4067,642,1599133060
2,160,7960,4554,1599133057
0,5500000,5361,1927,1599133060
1,256,5047,1668,1599133064
0,8500000,6893,3488,1599133062
0,8500000,6891,3490,1599133062
1,1024,9930,6449,1599133060
0,5500000,5466,2056,1599133065
1,128,4288,878,1599133067
1,128,4322,889,1599133068
2,80,5420,1996,1599133068
0,5500000,5322,1907,1599133070
1,1,3428,9,1599133074
2,80,5517,2086,1599133072
2,40,4549,1108,1599133073
1,128,4297,867,1599133073
0,7000000,6003,2602,1599133072
0,4000000,4586,1166,1599133074
0,5500000,5245,1833,1599133075
2,80,5499,2079,1599133075
2,320,12842,9421,1599133069
2,320,11772,8341,1599133071
1,256,5143,1705,1599133079
0,5500000,5304,1893,1599133080
1,1024,9924,6495,1599133076
1,1024,9939,6495,1599133077
0,8500000,6878,3444,1599133081
2,80,5449,2038,1599133083
1,1,3414,9,1599133086
1,10,3494,74,1599133088
0,8500000,6915,3489,1599133084
1,4096,29041,25625,1599133064
1,1,3438,9,1599133092
1,10,3494,72,1599133091
1,2048,16372,12938,1599133079
1,256,5021,1626,1599133091
1,512,6632,3235,1599133091
2,10,3764,358,1599133096
1,512,6551,3123,1599133094
0,4000000,4607,1189,1599133096
2,320,11316,7862,1599133091
2,10,3788,367,1599133099
0,8500000,6903,3499,1599133096
1,128,4282,864,1599133099
1,512,6780,3349,1599133097
1,10,3481,67,1599133101
1,1024,9810,6432,1599133095
2,160,7251,3818,1599133099
0,7000000,5928,2539,1599133103
1,10,3469,70,1599133107
0,5500000,5255,1833,1599133106
0,7000000,6022,2625,1599133108
2,20,3999,573,1599133111
1,512,6653,3241,1599133109
0,4000000,4561,1159,1599133111
0,8500000,6802,3387,1599133112
0,8500000,6931,3507,1599133113
0,5500000,5359,1999,1599133116
1,2048,16351,12921,1599133105
1,1,3401,9,1599133119
1,1024,9886,6463,1599133113
0,8500000,6862,3440,1599133117
2,320,11115,7684,1599133113
2,160,7058,3677,1599133120
1,2048,16374,12962,1599133112
0,8500000,6783,3363,1599133125
2,10,3792,367,1599133131
1,256,5079,1668,1599133130
0,4000000,4632,1215,1599133134
2,10,3840,427,1599133135
0,5500000,5248,1829,1599133136
2,320,13276,9849,1599133129
1,1024,10038,6619,1599133133
2,320,12158,8745,1599133132
1,256,5033,1599,1599133140
0,1000000,3621,201,1599133143
1,2048,16496,13083,1599133130
0,7000000,6116,2694,1599133142
2,80,5576,2148,1599133145
2,20,3975,572,1599133147
1,10,3478,65,1599133147
0,8500000,6917,3521,1599133144
2,20,4055,608,1599133148
2,320,10990,7572,1599133141
1,2048,16351,12916,1599133137
1,512,6617,3174,1599133148
0,4000000,4594,1175,1599133152
1,512,6645,3218,1599133150
0,4000000,4667,1265,1599133153
0,5500000,5261,1874,1599133152
2,10,3761,349,1599133157
2,80,5332,1905,1599133156
0,2500000,4086,678,1599133158
0,2500000,4133,706,1599133158
0,2500000,4043,622,1599133161
0,4000000,4676,1272,1599133161
2,20,4058,601,1599133163
0,5500000,5293,1863,1599133163
0,1000000,3590,201,1599133166
2,10,3769,350,1599133167
0,5500000,5270,1848,1599133167
1,1,3433,10,1599133170
2,80,5283,1916,1599133169
2,20,4017,593,1599133171
0,5500000,5246,1823,1599133175
0,5500000,5340,1939,1599133177
1,1,3422,10,1599133179
0,5500000,5372,1958,1599133177
0,7000000,6108,2711,1599133177
0,5500000,5241,1855,1599133180
2,320,13216,9808,1599133173
2,10,3725,335,1599133187
1,128,4335,899,1599133188
0,7000000,5990,2635,1599133186
2,40,4468,1040,1599133188
1,256,5129,1690,1599133189
2,20,4028,609,1599133190
0,4000000,4617,1217,1599133190
1,256,5134,1721,1599133191
2,160,8144,4734,1599133188
1,256,5166,1720,1599133192
0,8500000,6968,3539,1599133192
1,256,5135,1694,1599133196
1,10,3505,74,1599133198
2,160,7209,3801,1599133196
0,1000000,3643,201,1599133202
1,512,6708,3259,1599133204
2,10,3807,361,1599133207
2,20,4018,597,1599133212
1,4096,29710,26304,1599133188
0,8500000,6810,3403,1599133213
2,20,3969,564,1599133216
0,8500000,6850,3456,1599133214
2,20,4102,677,1599133218
2,10,3747,348,1599133219
1,1,3433,11,1599133221
1,1024,9958,6520,1599133217
1,1024,9802,6426,1599133217
2,10,3803,384,1599133226
2,20,4055,634,1599133226
2,40,4440,1030,1599133225
1,4096,27275,0,1599133206
2,80,5821,2443,1599133228
1,256,5138,1699,1599133229
2,320,10935,7515,1599133224
0,2500000,3989,589,1599133232
1,1,3429,12,1599133236
1,512,6579,3179,1599133232
2,320,12528,9079,1599133230
2,20,4012,606,1599133239
0,4000000,4714,1313,1599133239
2,20,3977,592,1599133244
1,10,3492,72,1599133245
1,4096,29624,26188,1599133219
0,5500000,5386,2016,1599133244
1,10,3457,65,1599133249
1,10,3483,76,1599133250
0,5500000,5275,1870,1599133250
1,512,6718,3291,1599133250
0,2500000,3983,593,1599133253
2,20,4016,598,1599133255
1,1024,9849,6420,1599133250
0,1000000,3597,167,1599133258
2,40,4575,1160,1599133257
2,20,3939,545,1599133258
0,8500000,6936,3529,1599133258
1,128,4290,861,1599133263
2,20,3984,602,1599133264
1,1,3441,12,1599133266
2,80,5401,1975,1599133264
1,512,6677,3232,1599133266
2,10,3857,432,1599133269
0,1000000,3626,201,1599133270
0,2500000,4136,713,1599133270
2,40,4559,1153,1599133272
2,20,3964,569,1599133275
2,10,3747,344,1599133275
1,2048,16343,12921,1599133263
0,4000000,4658,1220,1599133276
2,80,5376,1979,1599133276
1,512,6620,3240,1599133275
2,40,4658,1223,1599133281
2,10,3765,366,1599133283
2,320,10891,7484,1599133276
2,10,3784,376,1599133288
1,256,5150,1741,1599133287
1,256,5217,1793,1599133288
1,2048,16361,12937,1599133277
0,5500000,5391,1957,1599133288
1,1,3424,10,1599133290
0,7000000,6166,2753,1599133288
1,1024,10143,6737,1599133291
2,320,11097,7686,1599133292
1,2048,16725,13296,1599133287
2,160,7320,3857,1599133297
0,4000000,4626,1222,1599133301
2,20,4051,606,1599133307
0,7000000,6224,2785,1599133306
1,4096,29755,26314,1599133283
2,40,4417,1045,1599133309
0,4000000,4677,1241,1599133310
0,8500000,6926,3508,1599133309
1,512,6858,3424,1599133313
1,1024,9977,6570,1599133312
2,40,4446,1026,1599133319
2,20,3992,579,1599133320
1,2048,16371,12925,1599133310
1,10,3500,76,1599133322
0,5500000,5262,1847,1599133321
2,160,7245,3836,1599133321
2,320,10977,7566,1599133320
0,8500000,6928,3503,1599133325
2,10,3786,370,1599133329
1,4096,29093,0,1599133304
0,4000000,4602,1204,1599133330
0,7000000,5948,2583,1599133330
1,128,4248,839,1599133333
1,512,6621,3234,1599133331
0,5500000,5086,1698,1599133333
0,8500000,6801,3388,1599133332
1,512,6507,3096,1599133335
0,7000000,6051,2617,1599133338
0,4000000,4630,1210,1599133340
2,320,10957,7550,1599133334
2,40,4877,1462,1599133340
2,160,7164,3769,1599133338
0,8500000,6825,3418,1599133338
1,256,5074,1665,1599133344
0,1000000,3617,201,1599133347
0,5500000,5274,1855,1599133345
2,10,3805,369,1599133347
0,7000000,6076,2691,1599133345
1,1024,9879,6460,1599133342
0,1000000,3638,201,1599133351
0,8500000,6884,3465,1599133348
2,80,5399,1967,1599133353
1,1024,10013,6579,1599133352
2,40,4477,1073,1599133361
0,7000000,6005,2581,1599133363
0,2500000,3967,592,1599133366
0,4000000,4580,1171,1599133365
0,5500000,5289,1877,1599133365
0,2500000,4041,619,1599133366
2,40,4441,1026,1599133367
1,4096,29155,25742,1599133342
2,80,5417,2004,1599133368
2,80,5450,2020,1599133368
1,4096,14237,0,1599133360
2,160,7238,3832,1599133371
0,7000000,6076,2663,1599133373
0,4000000,4751,1327,1599133375
0,7000000,6181,2753,1599133376
1,1024,9968,6561,1599133373
1,2048,16297,12862,1599133368
0,4000000,4688,1280,1599133381
1,512,6686,3227,1599133381
1,1,3459,12,1599133389
2,320,13573,10145,1599133380
2,80,5418,1976,1599133392
2,320,12745,9325,1599133387
0,5500000,5506,2089,1599133397
1,1,3385,11,1599133401
0,1000000,3550,163,1599133402
1,1024,9831,6440,1599133400
1,4096,29191,25754,1599133386
0,1000000,3557,194,1599133414
1,10,3511,76,1599133415
0,4000000,4745,1282,1599133417
0,1000000,3562,166,1599133419
0,2500000,4091,702,1599133420
0,1000000,3604,190,1599133421
1,1,3420,12,1599133424
2,20,4010,629,1599133426
2,40,4493,1091,1599133427
0,1000000,3546,167,1599133430
2,80,5409,2038,1599133430
1,512,6767,3342,1599133430
0,2500000,4115,681,1599133433
0,2500000,4064,647,1599133433
2,160,7286,3869,1599133431
1,1024,9785,6357,1599133429
0,1000000,3603,194,1599133435
1,1024,9961,6544,1599133431
1,1,3446,12,1599133439
0,8500000,6951,3531,1599133437
1,4096,24167,0,1599133423
0,5500000,5249,1874,1599133445
0,4000000,4662,1265,1599133447
0,2500000,4020,622,1599133449
1,512,6756,3328,1599133449
2,160,7608,4216,1599133449
0,2500000,4077,656,1599133455
1,128,4269,845,1599133456
2,40,4492,1044,1599133458
2,20,4052,620,1599133459
0,7000000,6093,2679,1599133457
0,1000000,3603,173,1599133463
1,4096,18026,0,1599133449
1,1,3388,11,1599133464
1,1024,8286,0,1599133460
1,10,3459,63,1599133465
0,5500000,5192,1821,1599133465
1,10,3453,64,1599133468
2,80,5479,2116,1599133467
0,5500000,5215,1788,1599133470
1,1,3422,10,1599133473
2,10,3776,358,1599133474
1,128,4331,895,1599133477
2,320,11012,7597,1599133472
0,2500000,4045,615,1599133480
1,512,6773,3332,1599133479
2,320,11917,8457,1599133475
0,1000000,3604,176,1599133488
0,2500000,4033,614,1599133488
0,1000000,3539,176,1599133489
1,512,6604,3227,1599133489
2,40,4507,1077,1599133492
0,8500000,6978,3550,1599133490
0,4000000,4718,1317,1599133492
1,1024,9826,6414,1599133488
0,1000000,3571,175,1599133495
2,80,5284,1881,1599133496
