---------------------------------------------------
CPU's online: 0-15	 CPU's offline: 
---------------------------------------------------
Disabling HyperThreading
CPU: 0	-> enable
CPU: 1	-> enable
CPU: 10	-> disabled
CPU: 11	-> disabled
CPU: 12	-> disabled
CPU: 13	-> disabled
CPU: 14	-> disabled
CPU: 15	-> disabled
CPU: 2	-> enable
CPU: 3	-> enable
CPU: 4	-> enable
CPU: 5	-> enable
CPU: 6	-> enable
CPU: 7	-> enable
CPU: 8	-> disabled
CPU: 9	-> disabled
Setting cpu: 0
Setting cpu: 1
Setting cpu: 2
Setting cpu: 3
Setting cpu: 4
Setting cpu: 5
Setting cpu: 6
Setting cpu: 7
1
4194303
workloadID, workload argument, run, tFC, tVM
0,1000000,0,4313,291
0,1000000,1,4184,283
0,1000000,2,4100,283
0,1000000,3,4120,283
0,1000000,4,4111,282
0,1000000,5,4197,282
0,1000000,6,4241,282
0,1000000,7,4107,283
0,1000000,8,4107,283
0,1000000,9,4209,282
0,2500000,0,4852,1011
0,2500000,1,4857,1011
0,2500000,2,4891,1067
0,2500000,3,4927,1011
0,2500000,4,4936,1011
0,2500000,5,4900,1011
0,2500000,6,4852,1018
0,2500000,7,4847,1010
0,2500000,8,4946,1011
0,2500000,9,4895,1011
0,4000000,0,5868,2010
0,4000000,1,5798,1954
0,4000000,2,5891,2009
0,4000000,3,5800,1954
0,4000000,4,6024,2085
0,4000000,5,5847,1954
0,4000000,6,5877,2009
0,4000000,7,5831,1954
0,4000000,8,5875,2009
0,4000000,9,5861,1954
0,5500000,0,6966,3114
0,5500000,1,6971,3059
0,5500000,2,6923,3059
0,5500000,3,7095,3114
0,5500000,4,7178,3190
0,5500000,5,6972,3114
0,5500000,6,7021,3058
0,5500000,7,6931,3114
0,5500000,8,6980,3113
0,5500000,9,6943,3066
0,7000000,0,8264,4311
0,7000000,1,8301,4352
0,7000000,2,8250,4352
0,7000000,3,8260,4352
0,7000000,4,8218,4355
0,7000000,5,8232,4311
0,7000000,6,8302,4427
0,7000000,7,8260,4351
0,7000000,8,8259,4351
