workloadID, workload argument, tFC, tVM, start time
0,2500000,4793,1011,1600946595
0,8500000,9770,5789,1600946593
0,1000000,4117,282,1600946600
0,5500000,6876,3072,1600946600
0,4000000,5744,1954,1600946603
0,4000000,5819,1954,1600946603
0,7000000,8114,4299,1600946601
0,5500000,6927,3065,1600946603
0,7000000,8131,4323,1600946604
0,4000000,5781,1957,1600946607
0,1000000,4102,283,1600946611
0,8500000,9411,5661,1600946606
0,2500000,4829,1011,1600946611
0,2500000,4817,1011,1600946612
0,8500000,9544,5665,1600946610
0,5500000,6767,3059,1600946615
0,7000000,8075,4311,1600946615
0,8500000,9488,5662,1600946614
0,8500000,9398,5653,1600946615
0,5500000,6906,3060,1600946628
0,5500000,6814,3079,1600946628
0,5500000,6876,3066,1600946628
0,1000000,4078,283,1600946632
0,5500000,6873,3060,1600946630
0,7000000,8109,4305,1600946629
0,4000000,5747,1955,1600946632
0,5500000,6925,3112,1600946632
0,2500000,4871,1012,1600946635
0,2500000,4779,1011,1600946640
0,2500000,4918,1011,1600946640
0,2500000,4789,1010,1600946640
0,7000000,8073,4311,1600946637
0,5500000,6959,3132,1600946639
0,1000000,4163,375,1600946643
0,8500000,9434,5662,1600946638
0,2500000,4801,1026,1600946645
0,1000000,4084,283,1600946646
0,4000000,5708,1961,1600946645
0,8500000,9485,5667,1600946642
0,8500000,9568,5742,1600946642
0,8500000,9595,5730,1600946644
0,4000000,5758,1955,1600946650
0,5500000,6871,3061,1600946650
0,2500000,4868,1011,1600946653
0,7000000,8068,4305,1600946654
0,8500000,9563,5767,1600946657
0,4000000,5743,1954,1600946663
0,2500000,4775,1011,1600946664
0,1000000,4059,283,1600946669
0,5500000,6900,3065,1600946668
0,1000000,4097,282,1600946673
0,5500000,6981,3060,1600946672
0,5500000,6889,3069,1600946673
0,4000000,5748,1954,1600946674
0,4000000,5748,1958,1600946675
0,4000000,5763,1954,1600946679
0,8500000,9463,5669,1600946677
0,4000000,5885,1954,1600946683
0,5500000,6812,3060,1600946686
0,5500000,6803,3073,1600946686
0,5500000,6982,3059,1600946687
0,5500000,6952,3203,1600946688
0,5500000,6923,3067,1600946689
0,5500000,6860,3061,1600946689
0,2500000,4828,1015,1600946693
0,7000000,8173,4298,1600946695
0,8500000,9525,5668,1600946694
0,1000000,4133,283,1600946699
0,7000000,8102,4299,1600946696
0,8500000,9510,5730,1600946695
0,1000000,4132,283,1600946701
0,1000000,4146,282,1600946703
0,5500000,7031,3132,1600946701
0,2500000,4896,1011,1600946704
0,8500000,9543,5745,1600946700
0,7000000,8224,4308,1600946707
0,2500000,4844,1012,1600946712
0,7000000,8189,4312,1600946710
0,2500000,4980,1010,1600946714
0,1000000,4039,283,1600946716
