workloadID, workload argument, run, tFC, tVM
0,1000000,0,4188,285
0,1000000,1,4232,283
0,1000000,2,4104,282
0,1000000,3,4167,282
0,1000000,4,4066,283
0,1000000,5,4078,283
0,1000000,6,4008,283
0,1000000,7,4076,283
0,1000000,8,4146,282
0,1000000,9,4177,282
0,2500000,0,4964,1011
0,2500000,1,4836,1011
0,2500000,2,4858,1020
0,2500000,3,4791,1010
0,2500000,4,4884,1011
0,2500000,5,4800,1011
0,2500000,6,4831,1011
0,2500000,7,4856,1029
0,2500000,8,4854,1011
0,2500000,9,4920,1011
0,4000000,0,5851,2047
0,4000000,1,5954,1954
0,4000000,2,5772,1954
0,4000000,3,5768,1971
0,4000000,4,5781,1954
0,4000000,5,5783,1970
0,4000000,6,5808,1954
0,4000000,7,5784,1971
0,4000000,8,5792,1955
0,4000000,9,5773,1971
0,5500000,0,7018,3135
0,5500000,1,6935,3119
0,5500000,2,6858,3076
0,5500000,3,6936,3081
0,5500000,4,6864,3059
0,5500000,5,6943,3150
0,5500000,6,7017,3082
0,5500000,7,6876,3069
0,5500000,8,6859,3058
0,5500000,9,6932,3150
0,7000000,0,8119,4313
0,7000000,1,8117,4314
0,7000000,2,8275,4313
0,7000000,3,8151,4320
0,7000000,4,8124,4313
0,7000000,5,8197,4400
0,7000000,6,8135,4320
0,7000000,7,8114,4307
0,7000000,8,8236,4362
0,7000000,9,8192,4387
0,8500000,0,9567,5672
0,8500000,1,9523,5675
0,8500000,2,9563,5676
0,8500000,3,9551,5686
0,8500000,4,9572,5663
0,8500000,5,9659,5755
0,8500000,6,9623,5675
0,8500000,7,9608,5675
0,8500000,8,9504,5662
0,8500000,9,9582,5662
1,4096,0,38103,34218
1,4096,1,37845,33965
1,4096,2,37867,33977
1,4096,3,37940,34054
1,4096,4,37890,34052
1,4096,5,37890,33992
1,4096,6,38099,34085
1,4096,7,37724,33848
1,4096,8,37731,33857
1,4096,9,37831,33948
1,2048,0,20843,16966
1,2048,1,20807,16907
1,2048,2,20716,16864
1,2048,3,20953,16943
1,2048,4,20780,16909
1,2048,5,20783,16928
1,2048,6,20786,16910
1,2048,7,20792,16937
1,2048,8,20733,16944
1,2048,9,20792,16913
1,1024,0,12372,8527
1,1024,1,12351,8523
1,1024,2,12407,8494
1,1024,3,12346,8475
1,1024,4,12404,8455
1,1024,5,12328,8474
1,1024,6,12515,8529
1,1024,7,12428,8575
1,1024,8,12472,8590
1,1024,9,12500,8631
1,512,0,8229,4340
1,512,1,8236,4370
1,512,2,8285,4314
1,512,3,8147,4293
1,512,4,8188,4281
1,512,5,8156,4314
1,512,6,8220,4348
1,512,7,8217,4270
1,512,8,8176,4275
1,512,9,8248,4305
1,256,0,6107,2160
1,256,1,6027,2190
1,256,2,6126,2194
1,256,3,6123,2256
1,256,4,6156,2250
1,256,5,6072,2174
1,256,6,6099,2243
1,256,7,6002,2163
1,256,8,6043,2198
1,256,9,6044,2173
1,128,0,4959,1124
1,128,1,5072,1156
1,128,2,4989,1125
1,128,3,4993,1134
1,128,4,5105,1135
1,128,5,4989,1148
1,128,6,5088,1133
1,128,7,4963,1126
1,128,8,5091,1205
1,128,9,5027,1136
1,10,0,3891,90
1,10,1,3961,90
1,10,2,3878,89
1,10,3,3856,89
1,10,4,4011,88
1,10,5,3899,89
1,10,6,4001,89
1,10,7,3883,89
1,10,8,3939,90
1,10,9,3887,89
1,1,0,3772,12
1,1,1,3949,12
1,1,2,3847,12
1,1,3,3919,12
1,1,4,3815,12
1,1,5,3871,12
1,1,6,4003,12
1,1,7,3804,12
1,1,8,3847,12
1,1,9,3855,12
2,10,0,4445,516
2,10,1,4525,574
2,10,2,4372,507
2,10,3,4389,511
2,10,4,4324,496
2,10,5,4351,496
2,10,6,4385,512
2,10,7,4346,507
2,10,8,4462,508
2,10,9,4409,495
2,20,0,4929,935
2,20,1,4701,836
2,20,2,4732,837
2,20,3,4684,812
2,20,4,4636,813
2,20,5,4760,883
2,20,6,4789,839
2,20,7,4734,818
2,20,8,4707,828
2,20,9,4674,835
2,40,0,5375,1519
2,40,1,5310,1448
2,40,2,5455,1469
2,40,3,5456,1548
2,40,4,5371,1467
2,40,5,5298,1471
2,40,6,5363,1508
2,40,7,5324,1476
2,40,8,5348,1467
2,40,9,5448,1508
2,80,0,6552,2724
2,80,1,6714,2780
2,80,2,6676,2793
2,80,3,6719,2724
2,80,4,6576,2734
2,80,5,6573,2729
2,80,6,6591,2731
2,80,7,6621,2763
2,80,8,6664,2814
2,80,9,6548,2723
2,160,0,9222,5368
2,160,1,9283,5414
2,160,2,9186,5354
2,160,3,9418,5373
2,160,4,9177,5292
2,160,5,9155,5325
2,160,6,9228,5335
2,160,7,9244,5311
2,160,8,9164,5349
2,160,9,9271,5395
2,320,0,14298,10401
2,320,1,14377,10439
2,320,2,14277,10422
2,320,3,14502,10579
2,320,4,14332,10457
2,320,5,14471,10429
2,320,6,14368,10458
2,320,7,14380,10469
2,320,8,14375,10508
2,320,9,14359,10488
