workloadID, workload argument, tFC, tVM, start time
2,10,4412,555,1601373431
2,20,4765,883,1601373431
1,512,8490,4359,1601373430
0,4000000,5865,1960,1601373433
0,1000000,4372,340,1601373436
2,40,6224,2270,1601373435
2,40,6358,2369,1601373435
2,10,4781,715,1601373437
2,40,6467,2239,1601373436
0,2500000,5554,1048,1601373437
0,7000000,8311,4364,1601373436
0,8500000,9966,5741,1601373436
0,7000000,8897,4444,1601373437
2,10,5034,702,1601373443
0,4000000,6112,1995,1601373443
2,10,4920,812,1601373445
2,320,17296,13403,1601373434
1,10,4557,97,1601373450
2,160,11627,7187,1601373444
1,10,6689,97,1601373449
2,320,17478,13167,1601373440
0,8500000,10259,5914,1601373448
0,7000000,9793,4653,1601373449
0,5500000,8309,3265,1601373450
2,80,8692,3068,1601373451
1,512,16676,11968,1601373443
0,8500000,9891,5892,1601373450
1,512,12878,8502,1601373447
1,1,5535,13,1601373455
0,4000000,7220,2031,1601373455
0,2500000,9123,1062,1601373453
0,7000000,10153,4478,1601373453
2,80,7747,3378,1601373456
2,160,11831,5963,1601373453
0,4000000,5947,1977,1601373460
1,2048,28209,24239,1601373441
0,5500000,7056,3097,1601373466
1,256,6691,2584,1601373467
1,1,3996,12,1601373469
0,7000000,8253,4319,1601373465
1,10,3998,95,1601373470
0,1000000,4304,284,1601373470
1,2048,29680,25589,1601373445
2,320,14746,10762,1601373461
0,4000000,7454,2007,1601373471
0,4000000,7902,1985,1601373470
1,10,4981,99,1601373473
1,128,6838,1565,1601373472
0,4000000,9879,2249,1601373473
2,40,10432,3110,1601373474
2,40,12290,3128,1601373474
0,8500000,12258,6162,1601373474
0,2500000,11824,1108,1601373475
2,160,16037,9925,1601373473
1,512,17991,10522,1601373472
2,40,13186,3080,1601373477
2,20,13877,1757,1601373477
2,80,15286,5558,1601373477
1,1,10582,39,1601373482
2,10,12873,971,1601373480
2,320,23136,17674,1601373470
0,8500000,17396,6328,1601373476
1,1024,26673,20188,1601373471
0,1000000,13278,905,1601373485
0,4000000,17016,2315,1601373481
0,1000000,15572,308,1601373483
2,320,24394,19129,1601373474
2,160,21672,9120,1601373480
2,20,17780,1850,1601373483
0,5500000,20691,3305,1601373481
0,5500000,21606,3384,1601373480
2,160,18835,7539,1601373485
2,40,16183,1748,1601373487
0,7000000,16182,4852,1601373487
1,10,13390,112,1601373490
0,8500000,16868,6339,1601373487
0,4000000,14503,2137,1601373490
0,8500000,16467,6051,1601373489
2,40,15355,2558,1601373491
0,4000000,17910,2141,1601373488
0,1000000,7487,330,1601373499
2,80,13495,4698,1601373493
2,160,21150,7639,1601373486
0,1000000,13128,309,1601373494
2,160,19700,7420,1601373490
1,128,6577,1829,1601373503
1,10,16517,213,1601373495
0,2500000,8629,1101,1601373503
0,8500000,12186,6053,1601373501
2,10,22099,862,1601373491
0,2500000,8269,1500,1601373505
0,8500000,18428,6066,1601373495
1,256,18013,5764,1601373496
1,512,30391,20036,1601373488
1,128,13446,2393,1601373505
1,10,11286,101,1601373507
0,2500000,12443,1155,1601373507
2,160,16591,8542,1601373504
2,160,17365,8595,1601373503
2,20,11210,2059,1601373511
1,512,21074,13795,1601373502
0,2500000,10136,1115,1601373513
0,5500000,13291,3305,1601373510
2,40,13498,3288,1601373511
1,512,21816,14713,1601373504
0,4000000,15415,2225,1601373510
0,4000000,12729,2203,1601373513
2,320,22399,14956,1601373504
0,1000000,13675,435,1601373513
0,5500000,15188,3837,1601373512
2,40,16429,2351,1601373511
2,10,10599,820,1601373519
1,512,27070,12010,1601373505
1,128,10192,2775,1601373524
0,4000000,15972,2338,1601373519
0,8500000,21088,6885,1601373514
2,20,17514,3462,1601373519
2,40,16666,3564,1601373520
0,4000000,12243,3779,1601373525
2,10,13384,1540,1601373524
1,128,16857,2858,1601373521
2,10,11293,1079,1601373528
2,10,19493,1324,1601373520
2,320,29494,16789,1601373510
2,160,24808,9829,1601373515
2,40,14218,1857,1601373529
2,320,28675,16865,1601373514
0,4000000,16571,2124,1601373526
1,256,22032,6658,1601373521
1,10,9284,888,1601373534
0,2500000,13535,1215,1601373530
0,1000000,14066,290,1601373529
2,10,9347,732,1601373534
2,20,11538,1151,1601373532
2,10,8696,763,1601373535
0,4000000,11854,2159,1601373534
1,1,8156,28,1601373537
0,8500000,21445,6478,1601373525
0,1000000,11988,313,1601373535
0,7000000,13322,4614,1601373534
0,7000000,12257,4946,1601373535
0,1000000,6006,285,1601373542
2,10,11328,597,1601373540
2,10,6713,697,1601373545
2,320,21750,12949,1601373535
2,160,21653,7890,1601373536
0,7000000,10258,4539,1601373549
2,80,15529,3919,1601373544
1,4096,109549,101661,1601373451
2,160,12490,7428,1601373549
1,128,7418,1298,1601373556
1,2048,62224,54742,1601373503
1,256,15839,8243,1601373551
1,1024,29973,17819,1601373537
1,512,15259,9800,1601373552
1,1,10105,30,1601373558
0,4000000,13609,2142,1601373557
0,1000000,10870,511,1601373561
1,512,32524,15104,1601373539
1,256,11386,3161,1601373563
2,160,17654,7614,1601373558
2,160,21169,7609,1601373555
0,1000000,11002,339,1601373566
1,1024,40997,26859,1601373537
0,1000000,8588,488,1601373573
2,80,17561,4762,1601373567
2,320,26282,18061,1601373564
2,80,16273,6284,1601373575
2,80,16765,6741,1601373575
2,160,22684,10625,1601373569
0,2500000,16274,1271,1601373577
2,20,14083,1004,1601373579
2,320,30006,17874,1601373566
0,1000000,17860,330,1601373579
0,2500000,7990,1059,1601373590
0,2500000,18046,1080,1601373580
2,40,14306,1991,1601373584
1,128,13539,2411,1601373586
0,8500000,24988,6196,1601373576
1,1,14224,2624,1601373587
0,1000000,12988,526,1601373590
0,8500000,19678,6170,1601373583
1,512,34872,25242,1601373569
0,8500000,22858,6286,1601373581
2,40,15612,2593,1601373588
0,2500000,14278,1336,1601373590
2,80,19489,4240,1601373585
2,160,15752,7568,1601373590
1,1,18467,40,1601373588
2,10,15885,847,1601373592
0,2500000,15974,1396,1601373593
1,512,33297,17797,1601373576
0,7000000,22109,4691,1601373587
0,5500000,18093,3826,1601373591
1,512,35028,18130,1601373575
0,2500000,12892,1205,1601373598
1,128,18010,2197,1601373595
0,7000000,20212,4588,1601373594
