workloadID, workload argument, tFC, tVM, start time
2,10,4459,552,1601390599
2,40,5521,1562,1601390598
2,10,5029,665,1601390601
2,40,6079,2043,1601390601
2,20,6544,1768,1601390604
2,10,8689,1421,1601390605
2,80,13469,6191,1601390602
2,20,10785,2178,1601390604
2,40,16162,4245,1601390605
2,160,21608,14955,1601390602
2,80,17910,8963,1601390606
2,80,18270,9069,1601390606
2,40,17262,4249,1601390610
2,160,22504,16646,1601390605
2,80,18158,8981,1601390610
2,40,17735,4001,1601390610
2,320,31430,25625,1601390599
2,20,18306,2082,1601390613
2,160,25493,16123,1601390606
2,10,14841,1322,1601390620
2,10,13025,1411,1601390626
2,80,26798,7675,1601390613
2,20,14260,2725,1601390625
2,320,37930,30087,1601390603
2,10,14178,1108,1601390627
2,80,25865,7858,1601390615
2,20,18656,2504,1601390625
2,160,31148,14959,1601390613
2,40,21125,4583,1601390624
2,10,16122,1233,1601390630
2,160,33017,16221,1601390613
2,80,32574,8968,1601390625
2,80,28060,9242,1601390631
2,160,38592,15341,1601390622
2,80,27880,9732,1601390633
2,160,36625,15725,1601390624
2,320,48608,31281,1601390614
2,20,32587,7009,1601390630
2,80,42739,13237,1601390632
2,20,38811,2568,1601390636
2,320,57212,30643,1601390619
2,80,44342,9439,1601390636
2,160,49711,16858,1601390631
2,320,47757,32076,1601390634
2,160,49392,16106,1601390635
2,10,46126,2369,1601390639
2,320,55013,32430,1601390630
2,10,47685,1452,1601390639
2,160,54586,15838,1601390633
2,10,50673,858,1601390640
2,10,49616,2119,1601390643
2,20,56748,4691,1601390639
2,320,58731,32047,1601390634
2,10,56285,2180,1601390640
2,40,61800,5344,1601390640
2,20,63060,3572,1601390639
2,40,50684,6591,1601390652
2,160,65279,16549,1601390639
2,160,64635,16746,1601390640
2,80,44697,12028,1601390660
2,40,65446,6201,1601390644
2,10,69559,3437,1601390642
2,40,67353,7328,1601390644
2,10,70697,4267,1601390642
2,10,43554,5169,1601390669
2,320,73246,30183,1601390640
2,80,62316,8009,1601390651
2,10,66485,3166,1601390649
2,320,78040,31790,1601390642
2,80,62693,11554,1601390657
2,20,75516,6513,1601390644
2,10,60499,1262,1601390660
2,320,76822,31723,1601390645
2,40,66142,4504,1601390667
2,10,88221,2677,1601390650
2,20,40781,3716,1601390698
2,320,90719,32261,1601390648
2,10,78641,3835,1601390660
2,80,78665,12465,1601390661
2,40,73822,7949,1601390665
2,40,79484,6311,1601390661
2,160,92750,17468,1601390649
2,320,65780,31110,1601390677
2,10,72864,6321,1601390674
2,20,87733,7283,1601390659
2,80,83539,13091,1601390663
2,20,80721,4640,1601390669
2,160,78514,17809,1601390674
2,80,87290,17059,1601390666
2,10,66013,2154,1601390690
2,10,85858,2331,1601390670
2,160,59544,17924,1601390697
2,320,93360,31680,1601390663
2,20,76009,2362,1601390680
2,20,76964,4967,1601390679
2,320,99378,31520,1601390658
2,40,81257,9874,1601390676
2,160,89914,24021,1601390669
2,20,77813,6433,1601390682
2,10,82602,1745,1601390678
2,10,85798,4889,1601390674
2,80,96949,11746,1601390664
2,20,78665,2577,1601390683
2,40,98284,10176,1601390666
2,40,91813,12431,1601390672
2,20,96830,4692,1601390667
