#cpu_count: 8
#total_mem: 67416018944
t,cpu_user,cpu_system,cpu_idle,cpu_inter,cpu_percentage,load_1m,mem_avail,swap_used
1607461872.7178469,1.0,0.0,8.0,0.0,11.1,0.0,66280595456,0
1607461873.720299,0.0,0.0,100.0,0.0,0.0,0.0,66280357888,0
1607461874.7229142,0.1,0.0,99.9,0.0,0.1,0.0,66280357888,0
1607461875.725545,0.0,0.0,100.0,0.0,0.0,0.0,66280357888,0
1607461876.7282143,0.0,0.1,99.9,0.0,0.1,0.0,66280357888,0
1607461877.7308414,0.0,0.0,100.0,0.0,0.0,0.0,66280357888,0
1607461878.7334638,0.0,0.0,100.0,0.0,0.0,0.0,66280357888,0
1607461879.7361426,0.1,0.0,99.9,0.0,0.1,0.0,66280357888,0
1607461880.7387679,0.0,0.0,100.0,0.0,0.0,0.0,66280357888,0
1607461881.7409387,0.0,0.0,100.0,0.0,0.0,0.0,66280357888,0
1607461882.7435818,0.0,0.1,99.9,0.0,0.1,0.0,66280357888,0
1607461883.7455294,0.0,0.0,100.0,0.0,0.0,0.0,66280357888,0
1607461884.7482233,0.1,0.0,99.9,0.0,0.1,0.0,66280361984,0
1607461885.7508485,1.8,5.7,92.5,0.0,7.5,0.0,66278313984,0
1607461886.7535818,0.9,0.2,98.9,0.0,1.1,0.0,66274729984,0
1607461887.756331,3.2,3.6,93.1,0.0,6.9,0.0,66240049152,0
1607461888.7590716,13.0,7.8,78.3,0.9,21.7,0.0,66134011904,0
1607461889.7640195,20.3,6.7,72.5,0.5,27.5,0.24,66024935424,0
1607461890.7664802,30.5,7.3,61.6,0.4,38.1,0.24,65860091904,0
1607461891.7686396,21.9,6.7,70.2,1.2,29.8,0.24,65797111808,0
1607461892.7703621,30.0,12.1,57.3,0.6,42.7,0.24,65982595072,0
1607461893.7735262,38.5,15.2,45.2,1.1,54.8,0.24,65738469376,0
1607461894.776296,60.3,16.0,23.4,0.2,76.7,1.66,65406267392,0
1607461895.7785316,88.6,6.1,5.0,0.4,95.0,1.66,65524441088,0
1607461896.781158,89.1,2.7,8.0,0.1,92.0,1.66,65521438720,0
1607461897.7841182,61.7,5.4,31.9,1.0,68.1,1.66,65493909504,0
1607461898.7869828,52.6,4.6,40.5,2.3,59.6,1.66,65743306752,0
1607461899.804501,63.3,4.7,31.5,0.5,68.6,2.49,65782820864,0
1607461900.807572,73.3,12.8,13.7,0.1,86.3,2.49,65566543872,0
1607461901.8103607,48.5,12.7,38.4,0.4,61.6,2.49,65545330688,0
1607461902.81349,69.3,13.9,16.2,0.6,83.8,2.49,65556766720,0
1607461903.8218393,69.9,9.3,20.7,0.1,79.3,2.49,65387147264,0
1607461904.8259053,66.9,9.0,23.4,0.7,76.7,3.01,65360990208,0
1607461905.8280299,56.3,9.2,34.0,0.5,65.8,3.01,65461366784,0
1607461906.8303828,58.3,11.4,29.6,0.6,70.4,3.01,65595891712,0
1607461907.8331633,58.7,14.1,25.9,1.2,74.1,3.01,65449607168,0
1607461908.8351455,71.7,9.1,18.8,0.4,81.2,3.01,65565376512,0
1607461909.9237673,92.2,4.4,3.3,0.1,96.7,4.29,65426530304,0
1607461910.9299576,88.6,6.8,4.5,0.1,95.5,4.29,65354543104,0
1607461912.0575645,84.8,9.8,5.1,0.3,94.5,4.29,65436180480,0
1607461913.0595965,68.6,6.9,23.8,0.6,76.1,4.29,65426841600,0
1607461914.0621583,52.2,3.0,40.7,4.1,59.4,4.29,65482317824,0
1607461915.064742,55.2,5.6,39.0,0.2,60.9,4.99,65815257088,0
1607461916.067557,43.8,2.2,53.0,1.0,47.0,4.99,65853657088,0
1607461917.0703151,41.4,3.4,54.9,0.2,45.1,4.99,65893408768,0
1607461918.0727637,19.7,7.3,70.7,2.2,29.2,4.99,65860919296,0
1607461919.0752628,7.2,2.4,90.3,0.1,9.7,4.99,65896783872,0
1607461920.0776637,24.0,2.5,72.9,0.6,27.1,4.91,65975824384,0
1607461921.0804672,24.5,1.1,74.1,0.2,25.9,4.91,66104311808,0
1607461922.0831976,12.5,0.0,87.5,0.0,12.5,4.91,66104311808,0
1607461923.0859363,19.4,7.2,72.5,1.0,27.6,4.91,66032353280,0
1607461924.0886688,24.7,5.0,69.2,1.1,30.8,4.91,66030002176,0
1607461925.0914273,42.3,1.5,56.2,0.0,43.8,4.92,66023653376,0
1607461926.09414,48.4,2.5,48.8,0.30000000000000004,51.2,4.92,65970253824,0
1607461927.1047404,57.0,14.5,28.1,0.4,71.9,4.92,65818718208,0
1607461928.1078465,52.8,13.6,33.5,0.1,66.5,4.92,65715666944,0
1607461929.1104538,68.5,14.0,17.1,0.5,82.9,4.92,65496043520,0
1607461930.1133516,76.9,10.7,12.4,0.0,87.6,5.41,65484029952,0
1607461931.1147606,58.3,13.7,27.5,0.5,72.5,5.41,65502056448,0
1607461932.1201937,44.9,20.2,34.0,0.9,65.9,5.41,65318096896,0
1607461933.1553264,78.2,11.8,9.6,0.4,90.5,5.41,65348317184,0
1607461934.1644175,88.0,7.7,4.3,0.0,95.7,5.41,65363939328,0
1607461935.2281926,91.2,4.3,4.5,0.0,95.5,7.05,65345884160,0
1607461936.2304244,87.9,5.6,6.5,0.0,93.5,7.05,65392918528,0
1607461937.2708483,88.4,7.8,3.5,0.4,96.5,7.05,65165082624,0
1607461938.2781065,89.5,6.7,3.6,0.1,96.4,7.05,65156349952,0
1607461939.6384075,85.8,10.7,3.5,0.0,96.5,9.29,64988876800,0
1607461940.6402502,84.4,10.7,4.9,0.0,95.1,9.29,65033523200,0
1607461941.6420069,86.4,8.9,4.6,0.1,95.3,9.29,65149591552,0
1607461942.6438203,85.7,9.9,4.5,0.0,95.5,9.29,65225850880,0
1607461943.6456213,83.3,11.9,4.9,0.0,95.1,9.29,65049714688,0
1607461944.647421,89.9,5.2,4.9,0.0,95.1,10.87,65011163136,0
1607461945.649176,80.4,15.0,4.6,0.0,95.4,10.87,65003753472,0
1607461946.6504397,85.4,9.9,4.7,0.0,95.3,10.87,64819929088,0
1607461947.6522567,76.4,19.1,4.5,0.0,95.5,10.87,64939479040,0
1607461948.6540573,85.4,10.0,4.5,0.1,95.3,10.87,64723136512,0
1607461949.6558764,89.3,5.7,5.0,0.0,95.1,12.08,64688254976,0
