#cpu_count: 16
#total_mem: 67416018944
t,cpu_user,cpu_system,cpu_idle,cpu_inter,cpu_percentage,load_1m,mem_avail,swap_used
1607512839.7789016,1.0,0.0,7.0,0.0,12.5,0.33,66357989376,0
1607512840.7810893,0.0,0.0,100.0,0.0,0.0,0.33,66357936128,0
1607512841.7837763,0.0,0.1,99.9,0.0,0.1,0.3,66357936128,0
1607512842.7863913,0.1,0.0,99.9,0.0,0.1,0.3,66357936128,0
1607512843.7890131,0.1,0.0,99.9,0.0,0.1,0.3,66357944320,0
1607512844.7917113,0.0,0.0,99.9,0.1,0.0,0.3,66357948416,0
1607512845.7943318,0.1,0.0,99.9,0.0,0.1,0.3,66357948416,0
1607512846.7969515,0.1,0.0,99.9,0.0,0.1,0.28,66357948416,0
1607512847.7996104,0.0,0.1,99.9,0.0,0.1,0.28,66357948416,0
1607512848.8022246,0.1,0.0,99.9,0.0,0.1,0.28,66357948416,0
1607512849.8048477,0.1,0.0,99.9,0.0,0.1,0.28,66357948416,0
1607512850.807506,0.0,0.0,100.0,0.0,0.0,0.28,66357948416,0
1607512851.8101594,0.0,0.0,100.0,0.0,0.0,0.26,66357948416,0
1607512852.8127632,0.8,1.7,97.2,0.4,2.7,0.26,66361536512,0
1607512853.8155177,0.6,0.2,99.1,0.0,0.9,0.26,66363740160,0
1607512854.8178208,3.6,3.4,93.0,0.0,7.0,0.26,66312970240,0
1607512855.8204834,10.6,7.5,80.7,1.1,19.3,0.26,66206584832,0
1607512856.8218482,19.7,5.2,74.8,0.4,25.3,0.64,66046803968,0
1607512857.823706,31.9,9.3,57.0,1.8,43.0,0.64,65853706240,0
1607512858.8258634,31.0,8.4,59.7,0.9,40.3,0.64,65690812416,0
1607512859.8277936,53.4,11.2,34.5,0.9,65.5,0.64,65662627840,0
1607512860.8699834,60.1,12.8,26.7,0.30000000000000004,73.2,0.64,65430892544,0
1607512861.970583,73.1,11.5,15.4,0.0,84.7,1.15,65406205952,0
1607512862.9819608,84.1,14.0,1.9,0.0,98.1,1.15,65402712064,0
1607512864.0658386,91.4,6.3,2.3,0.0,97.7,1.15,65157750784,0
1607512865.0677457,92.3,3.0,4.6,0.1,95.4,1.15,65065697280,0
