workloadID, workload argument, tFC, tVM, start time
1,1,3794,49,1602753883
0,4000000,6969,3256,1602753880
1,128,7123,3387,1602753880
2,160,6382,2651,1602753883
1,1,3805,49,1602753889
0,4000000,7013,3264,1602753887
2,320,9012,5277,1602753887
0,5500000,8923,5171,1602753887
0,5500000,8955,5179,1602753889
0,7000000,11075,7315,1602753888
2,320,8958,5210,1602753891
0,4000000,7026,3270,1602753895
0,2500000,5420,1671,1602753897
0,1000000,4198,452,1602753900
2,320,9036,5255,1602753896
0,7000000,11069,7319,1602753896
0,2500000,5454,1668,1602753905
2,160,6273,2655,1602753904
1,1,3805,87,1602753907
0,8500000,13398,9642,1602753898
1,256,16134,12346,1602753895
0,5500000,8933,5177,1602753903
0,4000000,7042,3270,1602753908
2,40,4747,969,1602753911
0,2500000,5437,1666,1602753910
2,10,4102,322,1602753912
2,10,4179,361,1602753914
1,128,11710,7922,1602753907
2,320,9639,5881,1602753910
0,4000000,7025,3266,1602753914
1,10,4651,902,1602753919
1,4096,43582,0,1602753881
2,80,5631,1865,1602753919
2,160,6935,3159,1602753919
1,4096,41263,0,1602753885
1,2048,10322,0,1602753917
1,512,10022,0,1602753918
1,1024,30456,0,1602753898
0,7000000,10950,7299,1602753920
0,5500000,8912,5167,1602753923
1,128,7129,3465,1602753926
0,8500000,13363,9619,1602753921
1,2048,25112,0,1602753909
0,1000000,4217,451,1602753931
0,1000000,4178,451,1602753932
0,4000000,6973,3259,1602753930
2,10,4002,268,1602753936
2,10,4003,269,1602753940
2,80,5133,1398,1602753940
0,7000000,11065,7307,1602753949
0,1000000,4167,451,1602753957
2,320,10564,6810,1602753952
2,80,5274,1497,1602753958
2,320,10586,6825,1602753953
1,512,27821,24075,1602753937
1,1,3852,100,1602753964
1,512,31505,27731,1602753938
1,512,36412,32617,1602753941
0,7000000,11021,7297,1602753966
1,256,23577,19729,1602753954
0,5500000,8925,5165,1602753971
1,128,15447,11670,1602753971
1,1024,45279,0,1602753943
0,1000000,4201,452,1602753985
0,4000000,7014,3263,1602753983
1,256,25275,21665,1602753967
1,512,42023,0,1602753951
0,5500000,8923,5178,1602753984
2,10,4055,269,1602753989
2,10,4046,269,1602753990
1,4096,36241,0,1602753961
1,256,21807,18031,1602753976
0,7000000,11062,7303,1602753988
2,20,4059,429,1602753995
1,512,21921,0,1602753977
0,2500000,5435,1676,1602753997
2,80,5585,1833,1602754001
1,1,3819,73,1602754004
1,4096,33968,0,1602753974
2,320,9606,5811,1602753999
0,4000000,7008,3258,1602754002
2,20,4310,528,1602754005
0,7000000,11063,7305,1602753998
2,10,4054,279,1602754005
0,5500000,8954,5163,1602754004
0,4000000,6997,3254,1602754006
2,320,9252,5461,1602754004
0,4000000,7011,3260,1602754009
1,1,3862,110,1602754015
1,512,22984,0,1602753995
