workloadID, workload argument, tFC, tVM, start time
1,10,4140,392,1602938315
1,10,4230,516,1602938317
1,2048,7332,0,1602938314
1,1024,7413,0,1602938315
1,10,4031,276,1602938319
1,1024,7127,0,1602938317
1,128,6652,0,1602938320
1,1024,6663,0,1602938321
1,1,3749,34,1602938324
1,1,3756,36,1602938326
1,1024,6445,0,1602938324
1,1,3794,74,1602938332
1,512,7835,0,1602938329
1,2048,7937,0,1602938329
1,1,3813,73,1602938335
1,2048,9213,0,1602938330
1,10,4398,669,1602938336
1,4096,9538,0,1602938331
1,1,3838,76,1602938337
1,2048,9639,0,1602938333
1,128,9503,0,1602938334
1,1,3794,48,1602938339
1,128,7883,0,1602938336
1,512,7836,0,1602938337
1,1024,7244,0,1602938343
1,128,6788,0,1602938343
1,10,4020,276,1602938347
1,1,3814,61,1602938349
1,128,6895,0,1602938346
1,10,4262,514,1602938349
1,2048,7991,0,1602938348
1,10,4412,657,1602938351
1,128,9036,0,1602938349
1,4096,9029,0,1602938349
1,128,4617,0,1602938354
1,512,9065,0,1602938351
1,512,8952,0,1602938352
1,10,4163,408,1602938356
1,10,4154,395,1602938358
1,1024,7586,0,1602938355
1,1,3804,61,1602938360
1,2048,7068,0,1602938358
1,2048,7360,0,1602938359
1,512,7288,0,1602938359
1,512,7251,0,1602938363
1,512,7312,0,1602938363
1,512,7212,0,1602938365
1,10,3994,276,1602938369
1,4096,6590,0,1602938367
1,4096,8026,0,1602938371
1,2048,9750,0,1602938372
1,10,4623,912,1602938378
1,512,4701,0,1602938378
1,1024,11549,0,1602938373
1,1024,11693,0,1602938373
1,256,12046,0,1602938374
1,128,12050,0,1602938374
1,512,11631,0,1602938376
1,512,6716,0,1602938382
1,1024,4177,0,1602938385
1,128,9144,0,1602938380
1,1024,9053,0,1602938381
1,128,6972,0,1602938388
1,256,7645,0,1602938390
1,2048,7604,0,1602938390
1,1024,6992,0,1602938392
1,10,3959,243,1602938397
1,1,3748,34,1602938398
1,2048,6788,0,1602938400
1,1024,8966,0,1602938402
1,128,8959,0,1602938402
1,1024,8815,0,1602938403
1,2048,8799,0,1602938403
1,4096,6938,0,1602938408
1,512,6734,0,1602938408
1,10,3985,275,1602938413
1,256,6545,0,1602938411
1,1,3796,48,1602938416
1,2048,6667,0,1602938414
1,2048,7265,0,1602938415
1,4096,9404,0,1602938417
1,4096,9428,0,1602938417
1,2048,9736,0,1602938418
1,2048,9647,0,1602938420
1,2048,8842,0,1602938421
1,512,8277,0,1602938422
1,10,4044,330,1602938427
1,128,6530,0,1602938427
1,4096,6597,0,1602938431
1,256,6592,0,1602938433
1,1,3746,37,1602938438
1,4096,6530,0,1602938437
1,512,6568,0,1602938439
1,4096,6439,0,1602938443
1,512,6632,0,1602938448
1,1,3754,37,1602938451
1,128,6691,0,1602938450
1,512,6970,0,1602938455
1,10,4246,532,1602938459
1,4096,7700,0,1602938456
1,2048,8435,0,1602938458
1,512,8247,0,1602938459
1,512,7881,0,1602938459
1,1,3743,33,1602938464
1,512,6409,0,1602938464
1,10,3979,261,1602938471
1,10,3973,260,1602938471
1,128,6621,0,1602938472
1,256,7889,0,1602938474
1,128,7861,0,1602938475
1,128,7812,0,1602938475
1,4096,6517,0,1602938480
1,256,6758,0,1602938482
1,4096,7456,0,1602938485
1,512,7425,0,1602938485
1,256,7094,0,1602938487
1,2048,6485,0,1602938491
1,256,6787,0,1602938494
1,256,6761,0,1602938495
1,1,3749,48,1602938500
1,2048,6645,0,1602938497
1,1,3786,37,1602938501
1,256,6916,0,1602938499
1,128,7886,0,1602938501
1,256,8806,0,1602938502
1,128,9485,0,1602938503
1,1024,9490,0,1602938503
1,128,8572,0,1602938505
1,2048,8251,0,1602938506
1,4096,6640,0,1602938511
1,512,6670,0,1602938512
1,10,3981,265,1602938518
1,2048,6777,0,1602938518
1,4096,6757,0,1602938518
1,1,3788,37,1602938523
1,256,6486,0,1602938521
1,1024,7676,0,1602938524
1,10,4273,514,1602938528
1,128,7788,0,1602938525
1,512,7931,0,1602938525
1,512,7476,0,1602938528
1,1,3751,37,1602938532
1,128,6761,0,1602938529
1,4096,7123,0,1602938537
1,2048,7229,0,1602938537
1,128,7065,0,1602938539
1,2048,6776,0,1602938541
1,4096,6731,0,1602938542
1,1,3779,61,1602938547
1,10,4400,645,1602938549
1,10,4415,646,1602938550
1,128,8710,0,1602938546
1,4096,8720,0,1602938546
1,1024,8798,0,1602938546
1,4096,8249,0,1602938548
1,10,4144,387,1602938553
1,256,7527,0,1602938553
1,128,7592,0,1602938553
1,256,7469,0,1602938555
1,256,6684,0,1602938557
1,1,3811,61,1602938563
1,4096,8678,0,1602938560
1,1024,8930,0,1602938561
1,4096,8997,0,1602938561
1,10,4135,389,1602938566
1,10,4273,519,1602938568
1,512,8892,0,1602938563
1,256,8562,0,1602938564
1,4096,7221,0,1602938567
1,10,3953,242,1602938574
1,1,3738,33,1602938575
1,1,3793,74,1602938578
1,1024,7840,0,1602938576
1,128,10209,0,1602938577
1,1024,10717,0,1602938577
1,256,10787,0,1602938578
1,256,10267,0,1602938579
1,512,9782,0,1602938580
1,1024,8685,0,1602938581
1,1,3774,33,1602938587
1,1,3619,49,1602938589
1,1,3796,48,1602938589
1,2048,7011,0,1602938587
1,4096,7526,0,1602938588
1,4096,7513,0,1602938589
1,1024,6885,0,1602938591
1,1,3744,37,1602938596
1,4096,6616,0,1602938595
1,256,6793,0,1602938597
1,4096,6585,0,1602938599
1,128,7391,0,1602938602
1,10,4313,563,1602938605
1,256,7443,0,1602938602
1,128,8260,0,1602938604
1,128,7894,0,1602938605
1,2048,7689,0,1602938606
1,1024,6556,0,1602938610
1,10,3992,277,1602938613
1,128,6600,0,1602938612
1,512,6480,0,1602938615
1,1,3781,37,1602938621
1,128,6531,0,1602938620
1,512,6532,0,1602938622
1,4096,6698,0,1602938625
1,512,6703,0,1602938625
1,128,6651,0,1602938631
1,10,3995,275,1602938634
1,128,6709,0,1602938632
1,10,3964,242,1602938638
1,1,3769,37,1602938640
1,10,3818,246,1602938640
1,1,3751,37,1602938643
1,1024,6625,0,1602938642
1,2048,6659,0,1602938644
1,10,3962,242,1602938653
1,1,3746,33,1602938658
1,10,4022,276,1602938662
1,128,6478,0,1602938660
1,10,4002,249,1602938663
1,10,3967,243,1602938664
1,1,3793,49,1602938665
1,4096,8702,0,1602938665
1,256,9459,0,1602938665
1,256,4629,0,1602938670
1,1024,5188,0,1602938670
1,1024,10213,0,1602938666
1,128,10266,0,1602938667
1,128,10204,0,1602938667
1,128,9248,0,1602938669
1,4096,7080,0,1602938674
1,128,7756,0,1602938675
1,10,4517,770,1602938680
1,256,9463,0,1602938676
1,512,9772,0,1602938677
1,1,3840,87,1602938683
1,1024,5276,0,1602938681
1,1024,4943,0,1602938684
1,512,10620,0,1602938679
1,256,10647,0,1602938679
1,2048,10320,0,1602938680
1,128,8995,0,1602938681
1,10,4033,276,1602938689
1,2048,6494,0,1602938687
1,1,3790,33,1602938691
1,1,3743,33,1602938692
1,1,3747,34,1602938693
1,1024,6476,0,1602938694
1,4096,7774,0,1602938697
1,1,3815,61,1602938702
1,128,7947,0,1602938698
1,512,8124,0,1602938699
1,256,7460,0,1602938700
1,10,4397,642,1602938710
1,512,9579,0,1602938707
1,2048,9608,0,1602938707
1,1024,9633,0,1602938707
1,4096,9583,0,1602938708
1,128,4978,0,1602938712
1,128,4415,0,1602938714
1,10,3987,242,1602938716
1,2048,4375,0,1602938718
1,1024,4378,0,1602938722
1,128,4375,0,1602938722
1,10,3961,242,1602938724
1,512,4376,0,1602938725
1,2048,4426,0,1602938726
1,1024,4392,0,1602938729
1,128,4446,0,1602938730
1,4096,4444,0,1602938730
1,512,4374,0,1602938732
1,512,4235,0,1602938733
1,1,3786,34,1602938734
1,256,4418,0,1602938736
1,256,4413,0,1602938736
1,10,4016,275,1602938737
1,2048,4419,0,1602938737
1,10,3954,242,1602938739
1,256,4390,0,1602938739
1,4096,4453,0,1602938740
1,2048,4447,0,1602938740
1,512,4326,0,1602938744
1,4096,4431,0,1602938745
1,2048,4759,0,1602938746
1,2048,4716,0,1602938746
1,10,4115,404,1602938747
1,4096,4716,0,1602938746
1,10,4007,254,1602938747
1,1,3770,48,1602938748
1,512,4500,0,1602938748
1,512,4504,0,1602938748
1,1024,4378,0,1602938752
1,128,4382,0,1602938754
1,10,3967,253,1602938755
1,128,4620,0,1602938757
1,512,4705,0,1602938757
1,1024,4819,0,1602938757
1,512,4702,0,1602938758
1,128,4603,0,1602938758
1,4096,4411,0,1602938759
1,128,4441,0,1602938760
1,128,4472,0,1602938760
1,256,4386,0,1602938762
1,128,4253,0,1602938762
1,1,3744,33,1602938766
1,1,3745,33,1602938766
1,4096,4381,0,1602938768
1,4096,4378,0,1602938770
1,2048,4444,0,1602938772
1,2048,5024,0,1602938772
1,2048,4409,0,1602938773
1,1,3744,33,1602938776
1,1024,4382,0,1602938776
1,512,4382,0,1602938778
1,2048,4245,0,1602938779
1,10,3963,242,1602938781
1,2048,4416,0,1602938781
1,512,4470,0,1602938782
1,2048,4538,0,1602938783
1,4096,4492,0,1602938783
1,128,4449,0,1602938788
1,1024,4445,0,1602938788
1,1024,4409,0,1602938789
1,2048,4400,0,1602938790
1,1024,4382,0,1602938794
1,1,3782,33,1602938796
1,1024,4369,0,1602938797
1,2048,4379,0,1602938799
1,256,4371,0,1602938804
1,128,4426,0,1602938805
1,256,4424,0,1602938806
1,256,4409,0,1602938806
1,1024,4600,0,1602938807
1,128,4642,0,1602938808
1,128,4577,0,1602938808
1,256,4387,0,1602938810
1,512,4384,0,1602938815
1,4096,4473,0,1602938817
1,2048,4503,0,1602938817
1,256,4497,0,1602938817
1,10,3959,242,1602938824
1,10,3962,242,1602938828
1,4096,4409,0,1602938832
1,512,4432,0,1602938833
1,1024,4439,0,1602938834
1,10,3864,242,1602938839
1,10,3985,274,1602938839
1,128,4411,0,1602938839
1,4096,4556,0,1602938841
1,2048,4552,0,1602938841
1,2048,4514,0,1602938842
1,256,4408,0,1602938843
1,10,3952,242,1602938844
1,1,3741,33,1602938848
1,1024,4379,0,1602938849
1,1024,4434,0,1602938851
1,128,4429,0,1602938852
1,2048,4437,0,1602938852
1,1024,4417,0,1602938853
1,2048,4383,0,1602938857
1,1024,4384,0,1602938858
1,512,4384,0,1602938860
1,128,4376,0,1602938866
1,128,4401,0,1602938869
1,10,3936,257,1602938869
1,1024,4408,0,1602938870
1,4096,4463,0,1602938872
1,128,4532,0,1602938872
1,512,4472,0,1602938872
1,128,4408,0,1602938874
1,2048,4288,0,1602938876
1,1024,4488,0,1602938877
1,1024,4453,0,1602938877
1,512,4376,0,1602938882
1,2048,4382,0,1602938885
1,2048,4390,0,1602938888
1,2048,4408,0,1602938890
1,512,4411,0,1602938891
1,1024,4376,0,1602938892
1,512,4383,0,1602938899
1,512,4376,0,1602938899
1,4096,4451,0,1602938900
1,256,4423,0,1602938901
1,10,3962,242,1602938905
1,2048,4381,0,1602938907
1,512,4346,0,1602938911
1,4096,4368,0,1602938913
1,2048,4363,0,1602938914
1,1,3748,37,1602938915
1,128,4415,0,1602938915
1,2048,4408,0,1602938916
1,1,3792,33,1602938917
1,1024,4405,0,1602938918
1,128,4410,0,1602938919
1,512,4449,0,1602938921
1,4096,4416,0,1602938922
1,128,4407,0,1602938923
1,10,3923,242,1602938925
1,1,3746,33,1602938926
1,256,4427,0,1602938927
1,4096,4425,0,1602938928
1,256,4425,0,1602938929
1,1,3751,34,1602938931
1,1024,4384,0,1602938932
1,2048,4376,0,1602938933
1,1024,4334,0,1602938934
1,512,4461,0,1602938934
1,1,3784,33,1602938935
1,256,4370,0,1602938935
1,1,3778,37,1602938936
1,1024,4413,0,1602938936
1,10,3998,276,1602938938
1,4096,4441,0,1602938938
1,2048,4452,0,1602938939
1,512,4467,0,1602938939
1,4096,4295,0,1602938940
1,1,3748,33,1602938941
1,4096,4400,0,1602938944
1,256,4389,0,1602938947
1,512,4485,0,1602938949
1,2048,4488,0,1602938949
1,2048,4385,0,1602938951
1,1,3743,33,1602938953
1,2048,4465,0,1602938954
1,2048,4507,0,1602938954
1,1024,4486,0,1602938954
1,1024,4481,0,1602938955
1,128,4471,0,1602938955
1,128,4413,0,1602938956
1,1024,4381,0,1602938957
1,4096,4414,0,1602938959
1,256,4377,0,1602938962
1,4096,4374,0,1602938964
1,4096,4450,0,1602938965
1,4096,4417,0,1602938966
1,1,3743,33,1602938970
1,1,3738,33,1602938972
1,4096,4430,0,1602938972
1,128,4462,0,1602938973
1,512,4414,0,1602938974
1,512,4413,0,1602938975
1,256,4457,0,1602938977
1,4096,4429,0,1602938977
1,512,4410,0,1602938978
1,10,3964,251,1602938980
1,256,4387,0,1602938980
1,10,3957,242,1602938982
1,128,4383,0,1602938983
1,512,4416,0,1602938984
1,10,3951,242,1602938985
1,512,4379,0,1602938987
1,1,3776,33,1602938990
1,128,4409,0,1602938990
1,1024,4428,0,1602938991
1,512,4413,0,1602938992
1,1024,4415,0,1602938996
1,2048,4404,0,1602938997
1,128,4368,0,1602938999
1,1,3672,37,1602939002
1,256,4449,0,1602939002
1,2048,4414,0,1602939002
1,10,4000,242,1602939003
1,10,4013,275,1602939006
1,1024,4468,0,1602939006
1,4096,4380,0,1602939006
1,1024,4417,0,1602939007
1,10,3983,274,1602939008
1,256,4456,0,1602939007
1,4096,4381,0,1602939015
1,4096,4364,0,1602939021
1,128,4400,0,1602939022
1,4096,4484,0,1602939023
1,128,4362,0,1602939023
1,4096,4426,0,1602939024
1,1024,4438,0,1602939024
1,10,3966,243,1602939025
1,128,4373,0,1602939027
1,1,3745,33,1602939027
1,10,3964,242,1602939028
1,2048,4378,0,1602939029
1,1024,4372,0,1602939031
1,1024,4415,0,1602939033
1,512,4481,0,1602939034
1,256,4444,0,1602939034
1,10,4037,275,1602939036
1,128,4461,0,1602939035
1,1024,4419,0,1602939037
1,10,3862,242,1602939038
1,4096,4505,0,1602939038
1,2048,4352,0,1602939038
1,1024,4426,0,1602939039
1,4096,4461,0,1602939040
1,1,3775,37,1602939041
1,4096,4426,0,1602939041
1,1,3778,33,1602939042
1,128,4450,0,1602939042
1,2048,4414,0,1602939043
1,2048,4373,0,1602939049
1,1,3758,34,1602939049
1,512,4378,0,1602939052
1,2048,4501,0,1602939053
1,512,4453,0,1602939053
1,4096,4383,0,1602939060
1,1,3750,33,1602939063
1,512,4374,0,1602939063
1,2048,4381,0,1602939065
1,10,3955,242,1602939067
1,128,4429,0,1602939071
1,2048,4487,0,1602939071
1,4096,4348,0,1602939072
1,10,3990,275,1602939072
1,256,4450,0,1602939072
1,256,4408,0,1602939074
1,128,4402,0,1602939075
1,4096,4405,0,1602939075
1,128,4410,0,1602939076
1,2048,4372,0,1602939077
1,128,4400,0,1602939081
1,512,4337,0,1602939082
1,2048,4419,0,1602939082
1,1024,4408,0,1602939083
1,1,3747,37,1602939091
1,1,3780,37,1602939091
1,1024,4414,0,1602939091
1,10,3963,242,1602939091
1,1024,4375,0,1602939094
1,512,4379,0,1602939096
1,1024,4418,0,1602939098
1,512,4400,0,1602939099
1,512,4368,0,1602939102
1,1,3750,34,1602939102
1,4096,4377,0,1602939102
1,512,4383,0,1602939106
1,1,3750,33,1602939109
1,512,4381,0,1602939112
1,2048,4377,0,1602939113
1,2048,4397,0,1602939117
1,10,3988,242,1602939119
1,1,3756,33,1602939119
1,256,4382,0,1602939119
1,256,4373,0,1602939121
1,128,4352,0,1602939122
1,2048,4413,0,1602939123
1,512,4350,0,1602939127
1,4096,4400,0,1602939128
1,2048,4400,0,1602939129
1,1024,4474,0,1602939131
1,4096,4428,0,1602939132
1,10,3953,242,1602939134
1,10,3947,242,1602939134
1,1,3741,33,1602939138
1,4096,4379,0,1602939138
1,256,4383,0,1602939139
1,128,4238,0,1602939142
1,2048,4444,0,1602939143
1,512,4401,0,1602939143
1,10,3965,242,1602939145
1,10,3995,272,1602939145
1,256,4401,0,1602939146
1,256,4376,0,1602939147
1,256,4409,0,1602939149
1,256,4416,0,1602939150
1,4096,4404,0,1602939150
1,128,4375,0,1602939153
1,1024,4474,0,1602939153
1,1024,4413,0,1602939154
1,1024,4373,0,1602939156
1,4096,4420,0,1602939157
1,1024,4374,0,1602939158
1,512,4461,0,1602939159
1,512,4348,0,1602939160
1,1,3755,37,1602939163
1,256,4432,0,1602939163
1,1024,4420,0,1602939163
1,1024,4410,0,1602939164
1,10,3958,242,1602939168
1,256,4404,0,1602939175
1,256,4408,0,1602939175
1,1,3742,33,1602939178
1,128,4378,0,1602939178
1,2048,4418,0,1602939180
1,512,4380,0,1602939186
1,256,4371,0,1602939191
