workloadID, workload argument, run, tFC, tVM
0,1000000,0,4167,451
0,1000000,1,4165,451
0,1000000,2,4158,451
0,1000000,3,4159,451
0,1000000,4,4163,451
0,1000000,5,4159,451
0,1000000,6,4159,451
0,1000000,7,4162,451
0,1000000,8,4167,451
0,1000000,9,4163,451
0,2500000,0,5375,1665
0,2500000,1,5379,1666
0,2500000,2,5375,1665
0,2500000,3,5380,1665
0,2500000,4,5379,1666
0,2500000,5,5371,1665
0,2500000,6,5379,1665
0,2500000,7,5379,1666
0,2500000,8,5372,1665
0,2500000,9,5371,1665
0,4000000,0,6963,3255
0,4000000,1,6971,3255
0,4000000,2,6966,3255
0,4000000,3,6962,3254
0,4000000,4,6966,3255
0,4000000,5,6962,3254
0,4000000,6,6963,3255
0,4000000,7,6967,3254
0,4000000,8,6963,3254
0,4000000,9,6967,3255
0,5500000,0,8863,5157
0,5500000,1,8863,5157
0,5500000,2,8863,5157
0,5500000,3,8867,5157
0,5500000,4,8867,5157
0,5500000,5,8863,5157
0,5500000,6,8867,5156
0,5500000,7,8867,5157
0,5500000,8,8868,5157
0,5500000,9,8871,5157
0,7000000,0,10995,7285
0,7000000,1,10996,7286
0,7000000,2,10995,7286
0,7000000,3,10999,7286
0,7000000,4,10996,7285
0,7000000,5,10996,7286
0,7000000,6,10994,7287
0,7000000,7,10992,7285
0,7000000,8,10995,7287
0,7000000,9,10999,7289
0,8500000,0,13319,9608
0,8500000,1,13323,9615
0,8500000,2,13331,9617
0,8500000,3,13323,9610
0,8500000,4,13323,9616
0,8500000,5,13323,9616
0,8500000,6,13319,9610
0,8500000,7,13327,9615
0,8500000,8,13323,9615
0,8500000,9,13319,9613
1,4096,0,4953,0
1,4096,1,4935,0
1,4096,2,4939,0
1,4096,3,4938,0
1,4096,4,4826,0
1,4096,5,4903,0
1,4096,6,4940,0
1,4096,7,4940,0
1,4096,8,4940,0
1,4096,9,4931,0
1,2048,0,4939,0
1,2048,1,4943,0
1,2048,2,4987,0
1,2048,3,4940,0
1,2048,4,4940,0
1,2048,5,4940,0
1,2048,6,4935,0
1,2048,7,4936,0
1,2048,8,4939,0
1,2048,9,4940,0
1,1024,0,4939,0
1,1024,1,4931,0
1,1024,2,4943,0
1,1024,3,4935,0
1,1024,4,4939,0
1,1024,5,4935,0
1,1024,6,4935,0
1,1024,7,4939,0
1,1024,8,4855,0
1,1024,9,4939,0
1,512,0,4943,0
1,512,1,4939,0
1,512,2,4940,0
1,512,3,4936,0
1,512,4,4936,0
1,512,5,4931,0
1,512,6,4981,0
1,512,7,4940,0
1,512,8,4943,0
1,512,9,4939,0
1,256,0,4943,0
1,256,1,4939,0
1,256,2,4946,0
1,256,3,4946,0
1,256,4,4858,0
1,256,5,4947,0
1,256,6,4946,0
1,256,7,4938,0
1,256,8,4946,0
1,256,9,4946,0
1,128,0,4938,0
1,128,1,4946,0
1,128,2,4858,0
1,128,3,4942,0
1,128,4,4946,0
1,128,5,4946,0
1,128,6,4938,0
1,128,7,4938,0
1,128,8,4942,0
1,128,9,4939,0
1,10,0,3955,244
1,10,1,3955,244
1,10,2,3955,244
1,10,3,3956,244
1,10,4,3955,245
1,10,5,3956,244
1,10,6,3955,245
1,10,7,3955,244
1,10,8,3959,244
1,10,9,3955,244
1,1,0,3742,34
1,1,1,3744,34
1,1,2,3743,34
1,1,3,3747,33
1,1,4,3743,34
1,1,5,3743,34
1,1,6,3751,34
1,1,7,3746,33
1,1,8,3747,34
1,1,9,3748,34
2,10,0,4007,269
2,10,1,4002,270
2,10,2,4003,269
2,10,3,3999,267
2,10,4,3999,267
2,10,5,4003,268
2,10,6,3999,268
2,10,7,4003,268
2,10,8,4003,268
2,10,9,4003,269
2,20,0,4159,426
2,20,1,4163,428
2,20,2,4159,426
2,20,3,4167,426
2,20,4,4163,428
2,20,5,4159,426
2,20,6,4159,427
2,20,7,4163,425
2,20,8,4159,428
2,20,9,4159,424
2,40,0,4475,744
2,40,1,4475,743
2,40,2,4475,742
2,40,3,4443,740
2,40,4,4475,741
2,40,5,4471,741
2,40,6,4479,741
2,40,7,4471,738
2,40,8,4475,740
2,40,9,4443,739
2,80,0,5119,1377
2,80,1,5107,1376
2,80,2,5107,1376
2,80,3,5107,1376
2,80,4,5103,1372
2,80,5,5119,1383
2,80,6,5107,1375
2,80,7,5115,1380
2,80,8,5115,1377
2,80,9,5104,1374
2,160,0,6380,2642
2,160,1,6387,2647
2,160,2,6382,2648
2,160,3,6367,2635
2,160,4,6376,2644
2,160,5,6363,2627
2,160,6,6380,2646
2,160,7,6363,2631
2,160,8,6375,2640
2,160,9,6379,2644
2,320,0,8899,5167
2,320,1,8878,5145
2,320,2,8903,5177
2,320,3,8924,5189
2,320,4,8907,5170
2,320,5,8899,5164
2,320,6,8883,5152
2,320,7,8935,5197
2,320,8,8922,5181
2,320,9,8930,5186
