workloadID, workload argument, tFC, tVM, start time
1,512,4558,0,1603106408
2,10,4105,329,1603106409
2,20,4249,486,1603106409
0,4000000,6996,3258,1603106410
2,40,4998,1291,1603106413
0,1000000,4058,451,1603106414
2,40,5037,1242,1603106413
2,40,4587,797,1603106414
2,10,4033,272,1603106415
0,2500000,5236,1666,1603106415
2,320,9563,5832,1603106412
1,2048,4584,0,1603106418
0,7000000,10896,7295,1603106414
2,10,4052,277,1603106421
1,512,4664,0,1603106421
0,7000000,11069,7296,1603106415
0,8500000,13387,9622,1603106414
2,10,4535,331,1603106423
2,320,9014,5266,1603106418
1,2048,4484,0,1603106423
0,4000000,6982,3263,1603106421
2,160,6559,2761,1603106422
1,512,4602,0,1603106425
1,10,3991,242,1603106427
1,10,3918,243,1603106428
1,4096,4597,0,1603106429
2,80,4980,1378,1603106428
1,1,3785,33,1603106432
0,2500000,5405,1666,1603106431
0,5500000,8746,5164,1603106428
2,160,6355,2617,1603106431
0,7000000,10920,7295,1603106427
2,80,5158,1388,1603106433
0,8500000,13375,9621,1603106425
0,4000000,6941,3257,1603106432
0,8500000,13383,9622,1603106428
0,7000000,11020,7299,1603106431
0,4000000,7010,3256,1603106438
2,320,8928,5188,1603106438
1,256,4577,0,1603106444
1,1,3752,34,1603106447
1,10,3974,243,1603106447
0,1000000,4170,452,1603106447
0,5500000,8971,5162,1603106443
1,1024,4899,0,1603106449
0,7000000,11092,7293,1603106443
1,128,4907,0,1603106449
1,512,4923,0,1603106449
1,10,3999,240,1603106451
0,4000000,7022,3260,1603106448
0,4000000,7018,3260,1603106448
2,40,4882,1109,1603106452
2,40,5213,1406,1603106452
2,320,9529,5807,1603106448
0,4000000,7030,3259,1603106450
2,160,7125,3444,1603106450
0,2500000,5454,1670,1603106452
2,20,4360,552,1603106454
2,40,4751,967,1603106454
2,80,5396,1618,1603106454
2,320,9806,6039,1603106451
2,10,4058,321,1603106458
1,4096,4608,0,1603106459
1,1,3805,33,1603106459
2,160,6732,2985,1603106457
0,1000000,4256,453,1603106460
2,20,4198,427,1603106461
0,8500000,13431,9633,1603106452
0,4000000,7035,3262,1603106458
0,1000000,4198,452,1603106462
0,5500000,8913,5170,1603106458
0,8500000,13409,9636,1603106453
0,5500000,8933,5168,1603106458
1,512,4587,0,1603106464
2,40,5304,1613,1603106464
2,160,7649,3879,1603106462
2,160,7254,3491,1603106463
1,4096,4707,0,1603106466
1,10,3969,248,1603106467
2,40,4551,775,1603106467
2,10,4075,290,1603106468
0,4000000,7169,3260,1603106465
2,160,6519,2690,1603106466
0,4000000,7011,3260,1603106466
0,1000000,4101,453,1603106470
2,80,5158,1375,1603106469
1,10,3987,242,1603106471
0,7000000,10982,7299,1603106464
1,256,4608,0,1603106472
0,8500000,13431,9626,1603106464
0,8500000,13193,9619,1603106466
0,1000000,4743,451,1603106475
1,512,4564,0,1603106477
1,2048,4717,0,1603106479
1,128,4768,0,1603106479
0,2500000,5440,1669,1603106479
1,512,4787,0,1603106479
0,8500000,13395,9624,1603106471
1,512,4869,0,1603106480
1,128,4865,0,1603106481
0,2500000,5439,1670,1603106481
2,160,7180,3534,1603106479
1,4096,4696,0,1603106482
2,160,7316,3531,1603106479
1,10,4011,238,1603106483
0,2500000,5462,1673,1603106483
1,4096,4646,0,1603106484
2,320,9189,5451,1603106480
2,20,4352,552,1603106486
0,8500000,13408,9632,1603106477
2,40,4588,802,1603106486
2,40,4757,967,1603106486
0,1000000,4225,453,1603106488
0,4000000,7026,3260,1603106486
0,2500000,5421,1668,1603106489
0,5500000,8976,5166,1603106486
0,4000000,6936,3259,1603106488
2,320,10030,6226,1603106486
0,5500000,8930,5165,1603106488
2,10,4045,283,1603106494
2,160,8190,4362,1603106490
2,20,4350,571,1603106494
2,10,4348,505,1603106496
2,40,4921,1125,1603106495
2,320,11175,7398,1603106490
1,128,4802,0,1603106496
0,4000000,7016,3259,1603106494
1,256,4847,0,1603106496
0,8500000,13425,9623,1603106489
2,10,4012,272,1603106499
1,128,4597,0,1603106499
0,4000000,6972,3256,1603106500
2,10,4051,273,1603106503
2,40,4535,752,1603106503
0,4000000,7006,3256,1603106501
0,1000000,4220,451,1603106504
0,2500000,5414,1667,1603106504
1,4096,4600,0,1603106506
2,20,4202,432,1603106507
1,10,3987,243,1603106508
2,10,4041,266,1603106509
0,8500000,13242,9614,1603106500
0,1000000,4195,452,1603106509
2,10,4134,332,1603106510
0,4000000,7018,3260,1603106508
1,1,3840,41,1603106511
1,1024,4675,0,1603106511
1,1024,4820,0,1603106511
2,160,7233,3466,1603106511
2,10,4047,277,1603106514
1,512,4627,0,1603106514
2,320,9873,6099,1603106509
0,7000000,11053,7298,1603106508
0,1000000,4215,451,1603106516
0,7000000,11051,7297,1603106509
2,10,4068,324,1603106519
1,4096,4614,0,1603106518
2,80,5176,1439,1603106518
1,2048,4659,0,1603106524
1,256,4588,0,1603106525
2,160,6399,2665,1603106523
1,512,4602,0,1603106526
0,7000000,11012,7289,1603106523
1,4096,4754,0,1603106529
1,128,4829,0,1603106530
1,2048,4821,0,1603106530
2,160,6404,2664,1603106529
1,1,3610,33,1603106532
0,4000000,7025,3260,1603106530
2,160,6404,2637,1603106532
0,1000000,4178,451,1603106534
1,256,4528,0,1603106536
1,4096,4659,0,1603106536
0,1000000,4242,452,1603106540
1,512,5315,0,1603106542
2,80,6967,3225,1603106541
2,320,11326,7537,1603106538
