workloadID, workload argument, tFC, tVM, start time
0,1000000,3622,196,1609951624
0,1000000,3578,188,1609951625
0,2500000,4182,679,1609951624
0,1000000,3607,188,1609951625
0,1000000,3575,188,1609951625
0,2500000,4057,672,1609951625
0,4000000,4726,1297,1609951625
0,1000000,3779,188,1609951626
0,5500000,5593,2031,1609951624
0,5500000,5840,2032,1609951625
0,2500000,4363,672,1609951626
0,2500000,4368,672,1609951626
0,2500000,4162,671,1609951627
0,2500000,4197,672,1609951627
0,2500000,4535,672,1609951626
0,4000000,4757,1298,1609951626
0,5500000,5419,2032,1609951626
0,1000000,4432,188,1609951627
0,2500000,4982,672,1609951626
0,5500000,5447,2034,1609951626
0,7000000,6248,2854,1609951625
0,7000000,6261,2857,1609951625
0,5500000,5451,2032,1609951626
0,2500000,4065,672,1609951628
0,5500000,5507,2035,1609951626
0,1000000,3619,188,1609951628
0,4000000,4724,1298,1609951627
0,5500000,5423,2032,1609951626
0,5500000,5470,2034,1609951626
0,2500000,4091,671,1609951628
0,2500000,4088,672,1609951628
0,5500000,5479,2034,1609951627
0,5500000,5450,2035,1609951627
0,7000000,6243,2857,1609951626
0,8500000,7141,3757,1609951625
0,8500000,7138,3757,1609951625
0,2500000,4128,672,1609951628
0,5500000,5475,2034,1609951627
0,7000000,6483,2857,1609951626
0,2500000,4306,672,1609951629
0,5500000,5527,2034,1609951627
0,2500000,4185,671,1609951629
0,2500000,4195,672,1609951629
0,4000000,4743,1298,1609951628
0,7000000,6376,2857,1609951627
0,2500000,4304,672,1609951629
0,5500000,5497,2034,1609951628
0,7000000,6709,3055,1609951626
0,4000000,4986,1319,1609951628
0,7000000,6635,2889,1609951627
0,7000000,6327,2857,1609951627
0,4000000,4882,1301,1609951628
0,4000000,4812,1301,1609951628
0,7000000,6273,2857,1609951627
0,5500000,5660,2031,1609951628
0,5500000,5937,2035,1609951627
0,5500000,5488,2035,1609951628
0,2500000,4087,671,1609951630
0,7000000,6265,2857,1609951628
0,8500000,7176,3757,1609951627
0,1000000,3867,188,1609951630
0,1000000,3849,188,1609951630
0,2500000,4057,672,1609951631
0,7000000,6283,2855,1609951628
0,5500000,5861,2031,1609951629
0,7000000,6610,2880,1609951628
0,8500000,7210,3753,1609951628
0,7000000,6453,2854,1609951629
0,1000000,3612,190,1609951631
0,5500000,5491,2034,1609951630
0,7000000,6414,2857,1609951629
0,5500000,5517,2032,1609951630
0,4000000,4902,1301,1609951630
